video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country,classementCountry
Rga-eJD3HyI,Capital Bra: Interview über seine Tilidin-Sucht | STRG_F,2020-09-08T15:00:06Z,UCfa7jJFYnn3P5LdJXsFkrjw,STRG_F,22,20.09.09,strgf|doku|dokumenation|strg_f|capital bra|gib mir tilidin|samra|capital bra tilidin|tilidin samra capital bra|samra capital bra|drogen|vorbildfunktion|tilidin|tilidin sucht|deutsch rap|deutsch-rap|hip hop|hip hop deutschland|rap drogen|drogen rap|hiphop drogen|capital bra interview|interview|capital bra studio|exclusiv|exklusives interview|junkie|deutschrap-star|rap star|rapper|entzug tilidin,883832,75771,1008,5348,https://i.ytimg.com/vi/Rga-eJD3HyI/default.jpg,False,DE,1
jkF3Lddu-Fk,100 Tore! Ronaldo mit historischer Marke: Schweden - Portugal 0:2 | UEFA Nations League | DAZN,2020-09-08T22:00:15Z,UC-UQNye_z8EqecFJluZ1PxQ,DAZN Länderspiele,17,20.09.09,Cristiano Ronaldo|Ronaldo|Schweden|Sweden|SWE|Portugal|POR|Schweden Portugal|Schweden vs Portugal|Schweden - Portugal|Sweden vs Portugal|Schweden Portugal 0 2|Schweden vs Portugal 0-2|UEFA Nations League|UEFA Nations League Highlights|UEFA Nations League DAZN|DAZN UEFA Nations League|DAZN|Highlights UEFA Nations League|DAZN Highlights|DAZN Highlights UEFA Nations League|UEFA Nations League Highlights DAZN|DAZN Länderspiele,403914,19393,167,1421,https://i.ytimg.com/vi/jkF3Lddu-Fk/default.jpg,False,DE,2
A2ia0WOdUYo,Haaland zaubert gegen Green & White Army: Nordirland - Norwegen 1:5 | UEFA Nations League | DAZN,2020-09-08T10:21:36Z,UC-UQNye_z8EqecFJluZ1PxQ,DAZN Länderspiele,17,20.09.09,Sport|German,706868,20684,280,865,https://i.ytimg.com/vi/A2ia0WOdUYo/default.jpg,False,DE,3
hpCDIwZHxLk,Love Island 2020 | Folge 3 | Parodie,2020-09-08T14:00:09Z,UCs33ZUq-3M7WPOyyRhgspeA,Annikazion,24,20.09.09,Annika|Annikazion|annikation|love island|folge 3|ganze folge|parodie|liebe|flirt|flirten|küssen|kuss|Liebes insel|rtl 2|rtl|kommentar|reaktion|zusammenfassung|lustig|heiße flirt|wahre liebe|jana ina|corona,139629,16257,53,646,https://i.ytimg.com/vi/hpCDIwZHxLk/default.jpg,False,DE,4
ME7qwm7oerQ,"Brawl Stars: Brawl Talk - Welcome to Starr Park! Gift Shop, Colette & More!",2020-09-07T08:00:10Z,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,20,20.09.09,brawl stars|mobile game|mobile strategy game|mobile battle royale|battle royale|supercell game|starrpark|starr|park|gift shop|colette|new brawler|brawl talk|brawler|skins,17064173,756339,24362,73039,https://i.ytimg.com/vi/ME7qwm7oerQ/default.jpg,False,DE,5
-mPdij6ZKXA,"Capital Bra, Clueso & KC Rebell mit Andere Welt | Exklusiv bei Late Night Berlin | ProSieben",2020-09-07T21:54:59Z,UCBlOtMAWn6nQpChhRo14CYA,Late Night Berlin,24,20.09.09,Capital Bra Clueso & KC Rebell mit Andere Welt|Capital bra|capital|capi|Clueso|KC Rebell|andere welt|andere welt capital bra|capital bra andere welt|clueso andere welt|capital bra late night berlin song|capital bra late night berlin|Late Night Berlin|Klaas Late Night|Late|Night|Berlin|Klaas|Klaas Heufer-Umlauf|Circus HalliGalli|Joko und Klaas|Joko|Joko Winterscheidt|Klas|Claas|ProSieben|Late Night Show|Show|TV Show|Sendung|TV Sendung|Bra|Capital Bra Song,241982,15747,800,812,https://i.ytimg.com/vi/-mPdij6ZKXA/default.jpg,False,DE,6
E3ZUt-UVaQY,GEBURTSVLOG  | DailyMandT ♡,2020-09-06T17:00:05Z,UCMuPLU5S9vVC5tZAiPVt4HA,Dailymandt,19,20.09.09,look|fashion|fun|tutorial|make up|reisen|haha|lol|love|hair|beauty|haul|music|lustig|spaß|friends|funny|tobi|maren|heiraten|kinder|ankat|vlogs|beste|baby|kind|geburt|deutsch|vlogger|blogger|umbau|haus|umziehen|tags|jp|boost|auto|rennen|schnell|Dubai|amerika|vlog|youtuber|challange|dm|Bilou|schwanger|blogs|tage|nacht|bauen|Hausbau|dailymandt|marentobias|daily|tobias|schaden,780423,43143,879,2171,https://i.ytimg.com/vi/E3ZUt-UVaQY/default.jpg,False,DE,7
3n8HVuyg2YM,OMG... unsere BOYFRIENDS stellen unsere Instagram Fotos nach! 😂,2020-09-07T17:01:09Z,UCATkZgjdevjXhiBdb3FlovA,unlikely,26,20.09.09,photo challenge|bilder nachstellen|unlikely|unlikely foto challenge|unlikely kanal|alycia marie|laura anna|alycia laura|laura und ally|ally und laura,117564,12521,189,405,https://i.ytimg.com/vi/3n8HVuyg2YM/default.jpg,False,DE,8
XRuu2-VIw5o,Tennis star Novak Djokovic abruptly disqualified from US Open l GMA,2020-09-07T14:36:28Z,UCH1oRy1dINbMVp3UFWrKP0w,Good Morning America,24,20.09.09,tennis|star|Novak|Djokovic|disqualified|from|US|Open|men’s|player|ball|hits|judge|in|the|throat|sports|GMA|p_cmsid=2494279|p_vid=news-72859179,1035482,3853,2074,3498,https://i.ytimg.com/vi/XRuu2-VIw5o/default.jpg,False,DE,9
gOqs_RvSoZo,(sehr) private Fragen beantworten oder Chilli essen 🌶️ - Mit Julia Beautx und Julien Bam,2020-09-06T10:00:28Z,UCvU1c8D5n1Rue3NFRu0pJSw,Rezo ja lol ey,24,20.09.09,rezo|rezo ja lol ey|ja lol ey|unterhaltung|witzig|lustig|essen|snacken|chilli|ingwer|rewe|ramen nudeln|nudeln|scharf|julia|ju|julien bam|julia beautx|julia rezo ju,1139627,113843,1352,3505,https://i.ytimg.com/vi/gOqs_RvSoZo/default.jpg,False,DE,10
