video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
HARdHQb1Li4,Chocolate - Tony Kakkar ft. Riyaz Aly & Avneet Kaur | Satti Dhillon | Anshul Garg,2020-09-08T11:30:15Z,UCLtNvbkqea8wN_kGtfgx_Mw,Desi Music Factory,10,20.09.09,tony kakkar|music|song|desi music factory|chocolate|riyaz|avneet kaur|kudi to chocolate|new song 2020|chocolate song|choclate|riyaz and avneet|yo yo honey singh songs|latest hindi song 2020|neha kakkar songs|badshah songs|riyaz live|avneet live|carriminati roast,4308666,375398,164868,54126,https://i.ytimg.com/vi/HARdHQb1Li4/default.jpg,False,IN
HS20-0qAsUk,PUBG Mobile Back In India??? PUBG Ban Over??? 🔥🔥🔥,2020-09-08T08:50:10Z,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,28,20.09.09,PUBG Mobile|PUBG ban India|PUBG Mobile gameplay|PUBG Hindi|PUBG India|PUBG most kills|PUBG best player|PUBG Mobile best|panda PUBG mobile|mortal|coffin|powerbang|PUBG Mobile Asia|Asia server|europe server|PUBG top 10|PUBG world record|PUBG new|PUBG Ban in India|Pubg COmeback|Faug Vs PUBG|FAUG Game|Gameplay|Technicalguruji|Technical Guruji|Gaurav Chaudhary|PUBG|Tencent|India Ban|118 Apps ban|Comeback|Gameover|COD Mobile|Free Fire|How to Play,3559360,419879,28587,31509,https://i.ytimg.com/vi/HS20-0qAsUk/default.jpg,False,IN
VJt3nRH_0vg,RUCHI KA SOFA रूचि का सोफा Family Comedy Short Movie | Ruchi and Piyush,2020-09-08T08:30:01Z,UC0H6I4rKiHmtceSdTCM-DKQ,Ruchi and Piyush,24,20.09.09,ruchi and piyush show|ruchi and piyush latest video|hindi film|comedy movie|short film in hindi|patni ki demands,1668615,66778,4262,13492,https://i.ytimg.com/vi/VJt3nRH_0vg/default.jpg,False,IN
BcO3dcKxoBE,England v Australia - Highlights | Australia Squeeze To Consolation Win | 3rd Vitality IT20 2020,2020-09-08T21:30:27Z,UCz1D0n02BR3t51KuBOPmfTQ,England & Wales Cricket Board,17,20.09.09,cricket videos|highlights|cricket|england cricket|batting|bowling|catch|england v australia|england v australia t20 live|england v australia 2016 2nd test|it 2020|england cricket board|england cricket live|england cricket highlights|jofra archer bowling|jofra archer bowling action|adil rashid bowling|adil rashid ball of the century|adil rashid aaron finch|adil rashid steve smith|rashid|moeen ali|bairstow batting|wade v archer|england australia t20 highlight,4101611,93921,3245,3544,https://i.ytimg.com/vi/BcO3dcKxoBE/default.jpg,False,IN
bWcoApIKTzs,Crazy Angrezi - Amit Bhadana,2020-09-06T04:30:16Z,UC_vcKmg67vjMP7ciLnSxSHQ,Amit Bhadana,24,20.09.09,amit bhadana|amit bhadana videos|amit bhadana vines|amit bhadana dub|amit bhadana desi videos|amit bhdana new video|amit bhadana latest video|amit bhadana birthday|crazy angrezi|english speaking|weak english|nevar judge a book by its cover|amit bhadana dailogue|amit bhadana comedy|amit bhadana 2019|parichay|amit bhadana song|society|judge|gareebi|amit bhadana rhyming|badana angrezi|english|how to speak english|village|city|ssc exam|brotherhood|amit|badana,10485247,1163621,32184,520347,https://i.ytimg.com/vi/bWcoApIKTzs/default.jpg,False,IN
9vnb4w8KYwQ,"Naayagi Episode 679, 08/09/2020",2020-09-08T16:00:04Z,UC-lJ-F5mlPP6SYPkkq6gjwA,VikatanTV,24,20.09.09,SunTv|VikatanTV|Tamil Serial|Tamil Programme|Tamil TV Programme|Daily Serial|SunTV Serial|Naayagi latest episode|Naayagi episode today|Nayagi|Naayagi 08/Sep/2020|Naayagi 08/09/2020|Naayagi|Naayagi Episode 679|vikatan|vikatantv|Nayaki,928056,13217,1260,887,https://i.ytimg.com/vi/9vnb4w8KYwQ/default.jpg,False,IN
ko7sW9e6hKM,తెల్లవారుజామున 3. 30లకు లేచి ఏమన్నారంటే | Actor Jayaprakash Reddy Wife Face To Face | 10TV,2020-09-08T05:18:34Z,UCfymZbh17_3T_UhgjkQ9fRQ,10TV News Telugu,25,20.09.09,Jayaprakash Reddy|Actor Jayaprakash Reddy Passed Away|Tollywood Actor Jayaprakash Reddy Passes Away|Comedian Jayaprakash Reddy|ayaprakash Reddy Passed Away|Actor Jayaprakash Reddy Wife|Jayaprakash Reddy Bhagyalakshmi|Breaking News Jayaprakash Reddy Passes Away|Jayaprakasha Reddy No More|Jayaprakash Reddy Latest News|Tollywood Actor Jayaprakash Reddy Passed Away|10TV|10TV News|10TV Live|10TV Breaking News|10TV Latest|10TV Telugu|10TV Live News|10TV Live Updates,972523,8029,424,479,https://i.ytimg.com/vi/ko7sW9e6hKM/default.jpg,False,IN
AlCEpNwuVCs,1000 रुपये में हेलिकॉप्टर मज़ा आ गया - Cheapest Helicopter In The world,2020-09-07T12:44:41Z,UCthC9tsY4M1BCGY8EhD_0Ow,MR. TITANIUM,22,20.09.09,Helicopter|Unboxing|Unboxing helicopter|Mr. Indian hacker|Mr Indian hacker|Dilraj|New gadgets|New gadgetsAmazon|Top|Gadget|Gadgets|Gadget|Rc|Rc helicopter|Rc plane|Rc car|Cheapest,1449727,103112,14804,10468,https://i.ytimg.com/vi/AlCEpNwuVCs/default.jpg,False,IN
qGcOYl1n2YU,കണ്ണീരോടെ വിട പറഞ്ഞ് മീനാക്ഷി ! | Thatteem Mutteem,2020-09-07T05:00:15Z,UCUPD0jQo-EP0B1Nf4uzeIMA,Mazhavil Manorama,24,20.09.09,Mazhavil|Manorama|Thatteem Mutteem|Aadhi|aadi|meenakshi|kannan|mohanavalli|mayavathiyamma|2020|351-400|aadhi|actors|arjunan|comedy|episode 382|full episode|fun|kpac lalitha|lead actors|manju pillai|mazhavil|mazhavil manorama|mmfiction|naseer sankranthi|september|serial addicts meenakshi & mohanavalli|thatteem mutteem episode 382|tm episode,1648704,25677,1417,1738,https://i.ytimg.com/vi/qGcOYl1n2YU/default.jpg,False,IN
PHw3Sia7KtY,"Beyonce Sharma Jayegi - Khaali Peeli | Ishaan, Ananya| Nakash & Neeti | Vishal & Shekhar| Kumaar,Raj",2020-09-07T05:31:16Z,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,10,20.09.09,Khaali Peeli|Kali Peeli Songs|Khali Peeli Songs|Beyonce Sharma Jayegi|Beyonce Sharma|ishaan khattar dance|ishaan khattar songs|ananya pandey new movie|Ananya Panday Songs|New Dance Song|Bollywood Dance Songs|Neeti Mohan Songs|Nakash Aziz Songs|ananya pandey songs|Vishal Shekar Songs|Kumaar Songs|Raj Shekar Songs|Neeti Mohan New Songs|New Songs Neeti Mohan|New Hindi Songs|Zee Plex,5694426,65194,560688,128524,https://i.ytimg.com/vi/PHw3Sia7KtY/default.jpg,False,IN
