video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country,classementCountry
9B0Sjva5rIo,澤村拓一『名刺代わりの3者連続K』《THE FEATURE PLAYER》,2020-09-08T12:39:20Z,UC0v-pxTo1XamIDE-f__Ad0Q,(パーソル パ・リーグTV公式)PacificLeagueTV,17,20.09.09,パーソルパリーグTV|パリーグTV|パシフィックリーグ|Pacificleague|プロ野球,1260110,28767,302,6491,https://i.ytimg.com/vi/9B0Sjva5rIo/default.jpg,False,JP,1
D60QsEtF2z8,伊勢谷友介さんが大麻取締法違反の疑いで逮捕された件についてお話します,2020-09-08T11:05:21Z,UCXjTiSGclQLVVU83GVrRM4w,堀江貴文 ホリエモン,25,20.09.09,堀江貴文|ホリエモン|堀江|貴文|寺田有希|Takafumi|Horie,405090,6997,2161,1685,https://i.ytimg.com/vi/D60QsEtF2z8/default.jpg,False,JP,2
_RC7MUGmz9M,【大パニック】ショッピングモールで買い放題！！！たった数分で〇〇万円超えたwww【爆買い】,2020-09-08T10:00:08Z,UCxlsYyeri8MOpap3w3JbWSQ,まあたそ,24,20.09.09,[none],532915,23538,274,1579,https://i.ytimg.com/vi/_RC7MUGmz9M/default.jpg,False,JP,3
Khm090c4Oi0,円陣番長、岸田行倫,2020-09-08T11:55:30Z,UCXxg0igSYUp0tqdd6luPEnQ,読売ジャイアンツ,17,20.09.09,[none],261171,6013,135,580,https://i.ytimg.com/vi/Khm090c4Oi0/default.jpg,False,JP,4
cUHAY6WRhwo,日向坂46 「ひなリハ」～アザトカワイイ～,2020-09-08T09:00:08Z,UCR0V48DJyWbwEAdxLL5FjxA,日向坂46 OFFICIAL YouTube CHANNEL,10,20.09.09,日向坂46|日向坂|日向|ヒナタザカフォーティーシックス|ひなたざか|けやき坂46|乃木坂46|欅坂46|アザトカワイイ|ソンナコトナイヨ|こんなに好きになっちゃっていいの？|ドレミソラシド|キュン|期待していない自分|誰よりも高く跳べ！|僕たちは付き合っている|それでも歩いてる|イマニミテイロ|ハッピーオーラ|君に話しておきたいこと,731243,55233,328,7447,https://i.ytimg.com/vi/cUHAY6WRhwo/default.jpg,False,JP,5
mIk9r-aH4_A,新型コロナウィルス、陽性でした,2020-09-08T10:26:39Z,UCzZ-KUDsYfv2oeAq5AjU6vw,マホトMAHOTO,24,20.09.09,コロナ|陽性|ツリメ,467320,17884,2668,2154,https://i.ytimg.com/vi/mIk9r-aH4_A/default.jpg,False,JP,6
TvRVcN-fJLE,1回10円のクレーンゲーム100回やったらアヒルとれすぎてお風呂アヒルまみれwww,2020-09-08T07:35:57Z,UCZf__ehlCEBPop-_sldpBUQ,HikakinTV,24,20.09.09,ヒカキン|ヒカキンtv|hikakintv|hikakin|ひかきん|ひかきんtv|ユーチューバー|YouTube|YouTuber|商品紹介|おもちゃ|オモチャ|玩具|動画|ビートボックス|Beatbox|ボイパ|ヒューマンビートボックス|ボイスパーカッション|レビュー|UFOキャッチャー|クレーンゲーム|ゲーセン|10円|10円キャッチャー|タイトー|タイトーステーション|府中くるる店|taito station|ゲーム|アヒル|お風呂|お菓子|チョコ|アンパンマン,1197893,26165,1008,2710,https://i.ytimg.com/vi/TvRVcN-fJLE/default.jpg,False,JP,7
VvyWbIB6s6U,伊勢谷友介容疑者 逮捕　有名俳優なぜ...大麻取締法違反,2020-09-08T10:02:13Z,UCoQBJMzcwmXrRSHBFAlTsIw,FNNプライムオンライン,25,20.09.09,ニュース|NEWS|FNN|FNNプライムオンライン|フジテレビ|フジテレビジョン|FujiTelevision,860135,2254,333,3218,https://i.ytimg.com/vi/VvyWbIB6s6U/default.jpg,False,JP,8
WT-TsA_lNqs,【初ゲスト】家政婦ともちんにご飯を作るのをお願いしてみた！【料理】,2020-09-08T10:00:07Z,UCPvMrbh7KtLwWwTAOBmjeIg,篠田麻里子ん家,22,20.09.09,篠田麻里子|マママリコ|マリコ様|AKB48|AKB|元AKB48|しのだまりこ|ママ|モデル|子育て|育児|家族|女優|インスタ|YouTube|篠田麻里子ん家|板野友美|ともちん|餃子|レシピ|料理|コラボ|初コラボ|家政婦,478136,8216,236,517,https://i.ytimg.com/vi/WT-TsA_lNqs/default.jpg,False,JP,9
bvaT1Lwb6SU,「ブレス オブ ザ ワイルド」の100年前が体験できる『ゼルダ無双 厄災の黙示録』,2020-09-08T14:00:01Z,UCkH3CcMfqww9RsZvPRPkAJA,Nintendo 公式チャンネル,20,20.09.09,Game|VideoGame|ゲーム|ビデオゲーム|Video Game (Industry)|任天堂|ニンテンドー|Nintendo|sv_nintendo|Switch|スイッチ|Nintendo Direct|Direct|ダイレクト|青沼|英二|早矢仕|洋介|コーエーテクモ|コーテク|無双|ゼルダの伝説|BotW|英傑|リンク|無双シリーズ|ハイラル,581777,22989,263,0,https://i.ytimg.com/vi/bvaT1Lwb6SU/default.jpg,False,JP,10
XnwSmkYXoX0,巨人から電撃トレード！澤村拓一のロッテ初練習,2020-09-08T08:52:50Z,UCWdEublMqqCIicyy8fiqEyA,テレビ東京スポーツ,17,20.09.09,テレビ東京|テレ東|テレビ東京スポーツ|Sports|スポーツ,166387,1183,28,221,https://i.ytimg.com/vi/XnwSmkYXoX0/default.jpg,False,JP,11
NMWBbc4GWos,整形しました。喋れません,2020-09-08T07:54:58Z,UCIPKo-3YgwWFFEeagS-j30A,整形アイドル轟ちゃん,24,20.09.09,轟ちゃん|整形,514829,18492,847,2203,https://i.ytimg.com/vi/NMWBbc4GWos/default.jpg,False,JP,12
xuyEiGMHhQ8,「Road to ロマンスポルノ20〜REUNION～」,2020-09-08T12:00:13Z,UCJeCKqR6uqrdCw6021WuWlA,ポルノグラフィティ Official YouTube Channel,10,20.09.09,ポルノグラフィティ|ポルノ|岡野昭仁|昭仁|新藤晴一|晴一,108038,7168,28,560,https://i.ytimg.com/vi/xuyEiGMHhQ8/default.jpg,False,JP,13
uV8a1pK1k-Y,『ゼルダ無双 厄災の黙示録』1stトレーラー,2020-09-08T14:15:03Z,UCM0d5CqnNiJu4zsPTnwmjAQ,コーエーテクモChannel,20,20.09.09,#最新動画_movielist|Game|VideoGame|ゲーム|ビデオゲーム|Video Game (Industry)|ゼルダ無双|ゼルダの伝説|ブレス オブ ザ ワイルド|BotW|BOW|ZELDA|zelda|legend|Direct|Nintendo Direct|ダイレクト|The Legend of Zelda|Dynasty Warriors|Samurai Warriors|warriors|無双|Hyrule Warriors|コーエーテクモ|KOEI TECMO|Omega force|ω-Force|任天堂|ニンテンドー|Nintendo Switch|スイッチ|Switch|ゼルダ|リンク|Hyrule Warriors: Age of Calamity|Age of Calamity,94879,3668,36,0,https://i.ytimg.com/vi/uV8a1pK1k-Y/default.jpg,False,JP,14
lge3ASaHuh4,NGTV | GAME Vol. 2 - WORDWOLF/ワードウルフ,2020-09-08T09:00:11Z,UCy5YRlHRDW3y-N5aIzABo9Q,NO GOOD TV,22,20.09.09,Jin Akanishi|Ryo Nishikido|錦戸亮|赤西仁|N/A|ライブ|音楽|アイドル|Idol|Japanese|日本語|暇潰し,237981,6205,79,168,https://i.ytimg.com/vi/lge3ASaHuh4/default.jpg,False,JP,15
HGVr4MuYy8Q,【踊ってみた】惑星ループ(手越祐也ver）,2020-09-07T11:00:04Z,UCSEoj94-efoQhREyRWRySKA,手越祐也チャンネル,22,20.09.09,手越祐也|手越|祐也|テイ！|記者会見,1014283,44127,3881,2873,https://i.ytimg.com/vi/HGVr4MuYy8Q/default.jpg,False,JP,16
OlhMPFhhSFo,【レジェンド青木功vs前澤友作】ゴルフマッチプレー対決 前編,2020-09-08T11:00:12Z,UCO3gOWCjoz9aeXdSUt6Fhmw,Yusaku Maezawa,22,20.09.09,前澤友作|ZOZO|Vlog|golf|青木功|ISAOAOKI|お金配り|前澤社長|ゴルフ|マッチプレー,440448,9120,283,618,https://i.ytimg.com/vi/OlhMPFhhSFo/default.jpg,False,JP,17
E7HklNfveUE,【本人登場】伊沢王,2020-09-08T08:30:01Z,UCdvci38aZHC_5qKPyL8BPcA,QuizKnock会議中【サブチャンネル】,24,20.09.09,[none],274614,8345,130,718,https://i.ytimg.com/vi/E7HklNfveUE/default.jpg,False,JP,18
X4ABq-bDoqA,【話します】やらせ疑惑とSNS削除について,2020-09-08T10:32:55Z,UCaminwG9MTO4sLYeC3s6udA,ヒカル（Hikaru）,24,20.09.09,ヒカル|Hikaru|トーク|おもしろ|やらせ|ヤラセ|疑惑|削除|SNS,1361304,34087,14080,7320,https://i.ytimg.com/vi/X4ABq-bDoqA/default.jpg,False,JP,19
Iz1zHTJ0geg,澤村拓一投手入団会見,2020-09-08T07:22:48Z,UC6qnjAoknKc6nUwhxVYL_DA,千葉ロッテマリーンズ,17,20.09.09,[none],212030,2808,60,769,https://i.ytimg.com/vi/Iz1zHTJ0geg/default.jpg,False,JP,20
XA9GN1RO_U4,【定価買取】虫や魚を売って儲ける実写版どうぶつの森対決！！！,2020-09-08T12:40:55Z,UCutJqz56653xV2wwSvut_hQ,東海オンエア,23,20.09.09,[none],1282079,27120,667,3470,https://i.ytimg.com/vi/XA9GN1RO_U4/default.jpg,False,JP,21
caCQoP6gI7Y,夏が終わる前に家族で遊ぼーシリーズ,2020-09-08T12:00:16Z,UCmiivdWbzuVQKMljjvfVjqQ,Hiromi factory チャンネル,24,20.09.09,[none],193747,7824,124,399,https://i.ytimg.com/vi/caCQoP6gI7Y/default.jpg,False,JP,22
g0AOkwwjy0w,9月8日(火) vs北海道日本ハムファイターズ ダイジェスト,2020-09-08T12:32:42Z,UC6qnjAoknKc6nUwhxVYL_DA,千葉ロッテマリーンズ,17,20.09.09,[none],47834,829,6,205,https://i.ytimg.com/vi/g0AOkwwjy0w/default.jpg,False,JP,23
hdQRp-YvtsU,【漫画】サークルの飲み会で20名分の予約。来たのは陰キャの僕1人→すると店長が「いい方法があります」と言ってきて…【スカッとする話】【マンガ動画】,2020-09-07T09:00:08Z,UCnKxQZgWkvBTCzK10UbwRlQ,漫画タイム,24,20.09.09,漫画|サークル|大学|飲み会|陰キャ|ぼっち|店長|ドタキャン|キャンセル|DQN|スカッとする話|マンガ動画|漫画タイム|漫タイ|漫画動画,511744,4136,945,1046,https://i.ytimg.com/vi/hdQRp-YvtsU/default.jpg,False,JP,24
