video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
vY5x9jBXStE,[김어준의 뉴스공장 FULL/9월 9일],2020-09-09T02:08:00Z,UC5HSw5OY2vfVFSihpiB-AVQ,TBS 시민의방송,25,20.09.09,TBS|김어준|뉴스공장|대북전단|삐라|이재용|삼성|정경심|타투이스트|김여정,293666,22966,530,485,https://i.ytimg.com/vi/vY5x9jBXStE/default.jpg,False,KR
tK9UevfFFbU,전설의 웹툰 기기괴괴 성형수가 영화로 나왔다고..?,2020-09-08T07:00:05Z,UCaHGOzOyeYzLQeKsVkfLEGA,지무비 : G Movie,1,20.09.09,영화|지무비|성형수|기기괴괴|애니,997383,17514,369,3981,https://i.ytimg.com/vi/tK9UevfFFbU/default.jpg,False,KR
ft1ZIBNzHUw,[검찰 특별수사 2부작] 2부 수상한 수사 - 전반부 - PD수첩 (9월8일 방송),2020-09-08T14:23:30Z,UCawCv9kO2UXbTtsK4EammRQ,MBC PD수첩,25,20.09.09,PD수첩|시사교양|시교|시사|고발|MBC|뉴스|이슈|사회문제|수상한수사|특수부|검찰|한동훈|이동재|김경록|조국|정경심|동양대,177773,13883,142,1408,https://i.ytimg.com/vi/ft1ZIBNzHUw/default.jpg,False,KR
J-WODtL2JQw,"현재 정은경 본부장이 발표한, 한국 뒤바꿔놓겠다는 놀라운 계획, 한국, 9월달 한국에서 엄청난 일 벌어질것",2020-09-08T11:35:15Z,UCVObSp4MlJwCsh6vtKz4PHQ,쓸모왕,25,20.09.09,한국|정은경|정은경 본부장|WHO|질병관리청|영국|검사|방역|중국|치료제|셀트리온|해외반응|외신반응,724078,18960,881,1790,https://i.ytimg.com/vi/J-WODtL2JQw/default.jpg,False,KR
AAOOKbk-knM,(MV)유아(YooA)_숲의 아이 (Bon voyage),2020-09-07T09:01:54Z,UC-qYkzKFdekoEniRu_FS3zg,OH MY GIRL,10,20.09.09,#오마이걸|OHMYGIRL,4631353,0,0,18779,https://i.ytimg.com/vi/AAOOKbk-knM/default.jpg,True,KR
TREHzPWzurk,[검찰 특별수사 2부작] 2부 수상한 수사 - 후반부 - PD수첩 (9월8일 방송),2020-09-09T01:32:50Z,UCawCv9kO2UXbTtsK4EammRQ,MBC PD수첩,25,20.09.09,PD수첩|시사교양|시교|시사|고발|MBC|뉴스|이슈|사회문제|조국|정경심|김경록|동양대|수상한수사|특수부|한동훈|검찰|검찰개혁|KBS|채널A,51290,6421,44,498,https://i.ytimg.com/vi/TREHzPWzurk/default.jpg,False,KR
bcSYqhf3364,돌고 돌아 이렇게 되나?  [따 따],2020-09-08T08:21:46Z,UC8SZ88GQa9XWwZxLNibO3ug,배승희 변호사,25,20.09.09,[none],425231,70324,1011,1935,https://i.ytimg.com/vi/bcSYqhf3364/default.jpg,False,KR
MOb1FjubGug,9/9(수) - 秋아들 변호인 카투사는 한미규정 모두 vs 무슨 소리?(현근택vs전주혜) / 카카오 들어오라? 윤영찬과 이정현이 다른가?(이준석·박원석) [김현정의 뉴스쇼],2020-09-09T00:00:36Z,UC4Aa3OPkMenwTANpf0oWVRQ,CBS 김현정의 뉴스쇼,25,20.09.09,김현정|뉴스쇼|추미애 아들|현근택 변호사|전주혜 의원|주호영 다음메인|대한의사협회|윤영찬|코로나 원격수업,63406,1174,126,259,https://i.ytimg.com/vi/MOb1FjubGug/default.jpg,False,KR
rYNC7_iiG4U,"[김어준의 뉴스공장 FULL/9월 8일] 추석, 긴장 풀어서는 안돼...뭉치면 죽고, 흩어져야 산다!",2020-09-08T02:06:43Z,UC5HSw5OY2vfVFSihpiB-AVQ,TBS 시민의방송,25,20.09.09,TBS|김어준|뉴스공장|대북전단|삐라|이재용|삼성|정경심|타투이스트|김여정,387682,26059,836,880,https://i.ytimg.com/vi/rYNC7_iiG4U/default.jpg,False,KR
hFQL7BS6lrs,TAEMIN 태민 Criminal MV,2020-09-07T09:00:08Z,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,10,20.09.09,[none],3536040,567774,3327,44481,https://i.ytimg.com/vi/hFQL7BS6lrs/default.jpg,False,KR
yWQ1MAi_QI8,"[#연극이끝나고난뒤] 안보현X유라 첫 만남❤️ 파스타 맛있게 먹는 유라 보고 눈 반짝반짝거리는 안보현 ㅋㅋ 나같아도 유라보면 귀여워서 못 참을듯,,│#Diggle",2020-09-07T12:30:04Z,UCsRIHt5FkbGc6cQtCxt-ufA,tvN D ENT,24,20.09.09,tvN|tvN D ENT|연극이끝나고난뒤|Diggle|디글|하석진|윤소희|안보현|유라|이민혁|Diggle 연극이끝난고난뒤|연극이끝나고난뒤 다시보기|연극이끝나고난뒤 모아보기|연극이끝나고난뒤 정주행|연극이끝나고난뒤 안보현|연극이끝나고난뒤 하석진|안보현 유라|하석진 윤소희|안보현 유라 키스신|하석진 윤소희 키스신|tvn 우리결혼했어요|비투비 이민혁|tvn 안보현|Diggle 안보현|Diggle 유라|Diggle 하석진|이태원클라쓰 안보현|안보현 연기|안보현 성격|안보현 모음|안보현 레전드|tvn 우결|tvn 하트시그널|안보현 유라 결혼|안보현 유라 키스|유라 수영복|안보현 유라 연애|Ahn Bo hyun|yu ra|Ahn Bo hyun yura|ahn bo hyun kiss|after the play ends|ahn bo hyun after the play ends,1622395,13707,224,1913,https://i.ytimg.com/vi/yWQ1MAi_QI8/default.jpg,False,KR
SBuzsoYjMDc,광화문 집회 참가 후 코로나 확진 목사…치료 중 숨져 / JTBC 뉴스룸,2020-09-07T12:06:03Z,UCsU-I-vHLiaMfV_ceaYz5rQ,JTBC News,25,20.09.09,JTBC|JTBC NEWS|뉴스|뉴스룸|손석희|newsroom|sohnsukhee|제이티비씨|제이티비씨 뉴스|ㅓ슟|제이티비시|제이티비시 뉴스|서복현|안나경|한민용|광화문|광화문 집회|광화문 집회 참석|광화문 집회 참석 목사|광화문 집회 목사 사망|목사 코로나|목사 사망,1049582,13245,847,13379,https://i.ytimg.com/vi/SBuzsoYjMDc/default.jpg,False,KR
gIxEHX6F_os,[#인기급상승] 밥은 사람답게 먹어야 한다 각종 요리 자격증 섭렵한 김새론 요리 실력 대 공개✨│#온앤오프│#Diggle,2020-09-08T08:30:00Z,UCsRIHt5FkbGc6cQtCxt-ufA,tvN D ENT,24,20.09.09,tvN|tvN D ENT|인기급상승|온앤오프|김새론|온앤오프 김새론|김새론 차|김새론 요리|디글|Diggle|Kim Sae-Ron|어른|김새론 운전|#하이라이트#|티비냥|유퀴즈온더블럭|유퀴즈|김새론 아는형님|김새론 인스타라이브|아저씨|김새론 아저씨|김새론 원빈|연플리|연플리 하늘|김새론 연플리|연애플레이리스트|PLAYLIST|웹드라마|아저씨 영화|김새론 아역|아역|아역배우|김새론 근황|김새론 김민재|김새론 연기|김새론 춤|김새론 동생|김새론 엄마|예능|관찰예능|온앤오프 미초바|온앤오프 빈지노|빈지노 미초바|미초바|빈지노|캔맥|맥주|술|으른|21살|onandoff EP.19|onandoff|나혼자산다|나혼산|FLEX|영앤리치|금수저|자수성가|서지민|써지|연플리 김새론|학교 2020|드라마 학교|정소미|도시어부|한끼줍쇼|음중|쇼음악중심|볼보|카니발|새론|여대생|커리어우먼|조세호|성시경|김민아,677111,5499,125,539,https://i.ytimg.com/vi/gIxEHX6F_os/default.jpg,False,KR
