video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country,classementCountry
qGXhjG5Q_xA,اكبر حفلة معرفة جنس مولود في العالم (برج خليفة),2020-09-08T22:20:48Z,UCqJNTGwKmgMCwfYDbnz514Q,anasala family I أنس و أصالة,24,20.09.09,اصالة|اصاله|انس مروة|اول مرة|بيبي|تسبح|اصالة و انس|انس و اصالة|سيارة|انس واصالة|اصالة مالح|انس|انس مروة و اصالة|اصالة و انس مروة|anasmarwah|anas marwah|ميلا مروة|anasala|عائلة انس و اصالة|anasala family|أنس مروة|اصالة وانس مروة|انس و اصاله|مع اصالة و انس مروة|عائلة انصالة|حامل|اصالة حامل|الجنين|برج|خليفة|اكير|حفلة معرفة|جنس جنين|في|العالم,3791396,642777,7082,131537,https://i.ytimg.com/vi/qGXhjG5Q_xA/default.jpg,False,MA,1
O9uf-GIaveI,"سفيان وفائزة في حوار خاص ,حقيقة المقالب، سبب طلاق فائزة ، زواج سفيان،  جديدهم الفني , وتفاصيل مثيرة",2020-09-07T18:34:34Z,UCvYpXYB8Hask6EacuO1BU4A,LalaMoulati,22,20.09.09,lala moulati|lalamoulati|lallamoulati|lalla moulati|lalamolati|lallamolati|lalamoulati.ma|lalamoulati.net|لالة مولاتي|سفيان وفائزة|Soufiane&Faiza|Soufiane & Faiza|طلاق فائزة,618924,12677,924,3443,https://i.ytimg.com/vi/O9uf-GIaveI/default.jpg,False,MA,2
uFEOLe3Gv-k,لأول مرة حسام يتكلم عن سبب طلاق فائزة وهادي هي العلاقة لي كتجمعهم وها كيفاش تعرفوا على بعضياتهم,2020-09-08T17:25:37Z,UCgJShJYlHW79y-ETvEqTI9w,LALLA FATEMA TV لالة فاطمة,24,20.09.09,سفيان وفايزة|حسام|مقالب|يوتيوب|طلاق فايزة|لالة فاطمة|طوندونس|مشاهير|تعارف|جيران|روتين|اخوة|علاقة|المغرب|مغاربة|حياة مشتركة|فيديوهات|جديد|زواج|مواقف,107876,2235,72,279,https://i.ytimg.com/vi/uFEOLe3Gv-k/default.jpg,False,MA,3
GEZ26zwOlYA,تركت أهلي 💔 | مؤثر,2020-09-07T18:19:28Z,UCVPdqf6ZslqK6SDQiFy9igg,Ragoode,22,20.09.09,رغد|روان وريان,2703754,217900,5436,39712,https://i.ytimg.com/vi/GEZ26zwOlYA/default.jpg,False,MA,4
Fq1G_SOeyzM,خبر محزن😥 شوفو شنو وقع مع لالة فتيحة,2020-09-07T12:28:36Z,UCKBEm5EN_71ZTvYkxKID-bQ,لالة حادة | Lala hada,22,20.09.09,[none],324823,13838,732,1709,https://i.ytimg.com/vi/Fq1G_SOeyzM/default.jpg,False,MA,5
eWMp6QK7SJQ,مرحبا بيكم في داري جديدة ..،أول عراضة في هاذ الدار,2020-09-07T12:00:20Z,UCqw9gtaOdTdsdeSfPJIru_A,Oumaima Essadiki,1,20.09.09,tendance|trend|oumaima essadiki|oumaima vlogs|asmaa beauty|ahmed vlog|qFaycal vlog,290972,14651,715,1665,https://i.ytimg.com/vi/eWMp6QK7SJQ/default.jpg,False,MA,6
spDBXUl6xek,Hussein Safieddine Ft Redouan Jebrane - EALACHE AQALBI (Music Video 2020 ),2020-09-06T18:25:44Z,UC_nOp3QT0i3GCetLNqb1k1g,Hussein Safieddine,1,20.09.09,[none],654640,80854,6557,7964,https://i.ytimg.com/vi/spDBXUl6xek/default.jpg,False,MA,7
P3HsCVc5V7I,DEMON - ALLO 3AMI - PROD BY - WYSKAR X STRIKAGE,2020-09-06T21:00:02Z,UCVaVBXo6_w8N499hhnkxJ_A,DEMON 324,10,20.09.09,moro|demon324|Cb4gang,349846,29274,3931,1287,https://i.ytimg.com/vi/P3HsCVc5V7I/default.jpg,False,MA,8
739yWJiAnBE,رحلة نحو المجهول: دخلت لمصنع الخمر في تركيا و اكتشفت السر,2020-09-06T14:40:00Z,UCH_XMDSC8K696kE6I0x5D8Q,Fayssal Vlog,22,20.09.09,fayssal vlog|faissalvlog|faicalvlog|faycalvlog|vlog|تحدي fayssal|Vlogs|رحلة|نحو|المجهول|رحلة نحو|نحو المجهول|رحلة نحو المجهول|دخلت|لمصنع|الخمر|تركيا|اكتشفت|السر|دخلت لمصنع الخمر|الخمر في تركيا|اكتشفت السر,615341,66057,1809,5180,https://i.ytimg.com/vi/739yWJiAnBE/default.jpg,False,MA,9
ZV8HtAwYorc,MAESTRO - Maria (Music Video Teaser) | 2020,2020-09-07T19:00:10Z,UCKfk6Xe8oxixA3tqIpXugVA,MAESTRO,10,20.09.09,Paranoia|برانويا|Maestro Feat 7liwa|مايسترو فيت حليوة|MAESTRO Paranoïa Feat. 7liwa|7liwa 2020|maestro 2020|حليوة 2020|stormy|halala|maestro halala|guzman|fidele|مايسترو 2020|مايسترو برانويا|maestro feat 7liwa|7liwa feat maestro|7liwa x maestro|maestro x 7liwa|halala maestro|maystro|bb db ranjik nichan|mi amor|kolchi dayz|maestro fidele|temaa|mastro|mestro|maria|MAESTRO Maria|maestro maria,80110,5029,238,190,https://i.ytimg.com/vi/ZV8HtAwYorc/default.jpg,False,MA,10
SlcMrYrTgKk,فرحات بيا عائلتي ثانية و نگفوني من جديد,2020-09-06T18:53:00Z,UCO-7ect9Mgz9tPZAue_eb2A,Oumaima Vlogs,22,20.09.09,oumaima essadiki|oumaima vlogs|ghoumary|asmaa beauty|ikram bellamouva|faycal vlog,245982,10402,739,1576,https://i.ytimg.com/vi/SlcMrYrTgKk/default.jpg,False,MA,11
