video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
dUOUcgBBGpY,¡Primera imágenes del lugar donde Xavier Ortiz se habría quitado la vida! | Sale el Sol,2020-09-08T14:39:45Z,UClIHawzMOBFQc1QZu2XYuoQ,Imagen Entretenimiento,26,20.09.09,xavier ortiz se suicido|xavier ortiz se quito la vida|xavier ortiz se colgo|fallece xavier ortiz|xavier ortiz|xavier ortiz garibaldi|miembros garibaldi|sergio mayer|charly lopez|sergio mayer garibaldi|sergio mayer y xavier ortiz|xavier ortiz ex garibaldi|paty materola|el conejo|paty manterola y xavier ortiz|SALE EL SOL|LUZ MARIA ZETINA|CARLOS ARENAS|ROBERTO CARLO|PAULINA MERCADO|ANA MARIA ALVARADO|GUSTAVO ADOLFO INFANTE|CARLOS QUIRARTE,1220736,6769,658,2089,https://i.ytimg.com/vi/dUOUcgBBGpY/default.jpg,False,MX
DxDTXWRV2Es,"Murió Xavier Ortiz, exintegrante del grupo Garibaldi, a los 48 años. | Ventaneando",2020-09-07T22:34:13Z,UCuOfAZNaaCkVkkXaJu2ny_Q,Ventaneando,24,20.09.09,ventaneando|ventaneando hoy|ventaneando 2020|ventaneando en vivo|ventaneando hoy en vivo|espectaculos|farandula|tv azteca|pati chapoy|pedro sola|daniel bisogno|noticias de espectaculos|noticias ventaneando|xavier ortiz|muerte|grupo garibaldi|ex garibaldi|xavier|ortiz|xavier ortiz muere|xavier ortiz garibaldi,1214561,9070,1263,2280,https://i.ytimg.com/vi/DxDTXWRV2Es/default.jpg,False,MX
NrkTxfr1Ous,AMONG US #2 || SOY UN SUCIO TRAIDOR,2020-09-07T16:03:27Z,UCFR2oaNj02WnXkOgLH0iqOA,Auron,20,20.09.09,[none],5321366,449845,3674,8539,https://i.ytimg.com/vi/NrkTxfr1Ous/default.jpg,False,MX
MJjYp1GUIwg,"DIBUJO CON TODOS MIS MATERIALES DE COLOR BLANCO !! Marcadores, Lapices, Acuarelas, etc HaroldArtist",2020-09-08T19:00:06Z,UCVdqvEiRC3-Zc1nHbbSzk-g,HaroldArtist,24,20.09.09,harold|artist|dibujo|art|arte|prismacolor|pencilcolor|pastel|lapices|de|colores|artista|cubano|como|dibujar|paso|bien|explicado|speed|drawing|comentado|dibujos en blanco y negro faciles|retos de dibujos|pintando solo con un color|dibujando con un color|reto de dibujo de un color|one color challenge|dibujando con todos mis materiales blancos|materiales de dibujo blancos|dibujo solo con color blanco|todos mis materiales blancos,655586,63280,783,6113,https://i.ytimg.com/vi/MJjYp1GUIwg/default.jpg,False,MX
KHLfCFMKxPg,Xbox Series S - World Premiere Reveal Trailer,2020-09-08T16:34:36Z,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,20,20.09.09,Xbox|xbox 360|Xbox One|Xbox Series X|Xbox Series S|Series S|Series X|Xbox next-gen|Xbox console|Xbox gaming|Xbox next-gen console|Xbox Series X games|Xbox Games Studios|Xbox Series S games|Xbox Series S games trailer|Xbox Game Pass|Halo Infinite|Destiny 2 Beyond Light|Cyberpunk 2077|Asassins Creed Valhalla|Lego Star Wars|official trailer|world premiere|reveal|new xbox,1654477,113197,4568,10945,https://i.ytimg.com/vi/KHLfCFMKxPg/default.jpg,False,MX
vhotq41ittw,Tú fuiste el primero ZarpasSucias,2020-09-08T15:10:08Z,UCP2nIE2r-0oI7cgFrytS6hA,Wine XD,20,20.09.09,zarpas sucias|despedida|vídeo de despedida|wine|winexd|wine xd|te quiero,513588,109169,501,53374,https://i.ytimg.com/vi/vhotq41ittw/default.jpg,False,MX
z0VTupH8A2Y,QUEDAREMOS COMO AMIGOS 😳 (Explicación) Kimberly Loaiza,2020-09-06T17:17:18Z,UCQZfFRohQ7UX-0CdXl-6pwQ,Kimberly Loaiza,22,20.09.09,team|juki|jukilop|teamjukilop|juan|de|dios|pantoja|reto|challenge|diversión|entretenimiento|vlog|blogs|nuevo|video|vlogs|blog|lindura|linduras|kimberly|loaiza|risas|musica,11874501,1092891,40084,76544,https://i.ytimg.com/vi/z0VTupH8A2Y/default.jpg,False,MX
Yxfl5fR8kTQ,La Fiesta de las Frutas (Parte 6) Monólogo Animado de Franco Escamilla,2020-09-08T18:05:44Z,UC5XEiAH14ciavEbdsFnsgCg,Alex Batako Toons,1,20.09.09,Stand Up|diablo squad|la mesa reñoña|comedia|animación 2D|comediante|2020|gatada de vatos|batakomics,109484,11207,166,362,https://i.ytimg.com/vi/Yxfl5fR8kTQ/default.jpg,False,MX
Oh1fNVJYhHY,[TEASER] 마마무(MAMAMOO) - WANNA BE MYSELF,2020-09-08T15:00:29Z,UCuhAUMLzJxlP1W7mEk0_6lA,MAMAMOO,10,20.09.09,MAMAMOO|마마무|WANNA BE MYSELF|마마무 WANNA BE MYSELF|안다르|마마무 안다르|andar|MAMAMOO andar|WANNA BE MYSELF TEASER|WANNA BE MYSELF 티저|마마무 티저,1598236,348214,1461,19133,https://i.ytimg.com/vi/Oh1fNVJYhHY/default.jpg,False,MX
zVsz3ayDRuI,MIS VECINAS HACEN LLORAR A MI EX NOVIA CON ESTAS BROMAS PESADAS POR 24 HORAS,2020-09-07T20:43:13Z,UCQ8TuCvcDMepleXFyOQfyOQ,YOLO,23,20.09.09,yolo|yolo aventuras|broma|bromas|broma pesada|24 horas|reto|challenge|mariana|nando|panda|fede|fede vigevani|badabun|dosogas|fedecole|dosogasteam|ex|tendencias|broma a mi ex|katie angel|broma a mi novia|retos|pesadas|mexico|colombia|argentina|risas|diversion|las mejores bromas|yoloaventuras|yoloaventura|yolo aventura|skabeche|antrax|polinesios|los polinesios|kimberly loaiza|jukilop|coloridas|broma a mi ex novia|broma a mi hermano|broma a yolo|broma a yolo aventuras,1459076,211418,8410,11385,https://i.ytimg.com/vi/zVsz3ayDRuI/default.jpg,False,MX
