video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
aRh8QJoXkGQ,Nicki Nicole - Mala Vida (Official Video),2020-09-09T21:00:08Z,UC8eEAt6o2cz8CBiNHnn2I1w,nickinicoleVEVO,10,20.10.09,nicki nicole|nicki|nicole|mala vida|nicki mala vida|nicki nicole mala vida|nicole mala vida|mala vida video oficial|mala vida video|mala vida letra|colocado|mala vida lyrics|nicki 2020|nicki nicole 2020|trap|mala vida nicki nicole|Latin Urban|Mala Vida|Nicki Nicole|Sony Music Latin/DALE PLAY Records,650381,145028,3479,9618,https://i.ytimg.com/vi/aRh8QJoXkGQ/default.jpg,False,CL
Z78mJz9zW4I,AMONG US - RUBIUS ACUSADO DE *IMPOSTOR*,2020-09-08T21:00:08Z,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777,20,20.10.09,among us|Among Us|vegetta777 among us|rubius acusado de impostor|rubius impostor|vegetta impostor|fargan confia en vegetta|soy impostor|impostor among us|among us impostor|vegetta777|vegetta among us|engaño a todos|vegetta engaña en among us|among us vegetta777|vegetta777 en among us|among us vegetta|como jugar among us|descargar among us,1917995,174877,1503,2574,https://i.ytimg.com/vi/Z78mJz9zW4I/default.jpg,False,CL
n9xhJrPXop4,Dune Official Trailer,2020-09-09T16:18:02Z,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,24,20.10.09,[none],6426879,280738,6622,30407,https://i.ytimg.com/vi/n9xhJrPXop4/default.jpg,False,CL
rXRQyd6_5j4,Call of Duty®: Black Ops Cold War - Multiplayer Reveal Trailer,2020-09-09T17:05:28Z,UC9YydG57epLqxA9cTzZXSeQ,Call of Duty,20,20.10.09,call of duty|cod|activision|multiplayer|cold war|black ops|video game|video games|gamer|gamers|gaming|reveal|event,1600431,117249,5190,11168,https://i.ytimg.com/vi/rXRQyd6_5j4/default.jpg,False,CL
bbA5p54Rw2M,Gorillaz - Strange Timez ft. Robert Smith (Episode Six),2020-09-09T16:15:11Z,UCfIXdjDQH9Fau7y99_Orpjw,Gorillaz,1,20.10.09,Gorillaz|gorillaz Strange Times|Strange Timez Gorillaz Robert Smith|Robert Smith|The Cure|song machine|song machine episode 6|gorillaz song machine|gorillaz new song|gorillaz 2020|gorillaz 2020 song|damon albarn|jamie hewlett|2d|noodle|russel|murdoc|alternative|episode 5|gorillaz new track|TDE|gorillaz featuring|gorillaz feat|song machine #6,731332,105342,2084,7981,https://i.ytimg.com/vi/bbA5p54Rw2M/default.jpg,False,CL
NrkTxfr1Ous,AMONG US #2 || SOY UN SUCIO TRAIDOR,2020-09-07T16:03:27Z,UCFR2oaNj02WnXkOgLH0iqOA,Auron,20,20.10.09,[none],6418241,502017,4442,9295,https://i.ytimg.com/vi/NrkTxfr1Ous/default.jpg,False,CL
fRvhuAIh5dA,Alex Rose ft. Arcangel - Swaggy (Official Video),2020-09-09T12:30:50Z,UCTADar3wgHZaPoZYGYgKGaw,Alex Rose,10,20.10.09,Alex Rose|Arcangel|Swaggy|Trap|Video Oficial|Official Video|Alex Rose Swaggy|Swaggy Alex Rose|Alex Rose y Arcangel|Arcangel y Alex Rose|Swaggy Video Oficial|Arcangel Swaggy Alex Rose|Los Favoritos 2|Los Favoritos|Alex Rose Trap|alex rose oficial|Arcangel and Alex Rose|Arcangel Swaggy|Swaggy Arcangel,686063,38997,507,1095,https://i.ytimg.com/vi/fRvhuAIh5dA/default.jpg,False,CL
vhotq41ittw,Tú fuiste el primero ZarpasSucias,2020-09-08T15:10:08Z,UCP2nIE2r-0oI7cgFrytS6hA,Wine XD,20,20.10.09,zarpas sucias|despedida|vídeo de despedida|wine|winexd|wine xd|te quiero,804560,132586,776,63244,https://i.ytimg.com/vi/vhotq41ittw/default.jpg,False,CL
stNIkeB_fX8,Reik - Te Hubieras Ido Antes (Video Oficial),2020-09-09T01:00:09Z,UCahVGI5idD85mQlBD2InzzA,reikVEVO,10,20.10.09,reik the hubieras ido antes|te hubieras ido antes reik|julion alvarez|te hubieras ido antes julion alvarez|te hubieras ido antes video|te hubieras ido antes letras|te hubieras ido antes oficial|reik 2020|reik de mexico|de mexico|reik|musica mexicana|regional mexicano|banda|norteño|reik banda|reik norteño|musica romantica|romanticas|reik romanticas|julion alvarez te hubieras ido antes|joss favela|reik joss favela|joss,1215798,105530,920,3702,https://i.ytimg.com/vi/stNIkeB_fX8/default.jpg,False,CL
azwH2HgqqJE,C.R.O ft. Zaramay -  BABY DRIP (Shot by @Luguezprod),2020-09-08T22:00:10Z,UCn570qcYPpXz045Oeg0yQGQ,MDBCrew,10,20.10.09,c.r.o|zaramay|c.r.o ft zaramay|malianteo|reggaeton|cro y zaramay,1025109,134002,2947,7441,https://i.ytimg.com/vi/azwH2HgqqJE/default.jpg,False,CL
