video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
07QMsWE_i-w,14 Guerre di Scherzi tra Sorelle! Divertenti Scherzi tra Sorelle!,2020-09-07T12:00:00Z,UCat4J1qEHCdzKS32xXNbbaw,WooHoo IT,26,20.10.09,la battaglia di scherzi|video divertente|i migliori scherzi|scherzi divertenti|giocare con gli amici|trucchi|migliori amici|divertimento|scherzi esilaranti|scherzi|Fratello vs Sorella|fratello vs sorella guerra dello scherzo|Sorelle|Sorelle e Fratelli|Scherzi tra Sorelle|rivalità tra sorelle|crescere con delle sorelle|sorelle|scherzi in famiglia|guerra degli scherzi|woohoo it,1200393,13233,2899,882,https://i.ytimg.com/vi/07QMsWE_i-w/default.jpg,False,IT
jCOr6K88Rkc,TE AL LICEO VS TE DA BAMBINO || Diversi tipi di Persone e Situazioni in cui puoi immedesimarti!,2020-09-08T11:09:02Z,UC4C3XBEVcbyDOziQh7MHcKg,123 GO LIKE! Italian,24,20.10.09,fai da te|idee creative|idea creativa|scherzo|scherzi|divertimento|divertente|123GO!|123 go|123go|amici|amichevole|tutorial|123 GO! Like|123 GO! Like Italian|situazione|situazione divertente|situazione imbarazzante|ragazze vs ragazzi|io contro gli altri|io contro altre persone|ragazze in pubblico|in pubblico vs da solo|tu al liceo vs da bambino|scuola,494647,9761,1020,661,https://i.ytimg.com/vi/jCOr6K88Rkc/default.jpg,False,IT
v1itwtt-5Gg,50 Luoghi Comuni dei Film Americani tra la Gente - [Candid Camera] - theShow,2020-09-09T12:00:13Z,UCYZ3uwiIy1LrwrAywLeQSlQ,theShow,24,20.10.09,the show|theshow|the show is you|theshowisyou|esperimenti sociali|the show scherzi|esperimento sociale|scherzi iene|prank ita|scherzi gente milano|scherzi|scherzo|scherzi a parte|candid camera|luoghi comuni dei film americani|american movie|postino|la ragazza del caffè|slomo|rallenty|inno americano|insegua quellauto|taxi|sassolino,293089,38176,344,1119,https://i.ytimg.com/vi/v1itwtt-5Gg/default.jpg,False,IT
PXtcYTK-bQY,Pinguini Tattici Nucleari - La storia infinita (Official Video),2020-09-09T12:00:06Z,UCVUL9O_32EKug5EwTlMjctQ,PinguiniVEVO,10,20.10.09,La storia infinita|Pinguini Tattici Nucleari|Pop|RCA Records Label,159328,20229,133,954,https://i.ytimg.com/vi/PXtcYTK-bQY/default.jpg,False,IT
PMxcYasDEys,SCUOLA - IERI VS OGGI - iPantellas,2020-09-05T10:29:51Z,UCD-aXv7CMezGSTfxmKAD6Ag,iPantellas,24,20.10.09,ipantellas|parodia|video divertenti|scuola|ieri vs oggi|ricomincia|back to school|studenti|vs|professori|primo giorno,2365432,230155,4758,4168,https://i.ytimg.com/vi/PMxcYasDEys/default.jpg,False,IT
SZWuiKVru4o,Matteo Salvini aggredito a Pontassieve: il video,2020-09-09T14:27:22Z,UCtENneRLhmBixNcvXbspbYw,BlitzTv,25,20.10.09,blitztv|matteo salvini|lega|salvini aggressione|salvini|aggressione salvini|pontassieve|firenze,64669,636,117,1208,https://i.ytimg.com/vi/SZWuiKVru4o/default.jpg,False,IT
P-j9niKUisE,"DrefGold, Capo Plaza - OPPS (Prod. Daves The Kid)",2020-09-07T12:00:05Z,UC050fkhoH8aUThONF3XWWEA,DrefGoldVEVO,10,20.10.09,DrefGold|Capo|Plaza|OPPS|Universal|Music|Italia|srL.|Hip|Hop,369726,25705,906,1492,https://i.ytimg.com/vi/P-j9niKUisE/default.jpg,False,IT
T4zXy0jYa1U,Disegnare usando 5 PAROLE A CASO! Vediamo cosa esce fuori 🐸 Fraffrog,2020-09-08T12:08:10Z,UCuL6cg-3m-ile8KOd5Q_Rtw,Fraffrog,26,20.10.09,fraffrog|disegnare con parole a caso|il caso ha deciso la mia illustrazione|illustrazione|disegno|illustrazione digitale|disegno digitale|ipad pro|apple pencil|procreate|disegno procreate|cavalier panino|pennelli procreate|cavaliere|panino|natura,190801,18435,175,762,https://i.ytimg.com/vi/T4zXy0jYa1U/default.jpg,False,IT
aw__8_XlRNc,Tipi di Coppie in Vacanza / 16 Momenti Divertenti e Imbarazzanti,2020-09-09T12:00:04Z,UCat4J1qEHCdzKS32xXNbbaw,WooHoo IT,26,20.10.09,Coppie|fidanzato|relazioni|fidanzata|tipi di|obiettivi di relazione|coppia|video di coppia|Tipi di Persone in Spiaggia|Persone in Spiaggia|Spiaggia|estate|vacanze|idee estive|hack live estivi|battute estive|spiaggia|idee spiaggia|vacanze al mare|scherzi|giocare con gli amici|scherzi divertenti|la battaglia di scherzi|i migliori scherzi|scherzi per le coppie|video divertente|divertimento|scherzi esilaranti|migliori amici|woohoo it,269858,5484,351,110,https://i.ytimg.com/vi/aw__8_XlRNc/default.jpg,False,IT
8X830kyvbHc,"MIGLIOR PANINO DEL MCDONALDS IN GERMANIA (avocado, uovo, bacon e cipolla)",2020-09-09T10:30:01Z,UC8iDKxXT8Ep1owsiYSucgWA,Giovanni Fois,24,20.10.09,miglior panino del McDonalds in germania|mcdonalds|nuovo panino mcdonalds|giovanni fois|fois tour europa|tesla model s|tesla|model s|fois tesla|giovanni|fois|Lorenzo lari|sarà buono?|tour europa|slovenia|lubiana slovenia|hamburger speciale|hamburger germania|hamburger|fois hamburger migliore|cibo tipico|capo nord|milano capo nord,353335,37425,410,690,https://i.ytimg.com/vi/8X830kyvbHc/default.jpg,False,IT
YTlB1JPGWac,HIMORTA SVELA I SUOI SEGRETI HOT CON YURI - Lido Bagnato,2020-09-09T10:00:19Z,UCh6uYkXWWwSh7shkCAfj7FQ,Pecore Nere,24,20.10.09,gabriele|vagnato|marta|losito|marta losito|rosalba|sespo|valerio mazzei|q4|quei 4|ludovica pagani|shade|elisa maino|elisa|maino|interrogazione con vagnato|interrogazione|fedez|tommaso zorzi|muschio selvaggio|muschio|selvaggio|luis sal|luis|gianmarco rottaro|rottaro|gianmarco|marta Losito ama valerio|marta Losito tiktok|tiktok|Valerio mazzei tiktok|cecilia cantarano|cecilia|cantarano|cecilia insulta|ipantellas|video lezione|jacopo|daniel|tipi da videolezione,89547,10425,104,167,https://i.ytimg.com/vi/YTlB1JPGWac/default.jpg,False,IT
CC9jD8CZbTY,Scambio di Corpi tra Mamma e Figlia per 24 Ore!,2020-09-04T08:00:06Z,UCQ94FCb9Mnmhxt-H6-7ADcQ,Troom Troom IT,26,20.10.09,la battaglia di scherzi|video divertente|i migliori scherzi|scherzi divertenti|giocare con gli amici|trucchi|migliori amici|divertimento|scherzi esilaranti|scherzi|troom troom it|Corpi per un Giorno|mamma contro figlia|cambio di corpo|mamma e figlia|scambio|scambio di corpi|divertente|commedia|divertimento in famiglia,1540441,17727,3479,1199,https://i.ytimg.com/vi/CC9jD8CZbTY/default.jpg,False,IT
