video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
Jpk2qm6pcT0,[김광일의 입] 문 대통령이 추미애 경질 못하는 이유,2020-09-09T09:00:08Z,UCdp4_yTBhQmB8E339Lafzow,조선일보,25,20.10.09,조선일보|조선|언론|이슈|신문|방송|뉴스|정치,378941,34133,3202,1826,https://i.ytimg.com/vi/Jpk2qm6pcT0/default.jpg,False,,KR,1
UvmGMKRE91w,"한국배가 전복되었는데 한국은 박수치고 일본은 초상집인  이유 미국 언론, 한국잘못 아니다 대반전에 발칵뒤집혀",2020-09-09T11:59:29Z,UCc4OuY3PeWklqBzQ3ySi3xA,Travel Tube,25,20.10.09,한국|일본|미국|미국언론|조선업|LNG|대한민국|일본반응,1182107,21020,870,1009,https://i.ytimg.com/vi/UvmGMKRE91w/default.jpg,False,,KR,2
ny5ZVoC-pp4,"승찬, 우정을 느끼다 [총몇명 프리퀄]",2020-09-09T09:00:12Z,UCRuSxVu4iqTK5kCh90ntAgA,총몇명,1,20.10.09,총몇명|유승찬|민모리|ㅋㅋㅋ|웃긴|부락토스,1159394,33818,541,4110,https://i.ytimg.com/vi/ny5ZVoC-pp4/default.jpg,False,,KR,3
StXm8UUqlgw,한국 치킨을 처음 먹어본 영국 대학생들의 반응?!? (feat. 짜파치킨),2020-09-09T11:38:56Z,UCg-p3lQIqmhh7gHpyaOmOiQ,영국남자 Korean Englishman,23,20.10.09,Korean|영국남자|영국|조쉬|올리|Josh|Ollie|KoreanEnglish|English|Man|englishman|food|음식|외국인|반응|영상|웃긴|남자|외국|도전|매운|조니|조엘|댄|단|신부님|크리스|올리아빠|해물|치킨|삼겹살|korean|BBQ|fried|chicken|라면|불닭볶음면|미친남자,668797,32830,323,3585,https://i.ytimg.com/vi/StXm8UUqlgw/default.jpg,False,,KR,4
ft1ZIBNzHUw,[검찰 특별수사 2부작] 2부 수상한 수사 - 전반부 - PD수첩 (9월8일 방송),2020-09-08T14:23:30Z,UCawCv9kO2UXbTtsK4EammRQ,MBC PD수첩,25,20.10.09,PD수첩|시사교양|시교|시사|고발|MBC|뉴스|이슈|사회문제|수상한수사|특수부|검찰|한동훈|이동재|김경록|조국|정경심|동양대,289730,18768,322,1956,https://i.ytimg.com/vi/ft1ZIBNzHUw/default.jpg,False,,KR,5
tK9UevfFFbU,전설의 웹툰 기기괴괴 성형수가 영화로 나왔다고..?,2020-09-08T07:00:05Z,UCaHGOzOyeYzLQeKsVkfLEGA,지무비 : G Movie,1,20.10.09,영화|지무비|성형수|기기괴괴|애니|beauty water,1227309,21085,432,4635,https://i.ytimg.com/vi/tK9UevfFFbU/default.jpg,False,,KR,6
gIxEHX6F_os,[#인기급상승] 밥은 사람답게 먹어야 한다 각종 요리 자격증 섭렵한 김새론 요리 실력 대 공개✨│#온앤오프│#Diggle,2020-09-08T08:30:00Z,UCsRIHt5FkbGc6cQtCxt-ufA,tvN D ENT,24,20.10.09,tvN|tvN D ENT|인기급상승|온앤오프|김새론|온앤오프 김새론|김새론 차|김새론 요리|디글|Diggle|Kim Sae-Ron|어른|김새론 운전|#하이라이트#|티비냥|유퀴즈온더블럭|유퀴즈|김새론 아는형님|김새론 인스타라이브|아저씨|김새론 아저씨|김새론 원빈|연플리|연플리 하늘|김새론 연플리|연애플레이리스트|PLAYLIST|웹드라마|아저씨 영화|김새론 아역|아역|아역배우|김새론 근황|김새론 김민재|김새론 연기|김새론 춤|김새론 동생|김새론 엄마|예능|관찰예능|온앤오프 미초바|온앤오프 빈지노|빈지노 미초바|미초바|빈지노|캔맥|맥주|술|으른|21살|onandoff EP.19|onandoff|나혼자산다|나혼산|FLEX|영앤리치|금수저|자수성가|서지민|써지|연플리 김새론|학교 2020|드라마 학교|정소미|도시어부|한끼줍쇼|음중|쇼음악중심|볼보|카니발|새론|여대생|커리어우먼|조세호|성시경|김민아,1233424,8636,220,992,https://i.ytimg.com/vi/gIxEHX6F_os/default.jpg,False,,KR,7
J-WODtL2JQw,"현재 정은경 본부장이 발표한, 한국 뒤바꿔놓겠다는 놀라운 계획, 한국, 9월달 한국에서 엄청난 일 벌어질것",2020-09-08T11:35:15Z,UCVObSp4MlJwCsh6vtKz4PHQ,쓸모왕,25,20.10.09,한국|정은경|정은경 본부장|WHO|질병관리청|영국|검사|방역|중국|치료제|셀트리온|해외반응|외신반응,867449,21427,1197,2127,https://i.ytimg.com/vi/J-WODtL2JQw/default.jpg,False,,KR,8
vY5x9jBXStE,[김어준의 뉴스공장 FULL/9월 9일]추미애 장관 아들 의혹...특혜 치고는 너무 평범(?!)했다,2020-09-09T02:08:00Z,UC5HSw5OY2vfVFSihpiB-AVQ,TBS 시민의방송,25,20.10.09,TBS|김어준|뉴스공장|대북전단|삐라|이재용|삼성|정경심|타투이스트|김여정,379027,25822,1498,1249,https://i.ytimg.com/vi/vY5x9jBXStE/default.jpg,False,,KR,9
rTnCaYq4ZkA,MBN 뉴스파이터-김호중의 뜨거운 앨범 반응…정동원 나훈아·지드래곤 처럼,2020-09-09T14:07:42Z,UCG9aFJTZ-lMCHAiO1KJsirg,MBN News,25,20.10.09,MBN|MBN뉴스|뉴스|mbn실시간|트로트|김호중|정동원|김호중 앨범 판매량|나훈아|지드래곤|트로트 가수|김복준|홍종선|이인철|최단비|김명준 앵커,148076,11792,254,1133,https://i.ytimg.com/vi/rTnCaYq4ZkA/default.jpg,False,,KR,10
