video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
qGXhjG5Q_xA,اكبر حفلة معرفة جنس مولود في العالم (برج خليفة),2020-09-08T22:20:48Z,UCqJNTGwKmgMCwfYDbnz514Q,anasala family I أنس و أصالة,24,20.10.09,اصالة|اصاله|انس مروة|اول مرة|بيبي|تسبح|اصالة و انس|انس و اصالة|سيارة|انس واصالة|اصالة مالح|انس|انس مروة و اصالة|اصالة و انس مروة|anasmarwah|anas marwah|ميلا مروة|anasala|عائلة انس و اصالة|anasala family|أنس مروة|اصالة وانس مروة|انس و اصاله|مع اصالة و انس مروة|عائلة انصالة|حامل|اصالة حامل|الجنين|برج|خليفة|اكير|حفلة معرفة|جنس جنين|في|العالم,10760211,1104451,24286,202649,https://i.ytimg.com/vi/qGXhjG5Q_xA/default.jpg,False,MA
l9DYHOoN77U,سيارتي الجديدة 😲 - شكون لي حسن ؟,2020-09-08T15:36:56Z,UCEcwIBhfS6QZwXDXgGxGCWg,Ahmed Vlog,24,20.10.09,ahmed|ahmed vlog|vlogs|asmaa|asmaa beauty|vlog|سيارتي الجديدة|شكون لي حسن,361473,17160,4899,0,https://i.ytimg.com/vi/l9DYHOoN77U/default.jpg,False,MA
7JJn4aQaLmc,Diib - Bullying (Prod by Neo),2020-09-09T02:31:26Z,UCxj_XGuCZIfdJKQQryVShgA,Diib,10,20.10.09,Diib|2020|Rap maroc,112996,15216,931,1471,https://i.ytimg.com/vi/7JJn4aQaLmc/default.jpg,False,MA
O9uf-GIaveI,"سفيان وفائزة في حوار خاص ,حقيقة المقالب، سبب طلاق فائزة ، زواج سفيان،  جديدهم الفني , وتفاصيل مثيرة",2020-09-07T18:34:34Z,UCvYpXYB8Hask6EacuO1BU4A,LalaMoulati,22,20.10.09,lala moulati|lalamoulati|lallamoulati|lalla moulati|lalamolati|lallamolati|lalamoulati.ma|lalamoulati.net|لالة مولاتي|سفيان وفائزة|Soufiane&Faiza|Soufiane & Faiza|طلاق فائزة,702924,13940,1066,3670,https://i.ytimg.com/vi/O9uf-GIaveI/default.jpg,False,MA
3KA6UqUs_b8,طنجة.. الغموض يلف اختفاء الطفل عدنان..وأسرته في حالة مزرية,2020-09-08T15:34:46Z,UC9ZzYa0P1bvA-gvwShrannQ,9avril ma,22,20.10.09,أخبار|maroc|9avril|المغرب|أبريل,81044,1578,53,261,https://i.ytimg.com/vi/3KA6UqUs_b8/default.jpg,False,MA
uFEOLe3Gv-k,لأول مرة حسام يتكلم عن سبب طلاق فائزة وهادي هي العلاقة لي كتجمعهم وها كيفاش تعرفوا على بعضياتهم,2020-09-08T17:25:37Z,UCgJShJYlHW79y-ETvEqTI9w,LALLA FATEMA TV لالة فاطمة,24,20.10.09,سفيان وفايزة|حسام|مقالب|يوتيوب|طلاق فايزة|لالة فاطمة|طوندونس|مشاهير|تعارف|جيران|روتين|اخوة|علاقة|المغرب|مغاربة|حياة مشتركة|فيديوهات|جديد|زواج|مواقف,160947,2985,261,674,https://i.ytimg.com/vi/uFEOLe3Gv-k/default.jpg,False,MA
GEZ26zwOlYA,تركت أهلي 💔 | مؤثر,2020-09-07T18:19:28Z,UCVPdqf6ZslqK6SDQiFy9igg,Ragoode,22,20.10.09,رغد|روان وريان,3526884,244935,6786,43188,https://i.ytimg.com/vi/GEZ26zwOlYA/default.jpg,False,MA
5YPalv_2b10,الرباط : ساكنة دوار الحاجة تشتكي بعد إغلاق جميع المنافذ والاحياء,2020-09-08T14:17:29Z,UCwIdV3jclWhX4IF4oru2C1g,Achtari 24 أشطاري,25,20.10.09,المغرب|أشطاري24|أشطاري|achtari24|achtari|htari24|htari|achtariTv|أشطاريtv|tv|maroc|اشطاري|فيسبوك|يوتيوب|أنستغرام|الرباط|ساكنة|دوار الحاجة|إغلاق|المنافذ|الاحياء,54238,959,42,271,https://i.ytimg.com/vi/5YPalv_2b10/default.jpg,False,MA
QTe6lWXcwE4,أول خروج إعلامي لاب الطفل المختفي عدنان.. القصة الكاملة,2020-09-08T15:36:43Z,UC_G3oaBi2XkdmQ_QSM-7wDQ,Tanjaoui طنجاوي,22,20.10.09,tanger|tanjaoui.ma|news|tanger news|tangier|best tanger|tanger 24|tanger 2019|tánger|tangerois|tangerino|tangerine|maroc|كورونا|فيروس كورونا|فيروس|علاج كورونا|فيروس كورورنا|فايروس كورونا|ووهان|علاج فيروس كورونا|اعراض فيروس كورونا|اخبار فيروس كورونا|مرض كورونا|آخر مستجدات|مستجدات فيروس كورونا,88775,1508,52,205,https://i.ytimg.com/vi/QTe6lWXcwE4/default.jpg,False,MA
UlOgJOLDbqQ,روتيني الصباحي لاول يوم مدرسة - تجهزوا معي,2020-09-08T12:00:07Z,UC3OUJW7JMsV2K2NmrmVGl9w,Rozzah,24,20.10.09,Rozzah|رزان|الخواجة|razan|khawaja|فلوج|vlog|تحديات|لو خيروني|روتيني اليومي|routine|اسئله و اجوبه|انواع البنات|مشترياتي|رحلات|سلايم|سفر|تجهزوا معي|استعدوا معي|اول يوم مدرسة|روتيني الصباحي|روتيني الصباحي لاول يوم مدرسة|روتيني الصباحي للمدرسة رزان|روتيني الصباحي للمدرسة|روتيني الصباحي في الصيف|اول يوم دراسي|العودة للمدرسة,880485,97584,2083,12318,https://i.ytimg.com/vi/UlOgJOLDbqQ/default.jpg,False,MA
