video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
47Xa_ouMTdg,#Музыкалити - Алла Пугачёва и Баста,2020-09-09T09:00:37Z,UCthfjHehYgSyhf8ONjzJMUw,ТО Gazgolder,10,20.10.09,Gazgolder|Газгольдер|Музыкалити|Пугачева|Баста|Василий Вакуленко|Новое шоу|Алла Пугачева|Максим Галкин|Галкин|Газ|Шоу|Премьера|Моя игра|Сансара|Тренды|Примадонна|Алла Борисовна,1295391,73488,3712,5822,https://i.ytimg.com/vi/47Xa_ouMTdg/default.jpg,False,,RU,1
MaJshB4humI,Купить машину на СВАЛКЕ,2020-09-09T13:38:51Z,UCAe4XfXD-WqP5FsGSO_h-xg,Психопаты Синдиката,2,20.10.09,свалка|разборка|психопаты|синдиката|авторазбока|джанкярд|синдикат|дубровский скиндикат|жекич дубровский|Junkyard|нашли на свалке|авто|автомобиль|коплю на феррари|автохлам|тачка за копейки|Сааб|9000|Ауди|Ауди 80|Сааб 9000|жига|десятка|2110,582832,43139,1385,1497,https://i.ytimg.com/vi/MaJshB4humI/default.jpg,False,,RU,2
rHbcxH3-XPg,Взятки. Дворцы. Самолёты. За что продали народ Татарстана,2020-09-09T11:48:54Z,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,20.10.09,Навальный|Навальный2018|Фонд борьбы с коррупцией|ФБК|минниханов|казань|татарстан|таиф|татнефть|рустем минниханов|навальный минниханов|навальный казань|навальный татарстан|минтимер шаймиев|шаймиев|навальный шаймиев|минниханов дом|минниханов коррупция,1660180,186230,3653,32092,https://i.ytimg.com/vi/rHbcxH3-XPg/default.jpg,False,,RU,3
PIwxYpx4SIA,Дина Cаева x Ивлеева//З.Б.С. ШОУ #4,2020-09-09T15:59:03Z,UCtGJ_XI0ZGwEmKZaj3VQITw,НАСТЯ ИВЛЕЕВА,22,20.10.09,agentgirl|Ивлеева|настяивлеева|Настя Ивлеева|#николай басков|#басков|#збсшоу|#звездыбабкиставки|#дина|#тикток,489282,49858,1233,1937,https://i.ytimg.com/vi/PIwxYpx4SIA/default.jpg,False,,RU,4
DOlTmIhEsg0,Дюна - официальный трейлер,2020-09-09T16:19:17Z,UCuNBmYELgppqc9l94wseEeA,WBRussia,1,20.10.09,Дюна|Арракис|Атрейдес|Пол Атрейдес|Герцог Лето Атрейдес|Дункан Айдахо|Фрэнк Герберт|Харконнен|Фримен|Песчаный червь|Бене Гессерит|Бегущий по лезвию 2049|Прибытие|Враг|Warner Brothers|WB|Warner Bros|Warner|Трейлер 2020|Трейлер|Официальный трейлер|кино|фильм|трейлер фильма|скоро в кино|экшен|фантастика|научная фантастика|фэнтези|экранизация|трейлеры|Тимоти Шаламе|Зендея|Оскар Айзек|Джейсон Момоа|Ребекка Фергюсон|Дени Вильнёв|Стеллан Скарсгард|Джош Бролин,279028,15042,461,1509,https://i.ytimg.com/vi/DOlTmIhEsg0/default.jpg,False,,RU,5
mV7rKZKdQQY,"КОНТАКТЫ в телефоне Тимы Белорусских: Morgenshtern, Feduk, Face, Настя Ивлеева",2020-09-09T15:00:41Z,UC7p0GCM88wBsrlv5n5eeCHw,ШАСТУН,23,20.10.09,шастун|антон шастун|шастун контакты|контакты шастун|импровизация|шастун шоу|контакты|шоу контакты|тнт|шоу|ответы на вопросы|смешно|вопрос|ответ|смешное видео|тима белорусских|контакты тима белорусских|контакты в телефоне тима белорусских|шастун и тима белорусских|моргенштерн|morgen|алишер|федук|feduk|face|настя ивлеева|шастун и тима белорусских контакты|контакты шастун тима белорусских|тима|белорусских|вопрос ответ|мокрые кроссы|незабудка|morgenshtern,269822,18678,5812,4535,https://i.ytimg.com/vi/mV7rKZKdQQY/default.jpg,False,,RU,6
07ipxP3xNr8,ВАГНЕР ЛАВ – про РОНАЛЬДИНЬО и МБАППЕ / ПИВО на базе ЦСКА /ДЕНЬГИ в КАЙРАТЕ и ПУТИНА (❗️PRT SUBS❗️),2020-09-09T13:15:11Z,UCoRAnB8KixJiszlSpMHa-SA,КраСава,17,20.10.09,Красава|Жека Савин|Савин|Евгений Савин|Сава Красава|футбол|блог|вагнер лав|рональдиньо|мбаппе|цска|спартак|Vagner love|VAGNER LOVE|Кайрат|Казахстан|Вагнер Лав|Сборная Бразилии|Seleção|Seleção Brasileira de Futebol|Ronaldinho|Ronaldinho Gaúcho|Kylian Mbappé|Corinthians|Flamengo|Palmeiras|Палмейрас|Фламенго|Коринтианс,342237,27774,429,2449,https://i.ytimg.com/vi/07ipxP3xNr8/default.jpg,False,,RU,7
F49dGRKi-vU,Неадекватный таксист разбивает Субу,2020-09-09T14:17:02Z,UCn1YQ4g_kKwJbt0MUVZfY7A,Жизнь Синдиката,22,20.10.09,дешевки|дешевые тачки|авто|автомобиль|Жекич Дубровский|Дубровский синдикат|Коплю на феррари|автохлам|дешевый ремонт|восстановление|битье|самый дешевый|своими руками|Вёдра|суба|субару|subaru|outback|стапель,1175609,73645,1603,1677,https://i.ytimg.com/vi/F49dGRKi-vU/default.jpg,False,,RU,8
htppWGNXryE,АНГЕЛ VS ДЕМОН | СКЕТЧ,2020-09-09T09:00:14Z,UCFM6I2EqybjKQ8osIxdn9Aw,MyPack,22,20.10.09,ангел vs демон|ангел против демона|добрая девушка vs злая|ангел или демон|скетч|скетчи|юмор|каждая девушка такая|злая против доброй|злая девушка|добрая девушка|проблемы каждой девушки|вика блисс|денис флин|май пак|вика и денис|парни девушки,272953,20520,1280,665,https://i.ytimg.com/vi/htppWGNXryE/default.jpg,False,,RU,9
QAEDRVZH1ag,ЧТО ЗА БОЙ? Владимир Минеев vs. Даурен Ермеков / Vladimir Mineev vs. Dauren Ermekov,2020-09-09T22:53:25Z,UCzLUGktDyr8MPCV27O1JpAw,FIGHT NIGHTS GLOBAL TV,17,20.10.09,FIGHT NIGHTS|EFN|Файт Найтс|FIGHT NIGHTS GLOBAL|ММА|MMA|смешанные единоборства|FIGHT NIGHTS TV|EFG|камил гаджиев|федор емельяненко|M-1 global|ACB|минеев|mineev|владимир минеев,99710,3824,440,1279,https://i.ytimg.com/vi/QAEDRVZH1ag/default.jpg,False,,RU,10
8YbUd-8prSg,Играю на Гитаре в БИБЛИОТЕКЕ | ПРАНК | РЕАКЦИЯ ЛЮДЕЙ,2020-09-09T18:02:59Z,UC5aNdQmTYqlSxJHS9Ld0pBw,AkStar,22,20.10.09,пранк|пранк с гитарой|гитара|пранк в библиотеке|розыгрыш|гитарист|реакция людей|реакция|guitar|реакция девушек|fingerstyle|фингерстайл|как играть на гитаре|коворкинг,139083,34483,1316,9986,https://i.ytimg.com/vi/8YbUd-8prSg/default.jpg,False,,RU,11
HgPL-4SyXzs,Dabro - Юность (ПАРОДІЯ),2020-09-09T11:22:40Z,UCpgNxHZ3TCbB3_Xczm9TIDg,Чоткий Паца,23,20.10.09,dabro|юность|клип|звук поставим на всю|это юность моя|звук поставим навсю|дабро|добро|dabro юность|юность пародия|юность пародія|юность дабро пародия|пародия|пародія|кавер|caver|чоткий паца|четкий паца|паца|чоткий|новая пародия|костя клепка|василь|тьоха|детство,663417,113574,1175,5884,https://i.ytimg.com/vi/HgPL-4SyXzs/default.jpg,False,,RU,12
3Vpev5QEGEA,World of Tanks Приколы #181👌 Press F,2020-09-09T05:02:08Z,UC5B1uniZePZoddSjYaoENwA,Artyashka,20,20.10.09,Artyashka|World Of Tanks|Мир Танков|WoT|Танки|Tanks|артяшка|приколы вот|Wot Bugs|Fail|Funny moments|баги в вот|приколы в вот|wot кубы|wot tricks|wot compilation|вот|приколы|лучшие|вот приколы|wot приколы|wot|exe|баги в танках|волд оф тутлс|wot fails compilation|танки|world of tank funny moments|world of tanks funny|wot.exe|картошка|варгейминг|нычки вот|олени вот|танкгорит|реакция,214557,21027,1158,1187,https://i.ytimg.com/vi/3Vpev5QEGEA/default.jpg,False,,RU,13
Iz5Pz2vTS20,Соловьёв LIVE / 9 сентября 2020 года,2020-09-09T20:36:09Z,UCQ4YOFsXjG9eXWZ6uLj2t2A,Соловьёв LIVE,25,20.10.09,соловьев|навальный|алексей навальный|навальный в германии|владимир соловьев|соловьев live|soloviev live|вечер с владимиром соловьевым|вечер с соловьевым|александр лукашенко|лукашенко|митинг лукашенко|беларусь|белоруссия|протесты в белоруссии|трансляция|прямая трансляция|митинг|протесты|тихановская|протесты беларусь|светлана тихановская|навальный отравление|беларусь протесты|жириновский|ефремов|дело ефремова|адвокат пашаев|адвокат ефремова|эдуард петров,283876,20981,3916,2393,https://i.ytimg.com/vi/Iz5Pz2vTS20/default.jpg,False,,RU,14
aITZIL2Kea0,Камеди Клаб «Эдуард Суровый канал YouTube» Харламов Батрутдинов,2020-09-09T07:00:52Z,UCsIEFXNO4bxh0hW3-_z2-0g,Comedy Club,23,20.10.09,камеди клаб|камеди|тнт|тнт онлайн|comedy|комеди клаб|камеди 2020|камеди клаб 2020|смотреть comedy club|смотреть камеди клаб|comedy club онлайн|камеди клаб ютуб|comedyclub|камеди клаб смотреть онлайн|comedy club|эдуард суровый|камеди эдуард суровый|харламов эдуард суровый|харламов батрутдинов|эдуард суровый камеди клаб|эдуард суровый лучшее|батрутдинов|батрутдинов и харламов|гарик харламов|ютуб канал эдуарда сурового|эдуард суровый 2020|эдуард|суровый,1907042,79138,2485,1935,https://i.ytimg.com/vi/aITZIL2Kea0/default.jpg,False,,RU,15
3aW62eFkmN0,"Aziz Rametov yig‘lab onasini ahvoli, dadasi, og‘ir kunlar, uylanmayotgani sababi haqida gapirdi",2020-09-09T09:14:14Z,UChZ-HM0EiwFHscypW8Ukp8Q,intervyuTV,22,20.10.09,intervyutv|intervyu.uz|intervyuuz|aziz rametov aktyor|aziz rametov oilasi haqida|saida rametova|jumadulla rametov|saida rametovaning ahvoli|jurnalist feruz muhammad|intervyu|aziz rametov filmlari|aziz rametov kliplari|aziz rametov haqida|arslon izidan filmi|otov filmi,786347,17904,833,4767,https://i.ytimg.com/vi/3aW62eFkmN0/default.jpg,False,,RU,16
uVB-8AjcFzQ,"Про Беларусь, будущее России и свой главный страх | Ответы на вопросы",2020-09-09T05:00:05Z,UCAg74TJrwfpuCp1Jo3ZHMjA,Михаил Ходорковский,25,20.10.09,Михаил Ходорковский|Ходорковский|МБХ|ЮКОС|Блог Ходорковского|Ответы на вопросы|Владимир Путин|Путин|Россия|Москва|Политика|Экономика|Новости|юкос|дело юкоса|путин ходорковский|беларусь|парламентская республика|выборы 2024|россия 2024|экономика|сечин|игорь сечин|роснефть|нефть|навальный|отравление навального|алексей навальный|уровень жизни в россии|жизнь в россии|кремль|кремль путин|пропаганда|кремлевские сми|выборы в россии|автократия|диктатура,238733,26755,547,2949,https://i.ytimg.com/vi/uVB-8AjcFzQ/default.jpg,False,,RU,17
NfXHtQHFj6s,"КАК СДЕЛАТЬ СТАНОК, ЧТОБЫ СДЕЛАТЬ СТАНОК",2020-09-08T15:00:42Z,UCsJR1qQDNyFvsX_9_bNM63A,Доктор Дью,23,20.10.09,DIY|самоделки|сделай себе|wow|топ самоделок|инструмент|у каждого|своими руками|полезный инструмент|простое|интересный|крутая идея|Как сделать|в домашних условиях|how to make,843915,109235,1424,6582,https://i.ytimg.com/vi/NfXHtQHFj6s/default.jpg,False,,RU,18
oe-6vp3BvI0,"МАЛЕНЬКИЙ МЕССИ. Мальчик, который Вас удивит!!! (12 лет)",2020-09-09T14:24:52Z,UCVPBbw8E9Kj16mSqE5xi2aQ,ЖИВОЙ ФУТБОЛ,17,20.10.09,мальчик|месси|футбол|футболист|маленький месси|живой футбол|талант|талантливый мальчик|талантливый|русский месси|русский талант|живой|трюки|финты|футбольные трюки|футбольные финты|лучшие футбольные финты|удар|штрафной удар|штрафные удары|сборная россии|сборная|football|soccer|football kid|little messi|mini messi,119176,14893,198,715,https://i.ytimg.com/vi/oe-6vp3BvI0/default.jpg,False,,RU,19
ol3asJwzqM8,МОЙ НОВЫЙ ГОЛОС (Анимация КЛЭР),2020-09-09T10:00:26Z,UCn_vxXCWTUyopw7qDxYoKhw,КЛЭР,22,20.10.09,клэр|клер|канал клер|анимация|анимации|клер истории|клэр истории|канал клэр|анимация клер|клэрик|клэрики|стори тайм|сторитайм|девочка история|девочка аниматор|анимацияклэр|клэранимация|мой новый голос|моя операция|новый голос|мой голос|голос клэр|новый голос клэр,248744,24754,499,7589,https://i.ytimg.com/vi/ol3asJwzqM8/default.jpg,False,,RU,20
UqjkaCwek1Y,Нурлан Сабуров StandUp на ТНТ,2020-09-08T13:13:39Z,UCou9mY4KG6IEZcj-jNZicgg,STAND UP,24,20.10.09,[none],1413803,61626,5150,2125,https://i.ytimg.com/vi/UqjkaCwek1Y/default.jpg,False,,RU,21
W4R0Eovp41k,"ЖЕСТКИЙ СОСТАВ. ИГРАЕМ В МАФИЮ. Нир ю, Блади, Рулезик, Страйк, Левша и К° #15",2020-09-10T00:16:09Z,UC2-3h_JwOe0TUNc7fYqRBog,LeBwa,24,20.10.09,lebwa|левша|lebwa wot|левша вот|левша стрим|левша смотреть|левша ютуб канал|игра|game|ЛЕВША|LEBWA|канал левша wot|канал левша ютуб|мафия|игра мафия|игра мафия роли|стримеры играют в мафию|inspirer|mafia|левша мафия|МАФИЯ|инспирер|блади|bloody|левша и блади|левша играет в мафию|Левша ведущий|рыжая|deluxe|ЖЕСТКИЙ СОСТАВ,131955,6289,505,91,https://i.ytimg.com/vi/W4R0Eovp41k/default.jpg,False,,RU,22
v1-TdcQSc_E,ЗАРАБОТАЛА СВОИ ПЕРВЫЕ...(Анимация),2020-09-09T11:40:01Z,UCx7Y6vzM8dTD-2VkP9M-DUQ,MC LAO,1,20.10.09,Анимация|Mc lao|мслао|деньги|работа|как заработать|мульт|аниматоры|бизнес|фортнайт|тим фортресс 2,93079,15460,308,1026,https://i.ytimg.com/vi/v1-TdcQSc_E/default.jpg,False,,RU,23
