video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
3CxtK7-XtE0,DJ Khaled ft. Drake - POPSTAR (Official Music Video - Starring Justin Bieber),2020-09-04T04:15:41Z,UCrFB54bqp8sda4udJyNswlA,DJKhaledVEVO,10,20.10.09,Father Of Ashad|Ashad|Im the One|No Brainer|grateful|major key|drake|new khaled|khaled and drake|popstar|greece|we the best|epic|epic records|new music|DJ Khaled|Epic/We The Best|Hip Hop|POPSTAR,34531217,1878317,87270,107602,https://i.ytimg.com/vi/3CxtK7-XtE0/default.jpg,False,,ZA,1
FIgI7GIcsuc,EFF vs Clicks | EFF leader Julius Malema at Clicks Mall of the North,2020-09-07T07:56:01Z,UC8yH-uI81UUtEMDsowQyx1g,SABC News,25,20.10.09,SABC News|actuality|world news|local news|Coronavirus|COVID-19|COVID-19 Lockdown|COVID-19 News|Economic Freedom Fighters|Julius Malema|Polokwane,272910,3223,734,2301,https://i.ytimg.com/vi/FIgI7GIcsuc/default.jpg,False,,ZA,2
6RfR4UHT7Xw,"‘Kill it, boys!’ – Idols SA",2020-09-01T06:42:15Z,UCSEibSG6dlUJvkC40IpNMRQ,MzansiMagicOfficial,24,20.10.09,Mzansi Magic|Mzansi Magic DStv|Mzansi Magic on DStv|Mzansi entertainment|Mzansi Magic Telenovela|Mzansi Magic Series|Mzansi Magic Drama|Mzansi Magic Reality|Mzansi|Idols SA|Idols SA Season 16|Idols Season 16|Idols SA 2020|Idols South Africa|Idols SA Judge & Host 2020|Idols SA Behind The Scenes videos 2020|Idols Season 16 BTS videos|Idols backstage pass,624141,11768,282,627,https://i.ytimg.com/vi/6RfR4UHT7Xw/default.jpg,False,,ZA,3
7vZzNaSPc_o,Beauty ad by Clicks deemed racist in South Africa,2020-09-08T15:03:06Z,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,25,20.10.09,Racist Click Advert South Africa|Clicks Racist Ad South Africa|Clicks Advert South Africa|Latest Clicks Ad South Africa|Clicks Racist Advertisement South Africa|Clicks Racist Advert|Racist Hair Advert|Racist Ad by Clicks in South Africa|TRT|TRT World|TRT News,72075,527,114,449,https://i.ytimg.com/vi/7vZzNaSPc_o/default.jpg,False,,ZA,4
jV1v2Cy1w30,6IX9INE - TUTU (Official Music Video),2020-09-04T04:00:00Z,UCF6jRAgCbSanHolKt0Vt6Qw,Tekashi 6ix9ine,10,20.10.09,6ix9ine|6ix9ine tutu official music video|6ix9ine tutu|tutu 6ix9ine|tutu|tutu music video|tekashi 69|tekashi 6ix9ine|69|tattletales 6ix9ine|tattle tales 6ix9ine|6ix9ine tattletales|6ix9ine tattle tales|tattletales|tattle tales|6ix9ine music|6ix9ine new music|6ix9ine new album|new album 6ix9ine|6ix9ine new song|tekashi69|6ix9ine album|tekashi|6ix9ine tattletales album|69 tekashi69|69 new song|six nine|six6nine9|sixnine|69x9ine,51635822,1642917,188920,135661,https://i.ytimg.com/vi/jV1v2Cy1w30/default.jpg,False,,ZA,5
CU--j8KvYXY,Blaq Diamond - Woza My Love (Official Music Video),2020-09-02T06:30:00Z,UCniUHTOy5nONQG1M4sSIHQg,Ambitiouz Entertainment,10,20.10.09,[none],336530,13183,114,659,https://i.ytimg.com/vi/CU--j8KvYXY/default.jpg,False,,ZA,6
ScDEgny-hTs,CASSPER NYOVEST A.M.N SESSIONS: ZOLA (EPISODE 1),2020-09-07T07:00:06Z,UCHwGqmYfuj8Svbj5Wa2vROA,FamilyTreeWorld,10,20.10.09,[none],81283,6218,41,596,https://i.ytimg.com/vi/ScDEgny-hTs/default.jpg,False,,ZA,7
erEV_Yj-Z-0,Busiswa - SBWL (feat. Kamo Mphela) Official Music Video,2020-09-04T17:34:32Z,UCAQ1IpWtJmQrzXTHE9MTBGA,BusiswaVEVO,10,20.10.09,Majesty Music Entertainment|Busiswa|World|African,199564,6823,505,616,https://i.ytimg.com/vi/erEV_Yj-Z-0/default.jpg,False,,ZA,8
qJlMkMtK7-8,SZA - Hit Different (Official Video) ft. Ty Dolla $ign,2020-09-04T04:00:09Z,UCKzhoblE_rPZbHtQKPVUp2A,SZAVEVO,10,20.10.09,sza|ty dolla $ign|hit different|new sza|sxa 2020|sza is back|ctrl|rnb today|new rnb|rnb collabs|the neptunes|pharrell|chad hugo|iamother|broken clocks|supermodel|choreography|sza collabs|Hit Different|R&B|SZA feat. Ty Dolla $ign|Top Dawg Entertainment/RCA Records,6551590,365662,5791,23036,https://i.ytimg.com/vi/qJlMkMtK7-8/default.jpg,False,,ZA,9
Exa0R6h00LQ,Pearl Thusi and DJ Zinhle Have Dinner at Somizis | 1 Magic,2020-08-28T17:45:01Z,UCAG4-W08jyodx28VmG-xxMw,1 Magic,24,20.10.09,1magic|1 magic|one magic|1 magic dstv|mnet|m-net|1 magic mzansi|dj zinhle dinner at somizis|pearl thusi dinner at somizis|dinner at somizis latest episode|dinner at somizis pearl thusi and dj zinhle|who was on dinner at somizis tonight|dinner at somizis 1 magic,360846,6361,182,517,https://i.ytimg.com/vi/Exa0R6h00LQ/default.jpg,False,,ZA,10
SPDyF04DyOQ,Nomcebo Zikode - Xola Moya Wami [Feat. Master KG] (Official Audio),2020-08-20T21:41:01Z,UCzMzPGGVKpjZAJy1aOAUieA,Openmic Productions,10,20.10.09,[none],909012,11226,512,654,https://i.ytimg.com/vi/SPDyF04DyOQ/default.jpg,False,,ZA,11
L7gruVgMCVQ,Joyner Lucas feat. Ashanti - Fall Slowly (Evolution),2020-09-02T17:00:15Z,UCUebubwSuTHfHjWJI4gCS9A,Joyner Lucas,10,20.10.09,[none],3638184,195148,3425,12904,https://i.ytimg.com/vi/L7gruVgMCVQ/default.jpg,False,,ZA,12
gbwwLaQnWcw,Juanita Du Plessis feat. Snotkop - Ruk Die Dam (Official Music Video),2020-09-03T18:00:12Z,UCeImqU_zOlDu_nXpOAPo2kg,JUANITA DU PLESSIS OFFICIAL YOUTUBE CHANNEL,10,20.10.09,Juanita|Du|Plessis|Juanita Du Plessis|Afrikaans|Snot Kop|Ruk Die Dam|Ruck|Dam|Junita|Plesis|Plesee|Pop|South Africa|ZA|Sa,188289,2917,221,165,https://i.ytimg.com/vi/gbwwLaQnWcw/default.jpg,False,,ZA,13
lIzYXcqASb8,Goku vs  Naruto Rap Battle REMATCH! Part 2,2020-09-05T17:02:40Z,UC7LnJAhfmQBqKWIYQ7WBpkQ,SSJ9K,1,20.10.09,ssj carter|ssjcarter|ssj9k|dbz|dragon ball|animates|Goku|anime animation|anime shows|comdey|dragon ball super|dbs|dragon ball z|dragon ball gt|anime characters|animation|cartoon|anime parody|anime|my hero acadamia|Naruto,1130539,90593,1403,9686,https://i.ytimg.com/vi/lIzYXcqASb8/default.jpg,False,,ZA,14
