video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
DNwg4QvpUaA,L.E.J - Summer 2020,2020-09-10T10:00:09Z,UCRctnXfqPKaB4Ywp0y94ZDg,L.E.J,10,20.11.09,3 filles qui chantent|L.E.J|SUMMER|SUMMER 2019|elj|elijay|summer 2014|summer 2015|summer 2016|summer 2017|summer 2018|rosalia|aya nakamura|2020|summer 2020|yummy|justin bieber|anissa|wejdene|rockstar|dababy|roddy ricch|ritmo|j balvin|dance monkey|the weeknd|gims|blinding lights|angela|hatik|melegim|soolking|dadju|jolie nana|drake|toosie slide|djomb|break my heart|dua lipa|dojo cat|que calor|the box|ne reviens pas|la grosse moula|sousou|ride it,443068,51438,1135,2240,https://i.ytimg.com/vi/DNwg4QvpUaA/default.jpg,False,FR
J8HCEBUVpGQ,LES BÂTARDS A LECOLE 10,2020-09-09T19:23:31Z,UCOGZ4X4Z3H_OfXCNy_osJWw,YACETOM,23,20.11.09,yacetom|yace|tom|ecole|batard|comedien|comique|fiction|charisme|eleves|rentree|rentrée|élèves|profs|prof|serie|gardav,586527,57244,855,1382,https://i.ytimg.com/vi/J8HCEBUVpGQ/default.jpg,False,FR
FR26HvHN81U,Djimo - Bon courage les animaux,2020-09-09T16:00:04Z,UCPHJfLg1VeNBsfzzTszpmmQ,Montreux Comedy,23,20.11.09,montreux comedy festival|montreux|comedy|festival|humour|djimo|standup|animaux|reportage|permis,475151,35551,414,525,https://i.ytimg.com/vi/FR26HvHN81U/default.jpg,False,FR
mOQ280oc1fQ,SURVIVRE 48H SUR UN GLACIER Ft. Mike Horn,2020-09-08T16:00:29Z,UC-4M8AN08hw39nn2v91VuMQ,CYRILmp4,23,20.11.09,survivre|48h|48 heures|sur un glacier|cyrilmp4|mike horn|amixem|legrandjd|voyage|exploration|aventure|pole nord|svalbard,1391110,143352,646,5558,https://i.ytimg.com/vi/mOQ280oc1fQ/default.jpg,False,FR
eNu4u9ic-Rk,Jai attrapé la Covid-19 ! (cétait pas marrant...),2020-09-08T16:00:07Z,UCWnfDPdZw6A23UtuBpYBbAg,Dr Nozman,28,20.11.09,dr nozman|nozman|docteur nozman,1092707,80070,1616,5952,https://i.ytimg.com/vi/eNu4u9ic-Rk/default.jpg,False,FR
bouhlRmE5UU,LE BLOC - SEPARATION (Episode 0),2020-09-08T16:30:11Z,UCdHnhKSsy1yGGZz4DSkOrJQ,Hassan,23,20.11.09,[none],1425662,131051,2020,6112,https://i.ytimg.com/vi/bouhlRmE5UU/default.jpg,False,FR
_kjS9XxN45U,FUZE - PALADIUM GO (dans la rue) - Challenge Week #2,2020-09-09T17:35:21Z,UCzTTYntJHARp5YCxakwUepA,Fuzay²,19,20.11.09,Minecraft|Fuze|Fuze III|Fuze3|Fuzay|FuzeIII|Fuze Chaîne Secondaire|Chanson|Fuze Chanson|Paladium|Paladium Go|Rue|Chanter dans la rue|Chante dans la rue|Challenge|Week|Défi|Challenge Week|Pokemon|Parodie|Fuze Parodie,280684,47121,632,7001,https://i.ytimg.com/vi/_kjS9XxN45U/default.jpg,False,FR
Sc-0S8z1jFA,"Dune - Bande Annonce Officielle (VOST) - Denis Villeneuve, Timothée Chalamet",2020-09-09T16:18:40Z,UCZ0o1IeuSSceEixZbSATWtw,Warner Bros. France,1,20.11.09,Dune|Arrakis|Atreides|Paul Atreides|Duke Leto Atreides|Duncan Idaho|Frank Herbert|Harkonnen|Fremen|Sandworm|Bene Gesserit|Blade Runner 2049|Arrival|Enemy|Warner Brothers|WB|Warner Bros|Warner Media|Warner|Film Warner|Trailer 2019|Trailer|Official Trailer|Movie|Film|Film Trailer|Coming Soon|Action|Sci-Fi|Timothee Chalamet|Oscar Isaac|Zendaya|Jason Momoa|Javier Bardem|Josh Brolin|Stellan Skarsgard|Rebecca Ferguson|Denis Villeneuve,207072,2542,85,348,https://i.ytimg.com/vi/Sc-0S8z1jFA/default.jpg,False,FR
WE1dNySp704,"Football - Ligue des Nations : tous les buts de la soirée, 8 septembre 2020 / LÉquipe 2020",2020-09-08T23:10:53Z,UCyIV8rkza5Uk_sJIhqilBvQ,LÉQUIPE,17,20.11.09,Football|Ligue des Nations|tous les buts|nations league|lequipe|equipe de france|france croatie|martial|tops buts|highlights|compilation|griezmamn|bleus|champions du monde,538553,9053,236,647,https://i.ytimg.com/vi/WE1dNySp704/default.jpg,False,FR
AdWTia2ZY6A,Jai acheté une maison à Tokyo,2020-09-09T08:32:17Z,UCeGEv5MBdmGMgZFPrAlEmFA,Tev - Ici Japon,24,20.11.09,[none],402344,27289,420,1796,https://i.ytimg.com/vi/AdWTia2ZY6A/default.jpg,False,FR
