video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
cSlWtYcbyIg,Моряк vs Пулеметчик. Реванш на Хардкоре. Анубис vs Белозеров. Драка,2020-09-10T09:09:35Z,UC1_FrNtrgzFPQVHuwAAR3xQ,Hardcore Fighting Championship,17,20.11.09,бои|кулачные бои|mma|мма|бокс|битва за хайп|topdog|топдог|top dog|топ дог|хардкор файтинг|hardcore fighting|bare knuckle|бэр накл|зелемхан пулеметчик|мамедов добряк|моряк курданов|единоборства|ufc|bellator|артем тарасов|корней тарасов|макс топор|дмитрий кудряшов|эдуард германский|fighting|boxing|fist fighting|регбист|ушу мастер|нокаут|никита крылов|бодимания|bodymania|truegym|труджим,1341343,106995,6702,23035,https://i.ytimg.com/vi/cSlWtYcbyIg/default.jpg,False,RU
Q4Cr5uESBbU,ГУДКОВ х МАРКОНИ / ЭТО КОНЕЦ COMMENT OUT: ЧТО БЫЛО ДАЛЬШЕ?,2020-09-10T16:19:20Z,UCNb2BkmQu3IfQVcaPExHkvQ,SOBOLEV,22,20.11.09,что было дальше|коммент аут|comment out|что было дальше моргенштерн|labelcom|обзор на что было дальше|гудков|лига плохих шуток|соболев|николай соболев|илья соболев|стендап|камеди|вдудь|лучшее|маями|чикен карри|новый сезон|вечерний ургант|юмор|шутки|лучшие моменты,503275,44638,11332,2438,https://i.ytimg.com/vi/Q4Cr5uESBbU/default.jpg,False,RU
l0_zT5GTybY,"Юлия Ахмедова: биполярное расстройство, одиночество, харассмент // А поговорить?..",2020-09-10T08:00:06Z,UCp2J7GRxQ36QLqW4ReLLt5g,А поговорить?,22,20.11.09,юлия ахмедова|ахмедова|ахмедова standup|стэндап|ахмедова интервью|ахмедова белый|квн|25я|эксклюзивное интервью|интервью|тнт|тнт stand up|ахмедова тнт|юмор|а поговорить|эксклюзив|шихман|ирина шихман|апоговорить|лойк|никита лойк|режик|юлия ахмедова стендап|stand up юлия ахмедова|stand up|юля ахмедова|юлия ахмедова харассмент|юлия ахмедова лучшее|камеди|ахмедова стендап|одиночество|харассмент|биполярное расстройство|standup|телеканал тнт|comedy club,1026920,73102,2063,9442,https://i.ytimg.com/vi/l0_zT5GTybY/default.jpg,False,RU
47Xa_ouMTdg,#Музыкалити - Алла Пугачёва и Баста,2020-09-09T09:00:37Z,UCthfjHehYgSyhf8ONjzJMUw,ТО Gazgolder,10,20.11.09,Gazgolder|Газгольдер|Музыкалити|Пугачева|Баста|Василий Вакуленко|Новое шоу|Алла Пугачева|Максим Галкин|Галкин|Газ|Шоу|Премьера|Моя игра|Сансара|Тренды|Примадонна|Алла Борисовна,2209411,106033,5705,8158,https://i.ytimg.com/vi/47Xa_ouMTdg/default.jpg,False,RU
QAEDRVZH1ag,ЧТО ЗА БОЙ? Владимир Минеев vs. Даурен Ермеков / Vladimir Mineev vs. Dauren Ermekov,2020-09-09T22:53:25Z,UCzLUGktDyr8MPCV27O1JpAw,FIGHT NIGHTS GLOBAL TV,17,20.11.09,FIGHT NIGHTS|EFN|Файт Найтс|FIGHT NIGHTS GLOBAL|ММА|MMA|смешанные единоборства|FIGHT NIGHTS TV|EFG|камил гаджиев|федор емельяненко|M-1 global|ACB|минеев|mineev|владимир минеев,715761,11769,1475,3272,https://i.ytimg.com/vi/QAEDRVZH1ag/default.jpg,False,RU
gZgKd40xjDo,Сколько стоят запчасти на сгоревшую Ferrari?! Самая большая разборка Спорткаров в США.,2020-09-10T06:35:29Z,UCWG86L4tau8SZ4jRqiVco5g,Чердак,22,20.11.09,операция феррари|коплю на феррари|феррари|бентли|тачка за копейки|ferrari|мечта|проект перекуп|перекуп|тюнинг|новый проект|чердак|калифорния|california|купил феррари|дешевая феррари|чердак феррари|чердак бентли|авто из сша|реакция|ремонт в гараже|влог|в сша|развод|спорткар|жекич дубровский|купил бентли|в америке|чердак камаро|ремонт|своими руками|infam|покупки|ремонт авто|тачка на прокачку|хлам|сколько стоят запчасти|авто|разборка|цены в сша|путешествия,622594,59804,1090,3082,https://i.ytimg.com/vi/gZgKd40xjDo/default.jpg,False,RU
rHbcxH3-XPg,Взятки. Дворцы. Самолёты. За что продали народ Татарстана,2020-09-09T11:48:54Z,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,20.11.09,Навальный|Навальный2018|Фонд борьбы с коррупцией|ФБК|минниханов|казань|татарстан|таиф|татнефть|рустем минниханов|навальный минниханов|навальный казань|навальный татарстан|минтимер шаймиев|шаймиев|навальный шаймиев|минниханов дом|минниханов коррупция,2796743,245793,5923,45609,https://i.ytimg.com/vi/rHbcxH3-XPg/default.jpg,False,RU
ZJr-WwNbZB0,Сантана? Стас просто класс — кто он? А фсё уже | ПОДРУГИ,2020-09-10T16:24:13Z,UCByhZ-JEe5OOZSuq0uaXOng,Нежный редактор,22,20.11.09,нежный|редактор|подруги|стас просто класс|сантана|сантана новикова|а фсё уже|а всё уже|ну какова конечно|ну какова красота|да не снимай|да блин не снимай|стас круглицкий|коты а всё уже|карина истомина|ксюша дукалис|таня старикова|мингалимова|таня вдудь|интервью|нежный редактор дудя,184478,12954,498,1226,https://i.ytimg.com/vi/ZJr-WwNbZB0/default.jpg,False,RU
74qjCv3HNyU,"Прямой эфир | 10.09.2020 | Об извращениях кадыровцев, обращении Закаева и о многом другом",2020-09-10T20:45:55Z,UC1QxQNYxWqsxFq6flsk9itw,ABU-SADDAM SHISHANI [LIVE],22,20.11.09,тумсо|абдурахманов|абу саддам|шишани|чечня|день независимости|чри|tumso|abu saddam|shishani,36579,1662,467,230,https://i.ytimg.com/vi/74qjCv3HNyU/default.jpg,False,RU
_iccvWVSzh0,ВЫБЕРИ ПРАВИЛЬНУЮ ТРУБОЧКУ ЧЕЛЛЕНДЖ ! Эмиль в ШОКЕ!,2020-09-10T17:24:13Z,UCVlPyvH-XhOVPovpLe0EkMw,ЭМИЛЬ,22,20.11.09,ВЫБЕРИ ПРАВИЛЬНУЮ ТРУБОЧКУ ЧЕЛЛЕНДЖ|ВЫБЕРИ ТРУБОЧКУ|Выбери правильную челлендж|трубочка|трубочка челлендж|ЧЕЛЛЕНДЖ|выбери правильную|выбери правильный напиток|challenge|Эмиль|челлендж|выбери правильную трубочку|выбери правильную коробку|выбери правильно челлендж|выбери трубочку|выбери правильный|правильный выбор|что в коробке,145620,25931,307,1042,https://i.ytimg.com/vi/_iccvWVSzh0/default.jpg,False,RU
2GJabM_EB44,"ВКУСНЕЕ винегрета, проще бутерброда! Салат ХОЛОСТЯК - 2 рецепта!",2020-09-10T05:45:00Z,UC4gVKW7oYok8-3vmeIBNB_w,Кухня наизнанку,22,20.11.09,салат холостяк|салат холостяк рецепт|салат|холостяк|кухня наизнанку салаты|кухня наизнанку|кухня|наизнанку|кухня на изнанку|минутка|рецепты салатов|простые салаты|салат из картофеля|салат с сухариками|салат с фасолью|салат с кукурузой|заправка вместо майонеза|картофель в соли|как варить картофель для салата|картофель в соленом растворе|patate per insalata|potatoes for salad|Kartoffeln für Salat|ziemniaki do sałatek|sałatka kawalera,448717,27032,633,1009,https://i.ytimg.com/vi/2GJabM_EB44/default.jpg,False,RU
3YA2KB3wAJ0,"ОТКУСИ, ЛИЗНИ или НИЧЕГО ЧЕЛЛЕНДЖ #3 от Multi DO Challenge",2020-09-10T12:28:04Z,UCymIFDfS9DxVwZfZ4QqlGvg,Multi DO Challenge Russian,22,20.11.09,multi do челлендж|multido челлендж|multi do челлендж русский|челлендж|розыгрыш|розыгрыши|весело|веселье|multi do|multi do challenge|сделай сам|своими руками|challenge,98532,890,492,70,https://i.ytimg.com/vi/3YA2KB3wAJ0/default.jpg,False,RU
8CLW7uRSR5k,МОЙ КОНТРАКТ С БУЗОВОЙ! ДАВА АЛЬФОНС ИЛИ МАЖОР? Реакция на реакцию,2020-09-10T12:00:07Z,UCbh7BxJWCMnWLwJ-traa6Wg,DAVA,10,20.11.09,дава|dava|МОЙ КОНТРАКТ С БУЗОВОЙ|ДАВА АЛЬФОНС ИЛИ МАЖОР|МАЖОР|БУЗОВА|ольга бузова|Реакция|2020|КОНТРАКТ С БУЗОВОЙ|я всё вам расскажу|я все вам расскажу|дава танец|Реакция на реакцию|ролекс|rolex|клип|музыка|music|дава и киркоров,215368,14886,1909,2077,https://i.ytimg.com/vi/8CLW7uRSR5k/default.jpg,False,RU
hhAsJrpq3ZI,ОГРОМНАЯ КАПЛЯ РУПЕРТА VS ПИСТОЛЕТ,2020-09-10T17:04:03Z,UCZC7x1xvAQYvMQezKViOiCA,GoldenBurst,24,20.11.09,капля руперта|капли|руперта|батавские слёзки|эксперимент|стекло|самое прочное|в мире|крепкое стекло|гидравлический пресс|пистолет|goldenburst|голден бурст,372861,42837,815,2549,https://i.ytimg.com/vi/hhAsJrpq3ZI/default.jpg,False,RU
