video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
2QI_OI_JI04,CAIPIRA CHIFRUDO - PARAFUSO SOLTO,2020-09-10T13:00:01Z,UCfV1FFayeqmW7HzOETTGZhw,Parafuso Solto,23,20.11.09,humor|comedia|rir|engraçado|juiz de fora|marquinho|kelly|piada|video|parafuso solto,447580,30268,1085,542,https://i.ytimg.com/vi/2QI_OI_JI04/default.jpg,False,BR
lLagFz2WgZA,Tribo da Periferia - Furacão de Ninar (Official Music Visualizer),2020-09-10T14:00:09Z,UCe5pPUSFEajlij-LrxUl19A,Tribo da Periferia,10,20.11.09,tribo da periferia|tribo|furacão de ninar|fucarao|ninar|hip hop|rap|funk|sertanejo|trap|pop|hungria hip hop|hungria|kondzilla|gr6|marilia mendonca|gusttavo lima|anitta|hariel|são paulo|brasil|brazil|audio visualizer|insonia|imprevisivel|photoshop|preço do ouro|o tanque|nosso plano|conspiracão|alma de pipa|quem dorme sonha quem vive realiza|foge pra miami|youtube|letra|2020|as melhores|playlist|pirata de esquina|doce da alma|viver|segredo|tue|matue,502160,71866,693,3240,https://i.ytimg.com/vi/lLagFz2WgZA/default.jpg,False,BR
wAPlzt2L7wE,Marshmello & Demi Lovato - OK Not To Be OK (Official Music Video),2020-09-10T16:00:10Z,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,10,20.11.09,marshmello|demi lovato|ok not to be ok|marshmello demi lovato|marshmello demi lovato ok not to be ok|its ok not to be ok|love dont let me go|demi|mental health|suicide prevention|suicide awareness|hope for the day|pop music|demi lovato i love me|i love me|be kind|marshmello happier|marshmello alone|alone|uplifting music|positive music|halsey|blackpink|selena gomez|ice cream|wolves|ok|ok not to be ok lyrics|top songs 2020|come & go|juice wrld,1433471,193450,3141,11655,https://i.ytimg.com/vi/wAPlzt2L7wE/default.jpg,False,BR
c2u2PvD2iSs,Brawl Stars Animation: Welcome to the Gift Shop!,2020-09-10T13:13:32Z,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,20,20.11.09,brawl stars|mobile game|mobile strategy game|mobile rpg|mobile battle royale|battle royale|supercell game|animation|gift shop|starr park|starr|park,2856560,193832,2076,9383,https://i.ytimg.com/vi/c2u2PvD2iSs/default.jpg,False,BR
AYxQcIc0HNY,FREE FIRE AO VIVO - LIGA NFA SEASON4 | DIA 29 - GRUPO AxB - #NFAS4,2020-09-10T03:06:37Z,UCIVnGR9XPef8boJWJHfQAiA,NFA CHANNEL,20,20.11.09,liga nfa|nfa|liga|free fire|garena|lbff|copa ff|liga brasileira|pro player|campeonato|torneio|ss|bdl|b4|los grandes|lgd|loud|loudgg|laude|pain|faz o p|god|god esports|deuses|kof|anarchysons|intz|fsk|forsaken|samuca|ale|el|gato|piu|piuzinho|thurzin|maellen|booyah|voltan|codiguin|cerol|bak|coreano|jordan|racha|price|elton|eltin|huntergod|wins|hudson|nobru|tv|ygorx|dantes|since|sharin|will|bradook|kronos|ggeasy|babi|coringa|victor|levelup|buxexa|crusherfooxi|esports|blak|blakn444,1553800,182858,1960,576,https://i.ytimg.com/vi/AYxQcIc0HNY/default.jpg,False,BR
3R7lvOHQJXQ,Isadora Pompeo - Processo,2020-09-10T13:00:11Z,UCkskLrHR3ga1AG_QS-trE6w,Musile Records,10,20.11.09,6ruprUh@dedu|isadora pompeo|isadora|pompeo|isabela pompeo|processo|o processo|isadora pompeo processo|isadora pompeo o processo|hey pai|minha morada|historia|história|seja forte|mascaras|eu sei que vem|oi jesus|isadora pompeo hey pai|isadora pompeo eu sei que vem|isadora pompeo minha morada|isadora pompeo oi jesus|isadora pompeo o nome de jesus|isadora pompeo tua alegria|isadora pompeo como nunca antes|isadora pompeo preciso entender|musile|musile records,205115,35433,216,1546,https://i.ytimg.com/vi/3R7lvOHQJXQ/default.jpg,False,BR
kVetbVlQrCw,FLUMINENSE 1 X 2 FLAMENGO | MELHORES MOMENTOS | 9ª RODADA BRASILEIRÃO 2020 | ge.globo,2020-09-10T02:40:34Z,UCgCKagVhzGnZcuP9bSMgMCg,ge,17,20.11.09,esporte|esportes|ge|ge.globo|globo esporte|globo|globoesporte.com|sportv|Fluminense|Flamengo|Fla-Flu|flaflu|fla x flu|flamengo x fluminense|fluminense x flamengo|fla|flu|flu-fla|flu x fla|flufla|tricolor|rubronego|rubro-negro|gols|melhores momento|mms|mm|gabigol|filipe luis|felipe luis|filipe luís|digão|digao|flamengoxfluminense|fluminensexflamengo|brasileirão|brasileirao|campeonato brasileiro|brasil|futebol nacional|futebol|melhores momentos,683488,17244,672,1398,https://i.ytimg.com/vi/kVetbVlQrCw/default.jpg,False,BR
RkppF8ti0HI,COMEÇOU! Rola a primeira votação da temporada I A Fazenda 12,2020-09-09T07:01:49Z,UCw4YGFtvDgOL09KrFpqj6kg,A Fazenda,24,20.11.09,acelere|aclr|a fazenda|vem aí a fazenda|fazenda talks|marcos mion|rodrigo carelli|lucas salles|multiplataforma|reality show|record tv|peões|roça|prova do fazendeiro|poder da chama|prova de fogo|Andréa Nóbrega|Aricia Silva|Bifão|Diego Grossi|Drika Marinho|Guilherme Leão|Hari Almeida|Lucas Viana|Netto|Phellipe Haagensen|Rodrigo Phavanello|Sabrina Paiva|Tati Dias|Thayse Teixeira|Túlio Maravilha,2311795,75942,2087,3954,https://i.ytimg.com/vi/RkppF8ti0HI/default.jpg,False,BR
2T_ptD9JCo0,30 TERAFLOPS!? | Unboxing da INCRÍVEL NVIDIA Geforce RTX 3080,2020-09-10T15:16:06Z,UCWKtHaeXVzUscYGcm0hEunw,BRKsEDU,20,20.11.09,BRKsEDU|BRKs EDU|BRKs_EDU|BRKs|EDU|30 Teraflops|30|Teraflops|30 TF|30TF|30 TFs|Unboxing|NVIDIA|Geforce|Ampere|3080|NVIDIA RTX|RTX|RTX 3080|NVIDIA 3080|NVIDIA RTX 3080|Ray Tracing|Placa de Vídeo|GPU|Placa|de|Vídeo,405573,66998,845,2917,https://i.ytimg.com/vi/2T_ptD9JCo0/default.jpg,False,BR
D5F6IdiFbis,ZE FELIPE ME FEZ UMA SURPRESA E ME DEU UM CACHORRINHO!!!,2020-09-09T22:00:02Z,UCsaB2VrLZrtGbum6Eo0ClbA,Virgínia Fonseca,22,20.11.09,vih|virginia|fonseca|virginia fonseca|rezende|rezendeevil|virginia e rezende|ze felipe e virginia|virginia e ze|golden|cachorro|pet|ganhei um cachorro|ganhei um golden|meu namorado me deu um cachorro|surpresa pra virginia|vlog|vlog ze felipe|comprando um cachorro pra namorada|ze felipe cantor,1438761,213203,2054,7820,https://i.ytimg.com/vi/D5F6IdiFbis/default.jpg,False,BR
