video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
f81IeiIkhEc,Zé Neto e Cristiano - LIVE RESGATANDO TRADIÇÕES,2020-09-13T05:19:07Z,UCRRu9OXVYd5clj2Bs29gUVQ,Zé Neto e Cristiano,10,20.13.09,ze neto e cristiano|workhow|workshow live|live|live sertanejo|Marília Mendonça|Zé Neto & Cristiano|Maiara & Maraísa|Diego & Victor Hugo|barzinho aleatório|bruno e marrone|live bruno e marrone,2734636,133374,2223,251,https://i.ytimg.com/vi/f81IeiIkhEc/default.jpg,False,,BR,1
U3mluPLjBwI,Treinaria o Corinthians? OLHA o que Rogério Ceni RESPONDEU há duas semanas!,2020-09-12T15:15:02Z,UCv-Nx8pSfG_LxbViMz14RWQ,Jovem Pan Esportes,17,20.13.09,Corinthians|técnico do Corinthians|novo técnico do corinthians|tiago nunes|ceni|rogério ceni|rogério ceni no corinthians|andrés sanchez rogério ceni|ceni no corinthians|timão|meu timão|esporte em discussão|jovem pan esportes|camisa 10|treinador do corinthians,1638768,21545,1328,1761,https://i.ytimg.com/vi/U3mluPLjBwI/default.jpg,False,,BR,2
YiDwF_Sb9W8,LBFF - Rodada 7 - Grupos A e B | Free Fire,2020-09-12T19:39:03Z,UCr4ARxgElIO21GWfIraZezg,Free Fire - Brasil,20,20.13.09,free fire|free fire ao vivo|ao vivo|lbff ao vivo|lbff|free fire brasil|liga brasileira de free fire,2476205,238298,2081,815,https://i.ytimg.com/vi/YiDwF_Sb9W8/default.jpg,False,,BR,3
6vctXhE96eg,SANTOS 2 X 2 SÃO PAULO | MELHORES MOMENTOS | 10ª RODADA BRASILEIRÃO 2020 | ge.globo,2020-09-13T01:00:07Z,UCgCKagVhzGnZcuP9bSMgMCg,ge,17,20.13.09,Santos x são paulo|santos x sao paulo|são paulo x santos|sao paulo x santos|Santos|Santos fc|Leão do Mar|Peixe|São Paulo|sao paulo|tricolor|Tricolor Paulista|spfc|Melhores momentos|futebol|gol|é gol|futebol nacional|lances|times de futebol|gols|Campeonato Brasileiro|Brasileirão|Brasileirão 2020|Brasileirao|esportes|ge|ge.globo|globo esporte|globo|globoesporte.com|sportv|sansao|sansão|clássico|santos 2 x 2 sao paulo|san x spfc|san x spo,693672,16872,476,1434,https://i.ytimg.com/vi/6vctXhE96eg/default.jpg,False,,BR,4
JyGEfwytygk,O Fred tá namorando a Boca Rosa?,2020-09-12T14:00:03Z,UCFjrDmEnxrG5TRGVO0TPHLA,Desimpedidos,17,20.13.09,desimpedidos|bolivia|futebol humor|futebol comedia|engraçado|futebol|zueira|gol|golaço|tricks|soccer|mitagem|dibre|drible|time|disimpedidos|disimpididos|desimpididos|Boca Rosa|Bianca Andrade|História|Namoro|Casamento|Maquiadora|Maqueadora|Youtubers|Marca|Apresentadores|Mônica|Villa Mix|rezendeevil|Juninho Manella|Vosso Canal|Juninho|Funk|Top|cristiano ronaldo,1105504,136359,1128,3655,https://i.ytimg.com/vi/JyGEfwytygk/default.jpg,False,,BR,5
851uKS1J-jQ,Live Gian & Giovani - Juntos Somos Mais Fortes,2020-09-13T04:10:16Z,UCL_4PX1WmsISTkrHHA0j6qA,Gian e Giovani Oficial,10,20.13.09,gian e giovani|gian|gg|live top sertanejo|cochar|cochar som|top sertanejo,244997,6257,103,34,https://i.ytimg.com/vi/851uKS1J-jQ/default.jpg,False,,BR,6
u8zgXVLertA,Live INCONDICIONALMENTE Limão,2020-09-13T05:34:28Z,UCESwBZaWSnDcJjdqouSWFog,Limão com Mel,10,20.13.09,[none],217093,7217,126,93,https://i.ytimg.com/vi/u8zgXVLertA/default.jpg,False,,BR,7
cY785RtZj6o,LIVE SANDRO E CICERO | Circuito Brahma Lives,2020-09-13T01:18:13Z,UCiQa02EzwZOl2ljDJSF8G7A,Sandro e Cícero,10,20.13.09,live|live sertaneja|sandro e cicero|me adota|barzinho aleatorio|barretos|barretao|live no barretao|live sandro e cicero|live hoje|workshow|live sertanejo|live hoje ze neto e cristiano|esquenta|live esquenta|live ao vivo|live agora|live maiara e maraísa|maiara e maraisa|bruno e marrone|ze neto e cristiano|live ze neto,248141,2117,81,35,https://i.ytimg.com/vi/cY785RtZj6o/default.jpg,False,,BR,8
FeXzg4yTfLU,Maiara e Maraisa #AquinaFazenda,2020-09-12T03:43:48Z,UCULzCZWkkOb9dW8rr6dguQQ,Maiara e Maraisa,10,20.13.09,se olha no espelho|cristiano araujo|maiara e maraisa|show completo|o que temos pra hoje é saudade|efeitos|ce que sabe|Jorge & Mateus (Musical Group)|Gusttavo Lima (Musical Artist)|Música Sertaneja (Musical Genre)|Rede Globo (TV Network)|Luan Santana (Musical Artist)|Pessoa Errada|Maiara e Maraisa Pessoa Errada,1778708,65481,1329,464,https://i.ytimg.com/vi/FeXzg4yTfLU/default.jpg,False,,BR,9
CDoywT44ayA,Kant - Far Away | Prod. Chiocki,2020-09-12T15:00:10Z,UCFYpWXxngv7ztpP3Uagv6mA,Kant,10,20.13.09,Rap|nacional|Free|freestayle|rima|na|hora|batalha|de|rap|mcs|do|santa|cruz|da|led|bh|rinha|dos|liga|nocauti|beat|box|hip|hop|grafiti|skate|sp|brunão|teoria|absoluta|bruul|vida|racionais|cultura|facção|central|manos|minas,246468,56716,554,2500,https://i.ytimg.com/vi/CDoywT44ayA/default.jpg,False,,BR,10
