video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
UJSqe6q-xrA,فتحنا هدايا الحفلة !! ردة فعلنا على الي صار !!,2020-09-12T15:52:42Z,UCqJNTGwKmgMCwfYDbnz514Q,anasala family I أنس و أصالة,24,20.13.09,اصالة|اصاله|انس مروة|اول مرة|بيبي|تسبح|اصالة و انس|انس و اصالة|سيارة|انس واصالة|اصالة مالح|انس|انس مروة و اصالة|اصالة و انس مروة|anasmarwah|anas marwah|ميلا مروة|anasala|عائلة انس و اصالة|anasala family|أنس مروة|اصالة وانس مروة|انس و اصاله|مع اصالة و انس مروة|عائلة انصالة|حامل|اصالة حامل|الجنين|برج|خليفة|اكير|حفلة معرفة|جنس جنين|في|العالم,5525126,670247,11386,71618,https://i.ytimg.com/vi/UJSqe6q-xrA/default.jpg,False,DZ
U_YBMSZ67J8,Soolking feat. Cheba Warda Charlomanti #SCHOOL,2020-09-12T21:09:01Z,UCwDnfbgrm37h8DE8V9jwB1w,Youcef Bardahm,22,20.13.09,Soolking|Cheba Warda|Charlomanti|cartoon|dessin animé|dz|algerie|maroc|rap|rai|2020|clip|youcef barahm|سولكينغ|شابة وردة|شارلومانتي|كرتون,328572,16321,455,831,https://i.ytimg.com/vi/U_YBMSZ67J8/default.jpg,False,DZ
gcJsxLAm6Ds,Warda charlomanti avec mito - takhti rassi wa tfout (Clip exclusive 2020)|تخطي رسي وتفوت,2020-09-12T13:59:29Z,UCVxCCm-4QyMHS6ju-Bz2Hnw,Edition Harmonie,10,20.13.09,cheba warda|cheba warda tellement nebghik|cheba warda live|cheba warda 2020|cheba warda 2020 live|cheba warda jdid|cheba warda jdid 2020|tellement|tellement 2020|cheba warda dance|cheba warda dance 2020|cheba warda clip|cheba warda clip 2020|warda charlomanti tellement nebghik|warda 2020|warda charlomanti live|warda charlomanti 2020|tipo bel abbès|tipo bel abbès 2020|cheba warda 2019|cheba warda charlomanti|na3tik galbi cadeau|chaba warda|jdid warda,223297,11609,1828,1203,https://i.ytimg.com/vi/gcJsxLAm6Ds/default.jpg,False,DZ
QOdnXenVMMk,خلاص خلاص 🥺,2020-09-12T17:35:56Z,UCg6hO6rDLzp06VstV16nSMA,Rebbouh Yassine,23,20.13.09,[none],198384,32973,379,2381,https://i.ytimg.com/vi/QOdnXenVMMk/default.jpg,False,DZ
OeHrimtGAz8,بكالوريا 2020,2020-09-12T18:52:50Z,UCkViWev_G6I7jwTn_NkXSsw,Nahla Tv,23,20.13.09,[none],247699,24324,658,2168,https://i.ytimg.com/vi/OeHrimtGAz8/default.jpg,False,DZ
VLBvtR6Us_k,Flenn - Nessi [ Clip Officiel ],2020-09-11T18:41:25Z,UCpofNN0ZqT57J1gqr83yeRw,Flenn,10,20.13.09,[none],640476,86117,596,7478,https://i.ytimg.com/vi/VLBvtR6Us_k/default.jpg,False,DZ
SSntAm1hsmI,Soolking - Rockstar 2 [Clip Officiel] Prod by Chefi Beat,2020-09-10T16:00:23Z,UCz6JjQtnK9XjMwKuqlEkRxw,Soolking Officiel,10,20.13.09,Soolking|soolking officiel|soolking 2020|soolking album|soolking nouvel album|soolking official|Soolking new album|Soolking new music|Soolking parole|Sulking|Soulking|soolking rockstar|soolking rockstar 2|rockstar|rockstar 2|sulking rockestar|vintage|album vintage|vintage gearfoth|soolking star|soolking rock|algérie|melegim|soolking dadju|soolking heuss|la kichta|zemer|dalida|soolking dalida|soolking esperance|choral|chorale|soolking clip,4915615,353205,9174,23371,https://i.ytimg.com/vi/SSntAm1hsmI/default.jpg,False,DZ
IFcxEfRO3n4,Michou - FIER (Clip Officiel),2020-09-13T09:15:00Z,UCo3i0nUzZjjLuM7VjAVz4zA,Michou,10,20.13.09,michou|michou fier|michou clip|clip|musique|michou musique|fier michou|michou dans le club|fier,2520075,447246,15973,80749,https://i.ytimg.com/vi/IFcxEfRO3n4/default.jpg,False,DZ
m1xyNsyukrI,تفاصيل قتل الطفل عدنان بوشوف الذي عثر على جثته بعد اختطافه واغتصابه. كاميرا 2M انتقلت إلى عين المكان,2020-09-12T12:22:28Z,UClozwh5URilIQpDFeXch8qw,2MTV,24,20.13.09,samhini 1212|مسلسل سامحيني|2m|2mtv|tv2m|soread|soread maroc|maroc|morocco|2m replay|2m tv maroc live en direct|قناة دوزيم,1649111,23175,1534,0,https://i.ytimg.com/vi/m1xyNsyukrI/default.jpg,False,DZ
w7ED9VWY-j0,بيبي ميلا 🧒صارت صديقه بيبي خالد👦🏻🌹( ايام قبل حفلة كشف جنس بيبي انس و اصاله ) ❤️,2020-09-12T11:00:11Z,UCuwh2qFz4TAXdwoLWCKWocA,The ASK Family l أحمد و سالي,24,20.13.09,عائله|احمد و سالي|family|عيله|عيلة|سالي|احمد وسالي|سالي واحمد|ask family|أحمد وسالي|the ask family احمد وسالي|the ask family|عيله احمد و سالي|عاىله سالي و احمد|عائلة احمد و سالي|سالي و احمد|فلوقات اسك فاميلي|فلوقات احمد و سالي|جنس الجنين|كشف|جنس|الجنين|ولد|بنت|فيديوهات انصاله|برج خليفه|عزة زعرور|azza|naris beauty|نارين بيوتي,574557,46483,1073,2171,https://i.ytimg.com/vi/w7ED9VWY-j0/default.jpg,False,DZ
