video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
QGfZJPeU5to,PALESTRA - RAGAZZI VS RAGAZZE 🏋🏼 - iPantellas w/Denis Dosio,2020-09-11T11:02:51Z,UCD-aXv7CMezGSTfxmKAD6Ag,iPantellas,24,20.13.09,ipantellas|parodia|video divertenti|palestra|esercizi|bodybuilding|squat|sport|Denis Dosio,1816514,160273,5072,4216,https://i.ytimg.com/vi/QGfZJPeU5to/default.jpg,False,,IT,1
CF2oceUUqc4,da Milano a Roma in MONOPATTINO,2020-09-10T17:27:12Z,UCz-KJn98sMCPW5kjG0ZnE-Q,Jakidale,22,20.13.09,jakidale|jaki|vlog|mobile|tecnologia|tech|dailyvlog|daily vlog|daily vlog ita|dale|Jacopo DAlesio|monopattino|milano|roma|milano roma|in monopattino|monopattino elettrico|bici|bicicletta|skateboard|luis|luis sal|bologna|firenze|giro ditalia|italia|colosseo|xiaomi|space valley|marcello ascani|bottura|modena|monopattino sharing|monopattini|monopattini elettrici|viaggio|viaggio in monopattino|travel|bikebacking|bike|mattia|miraglio|giro del mondo|mattia miraglio,2036778,161200,2024,7886,https://i.ytimg.com/vi/CF2oceUUqc4/default.jpg,False,,IT,2
xzvkfUq2NKo,Gigi DAlessio - Buongiorno (Official Video) ft. G-CREW,2020-09-11T12:00:24Z,UCuhpwalXVDFD0UByu_886tA,GigiDAlessioVEVO,10,20.13.09,GigiDAlessio|gigi|d’alessio|MV Killa|LDA|CoCo|Franco Ricciardi|Lele Blade|Enzo Dong|Clementino|Geolier|Samurai Jay|canzoni napoletane|napoli|neomelodico|dialetto napoletano|luche|J Ax|non dirlgi mai|mon amour|quanti amori|secondigliano|vomero|insieme a lei|nino d’angelo|come me|l’amore che non c’è|Annarè|quartieri spagnoli|the ne sai|tony colombo|nico pandetta|Buongiorno|Canzone Italiana|GGD EDIZIONI Srl|Gigi,716990,27872,639,1855,https://i.ytimg.com/vi/xzvkfUq2NKo/default.jpg,False,,IT,3
Sn_IVcpjQrc,Ligabue - La ragazza dei tuoi sogni (Official Video),2020-09-10T22:00:05Z,UCjS3AJDotyaER6SoGbVLVFQ,Ligabue,10,20.13.09,luciano ligabue|ligabue|luciano|nuovo singolo|nuovo album|liga|la ragazza dei tuoi sogni|la ragazza|2020|musica italiana 2020|warner music italy,489252,15975,391,1037,https://i.ytimg.com/vi/Sn_IVcpjQrc/default.jpg,False,,IT,4
aw__8_XlRNc,Tipi di Coppie in Vacanza / 16 Momenti Divertenti e Imbarazzanti,2020-09-09T12:00:04Z,UCat4J1qEHCdzKS32xXNbbaw,WooHoo IT,26,20.13.09,Coppie|fidanzato|relazioni|fidanzata|tipi di|obiettivi di relazione|coppia|video di coppia|Tipi di Persone in Spiaggia|Persone in Spiaggia|Spiaggia|estate|vacanze|idee estive|hack live estivi|battute estive|spiaggia|idee spiaggia|vacanze al mare|scherzi|giocare con gli amici|scherzi divertenti|la battaglia di scherzi|i migliori scherzi|scherzi per le coppie|video divertente|divertimento|scherzi esilaranti|migliori amici|woohoo it,1216875,13687,2116,516,https://i.ytimg.com/vi/aw__8_XlRNc/default.jpg,False,,IT,5
LyNs4zYK71g,Tú Sí Que Vales - Lucilio Jr  Rizzo - Prima puntata,2020-09-12T23:32:24Z,UChFNc9YJHB6RK4YWQ1qgJVg,Tú Sí Que Vales,24,20.13.09,Tú sí Que Vales|talent show|video delle esibizioni|canale 5|maria de filippi|teo mammucari|rudy zerbi|gerry scotti|alessio sankara|belen rodriguez|martin castrogiovanni|Sabrina Ferilli|esibizione|Lucilio Jr Rizzo|prima puntata,49127,367,191,0,https://i.ytimg.com/vi/LyNs4zYK71g/default.jpg,False,,IT,6
id_T2AKEc8E,⚽ MUNDIALITO FOOTBALL CHALLENGE con gli ELITES!,2020-09-11T09:45:02Z,UCD_-J0d48jVOWD4DMECZxCg,Ohm,20,20.13.09,MUNDIALITO|OHM|ELITES|FOOTBALL CHALLENGE|MUNDIALITO FOOTBALL CHALLENGE|MUNDIALITO CHALLENGE|FIUS GAMER|ENRY LAZZA|TATINO|VILLA ELITES,348868,27340,681,542,https://i.ytimg.com/vi/id_T2AKEc8E/default.jpg,False,,IT,7
mcUiPvJX-yU,RIMANIAMO SENZA SOLDI A ROMA E FACCIAMO L ELEMOSINA! PECHINO EXTRASH #3,2020-09-12T09:00:07Z,UCHZl_sLl4kGZSkrPBrWb_aQ,Anima,24,20.13.09,anima|mates|anima mates|pechino extrash|ep 3|roma|tour italia|25 euro budget|elemosina|scroccare|viaggio|vlog|yakinop|viaggio in treno|J0k3r|cena da J0k3r|carbonara originale|ski e wok|giro di roma|colosseo|youtuber viaggio|da milano a palermo|tour italia scroccando|incontro i fan|incontro i fan anima|viaggio budget limitato|giro in mercedes|sascha burci|thatsanima|lookatsascha|nonsonoanima|non smettere mai di vivere,371258,33152,403,555,https://i.ytimg.com/vi/mcUiPvJX-yU/default.jpg,False,,IT,8
6Q8HSbKO-o4,4 MODI UNICI IN CUI GLI STUDENTI BARANO AGLI ESAMI! || Vita da Studente su 123 GO! SCHOOL,2020-09-11T05:00:02Z,UCKtMLmINLbhzSB3HJI8M_jg,123 GO! SCHOOL Italian,24,20.13.09,go|123go|123go! scuola|123goschool|scuola|fai da te|scherzo|trucchi|trucchetti|ambiguo|imbarazzante|trucchi utili|scherzi|divertente|tiktok|tik tok|sketch,203031,3748,311,132,https://i.ytimg.com/vi/6Q8HSbKO-o4/default.jpg,False,,IT,9
jCOr6K88Rkc,TE AL LICEO VS TE DA BAMBINO || Diversi tipi di Persone e Situazioni in cui puoi immedesimarti!,2020-09-08T11:09:02Z,UC4C3XBEVcbyDOziQh7MHcKg,123 GO LIKE! Italian,24,20.13.09,fai da te|idee creative|idea creativa|scherzo|scherzi|divertimento|divertente|123GO!|123 go|123go|amici|amichevole|tutorial|123 GO! Like|123 GO! Like Italian|situazione|situazione divertente|situazione imbarazzante|ragazze vs ragazzi|io contro gli altri|io contro altre persone|ragazze in pubblico|in pubblico vs da solo|tu al liceo vs da bambino|scuola,1391938,20085,3072,1264,https://i.ytimg.com/vi/jCOr6K88Rkc/default.jpg,False,,IT,10
peIbCPK2yes,HIGHLIGHTS | Cagliari 2-2 Roma,2020-09-12T23:22:17Z,UCLttSYJ6kPtlcurY96kXkQw,AS Roma,17,20.13.09,as roma|serie a|roma|giallorossi|mkhitaryan|cengiz under,108519,2381,64,289,https://i.ytimg.com/vi/peIbCPK2yes/default.jpg,False,,IT,11
JHs313mBbjk,Scherzi Sotto Copertura a un Matrimonio al Sud ft. @Casa Surace - [Candid Camera] - theShow,2020-09-13T12:00:03Z,UCYZ3uwiIy1LrwrAywLeQSlQ,theShow,24,20.13.09,the show|theshow|the show is you|theshowisyou|esperimenti sociali|the show scherzi|esperimento sociale|scherzi iene|prank ita|scherzi gente milano|scherzi|scherzo|scherzi a parte|candid camera|giochi matrimonio|scherzi matrimonio|infiltrarsi matrimonio|jaser|imbucarsi|ballo|riso in testa|nonna rosetta|casa surace|arbitro theshow|gatto|alberto|matrimonio sud|Scherzi Sotto Copertura a un Matrimonio al Sud,104496,11876,463,319,https://i.ytimg.com/vi/JHs313mBbjk/default.jpg,False,,IT,12
QtjeeV2Co7A,TENDENZE MODA AUTUNNO INVERNO 2020-21: le più belle per vestirsi alla moda!,2020-09-13T09:30:00Z,UCrrEt_lvG57rAHjBocCV-FA,Eleonora Petrella,26,20.13.09,cosa indossare|come vestirsi|idee outfit,86714,16351,69,451,https://i.ytimg.com/vi/QtjeeV2Co7A/default.jpg,False,,IT,13
msBeoX8BxPw,VITE AL LIMITE - Disperat cases,2020-09-10T11:30:12Z,UChn336v-fUYkJH09vA4ZuCA,CARTONI MORTI,24,20.13.09,vite al limite|vite al limite parodia|vite al limite e poi|vite al limite ita|cartoni morti|cartoni morti parodia|vite al limite real time|dottor nowzaradan|dottor nowzaradan ita|real time|real time parodia|real time vite al limite|cartone animato|video divertente|andrea lorenzon|runner|lockdown|dieta|dieta per dimagrire,624848,71758,761,1816,https://i.ytimg.com/vi/msBeoX8BxPw/default.jpg,False,,IT,14
8WBfyjt7rP8,Highlights: Liverpool 4-3 Leeds Utd | Salah hits a hat-trick on the opening day,2020-09-12T21:00:00Z,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,17,20.13.09,Liverpool FC|LFC|Liverpool|Anfield|Melwood|Liverpool Football Club|premier league,2086489,40355,1754,3010,https://i.ytimg.com/vi/8WBfyjt7rP8/default.jpg,False,,IT,15
3EXqD4BMIic,🍫 CHI LO MANGIA PIÙ VELOCEMENTE? 🍟,2020-09-11T11:05:00Z,UCCGzYFPLvijHovuPZ5djTHQ,Elites,24,20.13.09,chi lo mangia più velocemente|chi lo mangia in meno tempo|food challenge|food time challenge|sfida a tempo|sfida a tempo cibo|chi lo mangia nel minor tempo possibile|chi è il più veloce a mangiare|elites|elites food challenge|elites villa|elites summer|elites piscina|elites sfida cibo|elites cibo|enry lazza|ohm|Fius gamer|tatino,236888,24950,411,885,https://i.ytimg.com/vi/3EXqD4BMIic/default.jpg,False,,IT,16
6zdT3xD7N4s,CIAO :),2020-09-11T12:00:03Z,UCt5Wt95vvYKZZdZWi5_ZwWw,Just RoHn,24,20.13.09,rohn|just rohn|melagoodo,418713,86238,500,3821,https://i.ytimg.com/vi/6zdT3xD7N4s/default.jpg,False,,IT,17
m1xyNsyukrI,تفاصيل قتل الطفل عدنان بوشوف الذي عثر على جثته بعد اختطافه واغتصابه. كاميرا 2M انتقلت إلى عين المكان,2020-09-12T12:22:28Z,UClozwh5URilIQpDFeXch8qw,2MTV,24,20.13.09,samhini 1212|مسلسل سامحيني|2m|2mtv|tv2m|soread|soread maroc|maroc|morocco|2m replay|2m tv maroc live en direct|قناة دوزيم,1649111,23168,1533,0,https://i.ytimg.com/vi/m1xyNsyukrI/default.jpg,False,,IT,18
