video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
uZnJNgx3gUU,"Game Theory: FNAF, We Solved Golden Freddy! (Five Nights At Freddys)",2020-09-12T18:05:03Z,UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists,20,20.13.09,FNAF|five nights at freddys|fnaf theory|the foxy|foxy bro|fazbear frights|fnaf books|golden freddy|fnaf golden freddy|five nights at freddys theory|five nights at freddys|fnaf ar|fnaf vr|fnaf vr help wanted|fnaf vr ending|fnaf vr dlc|fnaf help wanted|fnaf special delivery|new fnaf teaser|fnaf sister location|sister location|fnaf world|scott cawthon|new fnaf|fnaf trailer|new fnaf trailer|game theory|game theorists|matpat|game theory FNAF|matpat fnaf|fnaf,2665503,205691,2648,26826,https://i.ytimg.com/vi/uZnJNgx3gUU/default.jpg,False,,US,1
myfO8IXi0uE,Liverpool v. Leeds United | PREMIER LEAGUE HIGHLIGHTS | 9/12/2020 | NBC Sports,2020-09-12T20:05:27Z,UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports,17,20.13.09,NBC Sports|NBC|NBCSN|Premier League|Soccer|Premier League 2020-21|PL 20-21|Premier League restart|PL restart|Premier League 2020-21 Matchweek 1|Matchweek 1|Premier League highlights|PL highlights|Liverpool|Liverpool v. Leeds United|Liverpool highlights|Leeds United|Leeds United highlights|Premier League extended highlights|PL extended highlights,483371,6169,283,1268,https://i.ytimg.com/vi/myfO8IXi0uE/default.jpg,False,,US,2
hnsDMoqqstg,Fulham v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 9/12/2020 | NBC Sports,2020-09-12T14:30:04Z,UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports,17,20.13.09,NBC Sports|NBC|NBCSN|Premier League|Soccer|Premier League 2020-21|PL 20-21|Premier League restart|PL restart|Premier League 2020-21 Matchweek 1|Matchweek 1|Premier League highlights|PL highlights|Arsenal|Fulham v. Arsenal|Arsenal highlights|Fulham|Fulham highlights|Premier League extended highlights|PL extended highlights,593403,6347,577,958,https://i.ytimg.com/vi/hnsDMoqqstg/default.jpg,False,,US,3
ZtSP8fuRACA,"Spoiled Wife Fires Housekeeper, Instantly Regrets It | Dhar Mann",2020-09-13T00:00:09Z,UC_hK9fOxyy_TM8FJGXIyG8Q,Dhar Mann,22,20.13.09,dhar mann|motivational|inspirational|life tips|life lessons|being kind to others|why you should be kind|self improvement|putting yourself in someone elses shoes|having respect for others,1182762,60023,1086,5841,https://i.ytimg.com/vi/ZtSP8fuRACA/default.jpg,False,,US,4
EyvVLFS_Qo4,Fredo Bang - No Security Feat. Kevin Gates (Official Video),2020-09-11T16:00:10Z,UC8FHFLWe9KkG0eoxPMIgcpg,Fredo Bang,10,20.13.09,Fredo Bang|FredoBang|Kevin Gates|KevinGates|No Security|NoSecurity|No|Security|TBG|Top Boy Gorilla|Bang Biz|BangBiz|Breadwinners Association|Breadwinners|BWA|Bread Winners Association|Bread Winners|HipHop|Hip-Hop|Rap|Kevin|Gates|Fredo|Bang|Rap Viral Video|Viral Video|Viral|Viral Rap|Hip Hop Video|Music Video|Music|Viral Music Video|Video|XXL|Complex|SayCheese|Say Cheese|Da Real Gee Money|Gee Money|Baton Rouge|Louisiana|Louisiana Rapper|Baton Rouge Rapper,1436980,57539,2884,6034,https://i.ytimg.com/vi/EyvVLFS_Qo4/default.jpg,False,,US,5
wVRd4Hyctp8,HIGHLIGHTS & REACTION | Barça 3-1 Nàstic,2020-09-12T20:39:01Z,UC14UlmYlSNiQCBe9Eookf_A,FC Barcelona,17,20.13.09,FC Barcelona|برشلونة،|Fútbol|FUTBOL|soccer|FUTEBOL|Sepakbola|サッカー|كرة القدم|football|FCB|Barça|Sport|Club|Barcelona|CAMP NOU|ter stegen|semedo|pique|busquets|suarez|luis suarez|messi|goat|leo messi|messi skills|dembele|neto|lenglet|griezmann|antoine griezmann|yt:cc=on|ansu fati|riqui puig|koeman|trincao|coutinho|nastic|friendly|3-1|estadi johan cruyff|comeback|highlights|goals|new kit|transfers|new signing|Konrad de la Fuente|Araujo|Aleñá|Gimnàstic Tarragona,2291458,69948,1764,3474,https://i.ytimg.com/vi/wVRd4Hyctp8/default.jpg,False,,US,6
umfhduWXCCc,"PlayStation 5 Showcase – Wednesday, September 16",2020-09-13T00:40:16Z,UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation,20,20.13.09,PlayStation|Announement|Stream|Games|Developers|Reveal,1406816,106062,2948,11745,https://i.ytimg.com/vi/umfhduWXCCc/default.jpg,False,,US,7
Tt94jkztAlY,Texans vs. Chiefs Week 1 Highlights | NFL 2020,2020-09-11T03:34:43Z,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,17,20.13.09,NFL|Football|offense|defense|American Football|highlight|highlights|game|sport|play|plays|season|2020|touchdown|td|game highlights|week 1|best plays|top plays|texans|houston|hou|chiefs|kansas city|kc|texans chiefs game highlights|texans highlights|chiefs highlights|texans td|chiefs td|David Johnson TD|Patrick Mahomes TD,4278763,51719,5838,10245,https://i.ytimg.com/vi/Tt94jkztAlY/default.jpg,False,,US,8
Rkw_b3cEwPM,Black Panther Vs Sonic - Cartoon Beatbox Battles,2020-09-11T23:00:12Z,UCRyS4kYdsaGcuFczzCjFXag,verbalase,24,20.13.09,Verbal Ase|CBB|Cartoon Beatbox Battles|Batman vs Black Panther|Pennywise vs Joker|Beatbox battle|Marvel battles|Marvel Vs DC|Avengers infinity war|The Black Panther|Epic Rap Battles of History|Linkin Park|Rap Battles|Beatbox|Beatboxing|Cartoon Beatbox|Batman|Marvel Comics|Disney|Avengers|Nickelodeon|cartoons|cartoon battle|Sonic|Sonic Vs Black Panther|Sonic Beatbox|Sonic vs Mario|Sega,2055635,94408,3271,87149,https://i.ytimg.com/vi/Rkw_b3cEwPM/default.jpg,False,,US,9
Mxc_MUVjWR4,"Lil Baby, Rylo Rodriguez - Forget That",2020-09-11T17:00:06Z,UCM1gEqLPsgej7ZKzu9w8v7A,LilBabyVEVO,10,20.13.09,Lil|Baby|Rylo|Rodriguez|Forget|That|Quality|Control/Motown|Records|Hip|Hop,1878148,80635,1697,5871,https://i.ytimg.com/vi/Mxc_MUVjWR4/default.jpg,False,,US,10
ncAyvy4Q81M,Naomi Osaka vs Victoria Azarenka | US Open 2020 Final,2020-09-12T23:09:01Z,UCXbboag48Qlr78zzz6SkzkQ,US Open Tennis Championships,17,20.13.09,us open|us open 2020|2020 us open|us open tennis|us open 2020 tennis|us open tennis 2020|us open 2020 highlights|us open tennis championships|tennis|sport|Naomi Osaka|Victoria Azarenka|Osaka|Azarenka|Naomi Osaka vs Victoria Azarenka|Osaka vs Azarenka|Osaka Azarenka|Victoria Azarenka vs Naomi Osaka|Azarenka vs Osaka|Azarenka Osaka|Naomi Osaka US Open|Victoria Azarenka US Open|us open final|us open 2020 final|us open womens final 2020,844155,8546,461,1416,https://i.ytimg.com/vi/ncAyvy4Q81M/default.jpg,False,,US,11
WS979NH49Kc,Ive Never Blinked In My Life,2020-09-12T13:45:01Z,UC4-79UOlP48-QNGgCko5p2g,MrBeast Shorts,22,20.13.09,[none],2009676,155051,3910,10424,https://i.ytimg.com/vi/WS979NH49Kc/default.jpg,False,,US,12
FQqu1ucI_L0,My Dog Is a Derp!,2020-09-12T14:22:04Z,UCNSzfesc7IgWZwg4n6uXr1A,Tucker Budzyn,15,20.13.09,my dog is a derp|my dog has a puppy sleepover|my dog does weird things|we moved|dog reviews food|tucker taste test|taking my dog to the groomer|funny dog|my dog reacts|puppy playdate|tucker the golden|tucker the dog|tucker budzyn|funny animals|dog reviews food with girlfriend|booping my dog too many times|jealous dog reaction|dogs|tucker|funny dog reaction|derp|funny derp|derpy dog videos|funny derp videos,763135,45330,976,4813,https://i.ytimg.com/vi/FQqu1ucI_L0/default.jpg,False,,US,13
AjjBwntDFAY,"ROCKETS at LAKERS | FULL GAME HIGHLIGHTS | September 12, 2020",2020-09-13T02:43:43Z,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,17,20.13.09,NBA|G League|Basketball|game-0041900225|2019-20 Season|NBA Season|2019-20|Disney|NBA Restart|Whole New Game|Highlight|Highlights|NBA Playoffs|Playoffs|Full Game Highlights|Full Game Recap|Lakers|Los Angles|LA|Lakers Basketball|LeBron|Anthony Davis|LBJ|King James|AD|Rockets|Houston|Rockets Basketball|James Harden|The Beard|Russell Westbrook|Brodie,2170571,24330,1156,6227,https://i.ytimg.com/vi/AjjBwntDFAY/default.jpg,False,,US,14
vy5AVymx_eo,2 Chainz - Money Maker ft. Lil Wayne,2020-09-11T16:00:10Z,UCeTDWSJawSuNbBEURTC6w_A,2ChainzVEVO,10,20.13.09,Chainz|Money|Maker|Gamebread|LLC|Def|Jam|Recordings|Hip|Hop,829883,32874,2021,3310,https://i.ytimg.com/vi/vy5AVymx_eo/default.jpg,False,,US,15
YNhebYZurE0,Plushie Makeover: First Time Custom With NerdECrafter,2020-09-11T20:00:03Z,UCYAB7hh1ohA8-iX54EpMdeA,Moriah Elizabeth,24,20.13.09,squishy makeover|custom plushies|custom figures|custom collectibles|cool things to customize,3195375,159560,2382,27098,https://i.ytimg.com/vi/YNhebYZurE0/default.jpg,False,,US,16
8WBfyjt7rP8,Highlights: Liverpool 4-3 Leeds Utd | Salah hits a hat-trick on the opening day,2020-09-12T21:00:00Z,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,17,20.13.09,Liverpool FC|LFC|Liverpool|Anfield|Melwood|Liverpool Football Club|premier league,2086489,40356,1754,3010,https://i.ytimg.com/vi/8WBfyjt7rP8/default.jpg,False,,US,17
iS8zXjuu4W4,Moving my FIRE ANTS into their AVATAR FLOATING MOUNTAINS Paludarium,2020-09-12T12:00:07Z,UCONd1SNf3_QqjzjCVsURNuA,AntsCanada,15,20.13.09,2020|ants|pets|terrarium|ant farm|antfarm|antscanada|animals|insects|exotic pets|myrmecology|fireants|fire ants|phoenix empire|avatar|floating mountains|paludarium|queen ant,445712,31963,856,9252,https://i.ytimg.com/vi/iS8zXjuu4W4/default.jpg,False,,US,18
d3w07gZ1OfY,Official New Sway House Tour,2020-09-12T23:42:57Z,UCOVQQTFALLID0EyoBMHaCsg,Triller,10,20.13.09,triller,111590,8085,395,304,https://i.ytimg.com/vi/d3w07gZ1OfY/default.jpg,False,,US,19
GFdTrzQbZvg,If Commercials Were Real Life - Wish,2020-09-12T15:17:19Z,UC3kTDwUDoyJBOOgsGH2elcg,Zebra Corner,23,20.13.09,wish|mahk|zebracorner|chevy|if commercials were real life|if commercials were honest|online scam,151410,16251,138,922,https://i.ytimg.com/vi/GFdTrzQbZvg/default.jpg,False,,US,20
