video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
X-uJtV8ScYk,Stray Kids Back Door M/V,2020-09-14T08:59:57Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,10,20.15.09,JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|LEE KNOW|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|한지성|HAN|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|I.N|YANGJEONGIN|stray kids comeback|stray kids music video|skz back door|스트레이 키즈 back door|스트레이 키즈 백도어|스키즈 백도어|스키즈 back door|back door 뮤비|back door 뮤직비디오|백도어 뮤비|백도어 뮤직비디오|back door music video|back door mv|스트레이 키즈 뮤비|스키즈 뮤비|in life|stray kids in life|skz mv|스트레이 키즈 인생,9340135,1469509,11811,341451,https://i.ytimg.com/vi/X-uJtV8ScYk/default.jpg,False,,AR,1
-UCDXvmgias,Carnage in Le Classique! Neymar amongst FIVE players sent off!,2020-09-13T21:32:49Z,UC4i_9WvfPRTuRWEaWyfKuFw,BT Sport,17,20.15.09,neymar|Le Classique|psg|paris saint germain|marseille|ligue 1|scuffle|red cards|bt sport|bt sport official,6790384,84285,3803,8060,https://i.ytimg.com/vi/-UCDXvmgias/default.jpg,False,,AR,2
5DElxf-kJXQ,COMPRÉ el Saludo de KUNNO y ¿Dijo MAL mi NOMBRE? *Probando Productos de TIK TOKERS* - VLOG #107,2020-09-13T21:15:01Z,UCp4Fk7Xy_wYq8sFKcKNrQCA,Go Ami Go!,22,20.15.09,[none],1881960,154651,10346,10023,https://i.ytimg.com/vi/5DElxf-kJXQ/default.jpg,False,,AR,3
uirMDt0rj9g,ASADO CON EL MOMO - BEEF A COSCU(?,2020-09-13T19:48:21Z,UC1QJQHE926OEGgUoQQXnLpw,BAJONEA2,22,20.15.09,[none],180369,23212,218,1065,https://i.ytimg.com/vi/uirMDt0rj9g/default.jpg,False,,AR,4
IC0GedE7KO0,PARIS SAINT-GERMAIN - OLYMPIQUE DE MARSEILLE(0 - 1 ) - Highlights - (PARIS SG - OM) / 2020/2021,2020-09-14T00:02:12Z,UC58LMAlfwtGRNR6Xpd4DlSA,Ligue 1 Uber Eats Official,17,20.15.09,PARIS SG OM|Paris Marseille|highlights PARIS SAINT-GERMAIN OLYMPIQUE DE MARSEILLE|highlights PARIS SG OM|highlights Paris Marseille|PARIS SAINT-GERMAIN|Paris|highlights|Goals|Goal|ligue 1|Ligue 1 Uber Eats|league 1|L1|football|foot|soccer|french league|french|France|day|match day|sp:ty=high|sp:dt=2020-09-13T21:00:00Z|sp:vl=en-GB|sp:st=soccer|sp:li=france|sp:ti:home=PARIS SG|sp:ti:away=OM,1030496,10882,591,1082,https://i.ytimg.com/vi/IC0GedE7KO0/default.jpg,False,,AR,5
ekZ0CwuS138,me tatué por primera vez *mi mamá ya no me quiere*,2020-09-14T00:00:05Z,UC_BPLsqZ53ydew1GKt4Q9jw,Majo,24,20.15.09,majo|mariajosegi|me tatue por primera vez|mi primer tatuaje|vlog|blog|entretenimiento|moda|outfits|daily vlog|divertido|me tatuo|ok|esto no es un tutorial|just kidding,818037,102151,1189,4610,https://i.ytimg.com/vi/ekZ0CwuS138/default.jpg,False,,AR,6
nrbf8AS1lhQ,BROMA TELEFONICA a mi MEJOR AMIGO *me gusta,2020-09-13T22:00:05Z,UCRGv00slQ2n8P3S6mlVFQlQ,Mica Coppola,24,20.15.09,mejoramigo|micacoppola|youtube|cuarentena|quedateencasa|amigos|novios|exnovios|exnovia|familia|amigas,99126,17219,477,1699,https://i.ytimg.com/vi/nrbf8AS1lhQ/default.jpg,False,,AR,7
PL3wCLvDWXA,MI RUTINA DE MAÑANA,2020-09-13T23:59:44Z,UCshFi1BnZGtzqyr8ZNK21ng,Maius,24,20.15.09,[none],199350,26492,236,1579,https://i.ytimg.com/vi/PL3wCLvDWXA/default.jpg,False,,AR,8
vC56HGloYSk,Brawl Stars Animation: Season 3 - Welcome to Starr Park!,2020-09-14T09:00:17Z,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,20,20.15.09,brawl stars|mobile game|mobile strategy game|mobile rpg|mobile battle royale|battle royale|supercell game|starrpark|starr|battle pass|brawl pass|new season|colette|trixie|skins,1070704,119121,1419,3690,https://i.ytimg.com/vi/vC56HGloYSk/default.jpg,False,,AR,9
ad6IKzLBcTg,ESPECIAL 100K!!! | NUEVO PROYECTO💥🤩,2020-09-13T19:00:17Z,UCoe_SVVjC6j9yyk_0tHEP5w,Laura Gallego,22,20.15.09,[none],129774,16056,228,1346,https://i.ytimg.com/vi/ad6IKzLBcTg/default.jpg,False,,AR,10
