video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
-UCDXvmgias,Carnage in Le Classique! Neymar amongst FIVE players sent off!,2020-09-13T21:32:49Z,UC4i_9WvfPRTuRWEaWyfKuFw,BT Sport,17,20.15.09,neymar|Le Classique|psg|paris saint germain|marseille|ligue 1|scuffle|red cards|bt sport|bt sport official,6790384,84288,3804,8060,https://i.ytimg.com/vi/-UCDXvmgias/default.jpg,False,,AU,1
3bKwtJT769g,I Tricked The Internet Into Thinking I Played Fortnite,2020-09-13T23:35:32Z,UCvxfEIG3PHpgM0TMJJ_SH-w,FaZe Jarvis,24,20.15.09,[none],3052241,216600,9499,17168,https://i.ytimg.com/vi/3bKwtJT769g/default.jpg,False,,AU,2
AavwHjGWoXA,PSG v Marseille | Ligue 1 Match Highlights,2020-09-13T22:11:51Z,UCsY7UM8d2sGHhWP_nj7WYjQ,beIN SPORTS,17,20.15.09,Football|Soccer|Sport|Highlights|France|French Football|Ligue 1|PSG|Paris Saint-Germain|Marseille|Olympique Marseille|Le Classique|Neymar Jr|Angel Di Maria|Florian Thauvin|Dimitri Payet|Thomas Tuchel|Andre Villas Boas|Neymar|Sports|Paris SG|Alvaro|Classique|Steve Mandanda|Mandanda|Match Highlights,70435,852,58,198,https://i.ytimg.com/vi/AavwHjGWoXA/default.jpg,False,,AU,3
wOg0TY1jG3w,The Real Story of Paris Hilton | This Is Paris Official Documentary,2020-09-14T04:00:10Z,UCwl5c3q0uBK3mVv9OXQUeeQ,Paris Hilton,1,20.15.09,Paris Hilton|Paris|Hilton|Documentary|This Is Paris|Abuse|Recovery,1536284,77691,2593,10220,https://i.ytimg.com/vi/wOg0TY1jG3w/default.jpg,False,,AU,4
g3ZPUUQoYo8,Custom Lamborghini vs. Tesla - Winner Keeps Car,2020-09-14T20:00:10Z,UClQubH2NeMmGLTLgNdLBwXg,ZHC,24,20.15.09,[none],1515294,98595,2282,10337,https://i.ytimg.com/vi/g3ZPUUQoYo8/default.jpg,False,,AU,5
YH9Nwa0RvO8,Zane - WAP (Official Music Video Cover),2020-09-14T19:38:54Z,UCiIFLzjBUX5WpkVqVDVWMTQ,Zane Hijazi,22,20.15.09,david dobrik|david dobrik vlogs|zane hijazi|zane hijazi vlogs|liza koshy|lizzza|reaction|reacting|compilation|best vines|viners|funniest|david and liza|liza|matt|david|jason|toddy|reactions|vlog|zane|scotty sire|dobrik|hijazi|heath|zane and heath|heath hussar|tattoo|cardi b|megan thee stallion|wap|addison rae|quen|tiktok|tik tok|w a p|WAP|stassiebaby|stas|kylie jenner|best friend|meg the stallion,1279821,208489,2795,14995,https://i.ytimg.com/vi/YH9Nwa0RvO8/default.jpg,False,,AU,6
X-uJtV8ScYk,Stray Kids Back Door M/V,2020-09-14T08:59:57Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,10,20.15.09,JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|LEE KNOW|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|한지성|HAN|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|I.N|YANGJEONGIN|stray kids comeback|stray kids music video|skz back door|스트레이 키즈 back door|스트레이 키즈 백도어|스키즈 백도어|스키즈 back door|back door 뮤비|back door 뮤직비디오|백도어 뮤비|백도어 뮤직비디오|back door music video|back door mv|스트레이 키즈 뮤비|스키즈 뮤비|in life|stray kids in life|skz mv|스트레이 키즈 인생,9340135,1469578,11813,341478,https://i.ytimg.com/vi/X-uJtV8ScYk/default.jpg,False,,AU,7
uZnJNgx3gUU,"Game Theory: FNAF, We Solved Golden Freddy! (Five Nights At Freddys)",2020-09-12T18:05:03Z,UCo_IB5145EVNcf8hw1Kku7w,The Game Theorists,20,20.15.09,FNAF|five nights at freddys|fnaf theory|the foxy|foxy bro|fazbear frights|fnaf books|golden freddy|fnaf golden freddy|five nights at freddys theory|five nights at freddys|fnaf ar|fnaf vr|fnaf vr help wanted|fnaf vr ending|fnaf vr dlc|fnaf help wanted|fnaf special delivery|new fnaf teaser|fnaf sister location|sister location|fnaf world|scott cawthon|new fnaf|fnaf trailer|new fnaf trailer|game theory|game theorists|matpat|game theory FNAF|matpat fnaf|fnaf,4534914,245390,4663,30516,https://i.ytimg.com/vi/uZnJNgx3gUU/default.jpg,False,,AU,8
R-Yq1AlIwsc,2020 Tuscan Grand Prix: Race Highlights,2020-09-13T17:23:39Z,UCB_qr75-ydFVKSF9Dmo6izg,FORMULA 1,17,20.15.09,F1|Formula One|Formula 1|Sports|Sport|Action|GP|Grand Prix|Auto Racing|Motor Racing|F1 race|Good F1 race|F1 Crashes|Tuscan|Tuscany|Formula 1 2020|Italy|Podiums|Lewis Hamilton|Alex Albon,3367927,78261,1583,7191,https://i.ytimg.com/vi/R-Yq1AlIwsc/default.jpg,False,,AU,9
DfitmqVcIq8,I Had a Date at a WATER PARK with Preston!,2020-09-12T15:04:46Z,UCXg4rJUbDP1IP3TmZ9KDpJg,Brianna,24,20.15.09,funny|comedy|challenge|family|brianna|preston,1973698,126951,1895,6556,https://i.ytimg.com/vi/DfitmqVcIq8/default.jpg,False,,AU,10
kII1ST3Z2Xk,ATTACKED FOR WEARING MY MASK,2020-09-14T15:25:44Z,UCHCflcTE69NbRgup0IXFxMA,Jon Foor,23,20.15.09,funny|mask|attack|fail|epic|gaming|halo 3|sandtrap|jon foor|bridge stuart|jonfoor|bridgestuart|man attacked on the street|street fight|lol|humor|big sean,368047,5725,392,236,https://i.ytimg.com/vi/kII1ST3Z2Xk/default.jpg,False,,AU,11
CChM6QI5xdg,Colby Raha: REAL MOTO 2020 | World of X Games,2020-09-14T16:00:04Z,UCxFt75OIIvoN4AaL7lJxtTg,X Games,17,20.15.09,yt:quality=high|X Games|XGames|X-Games|action sports,55523,2785,19,209,https://i.ytimg.com/vi/CChM6QI5xdg/default.jpg,False,,AU,12
lGITudIVBE8,Cuties: The film that got Netflix blasted by the government,2020-09-13T21:30:10Z,UCHTM9IknXs4ZHzwHqDjakoQ,DAngelo Wallace,23,20.15.09,dangelo wallace|funny|commentary|comedy|satire|Cuties: The film that got Netflix blasted by the government,1399121,141773,1324,13978,https://i.ytimg.com/vi/lGITudIVBE8/default.jpg,False,,AU,13
x4eHK6KWobA,LG Wing Unboxing - This Thing is WILD,2020-09-14T14:33:21Z,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,28,20.15.09,unbox therapy|unboxtherapy|tech|technology|gadgets|gadget|unboxing|review|unbox|therapy|new|youtube|lg wing|lg wing unboxing|lg|wing|smartphone|smartphones|2020,3248726,101872,3145,16285,https://i.ytimg.com/vi/x4eHK6KWobA/default.jpg,False,,AU,14
uC-wPiAZnnU,Chris Hemsworth crashes live TV weather report | Today Show Australia,2020-09-14T00:58:07Z,UC5G0-uMcGFhNts84d24BZqw,TODAY,25,20.15.09,TODAY|Today show australia|today australia|australia news|karl|karl today|karl stefanovic|ally today|allison langdon today|karl and ally|australian morning show|australian today show|australian breakfast tv|breakfast tv australia|morning news australia|today show funny|lauren phillips|chris hemsworth|chris hemsworth crashes weather|chris hemsworth today|chris hemsworth weekend today|chris hemsworth weather|live tv|live tv fail|live tv blooper|thor,140756,2953,45,0,https://i.ytimg.com/vi/uC-wPiAZnnU/default.jpg,False,,AU,15
deBnXFeGicg,Among Us Pet Kills,2020-09-13T20:37:55Z,UCvxK0OSNFNgjndWOch__EQQ,sdbl,1,20.15.09,Among Us|Among Us Kills 2|Among Us Kills|Among Us animation|animation|Among Us meme|meme|memes|Among Us Kills green screen|Among Us game|Among Us Kills animation,1060216,28272,470,868,https://i.ytimg.com/vi/deBnXFeGicg/default.jpg,False,,AU,16
f2VmOqjV_7Q,Star Wars: Squadrons – “Hunted” CG Short,2020-09-14T15:00:11Z,UCOsVSkmXD1tc6uiJ2hc0wYQ,EA Star Wars,20,20.15.09,Star Wars|Star Wars Squadrons|Star Wars Squadrons trailer|Star Wars Squadrons CG short|Star Wars Squadrons story trailer|Star Wars Squadrons single-player|Star Wars Squadrons single player|Star Wars Squadrons story|Titan Squadron|Varko Grey|Xwing vs tie fighter|Tie interceptor|The Overseer|Star Wars multiplayer|Star Wars single player|EA Star Wars|Starfighter assault|Star Wars VR|Star Wars virtual reality|Space simulator|Space shooter|EA Motive,590649,49433,471,5452,https://i.ytimg.com/vi/f2VmOqjV_7Q/default.jpg,False,,AU,17
n9xhJrPXop4,Dune Official Trailer,2020-09-09T16:18:02Z,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,24,20.15.09,[none],21812982,466438,14515,53717,https://i.ytimg.com/vi/n9xhJrPXop4/default.jpg,False,,AU,18
8WBfyjt7rP8,Highlights: Liverpool 4-3 Leeds Utd | Salah hits a hat-trick on the opening day,2020-09-12T21:00:00Z,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,17,20.15.09,Liverpool FC|LFC|Liverpool|Anfield|Melwood|Liverpool Football Club|premier league,2863891,47979,2343,3535,https://i.ytimg.com/vi/8WBfyjt7rP8/default.jpg,False,,AU,19
RIevWd_4Sig,Alexander Zverev vs Dominic Thiem | US Open 2020 Final,2020-09-14T01:19:01Z,UCXbboag48Qlr78zzz6SkzkQ,US Open Tennis Championships,17,20.15.09,us open|us open 2020|2020 us open|us open tennis|us open 2020 tennis|us open tennis 2020|us open 2020 highlights|us open tennis championships|tennis|sport|Alexander Zverev|Dominic Thiem|Zverev|Thiem|Alexander Zverev vs Dominic Thiem|Zverev vs Thiem|Zverev Thiem|Dominic Thiem vs Alexander Zverev|Thiem vs Zverev|Thiem Zverev|Alexander Zverev US Open|Dominic Thiem US Open|us open final|us open 2020 final|us open mens final 2020|us open final highlights,1239030,13877,447,1894,https://i.ytimg.com/vi/RIevWd_4Sig/default.jpg,False,,AU,20
NfO-WhEmkQw,MSV Duisburg vs. Borussia Dortmund 0-5 | Highlights | DFB-Pokal 2020/21 | 1st Round,2020-09-14T22:00:18Z,UC7am34-1rGU_ky1vWYnoOJQ,German Football,17,20.15.09,DFB|German Football|Football|Soccer|Germany|Live Football|Football Highlights|Soccer Live|Soccer Highlights|DFB-Pokal|DFB Pokal Highlights|DFB Pokal 2020/21|DFB-Pokal Round 1|German Cup|German Cup Highlights|Duisburg Dortmund|Duisburg Dortmund Highlights|Duisburg Dortmund DFB Pokal|MSV Duisburg|Duisburg|Borussia Dortmund|Dortmund|BVB,234242,5058,72,262,https://i.ytimg.com/vi/NfO-WhEmkQw/default.jpg,False,,AU,21
F_qW4_b4RhY,Nintendo 64: Nintendos Best Mistake - Scott The Woz,2020-09-14T04:30:01Z,UC4rqhyiTs7XyuODcECvuiiQ,Scott The Woz,20,20.15.09,N64|64|Nintendo Ultra 64|N64DD|Nintendo 64DD|64DD|Nintendo GameCube|Wii|Wii U|Nintendo Switch|Game Boy|Game Boy Color|Game Boy Advance|Nintendo DS|DS|3DS|Nintendo 3DS|Virtual Boy|SNES|Super Nintendo|NES|Nintendo,821728,58573,1007,5834,https://i.ytimg.com/vi/F_qW4_b4RhY/default.jpg,False,,AU,22
eUlgPM4IQbU,Buccaneers vs. Saints Week 1 Highlights | NFL 2020,2020-09-13T23:58:06Z,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,17,20.15.09,[none],1924152,19635,1027,7042,https://i.ytimg.com/vi/eUlgPM4IQbU/default.jpg,False,,AU,23
