video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
TzFRVk2ektI,MAX - Blueberry Eyes (feat. SUGA of BTS) [Official Music Video],2020-09-15T16:00:09Z,UCbwD4Ynubv_4Y-xDyIq86rw,MAXVEVO,10,20.16.09,MAX|Suga|Blueberry|Eyes|(feat.|SUGA|BTS)|[Official|Music|Video]|(SME/RED|JV)|LP2|Pop,2878656,886531,5260,69279,https://i.ytimg.com/vi/TzFRVk2ektI/default.jpg,False,,CL,1
X-uJtV8ScYk,Stray Kids Back Door M/V,2020-09-14T08:59:57Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,10,20.16.09,JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|LEE KNOW|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|한지성|HAN|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|I.N|YANGJEONGIN|stray kids comeback|stray kids music video|skz back door|스트레이 키즈 back door|스트레이 키즈 백도어|스키즈 백도어|스키즈 back door|back door 뮤비|back door 뮤직비디오|백도어 뮤비|백도어 뮤직비디오|back door music video|back door mv|스트레이 키즈 뮤비|스키즈 뮤비|in life|stray kids in life|skz mv|스트레이 키즈 인생,14530328,1690200,16449,420920,https://i.ytimg.com/vi/X-uJtV8ScYk/default.jpg,False,,CL,2
b13xnFp_LJs,Apple Event — September 15,2020-09-15T18:14:08Z,UCE_M8A5yxnLfW0KghEeajjw,Apple,28,20.16.09,Apple|iOS|iPhone|Mac|Apple Watch|Series 5|Series 6|iPad|iPad Air|Macbook|iMac|MacBook Pro|Fitness|Wellness|Illustration|Apple TV|Digital Art|AirPods|Apple Event|Apple Keynote|WWDC|September|Apple Special Event|Apple Launch,10132201,410042,34971,0,https://i.ytimg.com/vi/b13xnFp_LJs/default.jpg,False,,CL,3
eW7Twd85m2g,The Mandalorian | Season 2 Official Trailer | Disney+,2020-09-15T14:00:25Z,UCZGYJFUizSax-yElQaFDp5Q,Star Wars,24,20.16.09,[none],4095612,228029,1377,17173,https://i.ytimg.com/vi/eW7Twd85m2g/default.jpg,False,,CL,4
cxpMUUdmtPY,NUESTRA CASA SE LLENA DE ANIMALES SALVAJES | LOS POLINESIOS VLOGS,2020-09-14T20:36:09Z,UCs8qka8tfhdc69wzXYdtZ3A,LosPolinesios,22,20.16.09,Platica polinesia|los polinesios|karen|rafa|lesslie|bromas|extras|personales,1914028,178266,2880,13910,https://i.ytimg.com/vi/cxpMUUdmtPY/default.jpg,False,,CL,5
l9ARZIdqbag,INTER vs LUGANO | LIVE | PRE-SEASON FRIENDLY | INTER 2020/21 🇮🇹⚫🔵🇨🇭,2020-09-15T16:59:17Z,UCvXzEblUa0cfny4HAJ_ZOWw,Inter,17,20.16.09,inter|inter milan|fc inter|fc internazionale|inter tv|inter channel|inter media house|live|streaming|diretta|inter lugano|amichevole|conte|hakimi|kolarov|lukaku|lautaro martinez|friendly|eriksen|nainggolan|perisic|alexis sanchez,433367,8859,249,103,https://i.ytimg.com/vi/l9ARZIdqbag/default.jpg,False,,CL,6
c1NhS_RceQA,Probando y Comparando Chorizos económicos del Supermercado (ideal para estas fiestas),2020-09-14T20:00:05Z,UCFSm4js2tSoH7ZpOcl2yktQ,Recetas del Sur,22,20.16.09,comparando|en el sur|cual es mejor|recetas del sur|profesor klocker|chorizo|longas|18|septiembre|mejor|parrilla|asado|lider|san jorge|pf|super cerdo|asadito|comida|celebracion|america|chile|fiscal klocker|tio emilio|te pillamos po compadre,214609,18021,291,1295,https://i.ytimg.com/vi/c1NhS_RceQA/default.jpg,False,,CL,7
3hVoQNovhVs,Hot Dogs Caseros | La Capital,2020-09-14T21:00:01Z,UCEwl20VxZ3AwOgiKMZtI1GQ,La Capital,26,20.16.09,hot dogs a la parrilla|hot dogs envueltos tocino|hot dogs receta|la capital|como hacer chorizo|como se hacen salchichas|salchicha casera|oscar meza|chilidogs receta,2253298,175364,1501,9194,https://i.ytimg.com/vi/3hVoQNovhVs/default.jpg,False,,CL,8
gzW2c1SMRXg,"El Día Después (14/09/2020): Claudio Bravo, el nuevo líder del Betis",2020-09-14T21:49:36Z,UCTizbQ7IDPngI50uyI3pcbA,El Día Después en Movistar+,17,20.16.09,el dia despues|movistar+|movistar plus|movistar|el dia despues 12 plus|eldiadespues12plus|edd|canal plus|canalplus|canal+|plus|deportes|futbol|football|dia despues|maldini|antoni daimiel|clásico|real madrid|barcelona|barca|#0|cero|movistar cero|movistar 0|betis|cludio bravo|portero|el día después|nuevo líder del betis,107227,4506,48,286,https://i.ytimg.com/vi/gzW2c1SMRXg/default.jpg,False,,CL,9
Mc2I0rFL3F0,MASA DE EMPANADAS DE HORNO. La receta perfecta para que puedas hacer las mejores empanadas de horno,2020-09-14T12:30:02Z,UCUCzRxvntFYTQigcty8Bbbw,Alvaro Barrientos Montero,22,20.16.09,#masaempanadas|#empanadasdehorno|#empanadasalvarobarrientos,100957,8146,97,764,https://i.ytimg.com/vi/Mc2I0rFL3F0/default.jpg,False,,CL,10
u3yhaIZGQJ8,"Me han baneado de Twitch, me han funado. | Folagor03",2020-09-14T20:46:36Z,UCYcdw2wL6W6iGBKZgGK_Hjw,Folagor03,20,20.16.09,fola|folagor|folagor03,392813,53066,1343,4703,https://i.ytimg.com/vi/u3yhaIZGQJ8/default.jpg,False,,CL,11
5DElxf-kJXQ,COMPRÉ el Saludo de KUNNO y ¿Dijo MAL mi NOMBRE? *Probando Productos de TIK TOKERS* - VLOG #107,2020-09-13T21:15:01Z,UCp4Fk7Xy_wYq8sFKcKNrQCA,Go Ami Go!,22,20.16.09,[none],2369422,187103,13857,11920,https://i.ytimg.com/vi/5DElxf-kJXQ/default.jpg,False,,CL,12
oi9qsin4Ilg,¿Vida en Venus? ¿Qué es la FOSFINA?,2020-09-14T21:00:21Z,UCQX_MZRCaluNKxkywkLEgfA,Date un Vlog,28,20.16.09,venus|vida en venus|fosfina|ph3|vida extraterrestre|hay vida en venus|que es la fosfina|nubes de venus|carl sagan|harold morowitz|descubrimiento|telescopio|observatorio alma|vida en venus 2020|puede haber vida en venus|descubrimiento en venus|fosfina venus|atmosfera de venus|extraterrestre venus|noticia de ultima hora|ultima hora|date un vlog|javier santaolalla|vida en venus date un vlog|fosfina date un vlog|encuentran vida en venus|nubes venus|Venus,292936,32208,249,1550,https://i.ytimg.com/vi/oi9qsin4Ilg/default.jpg,False,,CL,13
no2QNIWK19o,[BTS Universe Story] Official Trailer,2020-09-15T02:01:19Z,UCEmKdF5eArneymKKh2RoO1A,BTS Universe Story,22,20.16.09,[none],2626745,533452,1428,28055,https://i.ytimg.com/vi/no2QNIWK19o/default.jpg,False,,CL,14
-UCDXvmgias,Carnage in Le Classique! Neymar amongst FIVE players sent off!,2020-09-13T21:32:49Z,UC4i_9WvfPRTuRWEaWyfKuFw,BT Sport,17,20.16.09,neymar|Le Classique|psg|paris saint germain|marseille|ligue 1|scuffle|red cards|bt sport|bt sport official,7686023,91130,4629,8598,https://i.ytimg.com/vi/-UCDXvmgias/default.jpg,False,,CL,15
