video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
V52TDXnkf2Q,Werner nur mit Notbremse zu stoppen | Brighton - Chelsea 1:3 | Highlights - Premier League 2020/21,2020-09-14T21:42:04Z,UCuOwl-VgqBHOzR8hWnonBcA,Sky Sport HD,17,20.16.09,Premier League|Premier League 2020/21|Premier League Highlights|Fußball Highlights|Highlights Englische Liga|Premier League Sky|Sky Highlights|Sky Fußball|EPL Highlights|EPL2020/21|Highlights|Brighton & Hove Albion|Brighton|FC Chelsea|Chelsea|chelsea fc|chelsea london|Brighton Chelsea|Premiere League 1. Spieltag,810811,21573,314,735,https://i.ytimg.com/vi/V52TDXnkf2Q/default.jpg,False,,DE,1
X7otBvE-Gx4,"5x Rot! Neymar fliegt vom Platz, Tuchels Team bleibt punktlos: PSG - Marseille 0:1 | Ligue 1 | DAZN",2020-09-13T22:15:51Z,UCetAQCYoN2AoufQ1XeSpd2A,Goal Deutschland,17,20.16.09,Neymar|Neymar Jr.|PSG|Paris Saint-Germain|Paris|Marseille|Olympique Marseille|OM|PSG Marseille|PSG vs Marseille|PSG - Marseille|Paris Saint-Germain vs Olympique Marseille|Paris Saint-Germain - Olympique Marseille|PSG Marseille 0 1|PSG vs Marseille 0-1|PSG - Marseille 0:1|Ligue 1|Ligue 1 Highlights|Ligue 1 DAZN|DAZN Ligue 1|DAZN|Highlights Ligue 1|DAZN Highlights|DAZN Highlights Ligue 1|Ligue 1 Highlights DAZN|Goal Deutschland,1460996,43316,694,3397,https://i.ytimg.com/vi/X7otBvE-Gx4/default.jpg,False,,DE,2
AMChy_BYEs0,PREVIEW - Liebst du mich noch?! 😢💔 #231 | Krass Schule,2020-09-15T04:30:01Z,UCKjG1V6WFTfnMP6B9rumr-g,Krass Schule - Die jungen Lehrer,24,20.16.09,RTLZWEI|neue folgen|krass klassenfahrt|krass schule|rtl2|ganze folge|preview|tv now|die jungen lehrer|schule|RTL|Jennifer Lopes di Gaspare|Stefan Jankovic|Aline Jost|Tobi|krasse schule|krass schule 2020|krass schule neue staffel|tv now krass schule|thea krass schule|carmen krass schule|lukas krass schule|liebe|streit|tränen|freund|freundin|betrügen|eifersucht|love|beziehung|staffel 4|timo krass schule|missverständnis,132249,7835,249,558,https://i.ytimg.com/vi/AMChy_BYEs0/default.jpg,False,,DE,3
8EFL_oRA4bA,Wir haben uns getrennt..,2020-09-14T16:00:15Z,UCe7-RGT6bceyOy138il2JOw,Dilara Duman,26,20.16.09,beauty,244409,11013,2158,0,https://i.ytimg.com/vi/8EFL_oRA4bA/default.jpg,False,,DE,4
3A2cAZT3Nj4,Shooting a video - My 9to5,2020-09-15T06:59:56Z,UCHOtaAJCOBDUWIcL4372D9A,Fabio Wibmer,17,20.16.09,Fabio Wibmer|Fabio|Wibmer|fabwibmer|bike|mtb|mountainbiking|donwhill|trial|wibmerfabio|freeride|mountainbike|mtb freeride|downhill|trail|trail riding|trail freeride|fr|fr mtb|biking|saalbach|poc|signature line|sports|awesome|red bull|bmx|urban|street|canyon|9to5|how to shoot|film|video|how to film,273290,36466,350,1533,https://i.ytimg.com/vi/3A2cAZT3Nj4/default.jpg,False,,DE,5
dywGmj17WdY,DFB-Pokal: Dynamo Dresden kegelt den HSV aus dem Pokal | Sportschau,2020-09-14T20:10:35Z,UCRFsyeKu07-LnHDG44O6uCA,Sportschau,17,20.16.09,Sportschau,239342,4909,107,581,https://i.ytimg.com/vi/dywGmj17WdY/default.jpg,False,,DE,6
kdkFOGi-PLY,MSV Duisburg - Borussia Dortmund 0:5 | Highlights | DFB-Pokal 2020/21 | 1. Runde,2020-09-14T22:00:04Z,UCfMo0xj-sbdzHuzxvKdu1hw,DFB,17,20.16.09,DFB|DFB TV|Deutscher Fußball-Bund|Fußball|DFB-Pokal|DFB Pokal Highlights|DFB Pokal 2020/21|DFB Pokal 1. Runde|Duisburg Dortmund|Duisburg Dortmund Highlights|Duisburg Dortmund DFB Pokal|MSV Duisburg|Duisburg|Borussia Dortmund|Dortmund|BVB|Jadon Sancho|Jude Bellingham|Thorgan Hazard|Giovani Reyna|Marco Reus,238060,5794,97,342,https://i.ytimg.com/vi/kdkFOGi-PLY/default.jpg,False,,DE,7
PUt8WzczQNE,"FIRST LOOK: Henrik flirtet fremd 🙈 & F*** dich, Luca! 😱| Love Island - Staffel 4 #14",2020-09-15T10:35:43Z,UC60NtakGfNg8ADQDOn2ifOQ,Love Island DE,24,20.16.09,Love Island Deutschland|Love Island Deutsch|Love Island ganze folgen|Love Island ganze folgen deutsch|love island|rtl2|love island tv now|love island TVNOW|Love island 2017|love island 2018|love island 2020|love island vierte staffel|love island 4 staffel|henrik und aurelia|henrik und sandra|henrik love island|henrik kuss|henrik aurelia trennung|henrik sandra loveisland,220263,3164,91,453,https://i.ytimg.com/vi/PUt8WzczQNE/default.jpg,False,,DE,8
xtlF4x-Lq4Q,Meine LIEBLINGS YOUTUBER malen EINE WOCHE lang meine Makeup Looks! 😍,2020-09-14T17:00:25Z,UCDAhDUmNuxVaH3N5yHOnL3g,Alycia Marie,26,20.16.09,alycia marie|alicia marie|alycia marie makeup tutorial|make up tutorial deutsch|my followers draw|youtubers draw my makeup|followers draw my makeup look|youtubers pick my makeup|malen mein make up|youtuber bestimmen mein make up|youtuber malen mein makeup|manny mua|kennedy walsh|mikaela long|samantha ravndahl|natalia taylor,160906,16822,86,852,https://i.ytimg.com/vi/xtlF4x-Lq4Q/default.jpg,False,,DE,9
X-uJtV8ScYk,Stray Kids Back Door M/V,2020-09-14T08:59:57Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,10,20.16.09,JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|LEE KNOW|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|한지성|HAN|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|I.N|YANGJEONGIN|stray kids comeback|stray kids music video|skz back door|스트레이 키즈 back door|스트레이 키즈 백도어|스키즈 백도어|스키즈 back door|back door 뮤비|back door 뮤직비디오|백도어 뮤비|백도어 뮤직비디오|back door music video|back door mv|스트레이 키즈 뮤비|스키즈 뮤비|in life|stray kids in life|skz mv|스트레이 키즈 인생,14530328,1690181,16449,420914,https://i.ytimg.com/vi/X-uJtV8ScYk/default.jpg,False,,DE,10
ZWS9YVPcHvg,Wir haben einen 550cc MOTOR an ein BMX geschraubt!,2020-09-14T15:30:05Z,UCn0ITRHWS64_zRz5WWeQBkQ,The Real Life Guys,24,20.16.09,dirfttrike|kart|trike|drifting|driften|driftcar|motor|engine|kawasaki|550cc|600cc|50PS|tuning|bmx|fahrrad|krass|do something|verrückt|the real life guys,294927,28297,528,892,https://i.ytimg.com/vi/ZWS9YVPcHvg/default.jpg,False,,DE,11
g8_STeIv18Y,Leben auf der Venus? Was die Phosphan-Spuren bedeuten | Suzanna Randall,2020-09-14T15:00:10Z,UC5E9-r42JlymhLPnDv2wHuA,Terra X Lesch & Co,28,20.16.09,terra x lesch & co.|terra x|harald lesch|Venus|life|atmosphere|earth|erde|leben|monophosphan|live|phosphan|phosphine|phosphor|Phosphorous|Alien|Alien life|Exoplanets|Weltall|Leben|Weltraum|Space|All|Universum|Universe|Cosmos|Kosmos|Life on Venus|Venera|ESO|ESA|NASA|breaking|news|breaking news|Pinguin|Eilmeldung|Physik|Astrophysik|Astronomie|Astronomy|physics|astrophysics|Randall|Suzanna Randall|Astronautin|Astronaut,125464,6777,408,1397,https://i.ytimg.com/vi/g8_STeIv18Y/default.jpg,False,,DE,12
B7MsnYcCooE,ALI BUMAYE TESTET MEIN DÖNER,2020-09-14T13:14:13Z,UC8C5H2N06dasx3ZYYbAa0mQ,Mert Abi,24,20.16.09,mert abi|mert|hiphop|rap|deutschrap|kunde ist könig|boxerschnitt|delikanli|kunde ist könig 2|mula|u21|kafa denim|eksi|bas gasa|ali bumaye|ali bumaye döner|ali bumaye mert döner,212254,20072,787,748,https://i.ytimg.com/vi/B7MsnYcCooE/default.jpg,False,,DE,13
C52odOCDOO4,DAS KRASSESTE MOCHI DESASTER MIT @Joeys Jungle 😰😂,2020-09-13T10:00:09Z,UCG0E3naN7D-bgldOJvGHbtg,Julia Beautx,26,20.16.09,julia beautx|joeys jungle|mochis|tiktok|trend|challenge,533480,39759,1024,1450,https://i.ytimg.com/vi/C52odOCDOO4/default.jpg,False,,DE,14
R-Yq1AlIwsc,2020 Tuscan Grand Prix: Race Highlights,2020-09-13T17:23:39Z,UCB_qr75-ydFVKSF9Dmo6izg,FORMULA 1,17,20.16.09,F1|Formula One|Formula 1|Sports|Sport|Action|GP|Grand Prix|Auto Racing|Motor Racing|F1 race|Good F1 race|F1 Crashes|Tuscan|Tuscany|Formula 1 2020|Italy|Podiums|Lewis Hamilton|Alex Albon,3627158,80924,1672,7350,https://i.ytimg.com/vi/R-Yq1AlIwsc/default.jpg,False,,DE,15
DiL5KUO7vxA,1. Runde DFB-Pokal | SGD - HSV | Pressekonferenz nach dem Spiel,2020-09-14T20:38:31Z,UCTRY6TKbFpRuPvAIDJVKuaA,SG Dynamo Dresden e.V.,17,20.16.09,SG Dynamo Dresden|Dynamo Dresden|SGD|DynamoTV|Dynamo-TV|Club-TV|Vereins-TV|ClubTV|VereinsTV|Dresden|Dynamo|Dynamo Dresden Football Team|1953|sgd1953|Saison 2020/21|Saison 2020 2021|3. Liga|DFB|Bundesliga,42010,679,26,154,https://i.ytimg.com/vi/DiL5KUO7vxA/default.jpg,False,,DE,16
PULukFUT33Q,Asphalt - Vom Steinbruch auf die Straße | Die Nordreportage | NDR Doku,2020-09-14T13:07:49Z,UCTPAHk1b-h-WGQn9cfGlw2Q,NDR Doku,25,20.16.09,Doku|Reportage|Dokumentation|Asphalt|Fahrbahn|Fahrbahndecke|NDR|NDRDoku|Hannover|Niedersachsen|Basalt|Steinbruch|Straßenbau|Straßensarnierung|Autobahn|Schnellstraße|Bundesstraße|Radweg|Straße|Asphaltmischwerk|Basaltsteinbruch|Hamburg|Straßenarbeiter|Adelebsen|Göttingen,226132,3402,85,275,https://i.ytimg.com/vi/PULukFUT33Q/default.jpg,False,,DE,17
