video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
hlJB1wTn_so,حصري....والد  عدنان بوشوف  يكشف جديد القضية,2020-09-14T21:51:00Z,UCyaDuI8K0Ln2vqgFHAovCDw,ألوانكم alwankoum,22,20.16.09,alwankoum tv|alwankoum|صوت وصورة|اخبار المغرب|ألوانكم|ألوانكم tv|alwan|tv maroc|الوانكم تيفي|ساري كول|روتيني اليومي|مسلم|بيوتي|عاجل|كورونا|المغرب|البرلمان|الزروالي|عادل الميلودي|الحكومة|الحكرة|سعد المجرد|أيمن السرحاني,1126555,25614,818,3972,https://i.ytimg.com/vi/hlJB1wTn_so/default.jpg,False,,MA,1
MVVmvHHlOZk,تفاصيل تقديم المشتبه به في قتل الطفل عدنان أمام محكمة الاستئناف بطنجة,2020-09-14T21:36:34Z,UClozwh5URilIQpDFeXch8qw,2MTV,24,20.16.09,samhini 1212|مسلسل سامحيني|2m|2mtv|tv2m|soread|soread maroc|maroc|morocco|2m replay|2m tv maroc live en direct|قناة دوزيم,408052,4082,341,0,https://i.ytimg.com/vi/MVVmvHHlOZk/default.jpg,False,,MA,2
Nxs3uobMK2A,أستاذ عدنان: لا أستطيع النوم فقد مر من أمامي,2020-09-13T15:28:08Z,UC9ZzYa0P1bvA-gvwShrannQ,9avril ma,22,20.16.09,أخبار|maroc|9avril|المغرب|أبريل|tanger|tanja|طنجة|استاذ الطفل عدنان|مدرب الطفل عدنان|مدرب عدنان|عدنان بوشوف|عدنان|الطفل عدنان|الطفل عدنان بوشوف|شوف تيفي|9أبريل|المحكمة|محكمة الاستيناف|محكمة الاستيناف طنجة|اصدقاء عدنان|حي عدنان|مجتمع|عدنان المغربي|بوشوف|طنجة المدينة|القاضي|adnan bouchouf|tribunal,2855634,64336,1807,7820,https://i.ytimg.com/vi/Nxs3uobMK2A/default.jpg,False,,MA,3
AMwWu6yz25E,الأستاد الرفاعي يصرح : هدا ما قرر السيد الوكيل العام بطنجة  في ملف المرحوم عدنان,2020-09-14T12:36:12Z,UC0LSK5A4a3pMz9t88bp4BbA,anbae tv,25,20.16.09,الأنباء المغربية|شاهد|عاجل|الحلقة الكاملة|فضيحة حصريا|قبل الحذف|الرجاء الرياضي|الوداد البيضاوي|سعد لمجرد|دنيا بطمة|حمزة موبيبي|يوتيوب|المغرب|hamza mon bb|القائدة|القايدة حورية|مي نعيمة|مي نعيمة البدوية|اغاني مغربية|أخبار اليوم|حالة الطوارئ الصحية|زمن كورونا|actualité|anbaetv|anbae|anbaa|alanbaetv,390328,7138,811,2690,https://i.ytimg.com/vi/AMwWu6yz25E/default.jpg,False,,MA,4
OWwR_UPU-_Q,يوم خطوبتي 💍❤️ها  فين غدي نكمل حياتي🔐🖤,2020-09-14T17:11:27Z,UCKObHjWgWF5CBjlpjeWjDHg,Zineb Family,22,20.16.09,[none],225563,27188,2552,2609,https://i.ytimg.com/vi/OWwR_UPU-_Q/default.jpg,False,,MA,5
fMJZn5QeCoc,صنعت لبسة كاملة من أثاث Ikea فقط ! ( طلعت بيها 🤦‍♀️),2020-09-14T15:31:25Z,UCIH4yr8k49cL67ctHSM-ALQ,سكينة Soukaina,24,20.16.09,صنعت|صنعت أكبر|صنعت لبسة|صنعت فستان|صنعت لبسة كاملة من أثاث Ikea|صنعت لبس من أثاث ايكيا|ايكيا|إيكيا|Ikea|IKEA|Ikea Challenge|تحدي صنعت|طلبت لبسة كاملة|تحدي|أقوى تحدي|تحديات|تحدي اللبس|تحدي الأكل|فيديو ترفيهي|فيديوهات ترفيهية|سكينة|نور ستارز|أنس و أصالة|نارين بيوتي|Soukaina|Ayatee|Noor Stars|Anasala Family|Narins beauty|Challenge|Beauty|Haul|Fashion|تنسيق|تنسيقات|مقلب|جربت|خدع|جربت خدع|تحدي سكينة|تحديات سكينة|السعودية|الكويت|المغرب|الأردن|سكينه|فيديو,1494563,167455,3578,15995,https://i.ytimg.com/vi/fMJZn5QeCoc/default.jpg,False,,MA,6
m1xyNsyukrI,تفاصيل قتل الطفل عدنان بوشوف الذي عثر على جثته بعد اختطافه واغتصابه. كاميرا 2M انتقلت إلى عين المكان,2020-09-12T12:22:28Z,UClozwh5URilIQpDFeXch8qw,2MTV,24,20.16.09,samhini 1212|مسلسل سامحيني|2m|2mtv|tv2m|soread|soread maroc|maroc|morocco|2m replay|2m tv maroc live en direct|قناة دوزيم,2563089,31828,2183,0,https://i.ytimg.com/vi/m1xyNsyukrI/default.jpg,False,,MA,7
2h88XvlxR3k,واش تعالجت من الادمان 🤭😮😮رجوعي للبيت 🤗🤗,2020-09-13T14:55:51Z,UCkLVM-72DqCDi5psyXmeMag,Ikram Bellanova,26,20.16.09,وصفات|طبيعية|للوجه|جدتي|السحرية|وصفة|سريعة|لتبييض|الوجه|ستروبنغ|هايلايت|كونتور وهايلايت|تقنية الكونتور|كونتور الوجه|مكياج|highlighting|makeup|how to|highlighter|how|to|highligh,1351180,71231,3985,14665,https://i.ytimg.com/vi/2h88XvlxR3k/default.jpg,False,,MA,8
XvRzkMPyGsU,حصري .. أب الطفل عدنان بقلب موجوع يشكر المغاربة على تضامنهم ويحمد الله على مصابه,2020-09-12T18:42:21Z,UCvyivffb2WwNKonKiLwVAEQ,Hespress,25,20.16.09,[none],2935709,65316,1657,7222,https://i.ytimg.com/vi/XvRzkMPyGsU/default.jpg,False,,MA,9
frCOnhUGcnk,أول خروج إعلامي لرئيس الحكومة سعد الدين العثماني تعليقا على جريمة قتل الطفل عدنان بطنجة,2020-09-13T17:59:13Z,UC67nmHAaEmYiLHjQQm1SXdw,العمق المغربي,25,20.16.09,المغرب|العمق المغربي,835811,16819,1632,2802,https://i.ytimg.com/vi/frCOnhUGcnk/default.jpg,False,,MA,10
wNdQphD0M4w,واخيرا جاء اليوم المنتظر عيني دمعو 😪,2020-09-14T17:03:37Z,UC4pnNCA5AIsqVSIg7F-7Yeg,يوميااات نواره & مهند,1,20.16.09,8-16-20,347961,27580,374,10745,https://i.ytimg.com/vi/wNdQphD0M4w/default.jpg,False,,MA,11
zjudMYYd7z0,في لفتة إنسانية .. زملاء سابقون و لاعبون يساندون بلمعلم على طريقتهم الخاصة,2020-09-14T19:08:23Z,UCeOK-Kblp7K-M9xbAPSL7VQ,Elbotola,17,20.16.09,elbotola|el botola|Elbotola.com|elbotolatv|البطولة|helala boys|جمهور الوداد|winners|الوداد|المنتخب المغربي|جماهير الوداد|الرجاء|جمهور الرجاء|جمهور الوداد البيضاوي|المغرب|جماهير الرجاء|raja|الوداد البيضاوي|wac|الرجاء البيضاوي|wydad|elbotola مباريات اليوم|elbotola tv|botola maroc|elbotola cha3biya|el botola chaabia|البطولة المغربية|البطولة tv|كورة|UCeOK,130530,3302,58,233,https://i.ytimg.com/vi/zjudMYYd7z0/default.jpg,False,,MA,12
ieMlqZIRjUw,بلمعلم يطمئن الجماهير عن حالته الصحية و يتقدم بالشكر لعائلته و زملائه السابقين,2020-09-14T20:22:16Z,UCeOK-Kblp7K-M9xbAPSL7VQ,Elbotola,17,20.16.09,elbotola|el botola|Elbotola.com|elbotolatv|البطولة|helala boys|جمهور الوداد|winners|الوداد|المنتخب المغربي|جماهير الوداد|الرجاء|جمهور الرجاء|جمهور الوداد البيضاوي|المغرب|جماهير الرجاء|raja|الوداد البيضاوي|wac|الرجاء البيضاوي|wydad|elbotola مباريات اليوم|elbotola tv|botola maroc|elbotola cha3biya|el botola chaabia|البطولة المغربية|البطولة tv|كورة|UCeOK|بلمعلم,88116,1446,23,136,https://i.ytimg.com/vi/ieMlqZIRjUw/default.jpg,False,,MA,13
-vxOjmJyOgs,من قلب منزل بلمعلم .. الصالحي والعسكري وأولحاج جاو ساندوه وها شنو قالو على صاحبهم بعد إشاعة تشرده,2020-09-14T19:56:19Z,UCnDy06vggD-48O8ePrXMhAw,MFM Sport,17,20.16.09,Mfmsport|mfm|foot challenge|footchallenge|mfm sport|wydad|raja|rca|wac|real|football|botola|caf|koora|kooora|sport|challenge|frimija|maga|magana|curva sud|rahimi|moutouali|curva|viragiste|berkane|lakjaa|deplacement|متولي|الرحيمي|الماكانا|كورفا سود|كورفا|الزيات|السلامي|السفري|المكعازي|بركان|نهضة بركان|الرجاويون|الجراد|احتلال|البطولة|الجامعة|الناصيري|البرمجة|العصبة|التذاكر|نسهر بالليل|كابو|زكرياء|الزروالي|السكوادرا|سكوادرا|ياجور|حدراف|tunisie|taraji|est|الترجي|تونس|نجم الساحل|الأهلي,83380,1633,51,67,https://i.ytimg.com/vi/-vxOjmJyOgs/default.jpg,False,,MA,14
WpAaI5mkVI0,كاميرا ميدي1تيفي رسمت المسار من بيت المشتبه فيه إلى مكان دفن الضحية,2020-09-12T12:23:11Z,UCfXlL8avQjg74WbRyksr9bQ,Medi1TV,25,20.16.09,[none],632932,8103,559,1007,https://i.ytimg.com/vi/WpAaI5mkVI0/default.jpg,False,,MA,15
ZgtMezz-730,جريمة الطفل عدنان.. سيدة : مول الدار  لي كاري للمجرم ولد خالتي وها شنو كطالب فحقو,2020-09-13T14:02:17Z,UC1h-UpRTv2qvo52V8YBQyMw,akher khabar,25,20.16.09,طفل عدنان|عائلة الطفل عدنان|إغتصاب طفل عدنان|قتل طفل عدنان,266652,2962,278,910,https://i.ytimg.com/vi/ZgtMezz-730/default.jpg,False,,MA,16
WiNH-aJMuLg,صاحبة السعادة -  قصة هجرة (أحمد حلمى) الغير شرعية لإيطاليا من ورا أهله وهو صغير 🤣 🤣,2020-09-14T22:36:57Z,UC9pd5VvcJETJaNGz9_K3Pow,WATCH iT!,24,20.16.09,[none],439055,9315,686,497,https://i.ytimg.com/vi/WiNH-aJMuLg/default.jpg,False,,MA,17
AjlF9H_1PzM,صاحبة السعادة - شوفوا ازاى أحمد حلمى صمم يتقدم لمنى زكى وهو مش معاه ولا مليم  😍❤️,2020-09-14T21:23:06Z,UC9pd5VvcJETJaNGz9_K3Pow,WATCH iT!,24,20.16.09,[none],699533,13133,473,634,https://i.ytimg.com/vi/AjlF9H_1PzM/default.jpg,False,,MA,18
