video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
TzFRVk2ektI,MAX - Blueberry Eyes (feat. SUGA of BTS) [Official Music Video],2020-09-15T16:00:09Z,UCbwD4Ynubv_4Y-xDyIq86rw,MAXVEVO,10,20.16.09,MAX|Suga|Blueberry|Eyes|(feat.|SUGA|BTS)|[Official|Music|Video]|(SME/RED|JV)|LP2|Pop,2878656,886507,5260,69278,https://i.ytimg.com/vi/TzFRVk2ektI/default.jpg,False,,MX,1
cxpMUUdmtPY,NUESTRA CASA SE LLENA DE ANIMALES SALVAJES | LOS POLINESIOS VLOGS,2020-09-14T20:36:09Z,UCs8qka8tfhdc69wzXYdtZ3A,LosPolinesios,22,20.16.09,Platica polinesia|los polinesios|karen|rafa|lesslie|bromas|extras|personales,1914028,178263,2879,13913,https://i.ytimg.com/vi/cxpMUUdmtPY/default.jpg,False,,MX,2
RZIQTwHAPGk,"Una familia de 10, Capítulo 8: Martina... ¡¿embarazada?! | T4 | Distrito Comedia",2020-09-14T16:00:07Z,UCms2rIXwmMvIpDUU69X0PoQ,Distrito Comedia,24,20.16.09,Televisa|Distrito comedia|programas distrito comedia|Televisa comedia|Una familia de diez|segunda temporada|Jorge Ortiz de Pinedo|Mariana Botas|Andrea Torre|Daniela Luján|Jessica Segura|Eduardo Manzano|Primera temporada|Zully Keith|Ricardo Margaleff|Moisés Iván Mora|Camila Rivas|Tadeo Bonavides|familia de diez temporada 4|licha familia de 10 revive|capítulo 8|Martina embarazada|sugar daddy|Embarazo de Martina,1948353,34245,1636,1247,https://i.ytimg.com/vi/RZIQTwHAPGk/default.jpg,False,,MX,3
b13xnFp_LJs,Apple Event — September 15,2020-09-15T18:14:08Z,UCE_M8A5yxnLfW0KghEeajjw,Apple,28,20.16.09,Apple|iOS|iPhone|Mac|Apple Watch|Series 5|Series 6|iPad|iPad Air|Macbook|iMac|MacBook Pro|Fitness|Wellness|Illustration|Apple TV|Digital Art|AirPods|Apple Event|Apple Keynote|WWDC|September|Apple Special Event|Apple Launch,10132201,410038,34971,0,https://i.ytimg.com/vi/b13xnFp_LJs/default.jpg,False,,MX,4
7Nor9YPO9Kg,Mario Bautista - Tequila (Video Oficial),2020-09-15T06:04:15Z,UCI8F_Ztv2ypr3ecbh9HT8qQ,Mario Bautista,24,20.16.09,mario|bautista|comedia|gil|mario bautista gil|youtuber,807521,39795,892,8565,https://i.ytimg.com/vi/7Nor9YPO9Kg/default.jpg,False,,MX,5
_nFQUWzluNg,Pachuca [1-1] Monterrey | Juego completo | Jornada 10 Liga MX | Apertura 2020,2020-09-15T04:14:23Z,UCqfCJBfrFSO4tZM1LNZTBFQ,Marca Claro,17,20.16.09,pachuca|tuzos pachuca|tuzos|pachuca 2020|partidos de pachuca en vivo|pachuca liga mx|pachuca guardianes 2020|pachuca apertura 2020|pachuca vs monterrey|tuzos vs rayados en vivo|pachuca monterrey guardianes 2020 en vivo|pachuca monterrey apertura 2020 en vivo|tuzos vs rayados 2020 en vivo|rayados vs pachuca en vivo|monterrey en vivo|monterrey apertura 2020|monterrey guardianes 2020|rayados monterrey,518557,4792,250,13,https://i.ytimg.com/vi/_nFQUWzluNg/default.jpg,False,,MX,6
3hVoQNovhVs,Hot Dogs Caseros | La Capital,2020-09-14T21:00:01Z,UCEwl20VxZ3AwOgiKMZtI1GQ,La Capital,26,20.16.09,hot dogs a la parrilla|hot dogs envueltos tocino|hot dogs receta|la capital|como hacer chorizo|como se hacen salchichas|salchicha casera|oscar meza|chilidogs receta,2253298,175362,1501,9199,https://i.ytimg.com/vi/3hVoQNovhVs/default.jpg,False,,MX,7
ESocqUsZ2QA,#Guerreros2020:  Macky no acepta la decisión del tribunal en el último juego! | @Canal 5  ​,2020-09-15T04:12:45Z,UCRZSTf9laa2wkHPOaiOoldA,Canal 5,24,20.16.09,Canal 5|Guerreros 2020|Reality Guerreros 2020|#Guerreros2020|Cobras vs Leones|Macky González|Memo del Corral|Tania Rincón|Mauricio Barcelata|Magda Rodríguez|Carlos Aguilar ‘El Zar’|Brandon Castañeda|Said P|Dadvian Esparza|Dariana García|Agustín Fernández|Brenda Zambrano|Guty Carrera|Ferka|Diego Montu|Sebastián García|Potro|Julio Ron|Reno Rojas|Macky no acepta al tribunal|macky dicen callense|macky callense guerreros 2020|final guerreros 2020,232857,5330,648,3695,https://i.ytimg.com/vi/ESocqUsZ2QA/default.jpg,False,,MX,8
X-uJtV8ScYk,Stray Kids Back Door M/V,2020-09-14T08:59:57Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,10,20.16.09,JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|LEE KNOW|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|한지성|HAN|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|I.N|YANGJEONGIN|stray kids comeback|stray kids music video|skz back door|스트레이 키즈 back door|스트레이 키즈 백도어|스키즈 백도어|스키즈 back door|back door 뮤비|back door 뮤직비디오|백도어 뮤비|백도어 뮤직비디오|back door music video|back door mv|스트레이 키즈 뮤비|스키즈 뮤비|in life|stray kids in life|skz mv|스트레이 키즈 인생,14530328,1690191,16449,420916,https://i.ytimg.com/vi/X-uJtV8ScYk/default.jpg,False,,MX,9
eW7Twd85m2g,The Mandalorian | Season 2 Official Trailer | Disney+,2020-09-15T14:00:25Z,UCZGYJFUizSax-yElQaFDp5Q,Star Wars,24,20.16.09,[none],4095612,228024,1377,17164,https://i.ytimg.com/vi/eW7Twd85m2g/default.jpg,False,,MX,10
