video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
uGyzYwhleeE,Whenever You Call,2020-09-17T10:15:29Z,UCFK3iAGAFy6q8lS8NspImrQ,ARASHI - Topic,10,20.18.09,ARASHI|Bruno Mars|DMile|Whenever You Call,301538,23266,381,1712,https://i.ytimg.com/vi/uGyzYwhleeE/default.jpg,False,,JP,1
XatXG64RxUA,【衝撃】海で絡んできたヤンキー達に鉄拳制裁,2020-09-17T10:00:25Z,UCyck8jJ1yQzy82rLJ5nv8Gg,安保瑠輝也 あんぽるきや,24,20.18.09,朝倉未来|喧嘩自慢|ヤンキー|スパーリング|ぼったくりバー,690743,12025,722,3063,https://i.ytimg.com/vi/XatXG64RxUA/default.jpg,False,,JP,2
MH_vjfNPv70,BTS Performs Dynamite on AGT - Americas Got Talent 2020,2020-09-17T00:48:16Z,UCT2X19JJaJGUN7mrYuImANQ,Americas Got Talent,24,20.18.09,TV Series|Hilarious Music Songs|Highlights|Americas Got Talent|AGT|Americas Got Talent 2020|AGT 15|Americas Got Talent Season 15|New AGT|Funny Videos|Live Shows|Full Performance|AGT Full|AGT Live Shows|Highlights Previews|funny|clips|talent|talent show|방탄소년단|BTS|Dynamite|Dynamite MV|BTS Dynamite AGT|Dynamite AGT|BTS AGT|Kpop|Korean|Korean Pop|Jimin|J-Hope|Namjoon|Jungkook|Jin|Suga|Taehyung|Hoseok|RM|Hobi|Kpop Music Video|Music Video|BTS on AGT,7743272,1234052,12982,74024,https://i.ytimg.com/vi/MH_vjfNPv70/default.jpg,False,,JP,3
cp6stP2xLdk,TVアニメ『SHAMAN KING』ティザーPV,2020-09-17T01:00:05Z,UCR61XV4ROXhkcfLO31hTGuw,「KING AMUSEMENT CREATIVE」公式チャンネル,1,20.18.09,キンクリ|キングレコード|シャーマンキング|SHAMAN KING|武井宏之|日笠陽子|小西克幸|林原めぐみ|高山みなみ,759091,0,0,2380,https://i.ytimg.com/vi/cp6stP2xLdk/default.jpg,True,,JP,4
c_WT67oS_Ss,【ノーカット】岸信夫防衛大臣が着任　出迎え・栄誉礼、着任式,2020-09-17T09:18:06Z,UC1zYGo1jIIjMVDTLL3dydow,SankeiNews,25,20.18.09,産経新聞|sankei|防衛省|岸信夫|防衛大臣|栄誉礼|着任式,296046,6465,163,765,https://i.ytimg.com/vi/c_WT67oS_Ss/default.jpg,False,,JP,5
j-T0v7t2JvA,河野大臣「やめたらいい」　深夜の会見に苦言(2020年9月17日),2020-09-16T21:17:51Z,UCGCZAYq5Xxojl_tSXcVJhiQ,ANNnewsCH,25,20.18.09,ニュース|NEWS|ANN|テレビ朝日|テレ朝|tvasahi|TV ASAHI|provided|菅内閣|記者会見|行政改革|河野大臣|会見|在り方|苦言,1123286,19255,516,3025,https://i.ytimg.com/vi/j-T0v7t2JvA/default.jpg,False,,JP,6
CUY9beBLIKM,FINAL FANTASY XVI “AWAKENING”,2020-09-16T20:16:04Z,UC6SmH9mR82nj28_NNg_rZvA,スクウェア・エニックス,20,20.18.09,スクウェア･エニックス|スクエニ|SQUARE ENIX|スクエア|FF16|FFXVI|Final Fantasy XVI|Final Fantasy 16|ファイナルファンタジーXVI|ファイナルファンタジー16|PlayStation5|PS5,1069351,0,0,0,https://i.ytimg.com/vi/CUY9beBLIKM/default.jpg,True,,JP,7
jytHODUS8bk,本日リリース！iOS 14アップデートの主要新機能をまとめて試す・AirPods Proの空間オーディオが凄い！,2020-09-17T11:27:11Z,UCCD76tKlE45u1YTX0cVh1OQ,Appleが大好きなんだよ,26,20.18.09,Apple|WWDC|iOS14|iPhone|iPhone 12|iPhone 12 Pro|Appleのニュース|Appleが大好きなんだよ|5G|A14|A13|carkey|空間オーディオ|AirPods Pro|ウィジェット|ピクチャ・イン・ピクチャ|Appライブラリ|サイクリング|翻訳|背面タップ,130136,2468,128,40,https://i.ytimg.com/vi/jytHODUS8bk/default.jpg,False,,JP,8
MYawpxus2PA,【PS5予約戦争-徹底攻略】予約ページリンク先あり！予約の注意点も！ 本日予約開始！ PS5の予約方法、 みなきゃ損！ PS5,2020-09-17T07:00:35Z,UCBERF7Bp43yKWe-9e3fqoqw,Dゲイル,20,20.18.09,最新情報|ps4|ps5|SONY|割引|速報|まとめ|プレステ5|プレイステーション5|XboxシリーズX|XBOXSX|新作|SIE|Dゲイル|ソニー,290318,4701,289,1443,https://i.ytimg.com/vi/MYawpxus2PA/default.jpg,False,,JP,9
tefhjNW_b9A,私の病気について。今まで隠していた話。,2020-09-17T10:00:30Z,UCySfIDBkBFIICu4Bm0qwtSA,ゆりいちちゃんねる,24,20.18.09,ゆりいちちゃんねる|ゆりな|いちろー|カップル|彼氏|彼女|恋愛|病気|持病|シェーグレン症候群|シェーグレン症候群|症状|リウマチ|関節リウマチ|リウマチ|症状|リウマチ|原因|シェーグレン症候群|原因|全身性エリテマトーデス|全身性エリテマトーデス|症状|全身性エリテマトーデス|原因|難病|指定難病|膠原病|自己免疫疾患|入院|闘病|闘病期|病気について,505829,14487,372,1338,https://i.ytimg.com/vi/tefhjNW_b9A/default.jpg,False,,JP,10
