video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"nUaUYiUfX1c","日曜劇場『半沢直樹』9/27(日)最終回【TBS】","2020-09-20T13:07:09Z","UCxpIo6FFB7gMQz2Fy2X8XdQ","TBS公式 YouTuboo","24","20.21.09","堺雅人|上戸彩|及川光博|片岡愛之助|賀来賢人|今田美桜|筒井道隆|江口のりこ|柄本明|古田新太|井川遥|尾上松也|市川猿之助|北大路欣也|香川照之|池井戸潤|半沢直樹|日曜劇場|TBS|ドラマ","698592","5214","98","0","https://i.ytimg.com/vi/nUaUYiUfX1c/default.jpg","True","False","日曜劇場『半沢直樹』新シリーズ 最終回　9月27日よる9時放送!!2020年の日曜劇場にあの「半沢直樹」が帰ってくる！主演：堺雅人平成の30年間に放送されたドラマで最終回42.2％の視聴率を弾き出し、堂々の1位に輝いた驚異のドラマが令和の時代に再び登場！半沢直樹は新たなフィールドでも“倍返し”出来るのか！？☆番組公式サイト　https://www.tbs.co.jp/hanzawa_naoki/☆番組公式twitter　https://twitter.com/Hanzawa_Naoki/☆番組公式instagram　https://www.instagram.com/hanzawa_naoki_tbs/☆番組公式face book　https://www.facebook.com/hanzawa.naoki/■出演者【第１話～第４話】半沢 直樹…堺 雅人半沢 花…上戸 彩渡真利 忍…及川 光博黒崎 駿一…片岡 愛之助森山 雅弘…賀来 賢人浜村 瞳…今田 美桜諸田 祥一…池田 成志広重 多加夫…山崎 銀之丞三木 重行…角田 晃広玉置 克夫…今井 朋彦尾西 克彦…粟島 瑞丸平山 一正…土田 英生郷田 行成…戸次 重幸岡 光秀…益岡 徹加納 一成…井上 芳雄平山 美幸…南野 陽子銀行イメージキャラクター…夏目 三久ナレーション…山根 基世　　　　〇乃原 正太…筒井 道隆白井 亜希子…江口 のりこ箕部 啓治…柄本 明　　　　〇三笠 洋一郎…古田 新太女将・智美…井川 遥瀬名 洋介…尾上 松也伊佐山 泰二…市川 猿之助中野渡 謙…北大 路欣也（特別出演）大和田 暁…香川 照之【第４話～】半沢 直樹 … 堺 雅人半沢 花 … 上戸 彩渡真利 忍 … 及川光博黒崎 駿一 … 片岡愛之助森山 雅弘 … 賀来賢人乃原 正太 … 筒井道隆白井 亜希子 … 江口のりこ谷川 幸代 … 西田尚美山久 登 … 石黒 賢田島 春 … 入江甚儀曾根崎 雄也 … 佃 典彦苅田 光一 … 丸 一太笠松 茂樹 … 児嶋一哉的場 一郎 … 大鷹明良　 ○ 　福山 啓次郎…山田純大牧野 治…山本亨尾西 克彦…粟島瑞丸原田 浩平…持田将史富岡 義則…浅野和之　 ○ 　銀行イメージキャラクター … 夏目三久ナレーション … 山根基世　 ○ 　女将・智美 … 井川 遥瀬名 洋介 … 尾上松也神谷 巌夫 … 木場勝己紀本 平八 … 段田安則箕部 啓治 … 柄本 明中野渡 謙 … 北大路欣也（特別出演）大和田 暁 … 香川照之ほか","PT34S"
"4plnWnrmpoc","生後2ヶ月の子犬が家族に加わりました！","2020-09-20T11:00:11Z","UCsP3IvOPs_Bh0sYvfzYm6qA","ブルドッグぶるまるチャンネル","15","20.21.09","犬|ワンちゃん|ブルドッグ|子犬|ぶるまるチャンネル|ペット|Bulldog|dog","212219","7793","90","740","https://i.ytimg.com/vi/4plnWnrmpoc/default.jpg","False","False","みんなの癒し犬ブルドッグのぶるまるチャンネル登録はこちら↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓https://www.youtube.com/channel/UCsP3IvOPs_Bh0sYvfzYm6qA?sub_confirmation=1ぶるまるチャンネルをご覧の皆さんいつも応援ありがとうございます！◆インスタグラム☆ぶるまるの成長過程を毎日更新中☆https://www.instagram.com/burumaru/◆ツイッターぶるまるの姿をタイムリーにお届けしています！https://twitter.com/burumaruchannel＃犬＃ブルドッグ","PT5M2S"
"FHsUzuFO-ss","【お知らせ】YouTubeの活動をしばらくお休みします","2020-09-20T11:00:02Z","UCtubooLn_qgqoWsWS-UWuHw","宮迫ですッ!【宮迫博之】","24","20.21.09","宮迫博之|お笑い|宮迫ですっ！|エンターテイメント|芸能|芸人|雨上がり決死隊|YouTube|動画|トーク|初心|感謝|頑張ります","475002","16383","1268","1313","https://i.ytimg.com/vi/FHsUzuFO-ss/default.jpg","False","False","チャンネル登録お願いします！ http://www.youtube.com/channel/UCtubooLn_qgqoWsWS-UWuHw?sub_confirmation=1「宮迫ですッ！」チャンネルをご覧いただき、ありがとうございます。芸を通じて、皆さまにまた認めていただけるよう、何でもチャレンジしていきます。また一から頑張っていきますので、応援をよろしくお願いいたします。宮迫博之の公式HPはこちらhttps://miyasako-desu.com/宮迫のTwitter：https://twitter.com/motohage宮迫のBlog：https://ameblo.jp/miyasako-blog/宮迫のinstagram：https://www.instagram.com/miyasako_hiroyuki【カメラマン兼アシスタント】つつみのTwitter：https://twitter.com/hiroki_tsuttsunつつみのBlog：https://ameblo.jp/61892230/ニシキドアヤトのTwitter：https://twitter.com/art_0214ニシキドアヤトのInstagram：https://instagram.com/ayato_nishikidoチャンネル管理人・高橋のTwitter：https://twitter.com/takahashisan69動画に関するお問い合わせ先（YouTube広告や案件など）宮迫ですッ!【宮迫博之】チャンネル管理事務局info@miyasako-desu.com","PT20M30S"
"CqY-yyNC4-k","あさココLIVE 9/21 #asacoco","2020-09-20T21:27:49Z","UCS9uQI-jC3DE0L4IpXyvr6w","Coco Ch. 桐生ココ","24","20.21.09","hololive|ホロライブ|Vtuber|Hololive Production|Mori Calliope|Takanashi Kiara|Gawr Gura|Watson Amelia|Ninomae Ina’nis|asacoco|kiryucoco","162425","18323","107","565","https://i.ytimg.com/vi/CqY-yyNC4-k/default.jpg","False","False","夏休みが終わりました！みなさん、おはようございます！！あさココはニュース？ゴシップスクープ！？いいえ！ただのエンターテインメント！たのしんでいってね！☆メンバーシップ【桐生会】解禁！こちらから是非メンバーになってね！☆https://www.youtube.com/channel/UCS9uQI-jC3DE0L4IpXyvr6w/join■桐生ココ『サイン入りポストカード、代紋シール、お手紙付誕生日ボイス』販売中！https://hololive.booth.pm/items/2150613■桐生ココオリジナルデザインTシャツ(初公式グッズ！)　販売中！クソザコT　https://hololive.booth.pm/items/1796466あさココT　https://hololive.booth.pm/items/2186749ガチコイT　https://hololive.booth.pm/items/2213532ホロライブ所属、2019.12.28デビューしました！4期生で4代目会長の桐生ココ（Coco Kiryu）です。my twitter  ▼https://twitter.com/kiryucocoHey this is Coco Kiryu from hololive crew from Japan!Waiting for your follow / likes / subscribe♡ / ---------------------------------------------------------------------------------▼限定ボイス・グッズ(Voices/Goodies)https://hololive.booth.pm/▽ホロジュール（hololive member's Streaming Schedule）https://hololive.jetri.co/▼プレゼント・お手紙の送付先(Giving me gifts?)〒173-0003東京都板橋区加賀1丁目6番1号ネットデポ新板橋カバー株式会社　プレゼント係分　桐生ココ宛https://www.hololive.tv/contact---------------------------------------------------------------------------------*Check out our family*▼ホロライブプロダクション公式サイトhttps://www.hololive.tv/▼ホロライブプロダクション公式Twitterhttps://twitter.com/hololivetv▼ホロライブ公式チャンネルhttps://www.youtube.com/channel/UCJFZiqLMntJufDCHc6bQixg---------------------------------------------------------------------------------","PT25M44S"
"n-uhNWJbd_E","ヒカキンと家で目隠しUberEatsしたらまさかの結果に！！【グルメ】","2020-09-20T08:00:05Z","UCOjmYCnYlTcdoD2DKHvrV5g","HARUNA KOJIMA's cat nap","24","20.21.09","小嶋陽菜|こじはる|harunakojima|vlog|make|メイク|herlipto|sweet|MAQUIA|ノースリーブス|AKB48|AKB|アイドル|モデル|タレント|フレグランス|ネイル|ポリッシュ|にゃん|にゃんにゃん|猫|けむし","119585","3970","145","490","https://i.ytimg.com/vi/n-uhNWJbd_E/default.jpg","False","False","こんにちは！小嶋陽菜です💚なななんとヒカキンさんコラボ動画再び‼コジキンTV️😳わー💦今回は、おうちでUberEatsしました！初めて目隠し注文してみたらまさかの結果に😂ヒカキンさんと私のガチおすすめメニューも紹介します🙌🏻✨ヒカキンさんコラボ動画https://www.youtube.com/watch?v=7yB5triHZJM💋snsInstagram👩🏻・https://www.instagram.com/nyanchan22 👶🏻・https://www.instagram.com/kemushichan22Twitter・https://twitter.com/kojiharunyanTikTok・http://vt.tiktok.com/dfD16Q/💄Herliptohttp://www.herlipto.jphttps://www.youtube.com/channel/UCEg8AZK9VOHDVu1nMrqY1xg#ヒカキン #こじはる #ウーバーイーツ","PT13M42S"
"rgfTJLZ_mtg","【DeNA vs 巨人】ダイジェスト　公式戦 2020/9/20｜横浜DeNAベイスターズ（公式）","2020-09-20T08:47:49Z","UChJI9KrjSgPzv_kfX6yuqhA","YOKOHAMA DeNA BAYSTARS CHANNEL","17","20.21.09","プロ野球|横浜|DeNA|ベイスターズ|横浜スタジアム|BAYSTARS","50662","334","45","215","https://i.ytimg.com/vi/rgfTJLZ_mtg/default.jpg","False","False","2020シーズン　公式戦","PT3M17S"
"ObSv5WtdzNQ","自分の山をバイクで登ったら盛大にコケた……","2020-09-20T07:31:57Z","UCIJPUOgFIBu8TiXUa9hRWYw","CABHEY RIDE ON!!","2","20.21.09","キャンプ|アウトドア|ソロキャン|バイク|モトブログ|オフロード|林道","432477","11311","155","737","https://i.ytimg.com/vi/ObSv5WtdzNQ/default.jpg","False","False","誰でもオフロードバイク体験できる場所↓（※免許無くてもイケるらしい）https://sherco.jp/testride/今回お借りしたバイク「TY125 Classic」↓https://sherco.jp/lineup/ty125-classic/[ゲームチャンネル]https://www.youtube.com/channel/UC0iNpcyM6QkUlX9mzziauQA[Twitter]https://twitter.com/cabhey_dj[Instagram]https://www.instagram.com/dj_cabhey[Music/SE]DOVA-SYNDROME:https://dova-s.jp/NCS:https://soundcloud.com/nocopyrightsoundsperitune:http://peritune.com/","PT8M35S"
"-RxGenCb7II","志麻にドッキリしかけたらまんまとひっかかった！","2020-09-20T09:00:01Z","UCA_t0trBs1Fcb6U4HeUGT4g","浦島坂田船公式チャンネル","24","20.21.09","うらたぬき|志麻|あほの坂田|となりの坂田|センラ|うらしまさかたせん|歌い手|歌ってみた|もじおこし|文字起こし|げつらじ|urasimasakatasen|usss|意思疎通ゲーム","111476","16463","25","1854","https://i.ytimg.com/vi/-RxGenCb7II/default.jpg","False","False","意思疎通ゲームでどっきりしかけてみた！【本編】YOUTUBE毎週月曜日21時頃～生放送「浦島坂田船のげつようび。」チャンネル登録・高評価よろしくお願いします！■浦島坂田船 うらたぬき Twitter ： https://twitter.com/uratasama Youtube：https://www.youtube.com/channel/UClaxMaRbq4onTU-YYnAs-xQ志麻 Twitter ： https://twitter.com/shima_s2 Youtube：https://www.youtube.com/channel/UCDIWpMZKXTng4mT4eMF5oTA坂田 Twitter ： https://twitter.com/sakatandao Youtube：https://www.youtube.com/channel/UCvOX0NWMvYrgSV15vuxV4Pgセンラ Twitter ：https://twitter.com/sen_sen_sen_sen Youtube：https://www.youtube.com/channel/UCGQg0ZjM_QQ2jvUd5j9Fp-Q浦島坂田船Twitter ： https://twitter.com/USSS_info使用楽曲：DOVA-SYNDROME(https://dova-s.jp/)","PT12M32S"
"XK3763kiko4","TREASURE - ‘사랑해 (I LOVE YOU)’ 0920 SBS Inkigayo","2020-09-20T07:48:45Z","UCx9hXYOCvUYwrprEqe4ZQHA","TREASURE (트레저)","24","20.21.09","YG Entertainment|YG|와이지|K-pop|트레져|트레저|TREASURE|CHOI HYUN SUK|JIHOON|YOSHI|JUNKYU|MASHIHO|YOON JAE HYUK|ASAHI|BANG YE DAM|DOYOUNG|HARUTO|PARK JEONG WOO|SO JUNG HWAN|최현석|지훈|요시|준규|마시호|윤재혁|아사히|방예담|도영|하루토|박정우|소정환|TREASURE 사랑해|사랑해|THE FIRST STEP|CHAPTER TWO|트레저 사랑해|트레저 B.L.T|TREASURE B.L.T|B.L.T|Bling Like This|TREASURE BLT|트레저 BLT|THE FIRST STEP : CHAPTER TWO|인기가요|Inkigayo|트레저 인기가요","788757","164900","448","8985","https://i.ytimg.com/vi/XK3763kiko4/default.jpg","False","False","Copyrightⓒ2020 SBS Contents Hub Co., Ltd. & YG Entertainment Inc. All rights reserved.[TREASURE - ‘사랑해 (I LOVE YOU)’ 0920 SBS Inkigayo]*NAVER TV로 보기 : https://tv.naver.com/v/15870556#TREASURE #트레저 #사랑해 #ILOVEYOUMore about TREASURE @https://yg-treasure.comhttps://www.youtube.com/OfficialTreasurehttps://www.facebook.com/OfficialTreasurehttps://www.twitter.com/ygtreasuremakerhttps://www.twitter.com/treasuremembershttps://www.instagram.com/yg_treasure_official","PT3M24S"
"L1lbs4NSOK8","赤穂さんと【那須川天心 VS 皇治】について話してみた","2020-09-20T09:00:08Z","UCgwNAGfFi6SLkqF0nJnUv9A","京口紘人 Hiroto Kyoguchi【WBA世界王者】","24","20.21.09","ボクシング|京口紘人|京口チャンピオン|世界チャンピオン|WBA|ワタナベジム|boxing","113256","1741","97","448","https://i.ytimg.com/vi/L1lbs4NSOK8/default.jpg","False","False","赤穂選手のルーTUBEhttps://www.youtube.com/channel/UCs4SWGY2QLsLHY5m0xNk3nw◆赤穂亮選手情報第32代OPBF東洋太平洋スーパーフライ級王者。第71代日本バンタム級王者。横浜光ボクシングジム所属。◆京口紘人 公式LINE開設しました！https://lin.ee/2UazBkMトレーニングの合間をみて週2回(火曜・金曜)更新目標に頑張ります！SNSで京口紘人のプライベートな発信してます！フォローよろしく！▼TikTokhttps://vt.tiktok.com/U9vyTS/▼Instagramhttps://www.instagram.com/hiroto_boxer/▼Twitterhttps://twitter.com/HirotoK1127※コメントは運営が管理しています【Produced by...】https://twitter.com/ma_shi_onoda#ボクシング世界チャンピオン","PT16M21S"
