video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
RXpGypeg1HU,"Polo G, Jack Harlow and Lil Keeds 2020 XXL Freshman Cypher",2020-09-08T16:00:05Z,UCbg_UMjlHJg_19SZckaKajg,XXL,10,20.09.09,cypher|cyphers|hip-hop|rap|rapper|polo g|lil keed|jack harlow|xxl freshman|xxl freshmen|2020 xxl freshman|2020 xxl freshmen|hip-hop cypher|hip-hop cyphers|polo g lil keed jack harlow cypher|polo g cypher|jack harlow cypher|lil keed cypher,1569285,142489,3564,23498,https://i.ytimg.com/vi/RXpGypeg1HU/default.jpg,False,,CA,1
ifm8tpcO4vw,Hyrule Warriors: Age of Calamity - A story 100 years before The Legend of Zelda: Breath of the Wild,2020-09-08T14:00:11Z,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo,20,20.09.09,nintendo|play|play nintendo|game|gameplay|fun|video game|kids|action|adventure|rpg|Nintendo Switch|Hyrule Warriors|Age of Calamity|Breath of the Wild|The Legend of Zelda|Link|Zelda|Daruk|Mipha|Urbosa|Revali|Action|Musou,2384548,164877,2091,18044,https://i.ytimg.com/vi/ifm8tpcO4vw/default.jpg,False,,CA,2
KHLfCFMKxPg,Xbox Series S - World Premiere Reveal Trailer,2020-09-08T16:34:36Z,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,20,20.09.09,Xbox|xbox 360|Xbox One|Xbox Series X|Xbox Series S|Series S|Series X|Xbox next-gen|Xbox console|Xbox gaming|Xbox next-gen console|Xbox Series X games|Xbox Games Studios|Xbox Series S games|Xbox Series S games trailer|Xbox Game Pass|Halo Infinite|Destiny 2 Beyond Light|Cyberpunk 2077|Asassins Creed Valhalla|Lego Star Wars|official trailer|world premiere|reveal|new xbox,1654477,113197,4568,10945,https://i.ytimg.com/vi/KHLfCFMKxPg/default.jpg,False,,CA,3
uDMWRRAEogs,Hyrule Warriors: Age of Calamity - Announcement Trailer - Nintendo Switch,2020-09-08T14:15:07Z,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo,20,20.09.09,nintendo|play|play nintendo|game|gameplay|fun|video game|kids|action|adventure|rpg|Hyrule Warriors|Zelda|Musou|Breath of the Wild|Nintendo Switch|Age of Calamity|Link|Daruk|Mipha|Revali|Urbosa,1743868,138656,1676,15713,https://i.ytimg.com/vi/uDMWRRAEogs/default.jpg,False,,CA,4
8K0lnarZ0oQ,The Travis Scott Meal | McDonald’s,2020-09-08T16:45:11Z,UCRI5ZedBs0_BYY4PlxD6m7w,McDonalds,1,20.09.09,[none],603203,26754,3183,0,https://i.ytimg.com/vi/8K0lnarZ0oQ/default.jpg,False,,CA,5
RAoe0VtwB0o,Try Not To Laugh Challenge #53,2020-09-08T17:00:04Z,UCYJPby9DRCteedh5tfxVbrw,Smosh Pit,22,20.09.09,smosh|smosh pit|smosh games|funny|comedy|Try Not To Laugh Challenge #53|try not to laugh|smosh try not to laugh,731558,48059,787,3124,https://i.ytimg.com/vi/RAoe0VtwB0o/default.jpg,False,,CA,6
eNu4u9ic-Rk,Jai attrapé la Covid-19 ! (cétait pas marrant...),2020-09-08T16:00:07Z,UCWnfDPdZw6A23UtuBpYBbAg,Dr Nozman,28,20.09.09,dr nozman|nozman|docteur nozman,610884,52356,842,3883,https://i.ytimg.com/vi/eNu4u9ic-Rk/default.jpg,False,,CA,7
C19IgOGkYGs,DMing Celebrities To Pick My Makeup!,2020-09-08T19:00:22Z,UCucot-Zp428OwkyRm2I7v2Q,James Charles,24,20.09.09,james|james charles|makeup artist|mua|covergirl|coverboy|cute|easy makeup|how-to|reviews|tutorials|funny videos|beauty tips|hacks|beauty|sister|morphe|james charles x morphe|beauty hacks|makeup 2020|prom makeup|how to apply makeup for beginners|tik tok makeup|tik tok beauty hacks|DMing celebrities to pick my makeup|celebrities|miley cyrus|selena gomez|rare beauty|cardi b|gigi hadid|review|pick my makeup|wap|megan the stallion|rita ora|karol g|rosalia,3637898,296179,3226,22969,https://i.ytimg.com/vi/C19IgOGkYGs/default.jpg,False,,CA,8
R4LyvUYb2mo,Is McDonalds NEW Travis Scott Meal A Hit?,2020-09-08T14:31:20Z,UCeR0n8d3ShTn_yrMhpwyE1Q,TheReportOfTheWeek,24,20.09.09,mcdonalds|travis scott|travis scott meal|travis scott burger|travis scott mcdonalds|travis scott review|mcdonalds travis scott meal|mcdonalds review|burger|quarter pounder|fast food|new menu item|meal|food|review|food review|mcdonalds travis scott burger|fries|mcdonalds fries|sprite|soda|music|asmr|muckbang|meme|funny|eating show|foodie|reviewbrah|worth it|try guys|reportoftheweek|thereportoftheweek|mr rogers,548927,32753,1162,4468,https://i.ytimg.com/vi/R4LyvUYb2mo/default.jpg,False,,CA,9
z2FHrzobOBA,Apple CONFIRMS iPhone 12 Event for September 15th!,2020-09-08T15:41:58Z,UCa962e5dqRMO1nUldwaaRMw,Tailosive Tech,28,20.09.09,Tailosive|Tech|Technology|Science|Modern Day|Apple|Apple Event|iPhone|2020 iPhone|iPhone 12|iPhone 12 Max|iPhone 12 Pro|iPhone 12 Pro Max|Apple Watch|iOS 14|watchOS|watchOS 7|Series 6|Mac|macOS|iPad|iPadOS|iPad Air|iPad Air 4,134924,5813,208,844,https://i.ytimg.com/vi/z2FHrzobOBA/default.jpg,False,,CA,10
