video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
tAHK6E03ORo,RIFKA | BANDE-ANNONCE (film),2020-09-08T20:00:10Z,UCXts-9x_n6jQ-ZOAvJ1JqNw,Rifka Bjm,23,20.09.09,Rifka|farouk|Farouk BJM|Rifka Snapchat|Snapchat Algérie|Instagram|RIFKA INSTAGRAM|RIKFA INSTAGRAM STORIES|STORY RIFKA|STORY RIFKA INSTAGRAM|RIFKA INSTA,381938,80950,1368,4250,https://i.ytimg.com/vi/tAHK6E03ORo/default.jpg,False,,DZ,1
Ige6B5Skh9E,INTERNET KID,2020-09-08T20:00:24Z,UCqsmJ7uFvg2c7JxoLERFxpQ,Mourad oudia,23,20.09.09,[none],279628,83712,428,4010,https://i.ytimg.com/vi/Ige6B5Skh9E/default.jpg,False,,DZ,2
qGXhjG5Q_xA,اكبر حفلة معرفة جنس مولود في العالم (برج خليفة),2020-09-08T22:20:48Z,UCqJNTGwKmgMCwfYDbnz514Q,anasala family I أنس و أصالة,24,20.09.09,اصالة|اصاله|انس مروة|اول مرة|بيبي|تسبح|اصالة و انس|انس و اصالة|سيارة|انس واصالة|اصالة مالح|انس|انس مروة و اصالة|اصالة و انس مروة|anasmarwah|anas marwah|ميلا مروة|anasala|عائلة انس و اصالة|anasala family|أنس مروة|اصالة وانس مروة|انس و اصاله|مع اصالة و انس مروة|عائلة انصالة|حامل|اصالة حامل|الجنين|برج|خليفة|اكير|حفلة معرفة|جنس جنين|في|العالم,3791396,642733,7080,131917,https://i.ytimg.com/vi/qGXhjG5Q_xA/default.jpg,False,,DZ,3
vAMfxA8TiPE,قصتي ... (مالا تعرفونه عن نهلة),2020-09-08T20:00:06Z,UCkViWev_G6I7jwTn_NkXSsw,Nahla Tv,23,20.09.09,[none],78479,14907,183,964,https://i.ytimg.com/vi/vAMfxA8TiPE/default.jpg,False,,DZ,4
FFqVozR3FlI,Djalil Palermo ft. Housseyn Benguerna - Roho Qololha - روحو ڨولولها (Official Music vidéo 2020),2020-09-07T16:00:29Z,UCOcvs1_9aisC-ZSkuyLhCog,Housseyn Benguerna,10,20.09.09,courage|didine clash|rosa|bye bye salam|alger|algerie|maroc|houcine benguerna|kader japonais|faycal sghir|maya|twahachtek|rap dz|rai|fethi manar|kenza morsli|souhila benlachehab|dj adel|nachi walid|saad lamdjarad|mohammed ramadane|sch|anas|dropzik|dropzik digital|djalil palermo roho qoulolha|roho qololha|Djalil Palermo|Mouh Milano,1157172,101689,2376,8047,https://i.ytimg.com/vi/FFqVozR3FlI/default.jpg,False,,DZ,5
GEZ26zwOlYA,تركت أهلي 💔 | مؤثر,2020-09-07T18:19:28Z,UCVPdqf6ZslqK6SDQiFy9igg,Ragoode,22,20.09.09,رغد|روان وريان,2703754,217898,5436,39714,https://i.ytimg.com/vi/GEZ26zwOlYA/default.jpg,False,,DZ,6
X1PXUwhGvv8,Bilal Sghir (Ma Tahagrouch el wliya) extrai 2020 par Harmonie édition,2020-09-08T16:05:18Z,UCN5fymQZEncrObJ3fNuVnoQ,Bilal Sghir l بلال صغير,10,20.09.09,[none],40177,3266,40,208,https://i.ytimg.com/vi/X1PXUwhGvv8/default.jpg,False,,DZ,7
zambbJw0qjM,ZEDK - SAB صّب ( LYRICS VIDEO ),2020-09-06T15:20:11Z,UCbBOtyaKmIf1uK5BhDYLW1w,ZEDKARIA Officielle,10,20.09.09,[none],797138,74424,2377,11162,https://i.ytimg.com/vi/zambbJw0qjM/default.jpg,False,,DZ,8
so6NgAepObk,اول تبحيرة ليا هذ العام 😦شاركت معاكم وش ديت و كلش 🤔شوفو الاخير وين ركبت و صورتلكم,2020-09-08T19:38:21Z,UCDloHcFcUmVP3Cu5LD7a0GQ,cuisine amira _ الطباخة الصغيرة,24,20.09.09,[none],131092,11424,643,4231,https://i.ytimg.com/vi/so6NgAepObk/default.jpg,False,,DZ,9
SEgm4HUwDgM,جولة نسائية مع صديقة 😁في ميزكم  وين رحنا؟؟😄vlog,2020-09-08T21:19:32Z,UC-eJTpTf7iJhrTtZY7vkFKQ,يوميات زينب و هواري,26,20.09.09,جولة في شوارع المدينة|أروع الوصفات|كيفية ترتيب وتنظيف المطبخ|وصفات تقليدية|نشاطات منزلية|افكار و تدابير|وصفات زنوبية|فيديو2019|روتينات|وصفات جزائرية|vlog|وصفات 2019|مشترياتي من المجوهرات|فلوج ليوم|يوميات زينب العباسية|وصفات زنوبة|روتينات زينب العباسية|تحضير اسهل وصفة في العالم|وصفات افكار واسرار مع زينب|تحدي|Cooking recipes from Zainab|Cleaning routine|Recipes Algerian cooking|Algerian cuisine|Moroccan cuisine|فلوج جديد|مشترياتي البسيطة|جولة نسائية,27593,3093,87,476,https://i.ytimg.com/vi/SEgm4HUwDgM/default.jpg,False,,DZ,10
FgTeF0IGJ-8,ترقبوا جديد ديدو الباريسيان في أغنية بعنوان :  (باي باي الميزيرية),2020-09-06T18:43:59Z,UC7C75fM3ujvuZ74HEKsm-EA,Didou Parisien Officiel,10,20.09.09,[none],214116,5728,482,319,https://i.ytimg.com/vi/FgTeF0IGJ-8/default.jpg,False,,DZ,11
KgDq-o-WZ5E,ZEDK - Lbat y3oum البط يعوم ( Clip Officiel ),2020-09-05T17:10:02Z,UCbBOtyaKmIf1uK5BhDYLW1w,ZEDKARIA Officielle,10,20.09.09,[none],1004164,89901,2970,9161,https://i.ytimg.com/vi/KgDq-o-WZ5E/default.jpg,False,,DZ,12
