video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
NfXHtQHFj6s,"КАК СДЕЛАТЬ СТАНОК, ЧТОБЫ СДЕЛАТЬ СТАНОК",2020-09-08T15:00:42Z,UCsJR1qQDNyFvsX_9_bNM63A,Доктор Дью,23,20.09.09,DIY|самоделки|сделай себе|wow|топ самоделок|инструмент|у каждого|своими руками|полезный инструмент|простое|интересный|крутая идея|Как сделать|в домашних условиях|how to make,621093,92125,1010,5572,https://i.ytimg.com/vi/NfXHtQHFj6s/default.jpg,False,,RU,1
W2smlH8YwnA,Модный приговор. Дело: «Гну свою линию… бровей». Выпуск от 08.09.2020,2020-09-08T09:00:05Z,UCXD7f0D8ayYUTGHHPe5LozA,Модный приговор,24,20.09.09,модный приговор|модный|стиль|мода|Александр Васильев|Эвелина Хромченко|Надежда Ангарская|Гну свою линию… бровей,253483,6763,1130,1226,https://i.ytimg.com/vi/W2smlH8YwnA/default.jpg,False,,RU,2
XJvimclR8o0,Михаил Ефремов приговорен к 8 годам колонии,2020-09-08T10:16:12Z,UCRHhScZmH-SfBin8tbTixPA,СЕГОДНЯ,25,20.09.09,ДТП|знаменитости|суды|артисты|расследование|Михаил Ефремов|автоаварии|актеры|дело Ефремова|дело Михаила Ефремова|аресты|приговоры|приговор суда,538074,5430,1274,4641,https://i.ytimg.com/vi/XJvimclR8o0/default.jpg,False,,RU,3
UqjkaCwek1Y,Нурлан Сабуров StandUp на ТНТ,2020-09-08T13:13:39Z,UCou9mY4KG6IEZcj-jNZicgg,STAND UP,24,20.09.09,[none],978782,46172,2996,1466,https://i.ytimg.com/vi/UqjkaCwek1Y/default.jpg,False,,RU,4
pRyeXheb2dk,Я купил Range Rover лучше!,2020-09-07T16:50:18Z,UC9XJvt8OT-9_8QHDBdqocaw,Жекич Дубровский,2,20.09.09,Жекич Дубровский|Синдикат|ремонт|дешево|своими руками|за копейки|восстановили|гараж|коплю на феррари|авто|восстановление авто|автомобиль|тачки|ремонт в гараже|гаражные будни|нашли гараж|купили|по низу рынка|дешевки|Операция феррари|Тачка Невозврата|Тачка за копейки|Land Rover|Range Rover|PONTOREZKA|Понторезка|Рендж ровер за копейки|дизельный|как выбрать Рендж Ровер|Range Rover Sport,2095724,125864,3242,3792,https://i.ytimg.com/vi/pRyeXheb2dk/default.jpg,False,,RU,5
aJiZApIFeBw,ЯБЛОКИ В КАРАМЕЛИ ~чудесный вкус~,2020-09-07T15:37:48Z,UCyJrhZm9KXrzRub3-wD2zWg,TheBrianMaps,24,20.09.09,thebrianmaps|Брайн Мапс|юмор|брайн пытается готовить|готовим с брайном|яблоки в карамели,2211130,319999,3719,22573,https://i.ytimg.com/vi/aJiZApIFeBw/default.jpg,False,,RU,6
wvlj_Z50MuA,Приговор Ефремову: 8 лет колонии,2020-09-08T15:53:39Z,UCVSw9pZrmStZAgQQSz5RQKA,Life Новости,25,20.09.09,[none],444768,2654,761,241,https://i.ytimg.com/vi/wvlj_Z50MuA/default.jpg,False,,RU,7
_rUohuhGHVs,КАРУСЕЛЬ РАЗЖИЖАЕТ МОЗГ [ Треш Обзор ],2020-09-08T11:58:57Z,UCoAEj6XaIzqxQ5C5OUIGcZA,Chuck Review,1,20.09.09,актер|треш|критика|кринж|трэш|трешобзор|треш обзор|трэш обзор|обзор|деградация|обзор на плохое|trash tv|треш шоу|юмор|черный юмор|телеканал карусель|chuck review|смешной обзор|show|смешное|подборка|деградация телевидения|треш на российском тв,362396,59155,623,5216,https://i.ytimg.com/vi/_rUohuhGHVs/default.jpg,False,,RU,8
8kUNwstNh7A,Новые извращения от кадыровцев,2020-09-08T06:00:02Z,UCgggK05bEJ1BAQ2NTUn4igA,ABU-SADDAM SHISHANI,22,20.09.09,Тумсо Абдурахманов|abusaddamshishani|Tumso Abdurakhmanov|Тумсу Абдурахманов|Тумсо|Абу Саддам|Шишани|Абу Саддам Шишани|Tumsu Abdurakhmanov|Tumso|Abu Saddam|Shishani|Chechenia|Чечня|1адат,370560,17289,1495,4455,https://i.ytimg.com/vi/8kUNwstNh7A/default.jpg,False,,RU,9
5WQ-hIiNPRw,ТЫ НЕ ДОЛЖЕН ЭТО ОТКРЫВАТЬ [Топ Сикрет],2020-09-07T16:58:49Z,UC8M5YVWQan_3Elm-URehz9w,Utopia Show,24,20.09.09,Ящик диббука|диббук|паранормальное|демоны|призраки существуют|утопия шоу|топ сикрет|utopia show|top secret|разоблачение мистики|мистика|существуют ли демоны|снятое на камеру,1869722,296556,1969,16936,https://i.ytimg.com/vi/5WQ-hIiNPRw/default.jpg,False,,RU,10
