video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
HARdHQb1Li4,Chocolate - Tony Kakkar ft. Riyaz Aly & Avneet Kaur | Satti Dhillon | Anshul Garg,2020-09-08T11:30:15Z,UCLtNvbkqea8wN_kGtfgx_Mw,Desi Music Factory,10,20.11.09,tony kakkar|music|song|desi music factory|chocolate|riyaz|avneet kaur|kudi to chocolate|new song 2020|chocolate song|choclate|riyaz and avneet|yo yo honey singh songs|latest hindi song 2020|neha kakkar songs|badshah songs|riyaz live|avneet live|carriminati roast,13176087,686905,548289,125975,https://i.ytimg.com/vi/HARdHQb1Li4/default.jpg,False,,IN,1
VU6ZUcxFgqE,AYEN KIVEN : Gippy Grewal Ft. Amrit Maan (Full Video) Latest Punjabi Songs | Geet MP3 | Album 22Sept,2020-09-09T04:30:08Z,UClZF7OsrECe3t_ADrjZEh_Q,Geet MP3,10,20.11.09,geet mp3|gk digital|latest punjabi songs|latest punjabi song 2020|new punjabi song|new punjabi song 2020|new punjabi songs 2020|trending songs|punjabi song 2020|karan randhawa new song|latest punjabi songs 2020|new video song 2020|punjabi songs|latest punjabi song|Gippy Grewal|Amrit Mann|Gippy Grewal and Amrit Mann|ayen kive amrit maan|Ayen Kiven Gippy grewal|Ayen kive|Ayen Kiven|new punjabi songs|the main man album|the main man gippy grewal,7615974,262524,11369,38554,https://i.ytimg.com/vi/VU6ZUcxFgqE/default.jpg,False,,IN,2
rvrrpmH0Y3E,Chale Gaye Chale Gaye | Himesh Reshammiya | Dialogue with Beats | Yashraj Mukhate,2020-09-09T13:26:22Z,UCBZQAxIn4Mxc2_P2LNsO_RA,Yashraj Mukhate,10,20.11.09,[none],4299244,596430,27868,43690,https://i.ytimg.com/vi/rvrrpmH0Y3E/default.jpg,False,,IN,3
t3i3Qa1k-ys,SANGDI SANGDI : TARSEM JASSAR (Official Video) | Nimrat Khaira | MixSingh | New Punjabi Songs 2020,2020-09-09T02:30:46Z,UCyXTmEh_ftszgyO3FTe4-jA,VehliJantaRecords,10,20.11.09,sangdi sangdi|sangdi sangdi by tarsem jassar|tarsem jassar|sangdi sangdi by nirmat khaira|nimrat khaira|tarsem jassar new song|sangdi sangdi new song|latest punjabi songs 2020|new punjabi songs 2020|latest punjabi song 2020|new punjabi song 2020|tarsem jassar new punjabi songs 2020|sangdi sangdi new punjabi songs 2020|nirmat khaira new punjabi songs 2020|tarsem jassar latest punjabi songs 2020|new song 2020|punjabi songs|vehli janta records,5984044,225074,3836,22833,https://i.ytimg.com/vi/t3i3Qa1k-ys/default.jpg,False,,IN,4
BWGFNba-F7Y,Another Phone Conversation Between TV Actress Sravani and Tik Tok Devaraj | Samayam Telugu,2020-09-10T08:00:28Z,UCE8KNq9oibK4AdPw_iWrS1Q,Samayam Telugu,24,20.11.09,Samayam Telugu|Telugu videos|Samayam Videos|Producer Ashok Reddy|TV Actress Sravani|TV Actress Sravani Case|Manasu Mamatha Serial|Mouna Ragam Serial|Tik Tok Devaraj Reddy|Sai Krishna Reddy|Sravani|Telugu Videos|Telugu Viral Videos,267174,2191,222,303,https://i.ytimg.com/vi/BWGFNba-F7Y/default.jpg,False,,IN,5
kafvfDp7IU0,My Daily Routine With My Daughter | CookWithNisha,2020-09-10T08:30:01Z,UCxSI_ScvntwbqmDD7VkspUQ,Cook With Nisha,26,20.11.09,cook with nisha|indian recipes|recipe|nisha|tasty|cooking|indian food|india|indian street food|food vlog|hindi blog|blogger|food review|mymissanand|miss anand|shrutiarjunanand|shruti|MyMissAnand|Celebration|Festive season|Family get together|a day in my life|day routine|online class routine|miracle mom|moms life|motherhood|healthy snacks|fruits|family lunch|cookwithnisha day routine|mymissanand day routine|mymissanand online class|mothers love|day|vlog,745813,52496,1789,4007,https://i.ytimg.com/vi/kafvfDp7IU0/default.jpg,False,,IN,6
-QGhPsP1vS8,Real Vs Cake Food Eating Challenge | Realistic Cakes Eating Challenge | Hungry Birds,2020-09-09T07:28:09Z,UCTLZ1jlmY-VogpQXng48iKQ,Hungry Birds,27,20.11.09,real cakes that look real|real cake vs fake cake|real cake making|realistic cakes|realistic cakes look like everyday objects|realistic cake cutting|Real Vs Cake Food Eating Challenge|food competition|food challenge|food challenge india|food competition india|fun food challenge|funny food competition|hungry birds|hungry birds channel|hungry birds first video|hungry birds video|food eating competition|food eating competition india,2879513,98816,11206,22823,https://i.ytimg.com/vi/-QGhPsP1vS8/default.jpg,False,,IN,7
KOEmnwxKxmA,எப்படியாது காப்பாத்திடலாம்னு நினைச்சோம்.. - கண்ணீர் விடும் Aadhavan | Vadivel Balaji | Vijay TV,2020-09-10T13:17:28Z,UCSbUX_gKMur5FPcTbH2L5mA,Galatta Tamil | கலாட்டா தமிழ்,24,20.11.09,aadhavan|aadhavan about vadivel balaji|vadivel balaji death|vadivel balaji death video|vadivel balaji death aadhavan video|aadavan video|adavan about vadivel balaji death|Aditya tv aadavan about Vadivel balaji|anchor aadavan about vadivel balaji|vadivel balaji last video|vadivel balaji death and aadhavan|aadhavan crying for vadivel balaji death|rip vadivel balaji|ripvadivelbalaji|aadhavan about|vadivel balaji,942821,22495,530,1552,https://i.ytimg.com/vi/KOEmnwxKxmA/default.jpg,False,,IN,8
vGiroGI-g-w,நமக்கு தெரிஞ்ச Internet ஓட தெரியாத இன்னொரு  பக்கம் | Other Side Of Internet| RishiPedia| Rishgang,2020-09-10T09:30:05Z,UCaFBtetU2RHxwnDRDsNHejA,RishiPedia,24,20.11.09,Rishgang|Rishi|தமிழ்|RishiPedia|RishiPedia New|நமக்கு தெரிஞ்ச Internet ஓட தெரியாத பக்கம்|Other Side Of Internet|RishiGang|Rishipidia|Reshipidia,442627,71009,580,6709,https://i.ytimg.com/vi/vGiroGI-g-w/default.jpg,False,,IN,9
VJt3nRH_0vg,RUCHI KA SOFA रूचि का सोफा Family Comedy Short Movie | Ruchi and Piyush,2020-09-08T08:30:01Z,UC0H6I4rKiHmtceSdTCM-DKQ,Ruchi and Piyush,24,20.11.09,ruchi and piyush show|ruchi and piyush latest video|hindi film|comedy movie|short film in hindi|patni ki demands,3294927,89649,10660,17859,https://i.ytimg.com/vi/VJt3nRH_0vg/default.jpg,False,,IN,10
