video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
JTtSsMhNjho,がーどまんに家がバレて破壊された,2020-09-10T12:00:03Z,UCX8yx9p3g1vr9wtOT80kM3w,やきとりボーイズ,24,20.11.09,[none],212283,4958,1209,776,https://i.ytimg.com/vi/JTtSsMhNjho/default.jpg,False,,JP,1
O8bEIh_D5TQ,俺たちは何としてもりょうを遅刻させたいんだ！！！！！【サウナ有】,2020-09-10T12:00:19Z,UCutJqz56653xV2wwSvut_hQ,東海オンエア,23,20.11.09,[none],1715490,39793,807,4981,https://i.ytimg.com/vi/O8bEIh_D5TQ/default.jpg,False,,JP,2
5t_5REP5VLw,「不二家LOOK Smile Switch」篇 30秒　2020年9月,2020-09-10T05:00:23Z,UCJlkzxrz1XrZlw15BviZ2uQ,公式チャンネル不二家ルック,22,20.11.09,[none],399747,29001,989,0,https://i.ytimg.com/vi/5t_5REP5VLw/default.jpg,False,,JP,3
Dmswrh8mRWs,妊娠9ヶ月に「夜に駆ける」を原曲キーで歌ってみたらキツすぎて産まれそうになったwww,2020-09-10T10:00:03Z,UColoXxvhfz54o0icqQRPzYw,しばなんチャンネル,24,20.11.09,しばゆー|あやなん|ポンス|しばなん|しばなんチャンネル|東海オンエア|キッズチャンネル|子どもが喜ぶ|ダンス|踊り|歌|ピアノ|新婚|カップル|ドッキリ|モニタリング|高校生|妊娠,561854,24771,773,1624,https://i.ytimg.com/vi/Dmswrh8mRWs/default.jpg,False,,JP,4
y2d1XhuJbSw,「不二家洋菓子店 Smile Switch」篇 30秒　2020年9月,2020-09-10T05:00:15Z,UC7Jl7HEap0wtq_190QJgGng,不二家洋菓子店公式チャンネル,22,20.11.09,[none],183100,14718,256,0,https://i.ytimg.com/vi/y2d1XhuJbSw/default.jpg,False,,JP,5
Fb1975vGgJ4,【完全勝利】那須川天心を２対１でボコボコにしてやった。,2020-09-09T11:00:03Z,UChdm3NwkRpuyCAxVRTzPQ9g,SAWAYAN CHANNEL / サワヤン チャンネル,22,20.11.09,[none],776602,15418,1060,1935,https://i.ytimg.com/vi/Fb1975vGgJ4/default.jpg,False,,JP,6
iL1_A59tL5M,モンストニュース[9/10]新イベントや獣神化など、モンストの最新情報をお届けします！【モンスト公式】,2020-09-10T07:00:13Z,UCd9BXPj-KcMTh0HiB-Vlb8A,モンスト（モンスターストライク）公式,20,20.11.09,モンスト|公式|モンスト公式|XFLAGの中の人|モンスターストライク|XFLAG|アプリ|実況|ゆっくり実況|解説|面白|おもしろ|人気|動画|ゲーム|japan|japanese|YouTube|Monster Strike|新キャラ|新ガチャ|超獣神祭|爆絶|超絶|轟絶|降臨|ガチャ|さなぱっちょ|ぱなえ|りえっくす|ベイビーかわけ|さしみ|のぐちょん|モンストニュース|モンスト最新|ゆきのしん|たけちょり|獣神化|怪物彈珠|彈珠爆新聞|最新情報|モンストの日|UCWzenZSy9GJBcPzdSm-UX5w|XFLAG STORE|ブリュンヒルデ|ラベンダー|ジャスミン|牡丹|プレイバックガチャ,514660,4183,835,1133,https://i.ytimg.com/vi/iL1_A59tL5M/default.jpg,False,,JP,7
4TTo5cPzCgc,【緊急】Twitter乗っ取り犯を特定しました,2020-09-10T09:12:52Z,UC642pLj4GXSj-0Ybdx3ytmA,カジサック KAJISAC,24,20.11.09,カジサック|KAJISAC|キングコング|キンコン|梶原|西野|吉本|お笑い|芸人|Youtuber|OmO|カジサックの部屋|吉本興業|かじさっく|＃吉本自宅劇場,423200,11794,578,1190,https://i.ytimg.com/vi/4TTo5cPzCgc/default.jpg,False,,JP,8
M2bQzkg8R8A,BUMP OF CHICKEN「Aurora」 from BUMP OF CHICKEN TOUR 2019 aurora ark TOKYO DOME,2020-09-09T15:00:06Z,UCOfESRUR5duQ2hMnTQ4oqhA,BUMP OF CHICKEN,10,20.11.09,[none],329039,17077,93,1208,https://i.ytimg.com/vi/M2bQzkg8R8A/default.jpg,False,,JP,9
UyLhFRJ9Vyg,変装してポイ捨て注意したらチンピラにしばかれた。,2020-09-09T12:02:47Z,UC5o11UDNha6m1yoL_IJGYPQ,皇治チャンネル,24,20.11.09,皇治|こうじ|YouTube|ユーチューブ|ユーチューバー|YouTuber|キックボクシング|ボクシング|ライジン|RIZIN|TikTok|ポイ捨て|ぼったくりバー|ぼったくり|新庄剛志|スーパースター|喧嘩|詐欺師|ゴシップ|重課金|クラウドファンディング|記者会見|那須川天心|天心|武尊|コラボ|カリスマ|コント|漫才|チンピラ|DQN|アンチ|ドッキリ|どっきり|乱闘|けんか|ネタ|爆笑|お笑い|夏|最高|3150|大阪|難波,572076,8085,2128,2196,https://i.ytimg.com/vi/UyLhFRJ9Vyg/default.jpg,False,,JP,10
