video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
C52odOCDOO4,DAS KRASSESTE MOCHI DESASTER MIT @Joeys Jungle😰😂,2020-09-13T10:00:09Z,UCG0E3naN7D-bgldOJvGHbtg,Julia Beautx,26,20.13.09,julia beautx|joeys jungle|mochis|tiktok|trend|challenge,247372,26419,346,982,https://i.ytimg.com/vi/C52odOCDOO4/default.jpg,False,,DE,1
adbXxkzXdqU,SCHWANGER MIT BABY #4 !,2020-09-13T08:00:00Z,UCafDkvBtFbdPeFoKbnSMgMg,Bella Kraus,26,20.13.09,wir bekommen ein baby|schwanger|pregnant|schwangerschaft|ultraschall|emotional|jung mama werden|junge mama|schwanger zwillinge|bella schwanger|bella kinder|bella kraus|sarah harrison|bella|michael kraus|michael kraus kinder|michael kraus frau|junge eltern|schwangerschaft verkünden|babybauch|frühschwangerschaft|risiko schwangerschaft|schwanger werden|schwanger angst|schwanger bibi|schwanger deutsch|schwanger erstes kind,270707,19636,530,1344,https://i.ytimg.com/vi/adbXxkzXdqU/default.jpg,False,,DE,2
w8tZUgwS4Qk,Das meistverkaufte Haus Deutschlands! Warum ist es so beliebt? | Galileo | ProSieben,2020-09-13T10:30:03Z,UC1XrG1M_hw8103zO2x-oivg,Galileo,24,20.13.09,Das meistverkaufte Haus Deutschlands! Warum ist es so beliebt?|haus|haus kaufen|haus kaufen oder mieten|haus kaufen in deutschland|haus kaufen oder bauen|haus bauen|haus bauen in deutschland|haus test|eigenheim bauen|eigenheim doku|eigenheim kaufen tipps|Galileo|Galileo 2020|Galileo 10 Fragen|galileo test|galileo selbstexperiment|Galileo Essen|Wissen|Foodtrends|ProSieben|Dokumentation|galileo mystery|jumbo schreiner|reportage|doku,397151,12481,300,986,https://i.ytimg.com/vi/w8tZUgwS4Qk/default.jpg,False,,DE,3
OvUucbHgRxQ,3x Salah! Reds starten spektakulär | FC Liverpool - Leeds United 4:3 | Highlights - Premier League,2020-09-12T19:30:40Z,UCuOwl-VgqBHOzR8hWnonBcA,Sky Sport HD,17,20.13.09,Premier League|Premier League 2020/21|Premier League Highlights|Fußball Highlights|Highlights Englische Liga|Premier League Sky|Sky Highlights|Sky Fußball|EPL Highlights|EPL2019/20|Highlights|Liverpool FC|Liverpool|FC Liverpool|LFC|Leeds United|Leeds Utd|Leeds|Liverpool Leeds|Liverpool Leeds Highlights|Premiere League 1. Spieltag|Mo Salah|Virgil van Dijk,589105,16940,316,815,https://i.ytimg.com/vi/OvUucbHgRxQ/default.jpg,False,,DE,4
sQcFyx1jXVA,Butrint Imeri ft. Nora Istrefi - Dy zemra,2020-09-13T10:00:10Z,UCt5X7v-Tu5E9Zje9P0poZRA,AVD Digital,10,20.13.09,butrint imeri|nora istrefi|butrinti|nora|2 zemra|dy zemra|nora butrinti|butrinti nora,631828,26295,773,2250,https://i.ytimg.com/vi/sQcFyx1jXVA/default.jpg,False,,DE,5
gw8TDPyBlK0,DAS GRÖßTE RAFFAELLO DER WELT mit @Julia Beautx  | Joeys Jungle,2020-09-13T10:00:41Z,UCGWSzxsb4UXsQf_FRQ7rR1g,Joeys Jungle,24,20.13.09,XXL|Raffaello|Joeys Jungle|Julia Beautx|Backen|Das größte|Julia|Joey|Backvideo|Bueno,295606,32814,298,1178,https://i.ytimg.com/vi/gw8TDPyBlK0/default.jpg,False,,DE,6
Rv12-Tmf5yQ,Wenn man keine Ahnung von Geografie hat.,2020-09-13T08:00:03Z,UCw81xLtFkpks4D8_hYUP9VA,Varion,23,20.13.09,varion|fun|happy|lustig|verarsche|prank|usa|amerika|austausch|exchange|scetch|comedy|wenn|man|keine|Ahnung|von|Geografie|hat|Wenn man keine Ahnung von Geografie hat,429000,48362,297,1054,https://i.ytimg.com/vi/Rv12-Tmf5yQ/default.jpg,False,,DE,7
jxTP0yVsP18,Unser Hochzeitstag .. 😍,2020-09-13T09:00:19Z,UCX71z-68tW3Pk5TW6EPKQgg,Julienco,24,20.13.09,Julien|Julian|Julienco|Juliencotv|Bibi|Bibisbeautypalace|bibis beauty palace|bibisbeautyplace|bibis beauty place|lustig|prank|challenge|lachen,339057,30536,292,1109,https://i.ytimg.com/vi/jxTP0yVsP18/default.jpg,False,,DE,8
d2Vvni9AZS8,PAMELA REIF x EHRENPFLAUME - Ein Tag der mich an meine Grenzen bringt,2020-09-12T10:00:08Z,UCZYVVklwjt8yEtZNs1XXqiw,EHRENPFLAUME,24,20.13.09,PamelaReif|Pamela|Pam|PamgoesNuts|Fitness|Karlsruhe|YouDeserveThis|Schaumermal|StrongandBeautiful|Kochen|Bowls|Workout,451006,24567,1065,3157,https://i.ytimg.com/vi/d2Vvni9AZS8/default.jpg,False,,DE,9
48DS2EXsowQ,Geburtsbericht - Natürliche Geburt 👶🏼💖 | Jasi_xx3,2020-09-12T10:39:53Z,UC2m3dlSu7ez-lqjj6rlPfIg,Jasi,22,20.13.09,#geburtsbericht|#jasi_xx3|#youngmom|#birth|#natürlichegeburt,172568,8336,902,587,https://i.ytimg.com/vi/48DS2EXsowQ/default.jpg,False,,DE,10
