video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
X-uJtV8ScYk,Stray Kids Back Door M/V,2020-09-14T08:59:57Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,10,20.15.09,JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|LEE KNOW|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|한지성|HAN|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|I.N|YANGJEONGIN|stray kids comeback|stray kids music video|skz back door|스트레이 키즈 back door|스트레이 키즈 백도어|스키즈 백도어|스키즈 back door|back door 뮤비|back door 뮤직비디오|백도어 뮤비|백도어 뮤직비디오|back door music video|back door mv|스트레이 키즈 뮤비|스키즈 뮤비|in life|stray kids in life|skz mv|스트레이 키즈 인생,9340135,1469520,11810,341858,https://i.ytimg.com/vi/X-uJtV8ScYk/default.jpg,False,,CL,1
5DElxf-kJXQ,COMPRÉ el Saludo de KUNNO y ¿Dijo MAL mi NOMBRE? *Probando Productos de TIK TOKERS* - VLOG #107,2020-09-13T21:15:01Z,UCp4Fk7Xy_wYq8sFKcKNrQCA,Go Ami Go!,22,20.15.09,[none],1881960,154651,10346,10023,https://i.ytimg.com/vi/5DElxf-kJXQ/default.jpg,False,,CL,2
-UCDXvmgias,Carnage in Le Classique! Neymar amongst FIVE players sent off!,2020-09-13T21:32:49Z,UC4i_9WvfPRTuRWEaWyfKuFw,BT Sport,17,20.15.09,neymar|Le Classique|psg|paris saint germain|marseille|ligue 1|scuffle|red cards|bt sport|bt sport official,6790384,84286,3803,8060,https://i.ytimg.com/vi/-UCDXvmgias/default.jpg,False,,CL,3
Gm8dx63gUPU,Resumen de Deportivo Alavés vs Real Betis (0-1),2020-09-13T22:00:04Z,UCTv-XvfzLX3i4IGWAm4sbmA,LaLiga Santander,17,20.15.09,liga|laliga|laliga santander|football|resumen|goles|highlights|goal|gol|sp:dt=2020-09-13T12:00:00Z|sp:ti:home=ala|sp:ti:away=bet|sp:ty=high|sp:or=2|sp:li=liga|sp:vl=es|Guido Rodríguez|Guido Rodriguez|Pacheco|Pablo Machín|Pablo Machin|Pellegrini|Bravo|Claudio Bravo|Canales|Joaquín|Joaquin|Battaglia|Laguardia|Lainez|Mandi|Rubén Duarte|Ruben Duarte|Emerson,186722,3777,90,293,https://i.ytimg.com/vi/Gm8dx63gUPU/default.jpg,False,,CL,4
rZSC6OMUD8c,Maickyel - Cositas Locas (Video Oficial x Nacha Michelson x A. Barrientos),2020-09-13T21:00:11Z,UCthvM8cTTuAQRa13Rxn2pHQ,Maickyel,10,20.15.09,maickyel|maickyel 2020|maickyel nuevo|maickyel reggaeton|reggaeton nuevo|reggaeton 2020|sola maickyel|maickyel sola|onerpm,283464,5244,349,1094,https://i.ytimg.com/vi/rZSC6OMUD8c/default.jpg,False,,CL,5
ekZ0CwuS138,me tatué por primera vez *mi mamá ya no me quiere*,2020-09-14T00:00:05Z,UC_BPLsqZ53ydew1GKt4Q9jw,Majo,24,20.15.09,majo|mariajosegi|me tatue por primera vez|mi primer tatuaje|vlog|blog|entretenimiento|moda|outfits|daily vlog|divertido|me tatuo|ok|esto no es un tutorial|just kidding,818037,102151,1189,4610,https://i.ytimg.com/vi/ekZ0CwuS138/default.jpg,False,,CL,6
vC56HGloYSk,Brawl Stars Animation: Season 3 - Welcome to Starr Park!,2020-09-14T09:00:17Z,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,20,20.15.09,brawl stars|mobile game|mobile strategy game|mobile rpg|mobile battle royale|battle royale|supercell game|starrpark|starr|battle pass|brawl pass|new season|colette|trixie|skins,1070704,119121,1419,3690,https://i.ytimg.com/vi/vC56HGloYSk/default.jpg,False,,CL,7
RIevWd_4Sig,Alexander Zverev vs Dominic Thiem | US Open 2020 Final,2020-09-14T01:19:01Z,UCXbboag48Qlr78zzz6SkzkQ,US Open Tennis Championships,17,20.15.09,us open|us open 2020|2020 us open|us open tennis|us open 2020 tennis|us open tennis 2020|us open 2020 highlights|us open tennis championships|tennis|sport|Alexander Zverev|Dominic Thiem|Zverev|Thiem|Alexander Zverev vs Dominic Thiem|Zverev vs Thiem|Zverev Thiem|Dominic Thiem vs Alexander Zverev|Thiem vs Zverev|Thiem Zverev|Alexander Zverev US Open|Dominic Thiem US Open|us open final|us open 2020 final|us open mens final 2020|us open final highlights,1239030,13877,447,1894,https://i.ytimg.com/vi/RIevWd_4Sig/default.jpg,False,,CL,8
K0oSaCS0_98,ASTRO 아스트로 문빈&산하 - Bad Idea M/V,2020-09-14T09:00:06Z,UCZqY2yIsAM9wh3vvMwKd27g,ASTRO 아스트로,10,20.15.09,ASTRO|아스트로|판타지오뮤직|판타지오|fantagio|fantagioMusic|ASTROPLAY|아스트로플레이|차은우|문빈|진진|엠제이|윤산하|라키|ChaEunWoo|MoonBin|JINJIN|MJ|YoonSanHa|ROCKY|또까|DDOCA|Highlight Medley|하라메|하이라이트메들리|IN-OUT|IN|OUT|Eyez On U|Bad Idea|섬(Alone)|All I Wanna Do|Dream Catcher|문빈&산하|문빈&산하(ASTRO)|MOONBIN&SANHA(ASTRO)|TEASER|티저|뮤비티저|MV TEASER,935514,199631,591,22902,https://i.ytimg.com/vi/K0oSaCS0_98/default.jpg,False,,CL,9
whUs3hNAtGk,Worlds 2020 - Take Over comienza ya | Esports | League of Legends,2020-09-14T15:00:19Z,UC-I8d_BjKP6MMsYjZhAtjIA,LoL Esports Latinoamérica,20,20.15.09,Liga Latinoamérica|Liga|Latinoamérica|Liga Latam|LLA|League of Legends|LoL|Esports|eSports|E-Sports|Competición|Copa|Ismind|Rogue|Finn|LEC|Starscreen|TCL|IW|Envy|INTZ|ITZ|CBLoL|Jaeger|LJL|Caster|Bwipo|Fnatic|Nuguri|DAMWON|LCK|Smeb|KT|KT Rolster|micaO|Kiin|Afreeca Freecs|Azael|LCS,90665,4772,61,215,https://i.ytimg.com/vi/whUs3hNAtGk/default.jpg,False,,CL,10
