video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
ips8p1FB8YA,Ep.28 Libertà con Giuseppe Cruciani - Muschio Selvaggio Podcast,2020-09-14T12:00:17Z,UCg7mcZKjupbLdsuiMBVTuDw,muschio selvaggio,22,20.15.09,muschio selvaggio|fedez|luis|fedez podcast|luis podcast|luis sal e fedez|muschio selvaggio podcast|muschio selvaggio giuseppe cruciani|giuseppe cruciani intervista|giuseppe cruciani,327748,25839,490,1729,https://i.ytimg.com/vi/ips8p1FB8YA/default.jpg,False,,IT,1
75pByg-qdIo,Thauvin decide un Le Classique ad alta tensione: PSG-Marsiglia 0-1 | Ligue 1 | DAZN Highlights,2020-09-14T07:42:28Z,UC7N8IuYFhU8Hs1ruCTsXTbg,DAZN Italia,17,20.15.09,psg|marsiglia|le classique|ligue 1|dazn|dazn italia|neymar|thauvin|benedetto|paredes|icardi|mbappe,251342,8992,185,674,https://i.ytimg.com/vi/75pByg-qdIo/default.jpg,False,,IT,2
-UCDXvmgias,Carnage in Le Classique! Neymar amongst FIVE players sent off!,2020-09-13T21:32:49Z,UC4i_9WvfPRTuRWEaWyfKuFw,BT Sport,17,20.15.09,neymar|Le Classique|psg|paris saint germain|marseille|ligue 1|scuffle|red cards|bt sport|bt sport official,6790384,84282,3803,8060,https://i.ytimg.com/vi/-UCDXvmgias/default.jpg,False,,IT,3
QGfZJPeU5to,PALESTRA - RAGAZZI VS RAGAZZE 🏋🏼 - iPantellas w/Denis Dosio,2020-09-11T11:02:51Z,UCD-aXv7CMezGSTfxmKAD6Ag,iPantellas,24,20.15.09,ipantellas|parodia|video divertenti|palestra|esercizi|bodybuilding|squat|sport|Denis Dosio,2256633,172218,6231,4496,https://i.ytimg.com/vi/QGfZJPeU5to/default.jpg,False,,IT,4
fn96G9DmFc8,Pagare una Goleador con 50 € (e Lasciare il Resto) - [Sorprese ai Negozianti] - theShow,2020-09-14T12:00:22Z,UCYZ3uwiIy1LrwrAywLeQSlQ,theShow,24,20.15.09,the show|theshow|the show is you|theshowisyou|esperimenti sociali|the show scherzi|esperimento sociale|scherzi iene|prank ita|scherzi gente milano|scherzi|scherzo|scherzi a parte|candid camera|Pagare una Goleador con una Banconota da 50 euro|sorprese ai commercianti|caffè|panino|buone azioni|aktriz|merenda ai negozi,586496,63221,690,1621,https://i.ytimg.com/vi/fn96G9DmFc8/default.jpg,False,,IT,5
CF2oceUUqc4,da Milano a Roma in MONOPATTINO,2020-09-10T17:27:12Z,UCz-KJn98sMCPW5kjG0ZnE-Q,Jakidale,22,20.15.09,jakidale|jaki|vlog|mobile|tecnologia|tech|dailyvlog|daily vlog|daily vlog ita|dale|Jacopo DAlesio|monopattino|milano|roma|milano roma|in monopattino|monopattino elettrico|bici|bicicletta|skateboard|luis|luis sal|bologna|firenze|giro ditalia|italia|colosseo|xiaomi|space valley|marcello ascani|bottura|modena|monopattino sharing|monopattini|monopattini elettrici|viaggio|viaggio in monopattino|travel|bikebacking|bike|mattia|miraglio|giro del mondo|mattia miraglio,2528419,180326,2482,8889,https://i.ytimg.com/vi/CF2oceUUqc4/default.jpg,False,,IT,6
sgYBnLqd2f8,"FSK SATELLITE, Greg Willen - 10 X IN CALIFORNIA",2020-09-14T12:00:23Z,UCkZD_dYZyOUgvSs6XX48L1w,FSKSATELLITEVEVO,10,20.15.09,FSK|SATELLITE|Greg|Willen|CALIFORNIA|Universal|Music|Italia|srL.|Hip|Hop|sapobully|taxi b|chiello|greg willen|10 sprite|mitra|trapshit|fsk trapshit|melissa p|la prova del cuoco|no spie|ansia no|thaurus|ollare|crema di buccia|settimana al caldo|padre figlio e spirito|10 x in california|andrea dipre|padre|figlio|spirito,126348,13680,348,1098,https://i.ytimg.com/vi/sgYBnLqd2f8/default.jpg,False,,IT,7
xzvkfUq2NKo,Gigi DAlessio - Buongiorno (Official Video) ft. G-CREW,2020-09-11T12:00:24Z,UCuhpwalXVDFD0UByu_886tA,GigiDAlessioVEVO,10,20.15.09,GigiDAlessio|gigi|d’alessio|MV Killa|LDA|CoCo|Franco Ricciardi|Lele Blade|Enzo Dong|Clementino|Geolier|Samurai Jay|canzoni napoletane|napoli|neomelodico|dialetto napoletano|luche|J Ax|non dirlgi mai|mon amour|quanti amori|secondigliano|vomero|insieme a lei|nino d’angelo|come me|l’amore che non c’è|Annarè|quartieri spagnoli|the ne sai|tony colombo|nico pandetta|Buongiorno|Canzone Italiana|GGD EDIZIONI Srl|Gigi,986059,31569,817,2033,https://i.ytimg.com/vi/xzvkfUq2NKo/default.jpg,False,,IT,8
R-Yq1AlIwsc,2020 Tuscan Grand Prix: Race Highlights,2020-09-13T17:23:39Z,UCB_qr75-ydFVKSF9Dmo6izg,FORMULA 1,17,20.15.09,F1|Formula One|Formula 1|Sports|Sport|Action|GP|Grand Prix|Auto Racing|Motor Racing|F1 race|Good F1 race|F1 Crashes|Tuscan|Tuscany|Formula 1 2020|Italy|Podiums|Lewis Hamilton|Alex Albon,3367927,78256,1583,7191,https://i.ytimg.com/vi/R-Yq1AlIwsc/default.jpg,False,,IT,9
X-uJtV8ScYk,Stray Kids Back Door M/V,2020-09-14T08:59:57Z,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,10,20.15.09,JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|LEE KNOW|창빈|서창빈|CHANGBIN|SEOCHANGBIN|현진|황현진|HYUNJIN|HWANGHYUNJIN|한|한지성|HAN|HANJISUNG|필릭스|FELIX|승민|김승민|SEUNGMIN|KIMSEUNGMIN|아이엔|양정인|I.N|YANGJEONGIN|stray kids comeback|stray kids music video|skz back door|스트레이 키즈 back door|스트레이 키즈 백도어|스키즈 백도어|스키즈 back door|back door 뮤비|back door 뮤직비디오|백도어 뮤비|백도어 뮤직비디오|back door music video|back door mv|스트레이 키즈 뮤비|스키즈 뮤비|in life|stray kids in life|skz mv|스트레이 키즈 인생,9340135,1469465,11808,341430,https://i.ytimg.com/vi/X-uJtV8ScYk/default.jpg,False,,IT,10
