video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
s7yneAy9rHU,Cassper Nyovest - To Whom it May Concern (Visualizer),2020-09-10T22:00:12Z,UC5eT_421evkBZJu7pIOGdsA,CassperNyovestVEVO,10,20.15.09,Cassper|Nyovest|Whom|May|Concern|(Visualizer)|Universal|Music|(Pty)|Ltd.|Hip|Hop,264755,10043,162,970,https://i.ytimg.com/vi/s7yneAy9rHU/default.jpg,False,,ZA,1
4bxmYrw5Q2o,Tumi Is Cheating With Zolani – The River | 1 Magic,2020-09-11T19:16:21Z,UCAG4-W08jyodx28VmG-xxMw,1 Magic,24,20.15.09,1magic|1 magic|one magic|1 magic dstv|mnet|m-net|1 magic mzansi|tumi cheats on lindani|mabutho and tumi are cheating|lindani suspects tumi|mabutho the river|lindani the river|tumi the river|the river 1 magic,254560,2079,99,324,https://i.ytimg.com/vi/4bxmYrw5Q2o/default.jpg,False,,ZA,2
IxeCY_BznzQ,"Nasty C, Lil Gotit, Lil Keed - Bookoo Bucks",2020-09-11T08:00:02Z,UCbhR0oGTFSh2_JYar28HdRQ,NastyCVEVO,10,20.15.09,Nasty|Lil|Gotit|Keed|Bookoo|Bucks|Universal|Music|(Pty)|Ltd.|Hip|Hop,402689,35175,429,2892,https://i.ytimg.com/vi/IxeCY_BznzQ/default.jpg,False,,ZA,3
3CxtK7-XtE0,DJ Khaled ft. Drake - POPSTAR (Official Music Video - Starring Justin Bieber),2020-09-04T04:15:41Z,UCrFB54bqp8sda4udJyNswlA,DJKhaledVEVO,10,20.15.09,Father Of Ashad|Ashad|Im the One|No Brainer|grateful|major key|drake|new khaled|khaled and drake|popstar|greece|we the best|epic|epic records|new music|DJ Khaled|Epic/We The Best|Hip Hop|POPSTAR,47750357,2186965,101486,119928,https://i.ytimg.com/vi/3CxtK7-XtE0/default.jpg,False,,ZA,4
-UCDXvmgias,Carnage in Le Classique! Neymar amongst FIVE players sent off!,2020-09-13T21:32:49Z,UC4i_9WvfPRTuRWEaWyfKuFw,BT Sport,17,20.15.09,neymar|Le Classique|psg|paris saint germain|marseille|ligue 1|scuffle|red cards|bt sport|bt sport official,6790384,84287,3803,8060,https://i.ytimg.com/vi/-UCDXvmgias/default.jpg,False,,ZA,5
FIgI7GIcsuc,EFF vs Clicks | EFF leader Julius Malema at Clicks Mall of the North,2020-09-07T07:56:01Z,UC8yH-uI81UUtEMDsowQyx1g,SABC News,25,20.15.09,SABC News|actuality|world news|local news|Coronavirus|COVID-19|COVID-19 Lockdown|COVID-19 News|Economic Freedom Fighters|Julius Malema|Polokwane,421746,4262,1151,2794,https://i.ytimg.com/vi/FIgI7GIcsuc/default.jpg,False,,ZA,6
7vZzNaSPc_o,Beauty ad by Clicks deemed racist in South Africa,2020-09-08T15:03:06Z,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,25,20.15.09,Racist Click Advert South Africa|Clicks Racist Ad South Africa|Clicks Advert South Africa|Latest Clicks Ad South Africa|Clicks Racist Advertisement South Africa|Clicks Racist Advert|Racist Hair Advert|Racist Ad by Clicks in South Africa|TRT|TRT World|TRT News,150306,933,273,961,https://i.ytimg.com/vi/7vZzNaSPc_o/default.jpg,False,,ZA,7
8WBfyjt7rP8,Highlights: Liverpool 4-3 Leeds Utd | Salah hits a hat-trick on the opening day,2020-09-12T21:00:00Z,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,17,20.15.09,Liverpool FC|LFC|Liverpool|Anfield|Melwood|Liverpool Football Club|premier league,2863891,47979,2343,3535,https://i.ytimg.com/vi/8WBfyjt7rP8/default.jpg,False,,ZA,8
Ebrz6ZKSHAI,"HIGHLIGHTS | Fulham vs Arsenal (0-3) | Willian, Gabriel impress on debuts",2020-09-12T21:00:01Z,UCpryVRk_VDudG8SHXgWcG0w,Arsenal,17,20.15.09,Arsenal|Arsenal FC|Arsenal Football Club|Football|Club|EPL|Premier League|Soccer|Sport|Team|aubameyang|lacazette|bernd leno|torreira|guendouzi|ozil|bellerin|hector bellerin|dani Ceballos|Kieran Tierney|reiss nelson|joe Willock|granit xhaka|rob holding|calum chambers|gabriel martinelli|bukayo saka|arsenal vs fulham|arsenal highlights|willian|aubameyang goals|william saliba|gabriel Magalhaes|gabriel|arsenal vs|mo elneny|maitland-niles|emi martinez,1592034,24818,655,1196,https://i.ytimg.com/vi/Ebrz6ZKSHAI/default.jpg,False,,ZA,9
6RfR4UHT7Xw,"‘Kill it, boys!’ – Idols SA",2020-09-01T06:42:15Z,UCSEibSG6dlUJvkC40IpNMRQ,MzansiMagicOfficial,24,20.15.09,Mzansi Magic|Mzansi Magic DStv|Mzansi Magic on DStv|Mzansi entertainment|Mzansi Magic Telenovela|Mzansi Magic Series|Mzansi Magic Drama|Mzansi Magic Reality|Mzansi|Idols SA|Idols SA Season 16|Idols Season 16|Idols SA 2020|Idols South Africa|Idols SA Judge & Host 2020|Idols SA Behind The Scenes videos 2020|Idols Season 16 BTS videos|Idols backstage pass,744652,13186,325,687,https://i.ytimg.com/vi/6RfR4UHT7Xw/default.jpg,False,,ZA,10
