video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
4R2Ii9Rs2Vw,청년들에 사과하라 하태경 국민의힘 의원 질의에 특혜 아냐 정경두 국방부 장관 답변,2020-09-15T09:33:57Z,UC1aS5CRRDrN6CmR2VcpmetA,한국일보(hankookilbo.com),25,20.16.09,하태경|정경두|국방장관|추미애|아들|법무부|법무부 장관|장관|더불어민주당|국민의힘|아들 특혜 의혹|사오정|군대|휴가|국방부|용산|카투사|카츄사|특혜|병가|연장,242600,6123,403,2289,https://i.ytimg.com/vi/4R2Ii9Rs2Vw/default.jpg,False,,KR,1
foWBxI-X5HY,너무 야비하지 않습니까 추미애 법무부 장관의 전주혜 국민의힘 의원 질의에 대한 답변,2020-09-14T12:10:21Z,UC1aS5CRRDrN6CmR2VcpmetA,한국일보(hankookilbo.com),25,20.16.09,추미애|법무장관|법무부 장관|아들|특혜|논란|법무부|카투사|휴가|병가|전화|연장|전주혜|국민의힘|국민의짐|비례대표|의원|국회|대정부질문|정치분야|정치|사회|경제,618605,12933,1418,9285,https://i.ytimg.com/vi/foWBxI-X5HY/default.jpg,False,,KR,2
9a-AuvwSWFA,"[FULL-eng sub] BTS Visual Radio in MBC / 방탄소년단, 배철수의 음악캠프 출연 보이는 라디오",2020-09-14T11:12:51Z,UCKNZsAeQXpvI-Mpoc0ZKhsA,MBC Radio봉춘라디오,10,20.16.09,btslive|btsmbc|방탄|봄날|dna|작은것들을위한시|fakelove|idol|피땀눈물|ineedyou|불타오르네|fire|micdrop|쩔어|고민보다go|saveme|run|노홍철|rm|랩몬스터|김남준|진|김석진|jin|슈가|suga|민윤기|제이홉|j-hope|정호석|지민|jimin|박지민|뷔|김태형|정국|전정국|bangtantv,2579390,208409,1280,5929,https://i.ytimg.com/vi/9a-AuvwSWFA/default.jpg,False,,KR,3
95VJZY5AYIc,피의자 신문하시나 박형수 국민의힘 의원 질문에 대한 추미애 법무부 장관의 답변,2020-09-14T07:56:46Z,UC1aS5CRRDrN6CmR2VcpmetA,한국일보(hankookilbo.com),25,20.16.09,추미애|법무장관|법무부 장관|아들|특혜|논란|법무부|카투사|휴가|병가|전화|연장,402238,7033,721,4325,https://i.ytimg.com/vi/95VJZY5AYIc/default.jpg,False,,KR,4
HEmAZNsnj34,[단독] 서울 한복판에 불법 도박장 차린 개그맨들 (2020.09.15/뉴스데스크/MBC),2020-09-15T11:34:00Z,UCF4Wxdo3inmxP-Y59wXDsFw,MBCNEWS,25,20.16.09,MBC|MBC뉴스|뉴스데스크|newsdesk|뉴스투데이|newstoday|8시뉴스|아침뉴스|뉴스|정오뉴스|news|개그맨|불법 도박|도박장,1353640,7709,337,2739,https://i.ytimg.com/vi/HEmAZNsnj34/default.jpg,False,,KR,5
gqsssi5by38,발음 때문에 바보로 오해받지만 알고 보면 IQ 상위 3%의 뇌섹녀 [무엇이든 물어보살],2020-09-13T22:00:13Z,UCr0adenI5KeQFJkMIGjq5qw,KBS N,24,20.16.09,KBSN|서장훈|이수근|무엇이든물어보살|고민상담|점괘|보살|선녀보살|동자보살|KBSJoy|덕자,3019768,31040,945,6549,https://i.ytimg.com/vi/gqsssi5by38/default.jpg,False,,KR,6
b13xnFp_LJs,Apple Event — September 15,2020-09-15T18:14:08Z,UCE_M8A5yxnLfW0KghEeajjw,Apple,28,20.16.09,Apple|iOS|iPhone|Mac|Apple Watch|Series 5|Series 6|iPad|iPad Air|Macbook|iMac|MacBook Pro|Fitness|Wellness|Illustration|Apple TV|Digital Art|AirPods|Apple Event|Apple Keynote|WWDC|September|Apple Special Event|Apple Launch,10132201,410044,34972,0,https://i.ytimg.com/vi/b13xnFp_LJs/default.jpg,False,,KR,7
ZF0o-_G3prA,이제 싼타페급? 현대 신형 투싼 롱휠베이스 최초공개 편집본,2020-09-15T07:38:07Z,UCd5CdYxogKBwvv1xyuxhvZA,김한용의 MOCAR,2,20.16.09,김한용|mocar|모카|시승기|자동차|국산차|수입차|현대차,464371,3851,321,1060,https://i.ytimg.com/vi/ZF0o-_G3prA/default.jpg,False,,KR,8
4ZwADtASJf4,"이강인, 개막전 현지해설 자신이 원하는 대로 플레이를 하고 있어요 #SPORTSTIME",2020-09-14T03:41:06Z,UCnXNukjRxXGD8aeZGRV-lYg,스포츠타임,17,20.16.09,라리가|이강인|SPOTV|SPOTV NEWS|발렌시아|현지해설|손흥민|이승우|KANG IN,758438,4733,148,1126,https://i.ytimg.com/vi/4ZwADtASJf4/default.jpg,False,,KR,9
TzFRVk2ektI,MAX - Blueberry Eyes (feat. SUGA of BTS) [Official Music Video],2020-09-15T16:00:09Z,UCbwD4Ynubv_4Y-xDyIq86rw,MAXVEVO,10,20.16.09,MAX|Suga|Blueberry|Eyes|(feat.|SUGA|BTS)|[Official|Music|Video]|(SME/RED|JV)|LP2|Pop,2878656,886559,5260,69279,https://i.ytimg.com/vi/TzFRVk2ektI/default.jpg,False,,KR,10
