video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
VERSteOyQH8,PROVANDO ROUPAS DA SHEIN! É igual da foto?,2020-09-17T15:13:30Z,UCoTM-vvs2hnv2mCvzNJ5uXA,Franciny Ehlke,22,20.18.09,FRANCINY EHLKE|FRANCINNY|FRANCINI|FRANCINE|ELKE|FRANCINNI|MAKEUP|BEAUTY,1140557,169733,1897,7336,https://i.ytimg.com/vi/VERSteOyQH8/default.jpg,False,,BR,1
KbNL9ZyB49c,"Take Over (ft. Jeremy McKinnon (A Day To Remember), MAX, Henry) | Worlds 2020 - League of Legends",2020-09-17T15:00:09Z,UC2t5bjwHdUX4vM2g8TRDq5g,League of Legends,20,20.18.09,Riot Games|Riot|League of Legends|League|LoL|MOBA|League Of Legends|worlds 2020|worlds 2020 league of legends|worlds 2020 song|worlds 2020 cheer|worlds 2020 theme|worlds 2020 lol|worlds 2020 league of legends song|take over|take over lol|take over league of legends|take over song|worlds 2020 song take over|henry league of legends|max league of legends|a day to remember league of legends|taking over|were taking over|lol take over|Worlds music video,4163906,385823,8276,23595,https://i.ytimg.com/vi/KbNL9ZyB49c/default.jpg,False,,BR,2
NTuA6f08LyQ,Armaria Mãe 17 (Cheia de manias),2020-09-16T21:45:42Z,UCz2A8OXLR2xwYE63zWbu7IA,Wiris Viana,23,20.18.09,webséries|novelinha|videosengraçados|wirisviana|achatadaminhairmã|armariamãe,1796115,85945,3266,4192,https://i.ytimg.com/vi/NTuA6f08LyQ/default.jpg,False,,BR,3
cDj6iMXeiM4,GOLAÇO DO MENINO! Melhores momentos de Bolívar 1 x 2 Palmeiras pela Libertadores,2020-09-17T11:19:40Z,UCw5-xj3AKqEizC7MvHaIPqA,FOX Sports Brasil,17,20.18.09,Palmeiras|Gabriel Menino|Libertadores|Willian|Rony|Luxa|Vanderlei Luxemburgo|OX|FOX Sports|FX|FOX Sports Brasil|Futebol|Soccer|Football|Brasil|BRA|Brazil|Copa do Brasil|Rodada|Gols da Rodada|Melhores Momentos|Esporte|FUT|FOX AO VIVO|Ao Vivo|Rádio|conmebol libertadores|golaço|Palmeiras ao vivo|Palmeiras hoje|Palmeiras Libertadores|Gols|Luxemburgo|Verdão|Bolívar 1 x 2 Palmeiras|Palmeiras FOX Sports|Classificação da Libertadores|Líderança|Líder|Lances de Palmeiras,347676,9543,336,801,https://i.ytimg.com/vi/cDj6iMXeiM4/default.jpg,False,,BR,4
zbhhGUc-3o4,FREE FIRE AO VIVO - FINAL DIA 1 - LIGA NFA SEASON 4 - #NFAS4,2020-09-17T00:18:09Z,UCIVnGR9XPef8boJWJHfQAiA,NFA CHANNEL,20,20.18.09,liga nfa|nfa|liga|free fire|garena|lbff|copa ff|liga brasileira|pro player|campeonato|torneio|ss|bdl|b4|los grandes|lgd|loud|loudgg|laude|pain|faz o p|god|god esports|deuses|kof|anarchysons|intz|fsk|forsaken|samuca|ale|el|gato|piu|piuzinho|thurzin|maellen|booyah|voltan|codiguin|cerol|bak|coreano|jordan|racha|price|elton|eltin|huntergod|wins|hudson|nobru|tv|ygorx|dantes|since|sharin|will|bradook|kronos|ggeasy|babi|coringa|victor|levelup|buxexa|crusherfooxi|esports|blak|blakn444,1216751,162915,1065,1242,https://i.ytimg.com/vi/zbhhGUc-3o4/default.jpg,False,,BR,5
d0Us0dXedTk,Singer Anitta Teaches You Brazilian-Portuguese Slang | Vanity Fair,2020-09-17T16:01:02Z,UCIsbLox_y9dCIMLd8tdC6qg,Vanity Fair,24,20.18.09,anitta|slang|brazil slang|brazilian slang|slang school|teaches you slang|brazilian portuguese|brazilian portuguese slang|brazilian-portuguese slang|anitta brazilian portuguese slang|brazilian portuguese slang with anitta|singer anitta|anitta vanity fair|anitta brazilian-portuguese|anitta brazilian-portuguese slang|brazilian portuguese slang school|brazilian slang anitta|anitta teaches you slang|anitta teaches slang|slang school vanity fair|vanity fair,112207,14920,473,1546,https://i.ytimg.com/vi/d0Us0dXedTk/default.jpg,False,,BR,6
MH_vjfNPv70,BTS Performs Dynamite on AGT - Americas Got Talent 2020,2020-09-17T00:48:16Z,UCT2X19JJaJGUN7mrYuImANQ,Americas Got Talent,24,20.18.09,TV Series|Hilarious Music Songs|Highlights|Americas Got Talent|AGT|Americas Got Talent 2020|AGT 15|Americas Got Talent Season 15|New AGT|Funny Videos|Live Shows|Full Performance|AGT Full|AGT Live Shows|Highlights Previews|funny|clips|talent|talent show|방탄소년단|BTS|Dynamite|Dynamite MV|BTS Dynamite AGT|Dynamite AGT|BTS AGT|Kpop|Korean|Korean Pop|Jimin|J-Hope|Namjoon|Jungkook|Jin|Suga|Taehyung|Hoseok|RM|Hobi|Kpop Music Video|Music Video|BTS on AGT,7743272,1234012,12982,74012,https://i.ytimg.com/vi/MH_vjfNPv70/default.jpg,False,,BR,7
t-PTYqsRmCg,BASTIDORES de CORINTHIANS 3x2 BAHIA - Brasileiro 2020,2020-09-17T16:00:11Z,UCqRraVICLr0asn90cAvkIZQ,Corinthians TV,17,20.18.09,Corinthians|TV|Timão|Vai Corinthians|Corinthians ao vivo|gol do corinthians|corinthians campeão mundial|corinthians bimundial|coringão|torcida do corinthians|bando de loucos|arena corinthians,240266,23925,125,1515,https://i.ytimg.com/vi/t-PTYqsRmCg/default.jpg,False,,BR,8
uLOGgRAaFVY,FIZ MINHA PRIMEIRA TATUAGEM! *vlog*,2020-09-16T22:00:09Z,UChWHTbtPhSWm4IOYI0lZvoA,Doarda,24,20.18.09,doarda|tatuagem em menor de idade|tatuagem no braço|tattoo|minhas tatuagens|primeira tatuagem,538721,111074,802,3319,https://i.ytimg.com/vi/uLOGgRAaFVY/default.jpg,False,,BR,9
ZzMSeXorCNQ,MC Paulin da Capital e MC Ryan SP - Os Mandrake Curti a Vida (Áudio Oficial) DJ Pedro,2020-09-16T21:00:11Z,UCHD-HavJ83eIGODju2KSfFw,MC Paulin Da Capital,10,20.18.09,mc paulin da capital|mc|paulin|vt ta na bota|fuga de moto|previas foda|funk|lançamento|kondzilla|gr6|fugas|motos,534104,52072,316,1004,https://i.ytimg.com/vi/ZzMSeXorCNQ/default.jpg,False,,BR,10
dtF2-HxnbX4,Coleção Lucrativa: BOLSA SACOLA + PORTA MOEDAS | Maratona da Costura Criativa,2020-09-17T13:15:10Z,UCjKlAb8bpawRPvD96I6ds4g,Carol Vilalta,24,20.18.09,[none],59232,4841,76,732,https://i.ytimg.com/vi/dtF2-HxnbX4/default.jpg,False,,BR,11
D_er_yM6Hh8,CORINTHIANS 3 X 2 BAHIA | MELHORES MOMENTOS | 11ª RODADA BRASILEIRÃO 2020 | ge.globo,2020-09-17T02:53:10Z,UCgCKagVhzGnZcuP9bSMgMCg,ge,17,20.18.09,Corinthians 3 x 2 bahia|bahia 2 x 3 corinthians|cor 3 x 2 bah|Corinthians x bahia|bahia x corinthians|cor x bah|Corinthians|Timão|Coringão|Corinthians fc|Corinthians sp|Club Corinthians|Bahia|Bahia fc|Bahia futebol|Esporte clube bahia|ec bahia|baia|baiano|tricolor|Melhores momentos|futebol|gol|é gol|futebol nacional|lances|gols|Campeonato Brasileiro|Brasileirão|Brasileirão 2020|Brasileirao|esportes|ge|ge.globo|globo esporte|globo|globoesporte.com|sportv,899465,22556,799,1852,https://i.ytimg.com/vi/D_er_yM6Hh8/default.jpg,False,,BR,12
