video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,duration,country,classementCountry
GKnQGP67Xd0,Odín | Destripando la Historia,2020-09-16T16:00:11Z,UCxIBZ-nQhgZES3UaTm8eDPA,Pascu y Rodri,10,20.18.09,odin|destripando la historia|pascu y rodri|thor|loki|dios nordico|dios|dlh|padre de todos|padre de thor|mitologia nordica|metal|heavy metal|ragnarok|cancion|humor|parodia,3331597,467078,4964,29141,https://i.ytimg.com/vi/GKnQGP67Xd0/default.jpg,False,,MX,1
GM6yx_q602E,EL ÚLTIMO EN BAJAR DE LA CAMA GANA $5000 RulerPonch,2020-09-17T00:50:10Z,UCRoCxgCQQ6my5v-6wSH-g-A,Xime Ponch,22,20.18.09,ximeponch|xime ponch|Ximena ponce|Ximena ponch|ximetiktok|Tiktoker|reina de tiktok|Youtuber mexicana|maquillaje|vlogs|retos|diversión|los rules|rulerponch|Los Rulés,439400,29158,957,1389,https://i.ytimg.com/vi/GM6yx_q602E/default.jpg,False,,MX,2
KbNL9ZyB49c,"Take Over (ft. Jeremy McKinnon (A Day To Remember), MAX, Henry) | Worlds 2020 - League of Legends",2020-09-17T15:00:09Z,UC2t5bjwHdUX4vM2g8TRDq5g,League of Legends,20,20.18.09,Riot Games|Riot|League of Legends|League|LoL|MOBA|League Of Legends|worlds 2020|worlds 2020 league of legends|worlds 2020 song|worlds 2020 cheer|worlds 2020 theme|worlds 2020 lol|worlds 2020 league of legends song|take over|take over lol|take over league of legends|take over song|worlds 2020 song take over|henry league of legends|max league of legends|a day to remember league of legends|taking over|were taking over|lol take over|Worlds music video,4162171,385817,8276,23594,https://i.ytimg.com/vi/KbNL9ZyB49c/default.jpg,False,,MX,3
9QeSI76NNFY,En vivo: Desfile militar 2020 por el 210 aniversario de la independencia de México,2020-09-16T18:16:06Z,UCUsm-fannqOY02PNN67C0KA,Noticieros Televisa,25,20.18.09,Aniversario 210 de la Independencia|Desfile Militar|Desfile del 16 de Septiembre|Desfile 16 de Septiembre de 2020|Desfile Militar 2020|Desfile Militar 2020 México|16 de septiembre México|Desfile Militar 16 de septiembre 2020|Desfile Militar 2020 Hora|Zócalo de la CDMX|Día de la Idependencia de México|Habrá Desfile Militar|Fuerzas Armadas de México|AMLO|Jefe Supremo de las Fuerzas Armadas|Marina|Sedena|Desfile Militar en el Zócalo de la CDMX 2020|Andrés Manuel|GN,656970,7648,860,491,https://i.ytimg.com/vi/9QeSI76NNFY/default.jpg,False,,MX,4
MH_vjfNPv70,BTS Performs Dynamite on AGT - Americas Got Talent 2020,2020-09-17T00:48:16Z,UCT2X19JJaJGUN7mrYuImANQ,Americas Got Talent,24,20.18.09,TV Series|Hilarious Music Songs|Highlights|Americas Got Talent|AGT|Americas Got Talent 2020|AGT 15|Americas Got Talent Season 15|New AGT|Funny Videos|Live Shows|Full Performance|AGT Full|AGT Live Shows|Highlights Previews|funny|clips|talent|talent show|방탄소년단|BTS|Dynamite|Dynamite MV|BTS Dynamite AGT|Dynamite AGT|BTS AGT|Kpop|Korean|Korean Pop|Jimin|J-Hope|Namjoon|Jungkook|Jin|Suga|Taehyung|Hoseok|RM|Hobi|Kpop Music Video|Music Video|BTS on AGT,7743272,1234003,12982,74019,https://i.ytimg.com/vi/MH_vjfNPv70/default.jpg,False,,MX,5
s21mqG-LwZY,¡200 SUSCRIPTORES vs 1 BLOQUE en MINECRAFT! 😱 ACENIX en MINECRAFT,2020-09-16T19:34:21Z,UCH3h4jRKn3lJo0uORqqESPg,Acenix,20,20.18.09,Minecraft|Acenix|200 suscriptores|mikecrack|minecraft|un bloque|500 fans|200 suscriptores vs 1 bloque|200 fans|200 subs vs 1 bloque|200 SUSCRIPTORES vs UN BLOQUE en MINECRAFT|acenix minecraft|minecraft un bloque|un bloque minecraft|skyblock en un bloque|skyblock|minecraft pero empiezo con un bloque|los compas|1 bloque|eltrollino|trollino,1411141,140963,3252,4062,https://i.ytimg.com/vi/s21mqG-LwZY/default.jpg,False,,MX,6
_se9_baKKX0,Thor + Loki + Odín | Destripando la Historia,2020-09-17T13:00:06Z,UCP89BiwCzT0lWI49j0c6-fw,Rascu y Podri,24,20.18.09,thor|loki|odin|destripando la historia|mitologia|dibujos animados|dlh|pascu y rodri|metal|heavy metal|punk|ragnarok,202921,27746,152,1332,https://i.ytimg.com/vi/_se9_baKKX0/default.jpg,False,,MX,7
kteUY2Wc1Dc,LA SANTA GRIFA FT. SANTA FE KLAN // DE MEXICO SONG // VIDEO OFICIAL,2020-09-15T22:01:41Z,UCOHiOs8GrK0Nz8p_fbNnADQ,La Santa Grifa Official,10,20.18.09,tren lokote|la santa grifa|santa fe klan|santa rm|angel quezada|jauria santa|cartel de santa|ckan|gera mx|aleman|pinche mara|remik gonzalez|thug pol|under side 821|dharius|adan zapata|maniako|toser one|iluminatik|sid msc|bear busby productions,1422713,134331,1696,5318,https://i.ytimg.com/vi/kteUY2Wc1Dc/default.jpg,False,,MX,8
4gnT6-Cg1aU,Grupo Firme & El Mimoso - Típico Clasico - Yo Sé Que Te Acordarás,2020-09-16T16:06:56Z,UCFlC8U0Uif2hF0FIgsSIIYQ,Grupo Firme,10,20.18.09,Grupo|Firme,371918,15967,205,583,https://i.ytimg.com/vi/4gnT6-Cg1aU/default.jpg,False,,MX,9
L9oDlZ4-dSs,Verbena popular virtual. 210 Aniversario del Grito de Independencia,2020-09-16T04:38:46Z,UCxEgOKuI-n-WOJaNcisHvSg,Andrés Manuel López Obrador,25,20.18.09,AMLO|Martes 15 de septiembre 2020|AMLO informe hoy|Andrés Manuel López Obrador|amlo en vivo|López Obrador|AMLO canal|Andrés Manuel canal|AMLO canal oficial|210 aniversario|grito de independencia|verbena popular virtual|festival cultural|Zócal ciudad de México|Zócalo|grito de independencia 2020|grito de independencia 2020 en vivo|grito AMLO en vivo,1733486,94105,2195,4863,https://i.ytimg.com/vi/L9oDlZ4-dSs/default.jpg,False,,MX,10
cA6AaafCKhY,¡ENTREGANDO COMIDA A DOMICILIO EN EL CONVERTIBLE! - [ANTRAX] ☣,2020-09-17T19:00:04Z,UCNbwP-bKUlKrE_5qDwvFILQ,Antrax,24,20.18.09,antrax|antrax reto|teamtrax|antrax youtube|hamtrax|corvette coche antrax|un dia repartiendo comida uber corvette|uber eats corvette,1235054,139035,1704,7648,https://i.ytimg.com/vi/cA6AaafCKhY/default.jpg,False,,MX,11
TALgv8BPL1k,The Kid LAROI - WRONG (Official Video) ft. Lil Mosey,2020-09-17T16:00:09Z,UCqPbkJrjrsQb_RGlC_4HEgg,TheKidLAROIVEVO,10,20.18.09,TheKidLaroi|Fuck Love|FuckLove|Grade A|Juice WRLD|JuiceWRLD|The Kid|LAROI|Kid Laroi|KIDLAROI|Go Go Go|Tell Me Why|Cole Bennett|spooky black|corbin|lil mosey|the kid laroi new mixtape|the kid laroi fuck love|fuck love kid laroi|wrong|i know that were aint getting along|phone tonight|bad and you know it|Columbia|Rap|The Kid LAROI feat. Lil Mosey|WRONG,1334736,158960,2932,17074,https://i.ytimg.com/vi/TALgv8BPL1k/default.jpg,False,,MX,12
