video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"vY5x9jBXStE","[김어준의 뉴스공장 FULL/9월 9일]","2020-09-09T02:08:00Z","UC5HSw5OY2vfVFSihpiB-AVQ","TBS 시민의방송","25","20.09.09","TBS|김어준|뉴스공장|대북전단|삐라|이재용|삼성|정경심|타투이스트|김여정","293666","22966","530","485","https://i.ytimg.com/vi/vY5x9jBXStE/default.jpg","False","False","[TBS 유튜브(수) 생방송]▶7시 6분 : 김어준의 뉴스공장 ▶9시 :킹슈맨 ▶10시 : 골방라이브  9월 9일(수) 김어준의 뉴스공장◎ 1부[이 정도는 알아야 할 아침 뉴스]- 류밀희 기자 (TBS)◎ 2부[인터뷰 제1공장] -전화연결추미애 장관 아들 '황제복무' 의혹?    카투사 특성 모르는 억지 주장- 추미애 장관 아들과 함께 복무한 카투사 (익명))[인터뷰 제2공장]3기 신도시 6만호 사전청약 패닉바잉 잡고 집값 안정화할 것  - 김현미 장관 (국토교통부)◎ 3부[인터뷰 제3공장]  2차 재난지원금 선별 지급 &  막 오른 정의당 당대표 선거 - 배진교 원내대표 (정의당)  [인터뷰 제4공장] -전화연결광주시, ‘확진자 1명 당 4781만 원 소요’..방역일탈 행위 “일벌백계할 것”–  박향 복지건강국장 (광주시)[인터뷰 제5공장] -전화연결전주시 고위험시설 99.6% 휴업 협조..“행정명령 위반하면 고발, 준수하면 지원금”- 김승수 시장 (전주시)◎ 4부[영화공장]유난히 '개봉운' 없던 불운의 명작 BEST는? - 윤성은 영화평론가- 김성훈 기자 (씨네21)----------------------------------------------▶TBS 유튜브 구독 http://j.mp/MyLoveTBS▶TBS 페이스북 https://facebook.com/mylovetbs▶TBS 카카오스토리 https://story.kakao.com/ch/seoultbs▶TBS 인스타그램 https://instagram.com/seoultbstv▶TBS 트위터 https://twitter.com/seoultbstv▶TBS 홈페이지 http://tbs.seoul.kr/▶TBS 유튜브 커뮤니티 http://bit.ly/2EaWnQp"
"tK9UevfFFbU","전설의 웹툰 기기괴괴 성형수가 영화로 나왔다고..?","2020-09-08T07:00:05Z","UCaHGOzOyeYzLQeKsVkfLEGA","지무비 : G Movie","1","20.09.09","영화|지무비|성형수|기기괴괴|애니","997383","17514","369","3981","https://i.ytimg.com/vi/tK9UevfFFbU/default.jpg","False","False","#지무비 #기기괴괴 #성형수영화 ‘성형수’, 오는 9월9일 개봉합니다.중소 제작사의 영화 홍보를 돕기 위해 제작한 영상이며, 그 어떠한 금전적 지원도 받지 않았음을 알려드립니다. 한국 장편 애니메이션의 선전을 기원합니다.항상 감사합니다.▶ 문의awayout2@naver.com*The movie clips on my channel has gotten copyright permission of copyright holder."
"ft1ZIBNzHUw","[검찰 특별수사 2부작] 2부 수상한 수사 - 전반부 - PD수첩 (9월8일 방송)","2020-09-08T14:23:30Z","UCawCv9kO2UXbTtsK4EammRQ","MBC PD수첩","25","20.09.09","PD수첩|시사교양|시교|시사|고발|MBC|뉴스|이슈|사회문제|수상한수사|특수부|검찰|한동훈|이동재|김경록|조국|정경심|동양대","177773","13883","142","1408","https://i.ytimg.com/vi/ft1ZIBNzHUw/default.jpg","False","False","✔시대의 정직한 목격자, MBC PD수첩 (화 밤10시50분)✔PD수첩 본방을 놓쳤다면? 유튜브로 핵심을!   PD수첩 유튜브 공식계정 https://goo.gl/9tgdwM✔PD수첩 본방을 다시보고 싶다면?   iMBC : https://bit.ly/2ELLAyh   WAVVE : https://bit.ly/2EXiZq5#PD수첩 #특수부 #수상한수사 #한동훈 #이동재 #김경록"
"J-WODtL2JQw","현재 정은경 본부장이 발표한, 한국 뒤바꿔놓겠다는 놀라운 계획, 한국, 9월달 한국에서 엄청난 일 벌어질것","2020-09-08T11:35:15Z","UCVObSp4MlJwCsh6vtKz4PHQ","쓸모왕","25","20.09.09","한국|정은경|정은경 본부장|WHO|질병관리청|영국|검사|방역|중국|치료제|셀트리온|해외반응|외신반응","724078","18960","881","1790","https://i.ytimg.com/vi/J-WODtL2JQw/default.jpg","False","False","현재 정은경 본부장과 한국 방역당국이 발표한 놀라운 계획이 화제가 되고 있습니다.세상의 쓸모있는 지식을 전달해드리는 '쓸모왕'입니다.  영상이 도움이 되셨다면, '좋아요'와 '구독'을 부탁드립니다.  '알람'설정도 해놓으시면 제일빨리 쓸모왕 지식을 받아보실수 있습니다^^*본 채널은 연합뉴스와 콘텐츠 이용계약을 맺었으며, 연합뉴스는 본 채널의 편집방향과 무관합니다.저작권자(C)연합뉴스, 쓸모왕#한국 #정은경 #WHO"
"AAOOKbk-knM","(MV)유아(YooA)_숲의 아이 (Bon voyage)","2020-09-07T09:01:54Z","UC-qYkzKFdekoEniRu_FS3zg","OH MY GIRL","10","20.09.09","#오마이걸|OHMYGIRL","4631353","0","0","18779","https://i.ytimg.com/vi/AAOOKbk-knM/default.jpg","False","True","YooA(OH MY GIRL) 1st Mini Album [Bon Voyage] has been released.#유아 #YooA #숲의아이 #Bonvoyage:: iTunes - https://apple.co/325eu99:: Spotify - https://spoti.fi/3bD5nzEOH MY GIRL Officialhttps://www.ohmy-girl.comhttps://youtube.com/ohmygirlhttps://instagram.com/wm_ohmygirl https://twitter.com/wm_ohmygirl https://www.facebook.com/official.ohmygirl"
"TREHzPWzurk","[검찰 특별수사 2부작] 2부 수상한 수사 - 후반부 - PD수첩 (9월8일 방송)","2020-09-09T01:32:50Z","UCawCv9kO2UXbTtsK4EammRQ","MBC PD수첩","25","20.09.09","PD수첩|시사교양|시교|시사|고발|MBC|뉴스|이슈|사회문제|조국|정경심|김경록|동양대|수상한수사|특수부|한동훈|검찰|검찰개혁|KBS|채널A","51290","6421","44","498","https://i.ytimg.com/vi/TREHzPWzurk/default.jpg","False","False","✔시대의 정직한 목격자, MBC PD수첩 (화 밤10시50분)✔PD수첩 본방을 놓쳤다면? 유튜브로 핵심을!   PD수첩 유튜브 공식계정 https://goo.gl/9tgdwM✔PD수첩 본방을 다시보고 싶다면?   iMBC : https://bit.ly/2ELLAyh   WAVVE : https://bit.ly/2EXiZq5#PD수첩 #특수부 #수상한수사 #한동훈 #이동재 #김경록"
"bcSYqhf3364","돌고 돌아 이렇게 되나?  [따 따]","2020-09-08T08:21:46Z","UC8SZ88GQa9XWwZxLNibO3ug","배승희 변호사","25","20.09.09","[none]","425231","70324","1011","1935","https://i.ytimg.com/vi/bcSYqhf3364/default.jpg","False","False","[채널 가입]https://www.youtube.com/channel/UC8SZ88GQa9XWwZxLNibO3ug/join[자율구독료]신한은행 110-098-063864[제보 메일]moissue24@gmail.com"
"MOb1FjubGug","9/9(수) - 秋아들 변호인 카투사는 한미규정 모두 vs 무슨 소리?(현근택vs전주혜) / 카카오 들어오라? 윤영찬과 이정현이 다른가?(이준석·박원석) [김현정의 뉴스쇼]","2020-09-09T00:00:36Z","UC4Aa3OPkMenwTANpf0oWVRQ","CBS 김현정의 뉴스쇼","25","20.09.09","김현정|뉴스쇼|추미애 아들|현근택 변호사|전주혜 의원|주호영 다음메인|대한의사협회|윤영찬|코로나 원격수업","63406","1174","126","259","https://i.ytimg.com/vi/MOb1FjubGug/default.jpg","False","False","▣ 라이브 방송 안내뉴스쇼 라이브 방송 | 매주 월~금 오전 7시20분~9시댓꿀쇼 라이브 방송 | 뉴스쇼 본방송 끝나자마자 이어서 오전 9시▣ 김현정의 뉴스쇼 유튜브 구독하기https://goo.gl/ApKab6▣ 제보 및 의견◇ 문자: #1212◇ 뉴스쇼 제보 이메일: newsshow981@gmail.com◇ 댓꿀쇼 관련 이메일: newsshow.cbs@gmail.com◇ 모바일 레인보우- 안드로이드 구글플레이: http://goo.gl/0fboZU- 애플 앱스토어: https://apple.co/2ytJKPW◇ 홈페이지: http://www.cbs.co.kr/radio/pgm/info.a...◇ 카카오TV: https://tv.kakao.com/channel/3238340◇ 트위터: https://twitter.com/cbsnewsshow◇ 페이스북: https://www.facebook.com/981news◇ 인스타그램: https://www.instagram.com/khj_newssho...#김현정의뉴스쇼 #뉴스닥 #훅뉴스 #댓꿀쇼"
"rYNC7_iiG4U","[김어준의 뉴스공장 FULL/9월 8일] 추석, 긴장 풀어서는 안돼...뭉치면 죽고, 흩어져야 산다!","2020-09-08T02:06:43Z","UC5HSw5OY2vfVFSihpiB-AVQ","TBS 시민의방송","25","20.09.09","TBS|김어준|뉴스공장|대북전단|삐라|이재용|삼성|정경심|타투이스트|김여정","387682","26059","836","880","https://i.ytimg.com/vi/rYNC7_iiG4U/default.jpg","False","False","[TBS 유튜브(화) 생방송]▶7시 6분 : 김어준의 뉴스공장 ▶9시 :킹슈맨 ▶10시 : 골방라이브  9월 8일(화) 김어준의 뉴스공장◎ 1부[이 정도는 알아야 할 아침 뉴스]- 류밀희 기자 (TBS)[잠깐만 인터뷰] - 전화연결  정부-의협 합의에도 국시 거부의협, ‘구제책’으로 정부에 책임 전가- 김윤 교수 (서울대 의과대학 의료관리학과)◎ 2부[인터뷰 제1공장]추미애 아들의 엄마 찬스? 쟁점 총정리 부대·보직 배치 청탁 모두 사실무근 - 현근택 변호사 (추미애장관 아들 측 변호인)[인터뷰 제2공장]코로나 19-독감 동시진단키트 도입코로나-독감 동시 유행시, 신속 대비 기대- 기모란 국립암센터 교수 (대한예방의학회 코로나19 대책위원장)◎ 3부[청태만상]이낙연 대표 첫 국회연설 & 2차 재난지원금 선별지급 결정 관전평- 정청래 의원 (더불어민주당) - 하태경 의원 (국민의힘)   ◎ 4부[인터뷰 제3공장] -전화연결美·日보다 정확해진 한국 기상청 기후변화로 날씨 예측 점점 어려워  - 윤기한 기상청 통보관[스포츠공장] 레전드 오브 레전드 매치 : OB특집‘마라도나 VS 펠레’ ‘베이브 루스 VS 테드 윌리엄스’ - 한준희 축구해설위원 - 박문성 축구해설위원- 박동희 야구전문기자- 이상훈 야구해설위원----------------------------------------------▶TBS 유튜브 구독 http://j.mp/MyLoveTBS▶TBS 페이스북 https://facebook.com/mylovetbs▶TBS 카카오스토리 https://story.kakao.com/ch/seoultbs▶TBS 인스타그램 https://instagram.com/seoultbstv▶TBS 트위터 https://twitter.com/seoultbstv▶TBS 홈페이지 http://tbs.seoul.kr/▶TBS 유튜브 커뮤니티 http://bit.ly/2EaWnQp"
"hFQL7BS6lrs","TAEMIN 태민 'Criminal' MV","2020-09-07T09:00:08Z","UCEf_Bc-KVd7onSeifS3py9g","SMTOWN","10","20.09.09","[none]","3536040","567774","3327","44481","https://i.ytimg.com/vi/hFQL7BS6lrs/default.jpg","False","False","TAEMIN's 3rd Album Never Gonna Dance Again : Act 1 is out!🎧 Listen and download on your favorite platform : smarturl.it/TAEMIN_NGDA_Act1TAEMIN Officialhttp://taemin.smtown.comhttp://www.youtube.com/shineehttp://www.facebook.com/shineehttp://www.instagram.com/shineehttps://twitter.com/SHINee#Criminal #TAEMIN #태민 #テミン #NeverGonnaDanceAgain #Act1TAEMIN 태민 'Criminal' MV ℗ SM Entertainment"
