video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"RkppF8ti0HI","COMEÇOU! Rola a primeira votação da temporada I A Fazenda 12","2020-09-09T07:01:49Z","UCw4YGFtvDgOL09KrFpqj6kg","A Fazenda","24","20.10.09","acelere|aclr|a fazenda|vem aí a fazenda|fazenda talks|marcos mion|rodrigo carelli|lucas salles|multiplataforma|reality show|record tv|peões|roça|prova do fazendeiro|poder da chama|prova de fogo|Andréa Nóbrega|Aricia Silva|Bifão|Diego Grossi|Drika Marinho|Guilherme Leão|Hari Almeida|Lucas Viana|Netto|Phellipe Haagensen|Rodrigo Phavanello|Sabrina Paiva|Tati Dias|Thayse Teixeira|Túlio Maravilha","1588884","62339","1494","3366","https://i.ytimg.com/vi/RkppF8ti0HI/default.jpg","False","False","Com a apresentação de todo o elenco para a audiência, o apresentador Marcos Mion, depois do primeiro CHEGAMOS! Reuniu todos na sede de A Fazenda 12 para a primeira votação na temporada para saber quem poderia ou não, disputar uma chance pra ser fazendeiro.Assine o PlayPlus e tenha acesso à transmissão 24 horas de A Fazenda 12Inscreva-se no canal A Fazenda: http://r7.com/8IZb Site oficial: https://afazenda.r7.com/a-fazenda-11Assista às íntegras no PlayPlus: https://www.playplus.comFacebook: https://www.facebook.com/AFazendaRecordInstagram: https://www.instagram.com/afazendarecordTwitter: https://twitter.com/afazendarecord#AFazenda12 #MarcosMion #FogoNoFeno"
"jsA7GRU9LBY","O OLHO DE DEUS FOI ENCONTRADO NO UNIVERSO !!","2020-09-09T15:32:00Z","UCj0O6W8yDuLg3iraAXKgCrQ","Você Sabia?","24","20.10.09","Olho de deus|deus está nos observando|nebulosa|helix|cabeca de cavalo|nebulosa borboleta|a mão de deus|o que sao nebulosas|as mais|voce|sabia|curiosidade|enigmas e|mistérios do universo|espaco|universo","1990735","373572","3380","22784","https://i.ytimg.com/vi/jsA7GRU9LBY/default.jpg","False","False","Veja agora seus filmes favoritos: https://teleci.ne/2Qt3HPy30 DIAS GRÁTIS Telecine!! Experimente por 30 dias e assine o Telecine. São mais de 2000 filmes para você assistir on-line. Uma nova experiência de filmes chegou!"
"qXBGuGgPhhw","Carol & Vitoria - Pode Parar (Clipe Oficial)","2020-09-09T14:00:10Z","UCoqCOvZxkz2HMOC6vXkXBAQ","Carol & Vitoria","10","20.10.09","Carol & Vitoria|Carol & Vitoria Marcilio|Carol e Vitoria|Carol e Vitoria Marcilio|Carol Marcilio|Vitoria Marcilio|Cover|Jura Juradinho|Mais que um Verão|Numa dessas voltas|Gato Preto|Cataflor|Lançamento|Resposta|Vlog|Irmãs|Eu Tô Gostando De Um Menino Aí|Pode Parar","311058","58555","423","2769","https://i.ytimg.com/vi/qXBGuGgPhhw/default.jpg","False","False","Esse é o clipe oficial da faixa Pode Parar de Carol & Vitoria.Ouça nos aplicativos de música clicando no link: https://SomLivre.lnk.to/Pode_PararLetraComposição: Tie Castro / Dougie Ribeiro / Carol Marcílio / Daniel Ferreira / Juliano ValleJá pode parar pá páMelhor parar pá páCom esse papo de viver longe de mimJá pode parar pá páMelhor parar (parar)Não faz assimLonge da gente a gente só sobreviveViver já são outros quinhentosPerto de você é calmaria, viagem pra BahiaFolia dentro dos meus pensamentosVem no seu tempo, só não perde tempoA vida passa “rapidin”Esse pequeno grande intervalo entre a genteTá demorando mais que os reclames do plin-plinJá pode parar pá páMelhor parar pá páCom esse papo de viver longe de mimJá pode parar pá páMelhor parar (parar)Não faz assimPerto da gente a vida é muito mais belaPra Romero Brito a gente é tela  Se eu to contigo é de verdade, maior tranquilidadeTeu colo é camomila pra essa minha ansiedadeCura meus males e fasesMe “Jura Juradinho” entãoQue mais tarde cê tá no portãoJá pode parar pá páMelhor parar pá páCom esse papo de viver longe de mimJá pode parar pá páMelhor parar (parar)Não faz assimE cura meus males e fasesMe “Jura Juradinho” entãoQue mais tarde cê tá no portãoSiga a dupla Carol & Vitoria nas redes sociais!Facebook: https://www.facebook.com/carolevitoriaoficialInstagram: https://www.instagram.com/carolevitoriaoficialTwitter: https://twitter.com/carolevioficial"
"3cl80gmqenU","🐔ESTREIA DE “A Fazenda 12” TEM CLIMÃO, ESTRATÉGIA, MANIPULAÇÃO E AMANTE DO EX","2020-09-09T04:09:27Z","UC0LlPl_mWhIFqVxcH1l3xpQ","WebTVBrasileira","24","20.10.09","a fazenda 2020 estreia|marcos mion|record|estreia|a fazenda 12|20 participantes|2 milhões em prêmio|itapecerica da serra|fazendeiros|Rodrigo Carelli|estreia da décima segunda temporada do reality|comentando a fazenda 12|reality show|fazenda|afazenda12|estreia a fazenda|programa 08/09/2020|programa 08\/09\/2020|roça|chama vermelha|chama azul|poder do lampião|votaçao|quem foi eliminado da fazenda 12|prova de fogo|prova do fazendeiro","410202","40467","772","1677","https://i.ytimg.com/vi/3cl80gmqenU/default.jpg","False","False","#FalandoDeAFazenda #afazenda12COMENTANDO A ESTREIA DE “A FAZENDA 12” 📛Nossa nova coleção de camisetas e moletons já está disponível e com as estampas que vcs, #webtvzeiros, escolheram. Compre aqui: https://www.lolja.com.br/parceiros/web-tv-brasileira/ 👊🏼💥Compre produtos Embelleze pelo site:http://www.embelleze.com/?utm_source=social&utm_medium=Influencer&utm_campaign=WebtvBrasileiraGaranta 10% de desconto usando o código: webtvbrasileiraSe vc mora nos EUA compre Novex aqui: https://novexhaircare.com/Se vc mora em Portugal compre aqui: https://embelleze.pt/💜Embelleze VD COMPRE ALCOOL GEL: https://webtv.embellezevd.com/produto/biosalut-alcool-gel-300ml Tá dando erro no CEP? Central WebTVZeiros no WhatsApp (dúvidas) 21-96470-6214 Torne-se um consultor: https://escritorio.embellezevd.com/register/WebTVCompre produtos exclusivos Embelleze VD: https://webtv.embellezevd.com/ Inscreva-se no canal WebTVZeiros Embelleze VD: https://www.youtube.com/channel/UC-H_NLtnwEwoYcrAecE99PQ Bora COMPARTILHAR e COLABORAR para o CRESCIMENTO do CANAL👊🏻Suru-BÃO WebTVzeiros (GRUPO BATE-PAPO)http://www.discord.gg/webtvbrasileiraINSCREVA-SE: https://www.youtube.com/subscription_center?add_user=webtvbrasileira💥Se vc usa IOS, torne-se um membro do Clube WebTVBr clicando neste link: https://www.youtube.com/webtvbrasileira/joinPROGRAMAÇÃO DESTE MÊS:🔥#HoraDaFofoca AO VIVO: de Segunda a Sexta - 20hNA REDE:#WebTVBrasileiraTwitter: http://www.twitter.com/WebTVBrasileiraInstagram: https://www.instagram.com/webtvbrasileira/Facebook: http://www.facebook.com/MotionTVOficialTati MartinsFacebook Page: http://www.facebook.com/TatiMartinsOficialFacebook Perfil: https://www.facebook.com/tati.martins.31508Instagram: https://www.instagram.com/tatimartinsofficial/Marcelo CarlosTwitter: https://twitter.com/marcelowebtvFacebook: https://www.facebook.com/marceloattbi?fref=tsInstagram: https://www.instagram.com/marcelowebtv/Participantes de A Fazenda 12, mc biel Jojo Todynho, mc mirella, carol narizinho, cristiane maravilha, Cartolouco, Jakelyne Oliveira, victoria billarim, JP Gadelha, Mariano, Stefani Bays, Pimpolho, sergio loroza, Tays Reis,"
"FuhxGsu8Gq4","Cesar Mc - Eu Sou Favela part. Vk Mac e Mc Cabelinho (Videoclipe Oficial)","2020-09-08T20:38:29Z","UCqrFwa5vueOTzGZ7NSlnvlQ","PineappleStormTV","10","20.10.09","rap|nacional|pineapple|brainstorm|costa|gold|poetas|no|topo|perfil|acustico|ducon|contra|corrente|menestrel|sagaz|cone|crew|diretoria|cacife|clandestino|filipe|ret|marcelo|d2|sain|bloco|djonga|baco|froid|choice|oriente|3030|haikaiss|quinto|andar|sintese|neto|modestia|parte|diomedes|chinaski|shawlin|morcego|caixa|baixa|coringa|um44k|luccas|carlos|cartel|king|mac|delarima|piramide|perdida|don|cesao|racionais|cesar mc|mc cabelinho|favela vive|eu sou favela|vk mac","742749","139384","550","5075","https://i.ytimg.com/vi/FuhxGsu8Gq4/default.jpg","False","False","Uma Realização Pineapple Storm Records.Sigam nas redes sociais:https://www.instagram.com/cesarmc027https://www.instagram.com/mccabelinhohttps://www.instagram.com/vkmac_https://www.instagram.com/ptiberyhttps://www.instagram.com/felipeartiolihttps://www.instagram.com/pineapplepnplMúsica - Eu Sou FavelaLetra/Voz - Cesar Mc, Mc Cabelinho e Vk MacProdução Musical - Tibery e Felipe ArtioliMixagem e Masterização - Felipe ArtioliProdução Executiva - Paulo AlvarezRealização Audiovisual - Fresh Mind CoRoteiro e concepção: Uriel Calomeni & César MCDireção geral: Uriel CalomeniProdução Executiva: Paulo AlvarezDireção de fotografia: Uriel Calomeni, Brandon Barcellos e Luis LuixImagens aéreas: Uriel CalomeniDireção de Produção: Marco Antonio e Diego Cavaleiro AndanteAssistente de produção: Amanda Carvalho e Bruno Ricardo da SilvaFotografia still: Felipe AlbertoEdição: Luís Luix e Uriel CalomeniFinalização: Luís LuixDesigner gráfico:  Matheus PereiraVILA CRUZEIROLocação de base: KonteinerProdutores local: Hiago cascata, André Bolinho, Leonam Pereira, DingoAlimentação local: Pensão da caixa d’águaProtagonistas: Antônio Messias, Paulo Ricardo de Oliveira, Daiane Ribeiro de Oliveira, Ferreira “Dai”, Zé Luís, Neuci da Silva “Amaral”, Volverine, Luana Silva “Lua”, Vania MariaCIDADE DE DEUSProdutores local: Bruno Rafael e Ruy VitórioProtagonistas: Bruno Rafael, Leo Sagat, Nikolas Mendes de PaulaMORRO DO QUADROProdutor local: DJ ST, Braz Protagonistas: Luciene Chagas “Coral Serenata”, Luis Otávio Martins, Fábio Miguel da Silva Junior, Jaddy Meira de Queiroz, Lara Goes Patrocínio, Matheus Henrique dos Santos Vieira, Yuri dos Santos Vieira, Mariana Sales Oyarzabal, Samira de Orozimbo, Sabrina de, Orozimbo Pereira, Anna Júlia Levone Matos, Daniel Elias dos Santos da Conceição, Alicia Freire, Julya Matias dos Santos de Jesus, Franciele de Paula Defante, Maria Juliana Pereira da Vitória, Isabele Santos Barcelos, Ana Piettra de Souza, Thiago Freitas da Silva, Maria Eduarda Severiano, Yasmim Couto, Marya Eduarda Berto dos Santos Silva, Karenn, Rodrigues dos Santos, Raphaela Rodrigues dos Santos, Laisla Campos Baptista, Pamela Oliveira Santos, Thawany Andrade Fernandes, Camylly Victória Defante Custódio, Jamilly Gomes Nascimento, Júllio César dos Santos Teixeira, Thaís Eduarda de Oliveira Nascimento, Sanny da Silva SantosPAVÃO-PAVÃOZINHO CANTAGALOProdutor local: Key (Favela solidária)AgradecimentosPedro Almeida (Vila cruzeiro - RJ), Dodo (Vila cruzeiro - RJ), Hiago cabeludo (Vila cruzeiro - RJ), Paizão (Vila cruzeiro - RJ), Konteiner, Maurício Barreto, Patricia Calomeni, Coral serenata, DJ ST, Comunidade do PPG, Comunidade do Morro do Quadro, Comunidade da Cidade de Deus, Comunidade do Complexo da Penha e da Vila Cruzeiro, 2 olhares, Gu Sucos (Coral serenata), Santa Salada (Coral serenata), Work Comunicacao Integrada (Coral serenata), Saudável Gourmet Artesanal(Coral serenata), Eteses(Coral serenata), Banestes(Coral serenata), Galera do Jardan."
"AYxQcIc0HNY","FREE FIRE AO VIVO - LIGA NFA SEASON4 | DIA 29 - GRUPO AxB - #NFAS4","2020-09-10T03:06:37Z","UCIVnGR9XPef8boJWJHfQAiA","NFA CHANNEL","20","20.10.09","liga nfa|nfa|liga|free fire|garena|lbff|copa ff|liga brasileira|pro player|campeonato|torneio|ss|bdl|b4|los grandes|lgd|loud|loudgg|laude|pain|faz o p|god|god esports|deuses|kof|anarchysons|intz|fsk|forsaken|samuca|ale|el|gato|piu|piuzinho|thurzin|maellen|booyah|voltan|codiguin|cerol|bak|coreano|jordan|racha|price|elton|eltin|huntergod|wins|hudson|nobru|tv|ygorx|dantes|since|sharin|will|bradook|kronos|ggeasy|babi|coringa|victor|levelup|buxexa|crusherfooxi|esports|blak|blakn444","1458273","176981","1271","248","https://i.ytimg.com/vi/AYxQcIc0HNY/default.jpg","False","False","A Liga NFA Season 4 começou! O maior campeonato da comunidade com os melhores 30 times do Brasil competindo pelo o mais precioso troféu da NFA!Lives todas as segundas, quartas e sextas às 20h! Já se inscreve no canal e liga as notificações, porque a Liga NFA está pegando fogo!Sigam a NFA nas redes sociais!Booyah: https://booyah.onelink.me/QhNz/NFAInstagram: @liga.nfaTwitter: @liganfaYouTube: NFA CHANNELSigam o instagram de nossos casters!Samuca: @jogasamucaAle Maze: @ale.mazeNanda: @nandabellissimoCabelo: @cabelogamer"
"-go0eNgMzhQ","LIVE BASTA ACREDITAR | SARAH BEATRIZ","2020-09-09T04:53:49Z","UCNwql3VL1H62zMY_btrUjzg","Sarah Beatriz","10","20.10.09","sarah beatriz|sarah bia|srbtcovgosp123|sarahbiaa|sarahbiaa cover|live sarah beatriz|sarah bia live|sarahbiaa live|sarah beatriz live kemuel|live kemuel|sarah beatriz live leandro borges|live leandro borges|sarah beatriz live elaine martins|live elaine martins|sarah beatriz live lukas agustinho|live lukas agustinho|live basta acreditar|basta acreditar live|LIVE BASTA ACREDITAR | SARAH BEATRIZ|kemuel|leandro borges|elaine martins|lukas agustinho","324291","38963","281","937","https://i.ytimg.com/vi/-go0eNgMzhQ/default.jpg","False","False","Hoje a live Basta Acreditar traz convidados muito especiais...@Elaine Martins Oficial @Kemuel @Leandro Borges @Lukas Agustinho Espero que vcs curtam muito e sejam edificados através dos louvores !#SarahBeatriz #LiveSarahBeatriz #LiveBastaAcreditar"
"eaNmsY-k7cY","Entrevista inédita com o goleiro Bruno | Conexão Repórter (07/09/20)","2020-09-08T13:12:11Z","UCZ4OrTQ4RsJqsV5VvtPizJg","Conexão Reporter","25","20.10.09","Conexão Repórter|roberto cabrini|roberto cabrini sbt|goleiro bruno|entrevista goleiro bruno|entrevista inédita bruno|entrevista inédita goleiro bruno|entrevista inédita com bruno|entrevista bruno|bruno entrevista|goleiro bruno entrevista|cabrini entrevista bruno|cabrini entrevista goleiro bruno|roberto cabrini goleiro bruno|conexão repórter goleiro bruno|goleiro bruno conexão repórter|goleiro bruno reveleção|história goleiro bruno|goleiro bruno prisão","1341587","55797","5576","21587","https://i.ytimg.com/vi/eaNmsY-k7cY/default.jpg","False","False","Roberto Cabrini fica frente a frente com Bruno Fernandes das Dores de Souza, o Goleiro Bruno. Em um encontro tenso, ele quer evitar falar do passado e de sua condenação a mais de 20 anos de prisão por planejamento e participação no sequestro e assassinato de Eliza Samúdio. Confrontado com as mais duras questões, diz querer focar no futuro e falar sobre os detalhes de sua sexta tentativa de voltar aos gramados, agora no futebol do Acre. Cabrini questiona que erros ele cometeu, a quem deve pedidos de perdão e se ele se arrepende de algo, recebendo de Bruno uma única certeza afirmada com convicção: prisão, nunca mais. Uma entrevista marcada por um final abrupto e, também, revelador de sua mente. O jornalístico mostra ainda como o presidente do Rio Branco, que o contratou, perdeu o principal patrocinador, e viu Rose Costa, responsável pelo futebol feminino, deixar o clube em protesto. O programa também revela o que a mãe de Eliza tem a dizer sobre tudo isso."
"BtMqlltC0x0","MEU PRIMEIRO ACAMPAMENTO COM OS MENINOS! 🏕 🔥","2020-09-08T21:30:11Z","UCgdnrd2Ae_H07_N8j1l18Xw","Dani Russo Tv","24","20.10.09","dani russo|'dani|russo|tv|danivlogs|dani vlog|acampamento|renato garcia|leo da hornet|chris leao|viagem|amigos|meninos|embacado","616952","46879","980","2023","https://i.ytimg.com/vi/BtMqlltC0x0/default.jpg","False","False","Se INSCREVA e deixe o LIKE nesse video!Meu canal de jogos, se inscreva! ( JOGADANIRUSSO )https://www.youtube.com/channel/UCa7v_JYb7kfmrrOG3pG_7wwinstagram: @danirussotv    Contato Profissional: danirussotv.publicidade@gmail.com"
"Ctd_oRtyxfQ","LIVE DICAS #9 RODADA | CARTOLA FC 2020 | VAI ESCALAR O CANO?","2020-09-09T17:07:42Z","UC73iRP94nnZ5C3SE8zrBQaQ","BetinGamer","17","20.10.09","betin|betingamer|cartola fc 2020|cartola 2020|cartola fc 9 rodada|cartola rodada 9|live 9 rodada cartola fc|live dicas cartola fc|live do betin|#9 rodada cartola fc|time atualizado rodada 9|ganhar cartoletas na 9 rodada|dicas rodada 9 cartola|betin rodada 9|cartola fc dicas rodada 9|dicas nona rodada|nona rodada cartola|como ficar rico no cartola|dicas cartola valorizacao 9 rodada|como mitar na 9 rodada|como jogar cartola fc","246440","23141","342","273","https://i.ytimg.com/vi/Ctd_oRtyxfQ/default.jpg","False","False","★DICAS EXTRAS BETIN 2020 - PLANO DE SÓCIOS:✅🤝🏻 SEJA SÓCIO até o final do Brasileirão 2020 | De R$100,00 por R$84,90 | LINK:https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=447515381-26e2758e-6aeb-41a7-859c-fc19b2df5b98 ⚠️Após realizar o pagamento, VOCÊ PRECISA PREENCHER seus dados no link abaixo para ser adicionado no grupo do TELEGRAM:https://forms.gle/MkPJpYNXQ3qpX7rH8 📌❇️ Conheça os nossos conteúdos encaminhados aos SÓCIOS em todas as rodadas:https://bit.ly/2VUvMSX 📲Qualquer dúvida entre em contato conosco através do WhatsApp | LINK:https://bit.ly/3fGJqkg★ME ACOMPANHE NAS REDES SOCIAIS:Instagram: https://www.instagram.com/betingamer/Facebook: https://goo.gl/sSFYgXTwitter: https://twitter.com/BetinGamer_Site: http://betingamer.com.br Grupo gratuito no Telegram: https://t.me/GrupoBetinGamerVocê está curtindo um vídeo de Cartola FC 2020, live dicas rodada 9, live do betin cartola, live 9 rodada, time atualizado rodada 9, dicas da #9 rodada, rodada 9 dicas para mitar e ganhar cartoletas, cartola fc 9 rodada dicas, betingamer, dicas da nona rodada do cartola fc, como ganhar cartoletas na nona rodada, como valorizar o time no cartola fc, dicas da #9 rodada, rodada 9 dicas para mitar e ganhar cartoletas, cartola fc 9 rodada dicas betingamer, dicas da nona rodada do cartola fc, como ganhar cartoletas na 9 rodada!LIVE DICAS #9 RODADA | CARTOLA FC 2020 | VAI ESCALAR O CANO?LIVE DICAS #9 RODADA | CARTOLA FC 2020 | VAI ESCALAR O CANO?LIVE DICAS #9 RODADA | CARTOLA FC 2020 | VAI ESCALAR O CANO?"
