video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"mOQ280oc1fQ","SURVIVRE 48H SUR UN GLACIER Ft. Mike Horn","2020-09-08T16:00:29Z","UC-4M8AN08hw39nn2v91VuMQ","CYRILmp4","23","20.10.09","survivre|48h|48 heures|sur un glacier|cyrilmp4|mike horn|amixem|legrandjd|voyage|exploration|aventure|pole nord|svalbard","1159158","127128","540","5111","https://i.ytimg.com/vi/mOQ280oc1fQ/default.jpg","False","False","La troisième partie du voyage avec Amixem et LeGrandJD !👍 Merci à tous ceux qui laisseront un pouce bleu Nous allons passer 48 heures sur un glacier avec Mike Horn !VIDEO D'AMIXEM: https://youtu.be/-BGq9_roUhYVIDEO DU GRANDJD : https://www.youtube.com/watch?v=mWRLEmjDnXYVIDEO DE MIKE HORN (PROCHAINEMENT)VIDEO D'ANTOINE (PROCHAINEMENT) Réalisation -CYRILmp4Montage - Franck Marchand : https://www.instagram.com/franck_marchand_/CYRILmp4Cadrage -Antoine Jabssens : https://www.instagram.com/antoinejansEtienne Claret : https://www.instagram.com/etienneclaretCYRILmp4Remerciements -Jessica Horn : https://www.instagram.com/jessicaahorn/Annika Horn : https://www.instagram.com/annikahorn/Bernard Stamm, Picture, Billboard►Abonne toi: http://bit.ly/1rot6qe►Rejoins mon Discord : https://discord.gg/cyril►En live sur Twitch ici : https://www.twitch.tv/cyrilmp4►Ma 2ème chaîne gaming : https://www.youtube.com/channel/UC1MBcoEUxNAMMUWHyoGBIaA►Twitter: https://twitter.com/Cyril_mp4►Facebook: http://on.fb.me/1chqxfd►Instagram: https://www.instagram.com/cyril_mp4"
"bouhlRmE5UU","LE BLOC - SEPARATION (Episode 0)","2020-09-08T16:30:11Z","UCdHnhKSsy1yGGZz4DSkOrJQ","Hassan","23","20.10.09","[none]","1251917","122516","1746","5815","https://i.ytimg.com/vi/bouhlRmE5UU/default.jpg","False","False","Abonne toi ! https://www.youtube.com/channel/UCdHnhKSsy1yGGZz4DSkOrJQ/?sub_confirmation=1Acteurs (Instagram) :https://www.instagram.com/mister_officiel/ (Hassan)https://www.instagram.com/taj_abz/ (Taj)https://www.instagram.com/adm_abz/ (Adam)https://www.instagram.com/zineb_lhz/ (Zineb)Ecriture : Hassan & Camille JaCo-Réalisateurs : - https://www.instagram.com/camilleja/ (Camille Ja)- https://www.instagram.com/wacho_officiel/ (Wacho)2ème cam : https://www.instagram.com/rimaofficiell/ (Amir) Montage : Nuit Blanche Production https://www.instagram.com/nuitblancheproduction/Ingénieur son : Elodie TheveninGénérique : https://www.instagram.com/obyoneofficiel/Miniature : https://www.instagram.com/chronopxl/ (Chronopixel)"
"eNu4u9ic-Rk","J'ai attrapé la Covid-19 ! (c'était pas marrant...)","2020-09-08T16:00:07Z","UCWnfDPdZw6A23UtuBpYBbAg","Dr Nozman","28","20.10.09","dr nozman|nozman|docteur nozman","926573","70135","1374","5072","https://i.ytimg.com/vi/eNu4u9ic-Rk/default.jpg","False","False","J'ai attrapé la covid-19, c'était pas très marrant, je vous explique !Tu peux cliquer ici pour t'abonner ▶ http://bit.ly/1LaNlBDMontage/co écriture : https://bit.ly/2o1bwwMMon matos :Caméra : http://amzn.to/2oBOE9nObjectif : http://amzn.to/2pbhj2TMicro : http://amzn.to/2oZYSBgLe micro cravate qui sauve des vies : http://amzn.to/2oql44sEclairage : http://amzn.to/2pbu91k // http://amzn.to/2o86pdpTrépied : http://amzn.to/2pbiVtl Instagram : https://instagram.com/docnozman/Twitch : www.twitch.tv/docnozmanFacebook : http://on.fb.me/1qEkh9HTwitter : https://twitter.com/DrNozmanMerci à tous et à bientôt ! 😉"
"WE1dNySp704","Tous les buts du mardi 8 septembre - Foot - L. nations","2020-09-08T23:10:53Z","UCyIV8rkza5Uk_sJIhqilBvQ","L'ÉQUIPE","17","20.10.09","Football|Ligue des Nations|tous les buts","470915","8603","195","614","https://i.ytimg.com/vi/WE1dNySp704/default.jpg","False","False","VIDEO FOOT - Découvrez en vidéo les 22 buts marqués ce mardi soir en Ligue des nations."
"AdWTia2ZY6A","J'ai acheté une maison à Tokyo","2020-09-09T08:32:17Z","UCeGEv5MBdmGMgZFPrAlEmFA","Tev - Ici Japon","24","20.10.09","[none]","293003","22392","313","1494","https://i.ytimg.com/vi/AdWTia2ZY6A/default.jpg","False","False","La CandysanBox de Halloween : https://www.candysanbox.com/"
"p-4kug1ei2o","JE SÈCHE LA RENTRÉE","2020-09-08T16:15:09Z","UCMj2VQ3-8zpyeAI7dU0T-Bg","Fahd El","23","20.10.09","[none]","440937","43297","582","2548","https://i.ytimg.com/vi/p-4kug1ei2o/default.jpg","False","False","La famille, n'hésitez pas à vous abonner et à cliquer sur la petite cloche pour recevoir les notifs! Tankeete 😉Les copains dans la vidéo :Redha : https://www.instagram.com/redha.jr/?hl=frAbdel : https://www.instagram.com/abdel_110/?hl=frSara aka Lago : https://www.instagram.com/lagow_s/?hl=fr📨Email PRO: collaborations@fahdelproduction.comVous pouvez aussi me suivre sur mes réseaux sociaux:📸INSTAGRAM : Fahd.el  lien: https://www.instagram.com/fahd.el/?hl=fr👻SNAPCHAT: fahd_el https://www.snapchat.com/add/fahd_el💬FACEBOOK: Fahd.el lien https://www.facebook.com/fahdeloff/?ref=bookmarks🐤TWITTER : @Fahdel75miniature by mon frérot @airakaz https://www.instagram.com/airakaz13/?hl=frPrenez soin de vous"
"xouVlLavALI","Le doublé de Ronaldo pour le Portugal - Foot - L. nations","2020-09-08T20:53:42Z","UCyIV8rkza5Uk_sJIhqilBvQ","L'ÉQUIPE","17","20.10.09","Football|Ligue des Nations A|portugal|suede|ronaldo","292628","6626","148","1056","https://i.ytimg.com/vi/xouVlLavALI/default.jpg","False","False","VIDEO FOOT - Cristiano ronaldo a inscrit mardi ses 100e et 101e buts avec le maillot du Portugal, contre la Suède en Ligue des nations à Solna, et se rapproche un peu plus du record absolu de l'Iranien Ali Daei (109 buts en sélection nationale)"
"akNqKr3aOXQ","WEEKLY VLOG 1: UNE SEMAINE DANS NOTRE VIE DE COUPLE 💕","2020-09-08T18:21:47Z","UCBgI8ZGKbYqjLnQBz-KcM7Q","Domi & Yani","22","20.10.09","[none]","272271","26608","142","648","https://i.ytimg.com/vi/akNqKr3aOXQ/default.jpg","False","False","Aujourd'hui on ce retrouve pour notre premier weekly vlog , nouvelle série sur la chaine on espère que vous allez kiffer !! 📥 Contact Pro 🙎🏽‍♀️ yanissaxoxo@soeuretteproductions.com🙋🏽‍♂️ domi@soeuretteproductions.com 🤝 Retrouve nous 🤝➡️ SUR INSTAGRAM🙎🏽‍♀️ https://www.instagram.com/yanissaxoxo...🙋🏽‍♂️ https://www.instagram.com/domii.p/?hl=fr➡️ SUR YOUTUBE🙎🏽‍♀️ https://www.youtube.com/user/yanissaxoxo🙋🏽‍♂️ https://www.youtube.com/channel/UCrBP..."
"hoHkm4UJPHU","JEUX OLYMPIQUES VERSION AVENGERS ! (Marvel's Avengers)","2020-09-09T10:15:22Z","UCo3i0nUzZjjLuM7VjAVz4zA","Michou","24","20.10.09","michou|jeux olympiques|jeux|olympiques|michou avengers|michou jeux olympiques|avengers|jeux olympiques avengers","1324426","145760","1596","5679","https://i.ytimg.com/vi/hoHkm4UJPHU/default.jpg","False","False","Merci à Square Enix, Marvel & Playstation d’avoir sponsorisé cette vidéoPour acheter le jeu Marvel's Avengers sur PS4 : https://store.playstation.com/fr-fr/product/EP0082-CUSA14030_00-SCOTBASEPRE00001Avec : Michou, Valouzz, Piwerre, GuizziEquipe de production :Producteurs : Julien Allard, Anne DuvalDirectrice de production : Camille SelosseChargée de production : Elise PorcherStagiaire de production : Serena San VincenteAdministrateur de production : Alexandre Taton et Odile RouyerAssistant administrateur de production : Benjamin LouchardTalent Manager & Sales : Malih HaddouGestion talent : Maxime Brienne (Dobby)Equipe technique : Réalisateur : Emmanuel GuimierChef OPV :  Max Gozy, Maxime Pareydt et Enguerrand Le CacheuxChef OPS : Kevin Gomes Dos Santos (Dadson)Drône :  Blackbird ProductionsRégisseur général  : Eric Honoré LabatMonteur : WekytAssistant monteur : Jonathan MinottiEtalonneur : Jean Ousmane MbayeMixeur : David Amsalem  (Dadson) Remerciements :Activité : Lancer de poidsLa Ville de Levallois, Le Levallois Sporting Club – LSC et Mael TisonActivité : FlyboardWake Point Charlie et Kevin CalvezActivité : Kung-FuDojo Kikentaï, Casey Calaber @caseycalaberwushu et Grégory CalaberActivité : Fury RoomLa Fury Room 75002, David Lafranque et Aurélie Bezard📸 Mon Instagram : http://bit.ly/MichouINSTA💙 Mon Twitter : http://bit.ly/MichouTweet💜 Mon Twitch : http://bit.ly/MichouTwitchSalut ! Aujourd'hui nouvelle vidéo ! Dans cette vidéo on va faire des jeux olympiques version avengers ! c'est a dire qu'on va faire plein d'épreuves par avengers pour tester le meilleur avengersAbonne-toi !🎁 Devenir sponsor sur iOS : http://bit.ly/SoutieniOS👦 Chaîne secondaire : http://bit.ly/BobbyYtb📧 Adresse mail Pro : michoucontactpro@gmail.com"
"VrXLUoJ4AHw","Les Grigous, Benzaie - Groland - CANAL+","2020-09-08T08:58:33Z","UCJIl08OJstq_9kgI9wf_xjg","Groland Le Zapoï","24","20.10.09","GROLAND|CANAL|CANAL PLUS|HUMOUR|EMISSION|MOUSTIC|POLITIQUE|PARODIE|LES GRIGOUS|SALENGRO|DELEPINE|ZAPOI|CANAL+|BRANKIN NEWS|EMMANUEL MICRON|GROVILLE|GROLANDINFO|GRONEWS|PRÉSIPAUTÉ|PRESIDENT|PRESIPAUTE","183967","11574","319","670","https://i.ytimg.com/vi/VrXLUoJ4AHw/default.jpg","False","False","En direct de la Présipauté, des sketchs, des parodies  et l'actualité décryptée voire déchiquetée à la mode Grolandaise par de vieux et jeunes gredins journalistes. Du lendi au joudi à 20h50 et chaque dredi à 20h30 sur CANAL+ et en clair ! ZAPOI!!!L'intégralité de Groland est sur myCANAL : can.al/groland_le_zapoi GROLAND sur les réseaux sociaux :Facebook : facebook.com/groland/Twitter : twitter.com/Groland"
