video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"CF2oceUUqc4","da Milano a Roma in MONOPATTINO","2020-09-10T17:27:12Z","UCz-KJn98sMCPW5kjG0ZnE-Q","Jakidale","22","20.11.09","jakidale|jaki|vlog|mobile|tecnologia|tech|dailyvlog|daily vlog|daily vlog ita|dale|Jacopo D'Alesio|monopattino|milano|roma|milano roma|in monopattino|monopattino elettrico|bici|bicicletta|skateboard|luis|luis sal|bologna|firenze|giro d'italia|italia|colosseo|xiaomi|space valley|marcello ascani|bottura|modena|monopattino sharing|monopattini|monopattini elettrici|viaggio|viaggio in monopattino|travel|bikebacking|bike|mattia|miraglio|giro del mondo|mattia miraglio","545602","76375","502","4431","https://i.ytimg.com/vi/CF2oceUUqc4/default.jpg","False","False","11 Giorni, 646,10 chilometri. Milano-Roma in monopattino elettrico, video online sul mio canale YouTube. Avventura incredibile, grazie a @Mattia Miraglio  per il supporto e a Red Bull Italia per aver sponsorizzato questa grande impresa. Grazie anche a tutti quelli che ho incontrato durante questo viaggio e grazie all’Italia per essere un posto fantastico 💪🏼❤️Canale Mattia: https://www.youtube.com/c/MattiamiraglioItIntevista Mattia Podcast: coming soonLink Airbnb: https://abnb.me/e/51iMEqgIF9Video Girato coniPhone 11 Pro: https://amzn.to/3inqmJiDJI Mavic 2 Pro: https://amzn.to/32jB3qRUn grazie a http://www.immaginialvolo.it/ per le riprese aeree di MilanoALTRI LINK UTILICANALE TELEGRAM OFFERTE: https://t.me/offertedaleLA MIA ATTREZZATURA: https://amzn.to/2TnN08zSOCIALInstagram: https://www.instagram.com/jakidaleTelegram: https://www.telegram.me/jakidaleAmazon Prime: https://amzn.to/2YEZyyzProva Prime Music gratis: http://bit.ly/2KI6ssGProva Prime Video gratis: https://amzn.to/31vltoDAirbnb (34€ gratis da questo link): http://bit.ly/2H189k7TheFork (20€ gratis da questo link): http://bit.ly/2YWXTzESecondo Canale: https://www.youtube.com/user/jakidalechannelMAIL (solo per richieste commerciali)info@jakidale.it*Questo video contiene inserzioni a scopo commerciale*"
"jCOr6K88Rkc","TE AL LICEO VS TE DA BAMBINO || Diversi tipi di Persone e Situazioni in cui puoi immedesimarti!","2020-09-08T11:09:02Z","UC4C3XBEVcbyDOziQh7MHcKg","123 GO LIKE! Italian","24","20.11.09","fai da te|idee creative|idea creativa|scherzo|scherzi|divertimento|divertente|123GO!|123 go|123go|amici|amichevole|tutorial|123 GO! Like|123 GO! Like Italian|situazione|situazione divertente|situazione imbarazzante|ragazze vs ragazzi|io contro gli altri|io contro altre persone|ragazze in pubblico|in pubblico vs da solo|tu al liceo vs da bambino|scuola","807433","13859","1983","1028","https://i.ytimg.com/vi/jCOr6K88Rkc/default.jpg","False","False","Ognuno di noi ha dei bei ricordi della propria gioventù, quando eravamo piccoli fino al liceo! Non importa se frequenti il liceo o se ancora usi i giocattoli, perché potrai sempre immedesimarti nei nostri sketch!Te al liceo vs te da bambino, ragazzi vs ragazze, te vs tua madre…oggi ti faremo vedere delle situazioni particolari che capitano a tutti!Iscriviti al 123 GO Like! ⭐ Italian ... e non dimenticare di fare clic sul campanello 🔔 per non perdere i nostri nuovi video!A presto!#123GoLike #videodivertente #123GOSegnalibri:00:00 Momenti divertenti di te al liceo vs te bambino 01:02 Situazioni imbarazzanti al liceo 02:08 Ragazze vs ragazzi le difficoltà05:49 Momenti che capitano tra la mamma e figli06:00 Io vs gli altri07:55 Ragazze in pubblico vs quando sono sole10:03 Papere divertenti Questo video è realizzato a scopo di intrattenimento; Non ne garantiamo la completezza e l'affidabilità. Qualsiasi azione venga intrapresa è a proprio rischio e pericolo e non saremo responsabili per danni o perdite. É responsabilità dello spettatore usare giudizio, cura e precauzioni se intende replicare.Il seguente video mostra l'attività di attori professionisti in un ambiente controllato- usate precauzioni e giudizio se intendete replicare.ISCRIVITI: http://bit.do/123-GO-Like-Italian--------------------------------------------------------Musica di Epidemic Sound: https://www.epidemicsound.com/Materiale di scorta: https://www.depositphotos.com https://www.shutterstock.com"
"RkdKbv_-Drc","HO CENATO PER LA PRIMA VOLTA DENTRO UN SUPERMERCATO! PECHINO EXTRASH #1","2020-09-10T09:00:05Z","UCHZl_sLl4kGZSkrPBrWb_aQ","Anima","24","20.11.09","anima|mates|anima mates|pechino extrash|tour italia|25 euro budget|scroccare|viaggio|vlog|yakinop|supermercato|cenare in un supermercato|24h supermercato|youtuber viaggio|da milano a palermo|tour italia scroccando|canna 92|laboratorio gastronomico|autostop|viaggio budget limitato|vlog bologna|aboutnels|space valley|exeed|homyatol|peggior hotel|dormire in uno scantinato|peggior bnb|sascha burci|thatsanima|lookatsascha|animayt|non smettere mai di vivere|ep 1","276880","33018","260","649","https://i.ytimg.com/vi/RkdKbv_-Drc/default.jpg","False","False","Sono Anima dei Mates, oggi inizia l'avventura di Pechino Extrash! Da Milano a Palermo in 7 giorni a budget limitato! Cenare in un supermercato? Fatto!Yaki: https://www.instagram.com/yakinop_il_sindaco/La mia playlist SPOTIFY: https://spoti.fi/3foSTxbSHOP UFFICIALE MATES: https://www.matescollection.com/Supportami su FORTNITE con il codice: anima-ytLe Musiche che utilizzo: http://bit.ly/1OYt5laRegistro con Elgato HD 60: http://e.lga.to/animaCANALI PERSONALI:Yang Sascha: https://bit.ly/2yQTiaHYin Sascha: https://bit.ly/3eZb1gJSOCIAL:Instagram: lookatsaschaTik Tok: ThatsAnimaTwitter: Anima_YTFacebook: Sascha BurciSE VUOI SPEDIRMI QUALCOSA:Via privata Giovacchino Belli 14Webstarschannel - Mates MagazzinoMilano 20127 Italiasul pacco scrivere: Anima/Mates"
"07QMsWE_i-w","14 Guerre di Scherzi tra Sorelle! Divertenti Scherzi tra Sorelle!","2020-09-07T12:00:00Z","UCat4J1qEHCdzKS32xXNbbaw","WooHoo IT","26","20.11.09","la battaglia di scherzi|video divertente|i migliori scherzi|scherzi divertenti|giocare con gli amici|trucchi|migliori amici|divertimento|scherzi esilaranti|scherzi|Fratello vs Sorella|fratello vs sorella guerra dello scherzo|Sorelle|Sorelle e Fratelli|Scherzi tra Sorelle|rivalità tra sorelle|crescere con delle sorelle|sorelle|scherzi in famiglia|guerra degli scherzi|woohoo it","1481199","15227","3428","984","https://i.ytimg.com/vi/07QMsWE_i-w/default.jpg","False","False","Iscriviti Qui: https://www.youtube.com/channel/UCat4J1qEHCdzKS32xXNbbaw?sub_confirmation=1Momenti Imbarazzanti che Capitano a Tutti / Presenta il Tuo Ragazzo ai Tuoi Genitori https://youtu.be/Au4aE6uAOns?list=PLOniOCDu4BCHLwQEARj7SgL4kYvSSV9jT&playnext=1Siamo sempre felici di inventarci nuovi scherzi) Una sorella è una persona vicina nella vita e anche la persona che si può sempre prendere in giro. Guardate il nuovo video di WooHoo sugli scherzi esilaranti tra sorelle!Segui WooHoo:Iscriviti:  https://www.youtube.com/channel/UCat4J1qEHCdzKS32xXNbbaw?sub_confirmation=1Instagram: https://www.instagram.com/woohooyt/Facebook: https://www.facebook.com/WooHooYT/TikTok: https://www.tiktok.com/@the_woohooLIKEE: https://likee.com/@413158370WooHoo English: https://www.youtube.com/channel/UC41GHsi-F40DiDT2DFAWW0w?sub_confirmation=1WooHoo Español: https://www.youtube.com/channel/UCwmVv-CvbNdhlnPQ4SyWzkg?sub_confirmation=1 WooHoo Française: https://www.youtube.com/channel/UC4EitvksL3NFbAOmra3Uifw?sub_confirmation=1 WooHoo Deutsch: https://www.youtube.com/channel/UCnb3b-x6to_3eGa3vLdkMTw?sub_confirmation=1 WooHooRussian: https://www.youtube.com/channel/UCKQTOGKzcSPuQgflweqce_Q?sub_confirmation=1 WooHoo Arabic: https://www.youtube.com/channel/UCFIVmDqbK_jnb6kq7I5hluA?sub_confirmation=1 WooHoo Português: https://www.youtube.com/channel/UCDr1rkNvzPCEfh5ZCJeqpdg?sub_confirmation=1 WooHoo Korean: https://www.youtube.com/channel/UCdlIhXi58dS5-iSNnWZztjw?sub_confirmation=1 WooHoo Japanese: https://www.youtube.com/channel/UCnRpUDeigShZRCoNuDQSZWg?sub_confirmation=1 WooHoo Hindi: https://www.youtube.com/channel/UCx5g_aFCltyGS1_Gm-hKx4g?sub_confirmation=1WooHoo Turkish: https://www.youtube.com/channel/UCxvB8XF9y6_wkbjkq_fzC0g?sub_confirmation=1WooHoo Chinese: https://www.youtube.com/channel/UCjJalG3Xg5R-MCG104fIT7w?sub_confirmation=1 WooHoo Thai: https://www.youtube.com/channel/UCUTNwjovakBF0FQi7bOB6Bg?sub_confirmation=1 WooHoo Polish: https://www.youtube.com/channel/UC0av3qQ2ppndBLFOdBu45Fw?sub_confirmation=1 WooHoo Indonesia: https://www.youtube.com/channel/UCmEm-e21vzohLlZ5ha6xytw?sub_confirmation=1WooHoo Vietnam: https://www.youtube.com/channel/UCacVq26JQfpJxnUQkuk4qdw?sub_confirmation=1 Non dimenticare di attivare le notifiche, di mettere “mi piace” e di iscriverti!"
"msBeoX8BxPw","VITE AL LIMITE - Disperat cases","2020-09-10T11:30:12Z","UChn336v-fUYkJH09vA4ZuCA","CARTONI MORTI","24","20.11.09","vite al limite|vite al limite parodia|vite al limite e poi|vite al limite ita|cartoni morti|cartoni morti parodia|vite al limite real time|dottor nowzaradan|dottor nowzaradan ita|real time|real time parodia|real time vite al limite|cartone animato|video divertente|andrea lorenzon|runner|lockdown|dieta|dieta per dimagrire","254217","44418","357","1304","https://i.ytimg.com/vi/msBeoX8BxPw/default.jpg","False","False","Il Dottor Diego Dieta si trova un caso di ciccionite acuta molto complicato.Questa sì che si può definire una... VITA AL LIMITE.INSTAGRAM► https://instagram.com/cartoniMortiSHOP► https://www.moteefe.com/store/cartonimortiFACEBOOK► https://facebook.com/cartoniMortiTWITTER► https://twitter.com/cartonimortiE-MAIL COMMERCIALE► cartonimorti@socialflowagency.itCOSA USO:Microfono ► https://amzn.to/36pvB4pCuffie ► https://amzn.to/36q16ewScheda audio (questa è nuova) ► https://amzn.to/38COqCJCasse ► https://amzn.to/2RLwQ8DTavoletta grafica ► https://amzn.to/2RO1yhsMa vorrei prendere questa ► https://amzn.to/2TZWbhMComputer ► https://amzn.to/2TRoWgMLucina ► https://amzn.to/30R7OJwOcchiali anti raggi blu ► https://amzn.to/3aGMqeA"
"v1itwtt-5Gg","50 Luoghi Comuni dei Film Americani tra la Gente - [Candid Camera] - theShow","2020-09-09T12:00:13Z","UCYZ3uwiIy1LrwrAywLeQSlQ","theShow","24","20.11.09","the show|theshow|the show is you|theshowisyou|esperimenti sociali|the show scherzi|esperimento sociale|scherzi iene|prank ita|scherzi gente milano|''scherzi''|''scherzo''|scherzi a parte|candid camera|luoghi comuni dei film americani|american movie|postino|la ragazza del caffè|slomo|rallenty|inno americano|insegua quell'auto|taxi|sassolino|stereotipi film|hollywood movie|stereotypes|common places|american film","465961","52184","563","1392","https://i.ytimg.com/vi/v1itwtt-5Gg/default.jpg","False","False","SCENA SU INSTAGRAM: https://www.instagram.com/tv/CE6k_gHDQst/?igshid=1aupq944h7bdyQui trovi tutto quello che abbiamo in casa e molto altro: https://www.amazon.it/shop/theshowAvete presente quelle scene che sono in ogni film americano? Le abbiamo trasformate in candid camera!Il primo video in candid della nuova stagione non poteva essere migliore di questo.Con cosa registriamo di nascosto?🎥CAMEREPer girare candid a camera nascosta:- Panasonic HC-VX980: https://amzn.to/39sKncM- GoPro HERO 8: https://amzn.to/2VFn8IC- Supporto da petto per GoPro HERO 8: https://amzn.to/2Tf5dqpPer le intro:- Panasonic Lumix Gh5: https://amzn.to/2IfYnus- Lente 18 -35 Sigma: https://amzn.to/3cnVGox🎤MICROFONI E REGISTRATORIMicrofoni nascosti:- Tascam DR-10L: https://amzn.to/32PDekA- Set Microfono Sennheiser: https://amzn.to/32Kjm2kPer registrare i voice over- Microfono a condensatore: https://amzn.to/38bwP41- Pannello fonoassorbente: https://amzn.to/2TyFCHVRegistratori portatili:- Olympus: https://amzn.to/32PDpMM- Zoom h6: https://amzn.to/2Ie8Iak💡LUCIFaretto leggero Yongnuo: https://amzn.to/39hsDRQQui trovi il nostro libro Fallo: Teorie inutili ed esercizi pratici per vincere le PARANOIE ed essere VERGOGNOSAMENTE felici📕https://amzn.to/3bnuapW¶ La programmazione 2019/2020 di theShow:   - LUNEDÌ: Candid Girl Power con le Aktriz   - MERCOLEDÌ: Candid Camera Original theShow, con Alessio e Alessandro   - VENERDÌ: Video dei nuovi player (a rotazione tra LALE, Gatto e Jaser)   - DOMENICA: EPPOI? QUIZ SHOW (A Domeniche Alterne)¶ Partecipa al quiz EPPOI? scrivendo a eppoitheshow@gmail.com (verranno prese in considerazione solo le candidature di maggiorenni, con video di presentazione e/o contatti social)¶ Per lettere/pacchi, ricorda di scrivere ALL'ATTENZIONE DEI THESHOW prima dell'indirizzo: Show Reel Media Group - Via Stresa 6, 20125 Milano ¶ SEGUITECI SU:    - Youtube: http://www.youtube.com/theshowisyou    - Facebook: http://www.facebook.com/theshowisyou   - Twitter: http://www.twitter.com/theshowisyou   - Instagram: http://www.instagram.com/theshowisyou"
"Ms4IQd3XbpM","Highlights | AC Milan 5-1 Vicenza | Pre-season friendly 2020/21","2020-09-09T19:30:01Z","UCKcx1uK38H4AOkmfv4ywlrg","AC Milan","17","20.11.09","Milan|ACMilan|AC Milan|Milanello|Milan Live|Milan News|Milan Highlights|Milan Notizie|Milan vs|AC Milan vs|AC Milan Live|AC Milan Highlights|Milan AC|Calcio|Oh AC Milan|sempre milan|rossoneri|friendly|brahim diaz|lorenzo colombo|gol brahim diaz","573732","15078","329","615","https://i.ytimg.com/vi/Ms4IQd3XbpM/default.jpg","False","False","The Rossoneri put five past Vicenza in the penultimate pre-season friendly at Milanello: one goal and one assist for our new signing, Brahim Díaz📲 Everything you need to know about the Rossoneri, the latest news, pictures and videos from the AC Milan world are available on our App. Download it now: acmi.land/ACMilan-App🔔  Subscribe now to the AC Milan channel on YouTube and get notified when new videos are up: https://www.youtube.com/subscription_center?add_user=milanchannel"
"PXtcYTK-bQY","Pinguini Tattici Nucleari - La storia infinita (Official Video)","2020-09-09T12:00:06Z","UCVUL9O_32EKug5EwTlMjctQ","PinguiniVEVO","10","20.11.09","La storia infinita|Pinguini Tattici Nucleari|Pop|RCA Records Label","280031","26248","243","1087","https://i.ytimg.com/vi/PXtcYTK-bQY/default.jpg","False","False","Ascolta / Scarica “La storia infinita” dei Pinguini Tattici Nucleari: https://smi.lnk.to/LaStoriaInfinitaA film by: William9Production: Sedici:9 Cinematographer: Emanuele Mestriner1AD: Elena CavalieriConcept: Sedici:9  Executive Producer: Alessandra Scirano Producer: Elisabetta Sciannelli Scouting Location: Giuseppe Capuano  Focus Puller: Luigi Savino Camera Assistant: Milos Matteo Rimini VTR: Tommaso Marchini DIT: Luigi Lombardi Gaffer: Alan Zacchetti Gaffer Best-Boy: Marco Marangoni 3 Electrician: Giorgio Messina Gaffer Assistants: Andrea Corbani, Matteo Colombo Key Grip: Mohamed Aly Grip: Giacomo Zucca, Umberto Santagostino, Marco Grisa  Service: Videodesign Sound Recordist: Roberto Marelli Set Designer: Francesco Boerio e Gabriele RosatoAssistant Set Department: Federico Bregolato Costume Designer: Valentina Carcupino - Chiara Luna Mauri Assistant Costume Designer: Francesca Manuele - Eleonora Vittadello  Make Up Artist: Angela Mandaglio  Runner: The Facilityman Post Production: Sedici:9Editor: Simone Boccalari @Sedici:93D: Post WANTEDDigital Artist: Mattia Bruno  Color Correction: Daniel Pallucca Sound Design: Federico Laini e Nicola Gualandris Set Photographer: Luca PanegattiBackstage: Mattia Lopriore Set: M8Studios e Diego Motto Special Thanks: Comune di Cologno MonzeseComando Polizia Locale Cologno MonzeseFederico Mazzola Lucio PontaniFabrizio FerraguzzoEleonora RubiniGianrico Cuppari"
"bsZyr7tdCU8","The Jackal - Poco Prima Poco Dopo - COSA FACCIAMO STASERA?","2020-09-10T11:00:10Z","UCpB9uxBH-Hjoj_Jd9cnRC_w","The Jackal","23","20.11.09","video divertenti|parodie divertenti|corti divertenti|web series ita|parodia|the jackal","281877","26572","215","289","https://i.ytimg.com/vi/bsZyr7tdCU8/default.jpg","False","False","Ragazzi allora ci vediamo da me, aperitivo e poi usciamo. Però veloci, non facciamo chepassiamo tutta la serata a scegliere dove andare... ➜ ISCRIVITI AL CANALE: https://bit.ly/2WjyIdd➜ INSTAGRAM: https://www.instagram.com/_the_jackal/➜ FACEBOOK: https://www.facebook.com/thejackalweb/➜ TWITCH https://www.twitch.tv/thejackal_official➜ TWITTER: https://twitter.com/_the_jackalIn collaborazione con Pringles---- Cast & Troupe ----Ciro PrielloGianluca FruFabio BalsamoClaudia NapolitanoRegia: Matteo FlorioDirettore della fotografia: Roberto OstuniProduttore esecutivo: Simone RussoOrganizzatore generale: Maria Chiara De GregorioCoordinatrice di Produzione: Annachiara de FilippisDirettore di produzione: Serena Bracuti MonacoIspettore di Produzione: Alessandro IannoneMontaggio: Nicola VerreColor Correction: Alfredo FelcoVfx: Mario RotiliMusiche e Mix Audio: Liz MartinAiuto Regia: Ylenia AzzurrettiSegretaria di Edizione: Angelica SpatarellaCostumista: Teresa PapaTrucco: Rosa FalcoParrucco: Giovanni VillaniScenografia: Dario D’IsantoFonico: Giorgio DurantinoAss.te Operatore: Marco De ChiaraVideoassist: Deborah VenezianoCapo Macchinista: Enea LangellaCapo Elettricista: Francesco SaccoAmministrazione: Arianna Avolio, Antonella Tommasini, Rosita Venuti, Raffaele SodanoSottotitoli: Marica EspositoSoggetto e Produzione The JackalHead of Branded Content: Vincenzo PiscopoAccount Manager: Anna ManzoDirezione artistica: Alessandro GrespanScritto da: Ciro Priello, Gianluca Fru, Fabio Balsamo, Aurora Leone e Claudia Napolitano"
"Rxxjo43RNoA","Scottecs Toons SUPER COMPILATION 10","2020-09-10T14:15:02Z","UCqSmyuqVNwklKKlqqdMmV_A","Scottecs","23","20.11.09","[none]","88667","13163","158","711","https://i.ytimg.com/vi/Rxxjo43RNoA/default.jpg","False","False","Una collezione di sketch tratti dalle mie strisce! Che vengono raccolte ogni anno su Evviva Che Bello! Volete quello nuovo che esce a ottobre con un mio DISEGNO PERSONALIZZATO? Prenotane una copia entro il 22 settembre su http://www.sio.im/chebello 💬💬 ISCRIVITI! http://youtube.sio.im💬 Instagram: http://sio.im/insta💬 Tiktok: http://sio.im/tiktok💬 Podcast settimanale: http://powerpizza.it/"
