video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"cSlWtYcbyIg","Моряк vs Пулеметчик. Реванш на Хардкоре. Анубис vs Белозеров. Драка","2020-09-10T09:09:35Z","UC1_FrNtrgzFPQVHuwAAR3xQ","Hardcore Fighting Championship","17","20.11.09","бои|кулачные бои|mma|мма|бокс|битва за хайп|topdog|топдог|top dog|топ дог|хардкор файтинг|hardcore fighting|bare knuckle|бэр накл|зелемхан пулеметчик|мамедов добряк|моряк курданов|единоборства|ufc|bellator|артем тарасов|корней тарасов|макс топор|дмитрий кудряшов|эдуард германский|fighting|boxing|fist fighting|регбист|ушу мастер|нокаут|никита крылов|бодимания|bodymania|truegym|труджим","1341343","106995","6702","23035","https://i.ytimg.com/vi/cSlWtYcbyIg/default.jpg","False","False","Фанаты кулачных боев требовали реванша Моряка и Пулеметчика. Это самое громкое противостояние должно разрешиться на Хардкоре, ведь Зелемхан уже подписал контракт.В этом выпуске мы узнаем, какие самые спорные эпизоды первого боя были вырезаны, а также подписал ли Моряк контракт с Hardcorе Fighting на реванш?Подробно обсудим конфликт Олега Белозерова и Димы Анубиса, которые продолжают публично хейтить друг друга и поливать грязью родных. Разумеется не обошлось без драки.Так же в выпуске:- Акаб бросил вызов Никулину. Пишите кто победит в комментариях.- Почему выпуски Хардкор Файтинг выходят с задержкой?- Мнение судей о бое Тимура Никулина и Имама Бладса.Конкурс!Разыгрываем 50 билетов на финал Hardcore Fighting Championship.А еще 100 победителей получат наш фирменный мерч.До 3 октября соверши покупку в магазине низких цен Галамарт по промокоду Хардкор и попади в финал гран-при Hardcore Fighting!https://galamart.ru/?utm_source=crossНаш партнер - доставка едыhttps://z2s.ru/hardcoreСсылки на наши соц. сети:Официальный сайт: https://hardcorefc.ru/Inst: http://instagram.com/hardcore.fightingTelegram: http://t.me/hardcorefightingОфициальный сайт: https://hardcorefc.ru/VK: http://vk.com/hardcore.fighting2:33 -  появление Пулеметчика3:35 -  появление Моряка6:48 -  кто кого вызвал на реванш? 11:22 - Моряк показывает переписку с регбистом14:15 - Моряк о своем спортивном прошлом15:23 - Про вырезанные моменты из первого боя19:51 - Зелемхан говорит о том, что Регбист объявил его победителем первого боя27:03 - Мнение Валуевича о первом бое29:18 - Никулин говорит, что регбист повел себя, как шакал. 34:08 - Почему Зелемхан дерется в майке38:42 - Будут ли в промоушне антидопинговые тесты?47:32 - Почему выпуски Хардкора выходят так долго?1:01:38 - В чем конфликт Белозеров и Анубиса? 1:04:46 - Стердаун Вардан vs Зелемхан1:05:30 - Акаб вызывает на бой новую жертву▬▬▬▬▬▬▬▬▬▬▬▬По партнерским предложениям:partnership@hardcorefc.ruПо коммерческим предложениям:info@hardcorefc.ru+79261444406#пулеметчик #моряк #хардкор"
"Q4Cr5uESBbU","ГУДКОВ х МАРКОНИ / ЭТО КОНЕЦ COMMENT OUT: ЧТО БЫЛО ДАЛЬШЕ?","2020-09-10T16:19:20Z","UCNb2BkmQu3IfQVcaPExHkvQ","SOBOLEV","22","20.11.09","что было дальше|коммент аут|comment out|что было дальше моргенштерн|labelcom|обзор на что было дальше|гудков|лига плохих шуток|соболев|николай соболев|илья соболев|стендап|камеди|вдудь|лучшее|маями|чикен карри|новый сезон|вечерний ургант|юмор|шутки|лучшие моменты","503275","44638","11332","2438","https://i.ytimg.com/vi/Q4Cr5uESBbU/default.jpg","False","False","https://payeer.com/ru/ - надёжно храните, покупайте и продавайте валюты и криптовалюты, совершайте мгновенные онлайн-платежи по всему миру и зарабатывайте на криптобирже с электронным кошельком PAYEER.ЧТО БЫЛО ДАЛЬШЕ - почему стыдно смотреть? Скандал на COMMENT OUT - как они могли так облажаться? Кто и зачем раздвигает границы юмора. О чем нельзя шутить?INSTAGRAM: https://www.instagram.com/sobolevv/ Я в VK: https://vk.com/sobolevbro  Рекламные вопросы: sobolev@wildjam.ruВсе размещенные в видеоролике материалы были использованы исключительно в новостных и критических целях."
"l0_zT5GTybY","Юлия Ахмедова: биполярное расстройство, одиночество, харассмент // А поговорить?..","2020-09-10T08:00:06Z","UCp2J7GRxQ36QLqW4ReLLt5g","А поговорить?","22","20.11.09","юлия ахмедова|ахмедова|ахмедова standup|стэндап|ахмедова интервью|ахмедова белый|квн|25я|эксклюзивное интервью|интервью|тнт|тнт stand up|ахмедова тнт|юмор|а поговорить|эксклюзив|шихман|ирина шихман|апоговорить|лойк|никита лойк|режик|юлия ахмедова стендап|stand up юлия ахмедова|stand up|юля ахмедова|юлия ахмедова харассмент|юлия ахмедова лучшее|камеди|ахмедова стендап|одиночество|харассмент|биполярное расстройство|standup|телеканал тнт|comedy club","1026920","73102","2063","9442","https://i.ytimg.com/vi/l0_zT5GTybY/default.jpg","False","False","Оформи кредитную карту VISA Альфа-Банка «100 дней без %» https://alfa.link/3r8wКвартиры на особых условиях от девелопера MR Group в жилом комплексе «Фили Сити» https://filicity.ruЮлия Ахмедова - актриса, продюсер, бывшая участница команд КВН «25-ая», участница и креативный продюсер телешоу Stand Up0:00 – Юлия Ахмедова – гостья Ирины Шихман1:51 – Быть одинокой – это классно?3:52 – О смысле жизни7:08 – О путешествии в одиночестве11:14 – Об отношениях: самых продолжительных и странных15:14 – Об отце20:53 – О кавказском менталитете в семье24:06 – О крахе института брака25:52 – О депрессии и биполярном расстройстве 31:10 – О лечении40:15 – О ненависти и обиде43:26 – О грудном молоке из-за антидепрессантов 49:46 – Об обсессивно-компульсивном расстройстве51:04 – О феминизме и патриархальном обществе52:44 – О харассменте и почему в регионах о нём почти ничего не знают56:57 – О самом жестком случае домогательства58:51 – Почему женщины молчат?1:01:11 – О Монике Левински1:04:03 – О проекте «Нам нужно серьёзно поговорить»1:08:00 – О сверхидее в жизни человекаИрина Шихман берет эксклюзивные интервью у самых неожиданных гостей! А поговорить?..НАМ РАССКАЖУТ ВСЕ!#ахмедова #шихман #апоговорить #интервьюПодпишись на канал https://www.youtube.com/channel/UCp2J7GRxQ36QLqW4ReLLt5g?sub_confirmation=1Instagram Ирины Шихман: https://www.instagram.com/irinashikhman/За логотипом и фирменным стилем к Борису Казачкову https://www.instagram.com/boris.kazachkov/"
"47Xa_ouMTdg","#Музыкалити - Алла Пугачёва и Баста","2020-09-09T09:00:37Z","UCthfjHehYgSyhf8ONjzJMUw","ТО Gazgolder","10","20.11.09","Gazgolder|Газгольдер|Музыкалити|Пугачева|Баста|Василий Вакуленко|Новое шоу|Алла Пугачева|Максим Галкин|Галкин|Газ|Шоу|Премьера|Моя игра|Сансара|Тренды|Примадонна|Алла Борисовна","2209411","106033","5705","8158","https://i.ytimg.com/vi/47Xa_ouMTdg/default.jpg","False","False","Станьте открытыми и современными с кредитной картой спонсора выпуска – банка «Открытие». Оформите карту «120 дней» в любом удобном отделении или на сайте – https://bit.ly/3bEE8Vb#Музыкалити возвращается на экраны YouTube с новым плейлистом и гостями, которых никто не ожидал увидеть вместе! Алла Пугачева и Баста слушают ваши любимые треки и составляют новый топ чарт! Смотрим!Таймкод:00:00 Открываем новый сезон #Музыкалити02:33 Насколько хорошо знакомы гости?05:24 Баста о драках на концертах07:42 Дора, МЭЙБИ БЭЙБИ – Не исправлюсь11:54 Пугачёва и Баста о волнении на сцене13:49 Что делать, если забыл слова?16:56 Скриптонит – Москва любит...19:13 Как Баста узнал про Скриптонита23:33 Клава Кока & NILETTO – Краш24:45 Кавер от Галкина и Басты26:32 Как заставить петь то, что нужно вам?30:09 Dequine – На Западе33:05 Казахи – очень музыкальные! (с) Пугачёва33:42 Счастливое время, когда пришла популярность 37:32 MORGENSHTERN & Элджей – Cadillac40:15 Частушка года!42:27 Итоговый хит-парад 44:12 Какую бы песню взяли на необитаемый остров?VK: http://vk.com/gazInstagram: http://instagram.com/gazgolderliveСайт: http://gazgolder.comTwitter: http://twitter.com/gazgolderYouTube: http://www.youtube.com/gazgolderTelegram: https://t.me/gazliveFacebook: http://www.facebook.com/gazgolderSoundCloud: http://soundcloud.com/gazgolderOK: https://ok.ru/gazgolder"
"QAEDRVZH1ag","ЧТО ЗА БОЙ? Владимир Минеев vs. Даурен Ермеков / Vladimir Mineev vs. Dauren Ermekov","2020-09-09T22:53:25Z","UCzLUGktDyr8MPCV27O1JpAw","FIGHT NIGHTS GLOBAL TV","17","20.11.09","FIGHT NIGHTS|EFN|Файт Найтс|FIGHT NIGHTS GLOBAL|ММА|MMA|смешанные единоборства|FIGHT NIGHTS TV|EFG|камил гаджиев|федор емельяненко|M-1 global|ACB|минеев|mineev|владимир минеев","715761","11769","1475","3272","https://i.ytimg.com/vi/QAEDRVZH1ag/default.jpg","False","False","ЧТО ЗА БОЙ? Владимир Минеев vs. Даурен Ермеков / Vladimir Mineev vs. Dauren ErmekovОфициальный сайт - http://fightnights.ru/Группа ВКонтакте - http://vk.com/fightnightsofficialInstagram - http://instagram.com/fightnightsFacebook -  https://www.facebook.com/fightnightsglobal Twitter - https://twitter.com/FNGMMA"
"gZgKd40xjDo","Сколько стоят запчасти на сгоревшую Ferrari?! Самая большая разборка Спорткаров в США.","2020-09-10T06:35:29Z","UCWG86L4tau8SZ4jRqiVco5g","Чердак","22","20.11.09","операция феррари|коплю на феррари|феррари|бентли|тачка за копейки|ferrari|мечта|проект перекуп|перекуп|тюнинг|новый проект|чердак|калифорния|california|купил феррари|дешевая феррари|чердак феррари|чердак бентли|авто из сша|реакция|ремонт в гараже|влог|в сша|развод|спорткар|жекич дубровский|купил бентли|в америке|чердак камаро|ремонт|своими руками|infam|покупки|ремонт авто|тачка на прокачку|хлам|сколько стоят запчасти|авто|разборка|цены в сша|путешествия","622594","59804","1090","3082","https://i.ytimg.com/vi/gZgKd40xjDo/default.jpg","False","False","Качай Raid: Shadow Legends бесплатно ✅ IOS: https://clik.cc/f2exw ✅ ANDROID: https://clik.cc/YxVC7 ✅ PC: https://clik.cc/HkqE4 и получи специальный стартовый пакет💥 доступный только следующие 30 дней!*бонусы доступны для новых игроковДрузья, в этой серии мы разборами сгоревшую Ferrari и просчитали весь список запчастей. Для того что бы купить запчасти, я отправился на самую крупную авторазборку суперкаров в США.Смотрите, сколько денег нужно на восстановление этого проекта.гараж Bold Carshttps://www.youtube.com/channel/UC4wCWYj4CEvwbOccgDGaaiwС уважением, ваш Чердакhttps://www.instagram.com/di_che/Вступайте в нашу группу вКонтакте https://vk.com/chepdak#чердак #Ferrari #влог авто из сша"
"rHbcxH3-XPg","Взятки. Дворцы. Самолёты. За что продали народ Татарстана","2020-09-09T11:48:54Z","UCsAw3WynQJMm7tMy093y37A","Алексей Навальный","29","20.11.09","Навальный|Навальный2018|Фонд борьбы с коррупцией|ФБК|минниханов|казань|татарстан|таиф|татнефть|рустем минниханов|навальный минниханов|навальный казань|навальный татарстан|минтимер шаймиев|шаймиев|навальный шаймиев|минниханов дом|минниханов коррупция","2796743","245793","5923","45609","https://i.ytimg.com/vi/rHbcxH3-XPg/default.jpg","False","False","Каждый, кто бывал в Казани, согласится: прекрасный город. Все ухожено, благоустроено, развитая инфраструктура. Красота, да и только.Но на самом деле, все это только фасад, за которым скрывается огромная зияющая дыра. Под внешним благополучием столицы лежат чудовищные людоедские порядки. Жителей Татарстана обманули и обворовали. 30 лет (то есть дольше, чем даже Путин и Лукашенко) у власти здесь находится один клан, члены которого ценой процветания собственного народа стали богатейшими людьми страны, а может, и мира. Миллиардные взятки, дворцы, поразившие даже нас, частные самолеты и образ жизни королей - вот за что президент Татарстана Рустам Минниханов продал свой народ.13 сентября в Татарстане пройдут выборы президента и в несколько городских советов. Голосуйте за кого угодно, кроме Минниханова. А если вы живете в Казани, Набережных Челнах или Нижнекамске, то регистрируйтесь в «Умном голосовании» (https://votesmart.appspot.com/), и мы пришлем вам фамилию кандидата в местную думу, у которого есть все шансы победить единоросса.Пост со всеми документами здесь: https://navalny.com/p/6427/34:55 Правильная сумма 107 371 149 ₽Блог Алексея Навального https://navalny.com/Инстаграм Алексея Навального — https://www.instagram.com/navalny/Фейсбук — https://www.facebook.com/navalny/Вконтакте — https://vk.com/navalny"
"ZJr-WwNbZB0","Сантана? Стас просто класс — кто он? А фсё уже | ПОДРУГИ","2020-09-10T16:24:13Z","UCByhZ-JEe5OOZSuq0uaXOng","Нежный редактор","22","20.11.09","нежный|редактор|подруги|стас просто класс|сантана|сантана новикова|а фсё уже|а всё уже|ну какова конечно|ну какова красота|да не снимай|да блин не снимай|стас круглицкий|коты а всё уже|карина истомина|ксюша дукалис|таня старикова|мингалимова|таня вдудь|интервью|нежный редактор дудя","184478","12954","498","1226","https://i.ytimg.com/vi/ZJr-WwNbZB0/default.jpg","False","False","Минус 15% с кодом PODRUGI на всю коллекцию Looney Tunes в онлайн-магазине https://befree.ru до 25 сентября!Делитесь в комментариях с хештегом #теперьнормально своими нормами до 16 сентября. Автор самого вдохновляющего комментария получит в подарок годовой запас от Durex.  Все подробности конкурса от Durex: https://vk.com/doc-47544652_566181523. (Имеются противопоказания, необходимо ознакомиться с инструкцией)Стас просто класс - автор той самой фразы  А фсё уже, фсё ,   Ну какова всё-таки красота и  Да не снимай,  создатель героини Сантаны Новиковой в гостях у Подруг! Кто он и откуда взялся? Как его инстаграм стал миллионником в столь короткое время? Про это и не только поговорили со Стасом Круглицким.Таня https://www.instagram.com/tatyanacosmosСтас https://www.instagram.com/stasprostoklassКсюша https://www.instagram.com/kdukalisКарина https://www.instagram.com/diamond_aprilСтарикова https://www.instagram.com/starikova.t.v#Подруги #Нежныйредактор #Стаспростокласс00:00 Стартуем!01:28 Кто такой Стас просто класс?03:44 Как Стас стал миллионником?05:15 Прилетает ли Стасу за стереотипную Сантану?08:55 Как появилась Сантана11:05 Не проматывайте эту рекламу12:49 Сантана существует в жизни15:25 Где он работает? 17:36 Другие персонажи Стаса22:34 Ответственность с девушками сейчас24:47 Договор о свиданиях28:10 Девочки много спорят37:40 Стас и Карина говорят на языке коми38:30 Девочки много спорят44:13 Таня и Таня танцуют45:10 Великий опросник46:50 Было ли с женщинами по старше53:20 Сколько-сколько раз происходит у женщин Стаса? 56:17 Её кайф прежде всего?57:20 Два года с девушкой, которую не любил59:10 Не верит в любовь?01:02:25 Феминизм в быту01:06:20 Парень чувствует себя душно01:08:45 Встречайте: Сантана!01:12:05 Полит- взгляды Сантаны01:16:25 Сантана феминистка?"
"74qjCv3HNyU","Прямой эфир | 10.09.2020 | Об извращениях кадыровцев, обращении Закаева и о многом другом","2020-09-10T20:45:55Z","UC1QxQNYxWqsxFq6flsk9itw","ABU-SADDAM SHISHANI [LIVE]","22","20.11.09","тумсо|абдурахманов|абу саддам|шишани|чечня|день независимости|чри|tumso|abu saddam|shishani","36579","1662","467","230","https://i.ytimg.com/vi/74qjCv3HNyU/default.jpg","False","False","Отправляйте сообщения прямо в эфир по ссылке: http://www.donationalerts.ru/r/abu_saddamПодписывайтесь на мой телеграм - https://t.me/abusaddamshishaniПодписывайтесь на основной канал - http://youtube.com/c/abusaddamshishani0:00 - Начало эфира5:13 - КРА садисты-извращенцы или наркоманы?8:36 - Оскорбление наказуемо!10:11 - Предлагали ли мне польские спец-службы сотрудничество?12:37 - Ахмат сила - клич извращенцев15:53 - Об оскорблении наших матерей17:05 - О гибели Ахмата Кадырова19:43 - О покушении на Мусу Ломаева21:23 - О мерах предосторожности в сети23:58 - Кадыровцы получили обратный эффект от бутылки31:12 - О призывах к насильственным действиям37:42 - Миссия Кадырова – унижение чеченцев45:48 - Про обращение Закаева55:44 - Кем можно работать в Чечне?57:55 - Лорд продал и предал своих товарищей59:45 - Меня не сбить красивыми речами1:08:37 - Старикам пора на покой1:15:31 - Почему Чингиз молчит об инциденте с бутылкой?1:14:12 - Мы не хотим общих проблем с россиянами1:18:33 - Я далек от националистических предрассудков1:20:57 - Масхадов и Басаев добивались независимости!1:24:05 - Мы не хотим видеть кресты в честь оккупантов на нашей земле!1:25:44 - Кто меня спонсирует?1:28:29 - Почему вы жаждите смерти Удугова?"
"_iccvWVSzh0","ВЫБЕРИ ПРАВИЛЬНУЮ ТРУБОЧКУ ЧЕЛЛЕНДЖ ! Эмиль в ШОКЕ!","2020-09-10T17:24:13Z","UCVlPyvH-XhOVPovpLe0EkMw","ЭМИЛЬ","22","20.11.09","ВЫБЕРИ ПРАВИЛЬНУЮ ТРУБОЧКУ ЧЕЛЛЕНДЖ|ВЫБЕРИ ТРУБОЧКУ|Выбери правильную челлендж|трубочка|трубочка челлендж|ЧЕЛЛЕНДЖ|выбери правильную|выбери правильный напиток|challenge|Эмиль|челлендж|выбери правильную трубочку|выбери правильную коробку|выбери правильно челлендж|выбери трубочку|выбери правильный|правильный выбор|что в коробке","145620","25931","307","1042","https://i.ytimg.com/vi/_iccvWVSzh0/default.jpg","False","False","Это ВЫБЕРИ ПРАВИЛЬНУЮ ТРУБОЧКУ ЧЕЛЛЕНДЖ ! Эмиль в ШОКЕ!Я решил сделать свою версию знаменитого челленджа ВЫБЕРИ ПРАВИЛЬНУЮ ТРУБОЧКУ ЧЕЛЛЕНДЖ! и честно Эмиль в ШОКЕ - это правда! Влад А4 и остальные пили не такие Вкусные напитки как мы... Так что это ВЫБЕРИ ПРАВИЛЬНУЮ ТРУБОЧКУ ЧЕЛЛЕНДЖ будет по-настоящему ЭКСТРЕМАЛЬНЫЙСсылки на ребят:Тёма: https://instagram.com/chernetsart?igs...Даник: https://www.instagram.com/daniro23/?igshid=17jzi13dx2d4kПодпишись на меня ● Instagram - https://www.instagram.com/emilen_im/ ● VKontakte: https://vk.com/emilka98● TikTok - https://vm.tiktok.com/pCKMu9/"
