video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"eI_igg9Isaw","【朝倉未来公認企画】K-1王者が歌舞伎町の喧嘩自慢にオタクの格好でガチにスパーリングを申し込んでみた！！【喧嘩】","2020-09-12T12:00:09Z","UC4S7FmJAcEJ_JubmjarL8kw","サラ久保ちゃんねる","22","20.13.09","サラ|久保優太|K-1|チャンピオン|喧嘩|歌舞伎町|喧嘩自慢|スパーリング|ケンカ|不良|ヤンキー","793332","14243","1739","1584","https://i.ytimg.com/vi/eI_igg9Isaw/default.jpg","False","False","久保です。今回は朝倉未来選手にアドバイスを頂き、実際にオタクの格好をして歌舞伎町の喧嘩自慢とスパーリングをして来ました！チャンネル登録といいねボタン宜しくお願いします！▶︎お問い合わせ、お仕事の御依頼はこちらまでsarakubo@livestreamers.co.jp▶︎サラちゃんのコラボ曲https://youtu.be/v6LeTDzt_pEサラ久保ちゃんねる▶️https://www.youtube.com/channel/UC4S7FmJAcEJ_JubmjarL8kw▶︎サラキャラスタンプ　大好評発売中！https://store.line.me/stickershop/product/9935981/?ref=Desktop各SNSもフォローお願いします😊✨■Twitter・サラhttps://twitter.com/sarah_168168・優太https://twitter.com/k1_kubo_yuta■Instagram・サラhttps://www.instagram.com/sarah_168168/・優太https://www.instagram.com/k1_kubo_yuta/#朝倉未来 #喧嘩自慢"
"riKdf5ddEo0","大坂なおみ 決勝スーパープレー／全米オープンテニス2020【WOWOW】","2020-09-12T23:24:25Z","UCZfWmiGEbwWNPMe2nr3WdDg","WOWOWofficial","17","20.13.09","大坂 なおみ|スポーツ|テニス|tennis|グランドスラム|アメリカ|ニューヨーク|全米|全米テニス|全米2020|スーパープレー|スーパープレイ|日本人選手|WSC|WOWOW","273774","1020","240","348","https://i.ytimg.com/vi/riKdf5ddEo0/default.jpg","False","False","全米オープンテニス 大会第13日、大坂選手のスーパープレーをまとめてお届け！＼日本人選手の活躍に期待！／車いすテニス上地選手ダブルス決勝、国枝選手シングルス決勝！『全米オープンテニス』WOWOW独占生中継・ライブ配信！▼詳しい放送スケジュールはコチラhttps://bit.ly/34G5WaB ▼ライブ配信や見逃した試合も視聴できるWOWOWメンバーズオンデマンドはコチラhttps://bit.ly/2EycTzJ9/27(日)からは、秋開催となった全仏オープンも連日生中継。グランドスラム(四大大会)すべて見られるのはWOWOWだけ！#大坂なおみ #グランドスラム #全米テニス #WOWOW #スーパープレー #スーパープレイ"
"ncAyvy4Q81M","Naomi Osaka vs Victoria Azarenka | US Open 2020 Final","2020-09-12T23:09:01Z","UCXbboag48Qlr78zzz6SkzkQ","US Open Tennis Championships","17","20.13.09","us open|us open 2020|2020 us open|us open tennis|us open 2020 tennis|us open tennis 2020|us open 2020 highlights|us open tennis championships|tennis|sport|Naomi Osaka|Victoria Azarenka|Osaka|Azarenka|Naomi Osaka vs Victoria Azarenka|Osaka vs Azarenka|Osaka Azarenka|Victoria Azarenka vs Naomi Osaka|Azarenka vs Osaka|Azarenka Osaka|Naomi Osaka US Open|Victoria Azarenka US Open|us open final|us open 2020 final|us open women's final 2020","844155","8546","461","1416","https://i.ytimg.com/vi/ncAyvy4Q81M/default.jpg","False","False","Naomi Osaka takes on Victoria Azarenka in the final of the US Open 2020.Don't miss a moment of the US Open! Subscribe now! https://bit.ly/2Pdr81i"
"9eloCOgaxNY","【第一話】清原と語る、西武ライオンズ","2020-09-12T10:00:03Z","UCKa1VlSq1WwdSQWv4JFdgxg","デーブ大久保チャンネル","17","20.13.09","プロ野球|野球選手|野球|広島|阪神|横浜DeNA|読売ジャイアンツ|中日|巨人|ソフトバンク|西武|楽天|清原|デーブ大久保|ピッチャー","484482","7422","562","546","https://i.ytimg.com/vi/9eloCOgaxNY/default.jpg","False","False","■デーブ大久保 プロフィール2020年6月〜YouTubeを始めることにしました。プロ野球界の現在や過去のエピソードを幅広く配信していきたいと思います。2008年西武ライオンズ日本一一軍打撃コーチ、元東北楽天ゴールデンイーグルス一軍監督【Twitter】デーブ大久保(＠DAVEOHKUBO）➡︎https://twitter.com/DAVEOHKUBO■デーブ・ベースボールアカデミーHPはこちらhttp://www.dba-school.jp■撮影場所　新橋の居酒屋　肉蔵でーぶ　https://tabelog.com/tokyo/A1301/A130103/13193033/#プロ野球　#野球　#清原和博"
"QQD4o-AO3ug","【長距離トラック運転手】別れ。配信停止の理由。裏ではこんな事が起きてました。","2020-09-12T10:00:05Z","UCZ2kPnfw-bEuMkBEcrS8MlQ","もこちゃんチャンネル","2","20.13.09","トラック|トラック運転手|トラック野郎|事件|アンチ|トラックドライバー|長距離トラック|大型トラック|長距離トラック運転手|もこちゃん|もこチャンネル|モコチャンネル|もこちゃんチャンネル|仕事|転職","384557","5945","1294","1572","https://i.ytimg.com/vi/QQD4o-AO3ug/default.jpg","False","False","配信停止の経緯をご説明させて頂きます。裏ではこんな事が起きていました。SNSができない状況になった理由。長距離トラック運転手の車中泊生活！毎日 投稿！Twitterやってます！https://mobile.twitter.com/mokozakura1TikTok https://vt.tiktok.com/FoCm73/その他、仕事の連絡はコチラまでmokochan.contact@gmail.comママの為に、2人の娘の為に日々奮闘しています^ ^トラックからの景色や内装・車中泊の方法、トラック飯、グルメなど出来る限り幅広く発信していけたらと思っています。【BitStar所属】【ファンレター・プレゼント等】＝＝＝＝＝＝＝＝＝＝＝〒150-0002東京都渋谷区渋谷2-22-3渋谷東口ビル10F 株式会社BitStarもこちゃんチャンネル 宛※下記の注意事項を必ずご確認の上発送お願いいたします。https://bit.ly/36Ulerf＝＝＝＝＝＝＝＝＝＝＝#トラック #トラック運転手 #車中泊 #長距離トラック運転手 #大型トラック"
"bkKc02VNFow","仕事のできない地味でどんくさくい俺が、社内で女性を助けたら、なぜか昇進した【漫画】【マンガ動画】【スカッとする話】","2020-09-12T22:30:01Z","UCbfI0fAG3rKRcujK2OVKBTg","アネモネRegret","24","20.13.09","漫画|マンガ|漫画動画|アネモネRegret|ぱんどらの希望","107807","1028","132","92","https://i.ytimg.com/vi/bkKc02VNFow/default.jpg","False","False","毎日のストレス解消に　スカッとする話を毎日お届け中チャンネル登録をよろしくお願いします→http://urx.blue/39wH高評価やコメントをいただけると嬉しいです。▼今、最も熱い『おすすめ動画』はこちらhttps://bit.ly/2lcdMEl▼姉妹チャネルの『ぱんどらの希望』はこちら→https://goo.gl/VRSS32◆音楽引用（フリー音源）・DOVA-SYNDROME：https://dova-s.jp/bgm/・YouTubeオーディオライブラリー・効果音ラボ：https://soundeffect-lab.info/・OtoLogic：https://otologic.jp※ナレーションが不要な方はミュートにしてお楽しみください。※動画のスピードの調節は右上の設定から再生速度を変更できます。#漫画動画　#マンガ"
"1XXJ0MxPP6c","【密着ドキュメント】「緊急手術、その時家族は…前編」美奈子号泣…その訳とは？","2020-09-12T11:00:01Z","UC4y3TWIq94xMa81o7NdF_5g","美奈子ファミリーTV","24","20.13.09","#大家族|＃美奈子ファミリー|＃佐々木家|＃ザ・ノンフィクション|＃新・漂流家族|＃重大発表|＃衝撃の事実|＃密着取材|＃ドキュメンタリー|＃痛快ビッグダディ|美奈子ファミリーTV|ルーティーン|企画|日常|緊急|手術|絆|号泣|感動|密着|ノンフィクション|密着取材","246733","3599","819","586","https://i.ytimg.com/vi/1XXJ0MxPP6c/default.jpg","False","False","先日、胆石の緊急手術を受けた美奈子さん。その入院当日の様子、そして退院までの軌跡に密着したショートドキュメンタリー。「母が緊急手術、その時家族は…」前編をお届けします。手術への不安、子供たちと離れる事への不安…大家族の母親としての葛藤…そして涙の入院…そこには母の帰りを心待ちにして助け合う父と子の姿がありました。「家族の絆」を問うドキュメンタリーです。是非ご覧ください！#美奈子ファミリーTV #ドキュメンタリー #新漂流家族サブチャンネル【美奈子ファミリーのひみつきち。】https://www.youtube.com/channel/UCL0cf2bxr6iaxLpYXYv7YfQ使用音源「DOVA-SYNDROME」https://dova-s.jp「OtoLogic」https://otologic.jp/「Nota no Mori」http://notanomori.net/使用画像「イラストAC」https://www.ac-illust.com/「フォトAC」www.photo-ac.com家族イラスト「猫田まんじまる」　https://twitter.com/shizuharamaika「美奈子ファミリーTV」https://youtu.be/YcGcosKb_6Mお仕事のご依頼はminako.info@gmail.com美奈子ファミリー　公式アメーバブログhttps://ameblo.jp/minako-officialblog/.美奈子　公式LINEブログhttps://linebrog.me/minako/.美奈子　公式インスタグラムhttps://www.instagram.com美奈子　公式ツイッターhttps://twitter.com/minako7love0223美奈子ファミリーTV公式TikTokhttps://vt.tiktok.com/N32ttx/美奈子ファミリー公式Facebookhttps://www.facebook.com/profile.php?id=100046328482303上記SNSで美奈子ファミリーの最新情報をお知らせします！チャンネル登録＆フォローお願いいたします！"
"5D0ueTx2tvU","【CH.1 生配信】大会3日目『第53回 日本女子プロゴルフ選手権大会 コニカミノルタ杯』","2020-09-12T08:10:24Z","UCY2xPVc56SLntMOcoF-cnFA","JLPGA TV","17","20.13.09","JLPGA|LPGA|ゴルフ|女子ゴルフ|女子プロゴルフ|コニカミノルタ杯|日本女子プロゴルフ選手権大会|JFE瀬戸内海ゴルフ倶楽部|予選ラウンド|決勝ラウンド|鈴木愛|笹生|笹生優花|渡邉彩香|ライブ配信|生配信","551108","659","93","12","https://i.ytimg.com/vi/5D0ueTx2tvU/default.jpg","False","False","▼配信内容【CH1】トーナメント全体中継（実況・解説付き）第１組スタートから全組ホールアウトまで完全ライブ中継。テレビ放送クオリティと臨場感のある音で全ホールカバーします。弾道表示システムも導入。▼その他のチャンネル【CH2】練習場・１６番・選手インタビュー（実況・解説付き）こちらから→https://www.youtube.com/watch?v=MulP_Nl4GLI&list=PLqzJAT5Rl1sjTG0sbipqRRwR4dlAxBHeF&index=5スタート前の練習風景をじっくり観戦。さらに難易度の高い１６番ショートホールの映像、スタート前の注目選手や好成績を残した選手のホールアウトインタビューをお届けします。。■『第53回 日本女子プロゴルフ選手権大会 コニカミノルタ杯』の公式サイトhttps://champ.lpga.or.jp/2020/■開催日9月10日(木)予選ラウンド9月11日(金)予選ラウンド9月12日(土)決勝ラウンド9月13日(日)決勝ラウンド9月14日(月)予備日■開催コースJFE瀬戸内海ゴルフ倶楽部■主催一般社団法人日本女子プロゴルフ協会(JLPGA)・公式サイト　https://www.lpga.or.jp/・公式Twitter　https://twitter.com/JLPGA_official■後援スポーツ庁、岡山県、笠岡市、福山市、朝日放送テレビ株式会社■特別協賛コニカミノルタ株式会社■賞杯･賞状日本女子プロゴルフ選手権大会杯コニカミノルタ杯文部科学大臣杯文部科学大臣賞状■賞金2億円（優勝賞金3,600万円）■優勝副賞コニカミノルタA3カラー複合機「bizhub C250i」　提供：コニカミノルタ株式会社メルセデス・ベンツ　C Class C180　提供：メルセデス・ベンツ日本株式会社"
"JDWZhH30ZhE","【入魂】澤村拓一 今日は『57を背負い好救援』チームの勝利に貢献!!","2020-09-11T13:04:06Z","UC0v-pxTo1XamIDE-f__Ad0Q","(パーソル パ・リーグTV公式)PacificLeagueTV","17","20.13.09","パーソルパリーグTV|パリーグTV|パシフィックリーグ|Pacificleague|プロ野球","1514825","15277","481","4028","https://i.ytimg.com/vi/JDWZhH30ZhE/default.jpg","False","False","先日の「移籍後初登板」で話題をさらった千葉ロッテ・澤村拓一。今日は真っ赤なCHIBAユニホームの「背番号57」を身に付け好救援！チームの勝利に貢献した。＜パ・リーグ主催全試合を生中継！パーソル パ・リーグTVはこちら！＞https://tv.pacificleague.jp/✓パ・リーグ6球団公式情報をお届け：https://insight.official-pacificleague.com/✓パーソル パ・リーグTVチャンネル登録：https://www.youtube.com/channel/UC0v-pxTo1XamIDE-f__Ad0Q✓パ・リーグの過去映像を見るなら：https://www.youtube.com/channel/UCrjlKkKTAyNn6gekRM3p0Aw/SNSも毎日更新中！▶Twitter：https://twitter.com/PacificleagueTV▶Instagram：https://www.instagram.com/pacificleaguetv/▶Facebook：https://www.facebook.com/pacificleaguetv▶LINE：https://lin.ee/2hB4obT#澤村拓一 #千葉ロッテマリーンズ #好救援 #パーソルパリーグTV #パシフィックリーグ"
"lTB9SE56DIM","生後３日の育児放棄された赤ちゃん子猫を保護しました。","2020-09-12T11:45:02Z","UCCiTYBoGKEbOHBGM3YQ9HyQ","ねおの双子猫。","15","20.13.09","保護猫|子猫|育児放棄","73337","2115","327","275","https://i.ytimg.com/vi/lTB9SE56DIM/default.jpg","False","False","ご視聴いただきありがとうございます。この子猫たちは５つ子なのですが、母猫から育児放棄をされ、とても弱っている状態でした。緊急性が高いと感じたため保護することにしました。よちひこや、こたちゃの動画を投稿するようになってから、捨て猫の保護や里親の依頼の連絡が多くなりました。できる限り保護をしたいと考えているのですが、無理をしてしまって多頭崩壊してしまっては本末転倒だと考えております。猫の引き取り依頼があった場合は実家の家族や知人などに連絡をして、協力をお願いしています。しかし、赤ちゃん猫は２４時間体制で世話をしなければいけないため、世話をできる人が私の周りにはいませんでした。この子たちは衰弱し緊急性が高く、２４時間体制で世話をしなければいけないため、私が母猫の代わりになって育てていこうと決めました。この子ちが安心して大きく育っていける環境を作っていきますので見守っていただけると幸いです。最後まで読んでいただき本当にありがとうございます。成長記録を毎日更新できるように頑張りますのでよろしければチャンネル登録をしてお待ちください↓↓↓https://www.youtube.com/channel/UCCiTYBoGKEbOHBGM3YQ9HyQ/featuredねおの保護猫。（こたちゃ）はこちら↓↓↓https://www.youtube.com/channel/UCq-U...「ねおの猫。短足マンチカンよちひこ」はこちら↓↓https://www.youtube.com/channel/UCsWigrNucsWW6fTrA1o0bZQ"
