video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
Fb1975vGgJ4,【完全勝利】那須川天心を２対１でボコボコにしてやった。,2020-09-09T11:00:03Z,UChdm3NwkRpuyCAxVRTzPQ9g,SAWAYAN CHANNEL / サワヤン チャンネル,22,20.10.09,[none],483368,11786,455,1344,https://i.ytimg.com/vi/Fb1975vGgJ4/default.jpg,False,JP
M2bQzkg8R8A,BUMP OF CHICKEN「Aurora」 from BUMP OF CHICKEN TOUR 2019 aurora ark TOKYO DOME,2020-09-09T15:00:06Z,UCOfESRUR5duQ2hMnTQ4oqhA,BUMP OF CHICKEN,10,20.10.09,[none],129451,11350,40,863,https://i.ytimg.com/vi/M2bQzkg8R8A/default.jpg,False,JP
UyLhFRJ9Vyg,変装してポイ捨て注意したらチンピラにしばかれた。,2020-09-09T12:02:47Z,UC5o11UDNha6m1yoL_IJGYPQ,皇治チャンネル,24,20.10.09,皇治|こうじ|YouTube|ユーチューブ|ユーチューバー|YouTuber|キックボクシング|ボクシング|ライジン|RIZIN|TikTok|ポイ捨て|ぼったくりバー|ぼったくり|新庄剛志|スーパースター|喧嘩|詐欺師|ゴシップ|重課金|クラウドファンディング|記者会見|那須川天心|天心|武尊|コラボ|カリスマ|コント|漫才|チンピラ|DQN|アンチ|ドッキリ|どっきり|乱闘|けんか|ネタ|爆笑|お笑い|夏|最高|3150|大阪|難波,241529,4792,305,1018,https://i.ytimg.com/vi/UyLhFRJ9Vyg/default.jpg,False,JP
9B0Sjva5rIo,澤村拓一『名刺代わりの3者連続K』《THE FEATURE PLAYER》,2020-09-08T12:39:20Z,UC0v-pxTo1XamIDE-f__Ad0Q,(パーソル パ・リーグTV公式)PacificLeagueTV,17,20.10.09,パーソルパリーグTV|パリーグTV|パシフィックリーグ|Pacificleague|プロ野球,1593815,33358,435,7125,https://i.ytimg.com/vi/9B0Sjva5rIo/default.jpg,False,JP
YaHOrxQEfk0,無人島でシバターをシバいてみた,2020-09-09T10:00:16Z,UCJZVj2iBrdvbNc416i0V-UA,朝倉未来 Mikuru Asakura,24,20.10.09,朝倉未来,1059977,25186,4134,3677,https://i.ytimg.com/vi/YaHOrxQEfk0/default.jpg,False,JP
BmvJ0XUVBK4,“Field of Wonder” – Preview Trailer #1,2020-09-09T10:00:02Z,UCzycs8MqvIY4nXWwS-v4J9g,ONE OK ROCK,10,20.10.09,ONE OK ROCK|ワンオク|ワンオクロック|Taka|Toru|Ryota|Tomoya|バンド|OOR|ロック|Japan|J-Rock|rock band|Japanese Band,238534,21151,42,1067,https://i.ytimg.com/vi/BmvJ0XUVBK4/default.jpg,False,JP
nGZddg1lQMg,ようこそ香月くん！移籍初日に密着！,2020-09-09T12:27:55Z,UCXxg0igSYUp0tqdd6luPEnQ,読売ジャイアンツ,17,20.10.09,[none],291236,3487,65,572,https://i.ytimg.com/vi/nGZddg1lQMg/default.jpg,False,JP
x8xUAJuZK_4,身長差２６ｃｍ　サワヤンと戦ってみた,2020-09-09T11:00:27Z,UCjANqq_LsXC-OHugv8yAUtg,那須川天心チャンネル,22,20.10.09,那須川天心,334908,8065,174,985,https://i.ytimg.com/vi/x8xUAJuZK_4/default.jpg,False,JP
sMi91M_Xl28,BUMP OF CHICKEN「Gravity」,2020-09-09T15:00:14Z,UCOfESRUR5duQ2hMnTQ4oqhA,BUMP OF CHICKEN,10,20.10.09,[none],195484,18208,89,1373,https://i.ytimg.com/vi/sMi91M_Xl28/default.jpg,False,JP
d88qODe8sqk,【ぽんりさ】ポーチの中身with みきぽん!! 〜5年前の企画もう一回してみた！〜,2020-09-09T10:00:10Z,UC__AsSnEuyVgO9TWvZE_ziA,SekineRisa,26,20.10.09,メイク|メイク動画|make|up|sekine|risa|関根理紗|キャンメイク|プチプラコスメ|プチプラ|簡単メイク|時短メイク|youtuber|ユーチューバー|とりちゃん|trip|とりっぷちゃんねる|海外|旅行|パッキング|packing|ヘアアレンジ|hair|arrange|ツヤ肌|レビュー|小顔メイク|小顔|面白い|How|to|パック動画|パック|ストック|beauty|ビューティー|クリエイター|関根理沙|せきねりさ|パニック|パニック動画|30秒メイク,249596,7892,125,703,https://i.ytimg.com/vi/d88qODe8sqk/default.jpg,False,JP
hBfpiMO7bMw,こんにちは、メルセデス。,2020-09-09T09:00:09Z,UC25Ah0_XF2lOUwWV9VSfl2g,藤森慎吾のYouTubeチャンネル,24,20.10.09,お笑い|オリエンタルラジオ|藤森慎吾|愛車紹介|ゲレンデヴァーゲン|メルセデスベンツ|ゲレンデ,396378,5909,324,904,https://i.ytimg.com/vi/hBfpiMO7bMw/default.jpg,False,JP
MoOuFL4PBbg,【お知らせ】高知ありがとう!!お引っ越しします!!,2020-09-09T11:00:05Z,UCw7HTQv0F4CB9zGRhqosYsg,Marina Takewaki,22,20.10.09,アラサー健康ちゃんねる|マリネス,274900,7377,223,938,https://i.ytimg.com/vi/MoOuFL4PBbg/default.jpg,False,JP
Rw9cu3jHGao,女性として生きる難易度の高さ,2020-09-09T08:08:57Z,UCpZnHxjKCAOm-FKPrYYi-LA,ブライアンチャンネル,24,20.10.09,おもしろ|声真似|物真似|お笑い|コント|ゲーム|神ゲー|あるある|恋愛|学生|バズる|共感,987303,52074,359,4981,https://i.ytimg.com/vi/Rw9cu3jHGao/default.jpg,False,JP
D60QsEtF2z8,伊勢谷友介さんが大麻取締法違反の疑いで逮捕された件についてお話します,2020-09-08T11:05:21Z,UCXjTiSGclQLVVU83GVrRM4w,堀江貴文 ホリエモン,25,20.10.09,堀江貴文|ホリエモン|堀江|貴文|寺田有希|Takafumi|Horie,560506,8231,3543,2336,https://i.ytimg.com/vi/D60QsEtF2z8/default.jpg,False,JP
_RC7MUGmz9M,【大パニック】ショッピングモールで買い放題！！！たった数分で〇〇万円超えたwww【爆買い】,2020-09-08T10:00:08Z,UCxlsYyeri8MOpap3w3JbWSQ,まあたそ,24,20.10.09,[none],714284,27642,498,1803,https://i.ytimg.com/vi/_RC7MUGmz9M/default.jpg,False,JP
kw8FSkM23hU,【漫画】予約のため高級寿司店に出向くと→店員「ガキに出す寿司はねえ！帰れ！」→諦めて店を出ようとしたその時、店員「もしかして…？」→この後、大騒動に！！【マンガ動画】,2020-09-09T10:00:11Z,UCzINIvbVLZm11_9yD9JIXjg,漫画わいどしょー,1,20.10.09,スカッとする話|マンガ動画|漫画動画|スカッと漫画|漫画わいどしょー,178497,2476,57,209,https://i.ytimg.com/vi/kw8FSkM23hU/default.jpg,False,JP
i9wX75UAXXc,【ぽんりさ】これがないと生きていけないもの５つ紹介！【お気に入り】,2020-09-09T10:00:10Z,UCgpq8b6bCzkSLquNQeSE6QQ,Kawanishi Mikiかわにしみき,22,20.10.09,河西美希|美希ぽん|みきぽん|mikipon|Kawanishi Miki|かわにしみき|みきかわにし|コスメ|Make|面白|メイク|MAKE|プチプラ|메이크업|ぽんりさ|関根りさ|ベスコス|お気に入り|SekineRisa|アイテープ|香水|オススメ|ベスト５|美容|化粧|化粧品,182152,6668,103,711,https://i.ytimg.com/vi/i9wX75UAXXc/default.jpg,False,JP
Khm090c4Oi0,円陣番長、岸田行倫,2020-09-08T11:55:30Z,UCXxg0igSYUp0tqdd6luPEnQ,読売ジャイアンツ,17,20.10.09,[none],369755,7598,197,682,https://i.ytimg.com/vi/Khm090c4Oi0/default.jpg,False,JP
qz3RwYAX65M,【はなわ家のおやつ】息子達の大好物！スパゲティグラタン！【モッパン】【絶品】,2020-09-09T09:00:30Z,UCLwK1tQzsFD8AUlYylNuwug,はなわチャンネル,22,20.10.09,家族|はなわ家族|大食い|大食いチャレンジ|飯テロ|元輝|はなわ|はなわさん兄弟|柔道一家|柔道|judo|デカ盛り|ご飯|家族ご飯,240468,6356,146,320,https://i.ytimg.com/vi/qz3RwYAX65M/default.jpg,False,JP
cUHAY6WRhwo,日向坂46 「ひなリハ」～アザトカワイイ～,2020-09-08T09:00:08Z,UCR0V48DJyWbwEAdxLL5FjxA,日向坂46 OFFICIAL YouTube CHANNEL,10,20.10.09,日向坂46|日向坂|日向|ヒナタザカフォーティーシックス|ひなたざか|けやき坂46|乃木坂46|欅坂46|アザトカワイイ|ソンナコトナイヨ|こんなに好きになっちゃっていいの？|ドレミソラシド|キュン|期待していない自分|誰よりも高く跳べ！|僕たちは付き合っている|それでも歩いてる|イマニミテイロ|ハッピーオーラ|君に話しておきたいこと,961041,59856,398,7967,https://i.ytimg.com/vi/cUHAY6WRhwo/default.jpg,False,JP
bvaT1Lwb6SU,「ブレス オブ ザ ワイルド」の100年前が体験できる『ゼルダ無双 厄災の黙示録』,2020-09-08T14:00:01Z,UCkH3CcMfqww9RsZvPRPkAJA,Nintendo 公式チャンネル,20,20.10.09,Game|VideoGame|ゲーム|ビデオゲーム|Video Game (Industry)|任天堂|ニンテンドー|Nintendo|sv_nintendo|Switch|スイッチ|Nintendo Direct|Direct|ダイレクト|青沼|英二|早矢仕|洋介|コーエーテクモ|コーテク|無双|ゼルダの伝説|BotW|英傑|リンク|無双シリーズ|ハイラル,815844,26503,329,0,https://i.ytimg.com/vi/bvaT1Lwb6SU/default.jpg,False,JP
WT-TsA_lNqs,【初ゲスト】家政婦ともちんにご飯を作るのをお願いしてみた！【料理】,2020-09-08T10:00:07Z,UCPvMrbh7KtLwWwTAOBmjeIg,篠田麻里子ん家,22,20.10.09,篠田麻里子|マママリコ|マリコ様|AKB48|AKB|元AKB48|しのだまりこ|ママ|モデル|子育て|育児|家族|女優|インスタ|YouTube|篠田麻里子ん家|板野友美|ともちん|餃子|レシピ|料理|コラボ|初コラボ|家政婦,679262,10801,433,698,https://i.ytimg.com/vi/WT-TsA_lNqs/default.jpg,False,JP
uV8a1pK1k-Y,『ゼルダ無双 厄災の黙示録』1stトレーラー,2020-09-08T14:15:03Z,UCM0d5CqnNiJu4zsPTnwmjAQ,コーエーテクモChannel,20,20.10.09,#最新動画_movielist|Game|VideoGame|ゲーム|ビデオゲーム|Video Game (Industry)|ゼルダ無双|ゼルダの伝説|ブレス オブ ザ ワイルド|BotW|BOW|ZELDA|zelda|legend|Direct|Nintendo Direct|ダイレクト|The Legend of Zelda|Dynasty Warriors|Samurai Warriors|warriors|無双|Hyrule Warriors|コーエーテクモ|KOEI TECMO|Omega force|ω-Force|任天堂|ニンテンドー|Nintendo Switch|スイッチ|Switch|ゼルダ|リンク|Hyrule Warriors: Age of Calamity|Age of Calamity,209088,5273,77,0,https://i.ytimg.com/vi/uV8a1pK1k-Y/default.jpg,False,JP
VvyWbIB6s6U,伊勢谷友介容疑者 逮捕　有名俳優なぜ...大麻取締法違反,2020-09-08T10:02:13Z,UCoQBJMzcwmXrRSHBFAlTsIw,FNNプライムオンライン,25,20.10.09,ニュース|NEWS|FNN|FNNプライムオンライン|フジテレビ|フジテレビジョン|FujiTelevision,906903,2391,350,3544,https://i.ytimg.com/vi/VvyWbIB6s6U/default.jpg,False,JP
NMWBbc4GWos,整形しました。喋れません,2020-09-08T07:54:58Z,UCIPKo-3YgwWFFEeagS-j30A,整形アイドル轟ちゃん,24,20.10.09,轟ちゃん|整形,727190,20439,1971,2755,https://i.ytimg.com/vi/NMWBbc4GWos/default.jpg,False,JP
TvRVcN-fJLE,1回10円のクレーンゲーム100回やったらアヒルとれすぎてお風呂アヒルまみれwww,2020-09-08T07:35:57Z,UCZf__ehlCEBPop-_sldpBUQ,HikakinTV,24,20.10.09,ヒカキン|ヒカキンtv|hikakintv|hikakin|ひかきん|ひかきんtv|ユーチューバー|YouTube|YouTuber|商品紹介|おもちゃ|オモチャ|玩具|動画|ビートボックス|Beatbox|ボイパ|ヒューマンビートボックス|ボイスパーカッション|レビュー|UFOキャッチャー|クレーンゲーム|ゲーセン|10円|10円キャッチャー|タイトー|タイトーステーション|府中くるる店|taito station|ゲーム|アヒル|お風呂|お菓子|チョコ|アンパンマン,1471284,29407,1317,2848,https://i.ytimg.com/vi/TvRVcN-fJLE/default.jpg,False,JP
caCQoP6gI7Y,夏が終わる前に家族で遊ぼーシリーズ,2020-09-08T12:00:16Z,UCmiivdWbzuVQKMljjvfVjqQ,Hiromi factory チャンネル,24,20.10.09,[none],281153,9823,211,490,https://i.ytimg.com/vi/caCQoP6gI7Y/default.jpg,False,JP
XnwSmkYXoX0,巨人から電撃トレード！澤村拓一のロッテ初練習,2020-09-08T08:52:50Z,UCWdEublMqqCIicyy8fiqEyA,テレビ東京スポーツ,17,20.10.09,テレビ東京|テレ東|テレビ東京スポーツ|Sports|スポーツ,218816,1374,36,244,https://i.ytimg.com/vi/XnwSmkYXoX0/default.jpg,False,JP
