video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
VwgU2kdiX8Y,Power Peralta ∞ STAILOK » Yo Bailo (Official Video),2020-09-09T23:01:23Z,UC4aifqUUjsYwFLhKzuKP7sQ,Power Peralta,10,20.11.09,Power Peralta|Yo Bailo|PowerPeralta|Reggaeton|Stailok|Reggaeton chileno|dance studio|los power|los power peralta|reggaeton chileno|dance|dance duo|movimiento original|tu le metes fuego|aca se baila to|yo bailo coreografia,136832,9340,321,472,https://i.ytimg.com/vi/VwgU2kdiX8Y/default.jpg,False,CL
44VaR1DVf78,IMPOSIBLE QUE SOSPECHEN DE NOSOTROS | Among Us,2020-09-09T20:29:26Z,UCcjIvuxmWlS5IEQ0JdPV4Ng,Rubius Z,20,20.11.09,elrubius|rubius|among us|amongus|amongas|misterio|impostor|mejor|jugador|malos|ttt|jugadas,4753836,500952,3783,7929,https://i.ytimg.com/vi/44VaR1DVf78/default.jpg,False,CL
c2u2PvD2iSs,Brawl Stars Animation: Welcome to the Gift Shop!,2020-09-10T13:13:32Z,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,20,20.11.09,brawl stars|mobile game|mobile strategy game|mobile rpg|mobile battle royale|battle royale|supercell game|animation|gift shop|starr park|starr|park,2856560,193834,2076,9385,https://i.ytimg.com/vi/c2u2PvD2iSs/default.jpg,False,CL
htdaOYqx9Hw,ATACA REMIX - Chimbala x Lenny Tavárez x Jay Wheeler x Juhn x Omar Montes (Video Oficial),2020-09-10T17:00:11Z,UCZg2x_5Y5UaevoJJCXOcdgw,ChimbalaHD,10,20.11.09,Chimbala|Dembow|tan celoso|maniqui|tutuma|Lenny Tavárez|Jay Wheeler|Juhn|Omar Montes|la curiosidad|reggaeton|dembow 2020|reggaeton mix 2020|rregaeton 2020|nuevos rregaeton|reggaeton pegao|Dalex|Dimelo flow|sech,363930,39727,464,1646,https://i.ytimg.com/vi/htdaOYqx9Hw/default.jpg,False,CL
aRh8QJoXkGQ,Nicki Nicole - Mala Vida (Official Video),2020-09-09T21:00:08Z,UC8eEAt6o2cz8CBiNHnn2I1w,nickinicoleVEVO,10,20.11.09,nicki nicole|nicki|nicole|mala vida|nicki mala vida|nicki nicole mala vida|nicole mala vida|mala vida video oficial|mala vida video|mala vida letra|colocado|mala vida lyrics|nicki 2020|nicki nicole 2020|trap|mala vida nicki nicole|Latin Urban|Mala Vida|Nicki Nicole|Sony Music Latin/DALE PLAY Records,1629889,208147,6470,12630,https://i.ytimg.com/vi/aRh8QJoXkGQ/default.jpg,False,CL
sk-qyR224fU,[MV] 마마무(MAMAMOO) - WANNA BE MYSELF,2020-09-10T09:00:10Z,UCuhAUMLzJxlP1W7mEk0_6lA,MAMAMOO,10,20.11.09,MAMAMOO|마마무|WANNA BE MYSELF|마마무 WANNA BE MYSELF|안다르|andar|마마무 안다르|마마무 andar|MAMAMOO andar|WANNA BE MYSELF MV|WANNA BE MYSELF 뮤직비디오|WANNA BE MYSELF 뮤비,4452017,713149,3989,51919,https://i.ytimg.com/vi/sk-qyR224fU/default.jpg,False,CL
wAPlzt2L7wE,Marshmello & Demi Lovato - OK Not To Be OK (Official Music Video),2020-09-10T16:00:10Z,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,10,20.11.09,marshmello|demi lovato|ok not to be ok|marshmello demi lovato|marshmello demi lovato ok not to be ok|its ok not to be ok|love dont let me go|demi|mental health|suicide prevention|suicide awareness|hope for the day|pop music|demi lovato i love me|i love me|be kind|marshmello happier|marshmello alone|alone|uplifting music|positive music|halsey|blackpink|selena gomez|ice cream|wolves|ok|ok not to be ok lyrics|top songs 2020|come & go|juice wrld,1433471,193454,3141,11656,https://i.ytimg.com/vi/wAPlzt2L7wE/default.jpg,False,CL
qtkqUJccytw,Corina Smith X Lenny Tavarez - Morir Juntos (Video Oficial),2020-09-10T04:00:04Z,UCaHJZvLWC1PA6o5PxrFBqtQ,Corina Smith,10,20.11.09,Corina Smith|Lenny Tavarez|morir juntos|lenny tavarez corina smith|lenny tavarez morir juntos|corina smith lenny tavarez|corina smith morrir juntos lenny tavarez|corina smith morir juntos|morir juntos lenny tavarez|lenny corina|lenny tavarez con corina smith morir juntos|morir juntos corina smith lenny tavarez|morir juntos corina smith|morir juntos corina smith letra|lenny tavarez corina smith letra morir juntos|lenny tavarez juntos corina smith|lenny t,3029509,32553,471,4586,https://i.ytimg.com/vi/qtkqUJccytw/default.jpg,False,CL
UuNNH693OTY,"SOSPECHO DE TODOS !! AMONG US CON IBAI, PAPO, MARKITO",2020-09-10T02:13:00Z,UCMl6IV2MR5W2gg4qHYAqcoQ,Sergio Agüero Oficial,24,20.11.09,Kun Sergio Aguero|oficial|Benjamín|futbol|crack|gol|historia|pelota|partido|selección Argentina|copa|mundial|Manchester City|Puma|delantero|Club Atlético Independiente|premiere league|twitch|kun aguero|slakun10|transmisión|kun|among us|among|ibai|markito|markitonavaja|papo|elmillor|carlosr|ocelote|barbe|reven|kenkro|pichichi|jonynavaja|asesino|matar|ganar|traición,375547,57218,265,1360,https://i.ytimg.com/vi/UuNNH693OTY/default.jpg,False,CL
nySB1B0lFKI,Shadowlands - El más allá: Ardenweald,2020-09-10T17:04:08Z,UCuVY7xEIjQN6yE3emKRzq8g,World of Warcraft LatAm,20,20.11.09,warcraft|wow|blizzard|world of warcraft|el mas alla|ardenweald|shadowlands|covenants,89986,7019,162,820,https://i.ytimg.com/vi/nySB1B0lFKI/default.jpg,False,CL
