video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
v3PdoINgdd4,Natanael Cano - Yo Ya Se [Official Video],2020-09-09T23:00:11Z,UC648rgJOboZlgcDbW00vTSA,Rancho Humilde,10,20.11.09,Soy El Nata|Yo Ya Se|Natanael Cano Yo Ya Se|Yo Ya Se Video|Natanael Cano|Nata|Fuerza Regida|Legado 7|Herencia de Patrones|Arsenal Efectivo|El De La Guitarra|Grupo Codiciado|Alta Consigna|Junior H|A Lo Lejos Me Verán|Cosas de la Clica|Ladeando|Pacas Verdes|El Drip|Es Dificil Ser Un Santo|Lolo Felix|Corridos Tumbados|Jimmy Humilde|Rancho Humilde|Rancho|Corridos|Corridos Verdes|Regional urbano|Clika|SMO|Regional Mexicano|Trap|Banda|Nata Yo Ya Se,917085,72918,3926,2921,https://i.ytimg.com/vi/v3PdoINgdd4/default.jpg,False,MX
xO0oWgXPOcM,Tacos GIGANTES por menos de $70 pesos,2020-09-10T16:00:14Z,UCUAQgUTv4-OiAClB1jYTPnA,La Ruta de la Garnacha,24,20.11.09,Yo|soy|migue|el|papa|de|Lalo|villar|los|consejos|la|jefa|ruta|garnacha|lalo|donde|comer|barato|lugares|ñam|capital|para|mejico|comida|mexicana|como|preparar|recetas|marisolpink|guzzi|hacer|en|df|que|baratos|donde comer|que comer|comida callejera|paella|la capital|la ruta dela garnacha|garnachas|coreano vlogs|kenro|ñam ñam|el papa de lalo villar|tacos|los mamados|guerrero|colonia|gimnasio|fuertes|fornidos|gigantes|tacos gigantes,251800,10882,209,559,https://i.ytimg.com/vi/xO0oWgXPOcM/default.jpg,False,MX
tcJRLpjen6o,DALTÓNICO JUEGA AMONG US 🌈 ☹️,2020-09-10T00:30:11Z,UCejggbBHSAIx8wvnc4x7HSg,elded,20,20.11.09,elded|ded|juan|juansguarnizo|among us|among us 2|among us con amigos|rubius|memes de among us|mejores momentos en among us|trucos en among us|no fui yo,1749871,172321,1883,3682,https://i.ytimg.com/vi/tcJRLpjen6o/default.jpg,False,MX
44VaR1DVf78,IMPOSIBLE QUE SOSPECHEN DE NOSOTROS | Among Us,2020-09-09T20:29:26Z,UCcjIvuxmWlS5IEQ0JdPV4Ng,Rubius Z,20,20.11.09,elrubius|rubius|among us|amongus|amongas|misterio|impostor|mejor|jugador|malos|ttt|jugadas,4753836,500946,3783,7928,https://i.ytimg.com/vi/44VaR1DVf78/default.jpg,False,MX
c2u2PvD2iSs,Brawl Stars Animation: Welcome to the Gift Shop!,2020-09-10T13:13:32Z,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,20,20.11.09,brawl stars|mobile game|mobile strategy game|mobile rpg|mobile battle royale|battle royale|supercell game|animation|gift shop|starr park|starr|park,2856560,193830,2076,9385,https://i.ytimg.com/vi/c2u2PvD2iSs/default.jpg,False,MX
wAPlzt2L7wE,Marshmello & Demi Lovato - OK Not To Be OK (Official Music Video),2020-09-10T16:00:10Z,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,10,20.11.09,marshmello|demi lovato|ok not to be ok|marshmello demi lovato|marshmello demi lovato ok not to be ok|its ok not to be ok|love dont let me go|demi|mental health|suicide prevention|suicide awareness|hope for the day|pop music|demi lovato i love me|i love me|be kind|marshmello happier|marshmello alone|alone|uplifting music|positive music|halsey|blackpink|selena gomez|ice cream|wolves|ok|ok not to be ok lyrics|top songs 2020|come & go|juice wrld,1433471,193449,3141,11647,https://i.ytimg.com/vi/wAPlzt2L7wE/default.jpg,False,MX
sk-qyR224fU,[MV] 마마무(MAMAMOO) - WANNA BE MYSELF,2020-09-10T09:00:10Z,UCuhAUMLzJxlP1W7mEk0_6lA,MAMAMOO,10,20.11.09,MAMAMOO|마마무|WANNA BE MYSELF|마마무 WANNA BE MYSELF|안다르|andar|마마무 안다르|마마무 andar|MAMAMOO andar|WANNA BE MYSELF MV|WANNA BE MYSELF 뮤직비디오|WANNA BE MYSELF 뮤비,4452017,713135,3989,51918,https://i.ytimg.com/vi/sk-qyR224fU/default.jpg,False,MX
1qe71ioIPRs,León [1-1] Tigres | Juego completo | Jornada 9 Apertura 2020 | Liga MX,2020-09-10T01:15:41Z,UCqfCJBfrFSO4tZM1LNZTBFQ,Marca Claro,17,20.11.09,leon vs tigres|leon tigres|leon tigres en vivo|leon tigres en vivo 2020|leon tigres 2020|leon tigres partido en vivo|leon 2020|leon tigres apertura 2020|leon tigres guardianes 2020|leon tigres liga mx|leon tigres futbol mexicano|liga mx|futbol|futbol mexicano|tigres|partidos leon en vivo|leon|la fiera|esmeraldas del leon|marca claro en vivo,504348,4787,289,21,https://i.ytimg.com/vi/1qe71ioIPRs/default.jpg,False,MX
aRh8QJoXkGQ,Nicki Nicole - Mala Vida (Official Video),2020-09-09T21:00:08Z,UC8eEAt6o2cz8CBiNHnn2I1w,nickinicoleVEVO,10,20.11.09,nicki nicole|nicki|nicole|mala vida|nicki mala vida|nicki nicole mala vida|nicole mala vida|mala vida video oficial|mala vida video|mala vida letra|colocado|mala vida lyrics|nicki 2020|nicki nicole 2020|trap|mala vida nicki nicole|Latin Urban|Mala Vida|Nicki Nicole|Sony Music Latin/DALE PLAY Records,1629889,208144,6470,12630,https://i.ytimg.com/vi/aRh8QJoXkGQ/default.jpg,False,MX
htdaOYqx9Hw,ATACA REMIX - Chimbala x Lenny Tavárez x Jay Wheeler x Juhn x Omar Montes (Video Oficial),2020-09-10T17:00:11Z,UCZg2x_5Y5UaevoJJCXOcdgw,ChimbalaHD,10,20.11.09,Chimbala|Dembow|tan celoso|maniqui|tutuma|Lenny Tavárez|Jay Wheeler|Juhn|Omar Montes|la curiosidad|reggaeton|dembow 2020|reggaeton mix 2020|rregaeton 2020|nuevos rregaeton|reggaeton pegao|Dalex|Dimelo flow|sech,363930,39726,464,1646,https://i.ytimg.com/vi/htdaOYqx9Hw/default.jpg,False,MX
_LH7rnfHuVU,Saltando de un avión de noche | Nadie lo había hecho antes,2020-09-09T21:00:05Z,UCUo7T81zvCqpPhfsPb_kajA,Juanpa Zurita,23,20.11.09,Juanpa|juanpazurita|juanpa zurita|comedia|humor|risas|felicidad|vine|humoristico|juan pablo zurita|Zuricatas|zuritas|paracaidismo,271795,32734,408,1530,https://i.ytimg.com/vi/_LH7rnfHuVU/default.jpg,False,MX
3zMfSAQ2q4k,"Puebla 2-3 América | Resumen y goles, Jornada 9 Guardianes 2020 | Liga MX",2020-09-09T05:13:11Z,UCe3Ev4a4Sm9L5aO9sJJ_WXw,TV Azteca Deportes,17,20.11.09,futbol mexicano|Fut Azteca|Azteca Deportes|Liga MX|Luis García|Christian Martinoli|Jorge Campos|Carlos Guerrero|TV Azteca|e liga mx|noticias deportivas|noticias deportes|azteca deportes|América|Águilas|Guardianes 2020|Miguel Herrera|Piojo|Federico Viñas|Henry Martín|puebla|Puebla vs América|Reynoso|puebla america 2020|partido america vs puebla en vivo hoy|partido america vs puebla|partido america puebla,466013,4135,819,373,https://i.ytimg.com/vi/3zMfSAQ2q4k/default.jpg,False,MX
qtkqUJccytw,Corina Smith X Lenny Tavarez - Morir Juntos (Video Oficial),2020-09-10T04:00:04Z,UCaHJZvLWC1PA6o5PxrFBqtQ,Corina Smith,10,20.11.09,Corina Smith|Lenny Tavarez|morir juntos|lenny tavarez corina smith|lenny tavarez morir juntos|corina smith lenny tavarez|corina smith morrir juntos lenny tavarez|corina smith morir juntos|morir juntos lenny tavarez|lenny corina|lenny tavarez con corina smith morir juntos|morir juntos corina smith lenny tavarez|morir juntos corina smith|morir juntos corina smith letra|lenny tavarez corina smith letra morir juntos|lenny tavarez juntos corina smith|lenny t,3029509,32551,471,4586,https://i.ytimg.com/vi/qtkqUJccytw/default.jpg,False,MX
JyNdQVOpo3Q,León [1-1] Tigres | Resumen y goles | Jornada 9 Apertura 2020 | Liga MX,2020-09-10T00:22:59Z,UCqfCJBfrFSO4tZM1LNZTBFQ,Marca Claro,17,20.11.09,Deportes|Videos de deportes|MARCAClaro|MARCA Claro|Noticias de deportes|león|tigres|león vs tigres|esmeraldas del león|panzas verdes león|tuca ferretti|liga mx|futbol mexicano|jornada 9|jornada 9 liga mx|jornada 9 apertura 2020|jornada 9 guardianes 2020|fecha 9 apertura 2020|fecha 9 guardianes 2020|fecha 9 liga mx|fecha 9 futbol mexicano|nacho ambriz|leon,44722,289,47,55,https://i.ytimg.com/vi/JyNdQVOpo3Q/default.jpg,False,MX
m1cvXqlvbZ4,Nos encontramos un tesoro escalando uno de los faros más grandes del mundo,2020-09-09T21:45:00Z,UCt3N8NwR2uERGkAyCU1PyrA,Denis Zuñiga,24,20.11.09,[none],170653,11487,235,632,https://i.ytimg.com/vi/m1cvXqlvbZ4/default.jpg,False,MX
bbA5p54Rw2M,Gorillaz - Strange Timez ft. Robert Smith (Episode Six),2020-09-09T16:15:11Z,UCfIXdjDQH9Fau7y99_Orpjw,Gorillaz,1,20.11.09,Gorillaz|gorillaz Strange Times|Strange Timez Gorillaz Robert Smith|Robert Smith|The Cure|song machine|song machine episode 6|gorillaz song machine|gorillaz new song|gorillaz 2020|gorillaz 2020 song|damon albarn|jamie hewlett|2d|noodle|russel|murdoc|alternative|episode 5|gorillaz new track|TDE|gorillaz featuring|gorillaz feat|song machine #6,1303906,129338,3112,9348,https://i.ytimg.com/vi/bbA5p54Rw2M/default.jpg,False,MX
KZx3iH3A7wQ,Alex Campos - ¡Esta canción te estremecerá! - Duele El Amor (Video Oficial),2020-09-10T14:00:09Z,UCL6-hd65P6a4cFQfupSsyHA,Alex Campos,10,20.11.09,alex campos|duele el amor|Duele el amor|musica cristiana|alex Campos|alex campos 2019|alex campos sueño de morir|alex campos tu poeta|alex campos el sonido del silencio|alex campos 2020|música cristiana|musica cristiana 2020|musica cristiana de adoracion y alabanza|campos alex|campos alex el sonido del silencio|campos alex al taller del maestro|campos alex tu poeta|duele el amor alex campos|lo mejor de alex campos|duele el amor alex campos letra|letra|amor,95090,8892,125,802,https://i.ytimg.com/vi/KZx3iH3A7wQ/default.jpg,False,MX
rzrejE1KzAc,¡La RTX 3080 Founders ya llegó y así es el unboxing! ¡ES HERMOSA!,2020-09-10T13:02:35Z,UC3C9dOKpyemQCCJqsYt3ySQ,Tortilla Squad,20,20.11.09,tortillasquad|tortilla squad|gabbhy|gaby|ninja pollo|ninjapollo|pc gaming|gaming|computadoras|nvidia|intel|rtx 3080|rtx 3080 benchmark|rtx 3080 ti|rtx 3090|rtx 3070|rtx 3080 vs rtx 2080 ti|rtx 3080 specs|rtx 3080 gameplay|rtx 3080ti|rtx 3080 release date|rtx 3070 vs rtx 3080|rtx 3080 vs rtx 3090|rtx 3080 vs rtx 3070|rtx 2080 ti vs rtx 3080|rtx unboxing|rtx 30 unboxing|rtx 3080 unboxing|unboxing nvidia,144047,16538,384,1299,https://i.ytimg.com/vi/rzrejE1KzAc/default.jpg,False,MX
H0DoHEh_ywM,Call of Duty: Cold War GAMEPLAY EXCLUSIVO | Willyrex,2020-09-09T17:10:11Z,UC8rNKrqBxJqL9izOOMxBJtw,Willyrex,20,20.11.09,mejores|momentos|NUEVO|Willyrex|ps4|Gameplay|español|#warzone|call of duty|cod|gratis|willy|mejor|warzone|codpartner|victoria|150 jugadores|batle royale|como ganar|mejor partida|mejor clase|mejor arma|actualizacion warzone|nuevo arma|coldwar|nuevo cod|nuevo call of duty|cold war|call of duty cold war|cold war gameplay|cold war willyrex|nuevo cold war|gameplay cold war|coldwar gameplay|cod 2021,819578,71609,1001,2446,https://i.ytimg.com/vi/H0DoHEh_ywM/default.jpg,False,MX
H6jq_ndi2Dk,Los TEAM OWNERS a PRUEBA | TOP GAMERS ACADEMY,2020-09-10T15:59:34Z,UCa-G3veaqjhKidfznDR7uFQ,Top Gamers Academy,22,20.11.09,los team|owners|a prueba|top gamers academy|tga|grefg|rubius|willyrex|juntos|gamer|gamers|youtubers|que piensa|lo mejor y lo peor|thegrefg|entrevista|gestmusic|vizz agency,113373,13467,89,522,https://i.ytimg.com/vi/H6jq_ndi2Dk/default.jpg,False,MX
J4o48ObWjX0,"✅✅ TABLA GENERAL, GOLEO INDIVIDUAL, RESULTADOS | JORNADA 9 LIGA MX GUARDIANES 2020 | ESTADÍSTICAS",2020-09-10T04:33:56Z,UCtbQoQzNVoJCdPMC2WNxETA,FutGoal MX,17,20.11.09,NOTICIAS|FUTBOL|RESUMEN|GOLES|JUGADAS|CHIVAS|REFUERZOS 2020,37753,775,26,11,https://i.ytimg.com/vi/J4o48ObWjX0/default.jpg,False,MX
a29lmX6lRlo,MINECRAFT: CASA NOOB vs PRO vs HACKER 😱 TESOROS OCULTOS DE LOS COMPAS,2020-09-08T22:08:45Z,UCS4OZlj8753fezBtH62TRDg,RaptorGamer,20,20.11.09,raptor|raptorgamer|gamer,1791533,86765,2082,3282,https://i.ytimg.com/vi/a29lmX6lRlo/default.jpg,False,MX
