video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
CF2oceUUqc4,da Milano a Roma in MONOPATTINO,2020-09-10T17:27:12Z,UCz-KJn98sMCPW5kjG0ZnE-Q,Jakidale,22,20.11.09,jakidale|jaki|vlog|mobile|tecnologia|tech|dailyvlog|daily vlog|daily vlog ita|dale|Jacopo DAlesio|monopattino|milano|roma|milano roma|in monopattino|monopattino elettrico|bici|bicicletta|skateboard|luis|luis sal|bologna|firenze|giro ditalia|italia|colosseo|xiaomi|space valley|marcello ascani|bottura|modena|monopattino sharing|monopattini|monopattini elettrici|viaggio|viaggio in monopattino|travel|bikebacking|bike|mattia|miraglio|giro del mondo|mattia miraglio,545602,76375,502,4431,https://i.ytimg.com/vi/CF2oceUUqc4/default.jpg,False,IT
jCOr6K88Rkc,TE AL LICEO VS TE DA BAMBINO || Diversi tipi di Persone e Situazioni in cui puoi immedesimarti!,2020-09-08T11:09:02Z,UC4C3XBEVcbyDOziQh7MHcKg,123 GO LIKE! Italian,24,20.11.09,fai da te|idee creative|idea creativa|scherzo|scherzi|divertimento|divertente|123GO!|123 go|123go|amici|amichevole|tutorial|123 GO! Like|123 GO! Like Italian|situazione|situazione divertente|situazione imbarazzante|ragazze vs ragazzi|io contro gli altri|io contro altre persone|ragazze in pubblico|in pubblico vs da solo|tu al liceo vs da bambino|scuola,807433,13859,1983,1028,https://i.ytimg.com/vi/jCOr6K88Rkc/default.jpg,False,IT
RkdKbv_-Drc,HO CENATO PER LA PRIMA VOLTA DENTRO UN SUPERMERCATO! PECHINO EXTRASH #1,2020-09-10T09:00:05Z,UCHZl_sLl4kGZSkrPBrWb_aQ,Anima,24,20.11.09,anima|mates|anima mates|pechino extrash|tour italia|25 euro budget|scroccare|viaggio|vlog|yakinop|supermercato|cenare in un supermercato|24h supermercato|youtuber viaggio|da milano a palermo|tour italia scroccando|canna 92|laboratorio gastronomico|autostop|viaggio budget limitato|vlog bologna|aboutnels|space valley|exeed|homyatol|peggior hotel|dormire in uno scantinato|peggior bnb|sascha burci|thatsanima|lookatsascha|animayt|non smettere mai di vivere|ep 1,276880,33018,260,649,https://i.ytimg.com/vi/RkdKbv_-Drc/default.jpg,False,IT
07QMsWE_i-w,14 Guerre di Scherzi tra Sorelle! Divertenti Scherzi tra Sorelle!,2020-09-07T12:00:00Z,UCat4J1qEHCdzKS32xXNbbaw,WooHoo IT,26,20.11.09,la battaglia di scherzi|video divertente|i migliori scherzi|scherzi divertenti|giocare con gli amici|trucchi|migliori amici|divertimento|scherzi esilaranti|scherzi|Fratello vs Sorella|fratello vs sorella guerra dello scherzo|Sorelle|Sorelle e Fratelli|Scherzi tra Sorelle|rivalità tra sorelle|crescere con delle sorelle|sorelle|scherzi in famiglia|guerra degli scherzi|woohoo it,1481199,15227,3428,984,https://i.ytimg.com/vi/07QMsWE_i-w/default.jpg,False,IT
msBeoX8BxPw,VITE AL LIMITE - Disperat cases,2020-09-10T11:30:12Z,UChn336v-fUYkJH09vA4ZuCA,CARTONI MORTI,24,20.11.09,vite al limite|vite al limite parodia|vite al limite e poi|vite al limite ita|cartoni morti|cartoni morti parodia|vite al limite real time|dottor nowzaradan|dottor nowzaradan ita|real time|real time parodia|real time vite al limite|cartone animato|video divertente|andrea lorenzon|runner|lockdown|dieta|dieta per dimagrire,254217,44418,357,1304,https://i.ytimg.com/vi/msBeoX8BxPw/default.jpg,False,IT
v1itwtt-5Gg,50 Luoghi Comuni dei Film Americani tra la Gente - [Candid Camera] - theShow,2020-09-09T12:00:13Z,UCYZ3uwiIy1LrwrAywLeQSlQ,theShow,24,20.11.09,the show|theshow|the show is you|theshowisyou|esperimenti sociali|the show scherzi|esperimento sociale|scherzi iene|prank ita|scherzi gente milano|scherzi|scherzo|scherzi a parte|candid camera|luoghi comuni dei film americani|american movie|postino|la ragazza del caffè|slomo|rallenty|inno americano|insegua quellauto|taxi|sassolino|stereotipi film|hollywood movie|stereotypes|common places|american film,465961,52184,563,1392,https://i.ytimg.com/vi/v1itwtt-5Gg/default.jpg,False,IT
Ms4IQd3XbpM,Highlights | AC Milan 5-1 Vicenza | Pre-season friendly 2020/21,2020-09-09T19:30:01Z,UCKcx1uK38H4AOkmfv4ywlrg,AC Milan,17,20.11.09,Milan|ACMilan|AC Milan|Milanello|Milan Live|Milan News|Milan Highlights|Milan Notizie|Milan vs|AC Milan vs|AC Milan Live|AC Milan Highlights|Milan AC|Calcio|Oh AC Milan|sempre milan|rossoneri|friendly|brahim diaz|lorenzo colombo|gol brahim diaz,573732,15078,329,615,https://i.ytimg.com/vi/Ms4IQd3XbpM/default.jpg,False,IT
PXtcYTK-bQY,Pinguini Tattici Nucleari - La storia infinita (Official Video),2020-09-09T12:00:06Z,UCVUL9O_32EKug5EwTlMjctQ,PinguiniVEVO,10,20.11.09,La storia infinita|Pinguini Tattici Nucleari|Pop|RCA Records Label,280031,26248,243,1087,https://i.ytimg.com/vi/PXtcYTK-bQY/default.jpg,False,IT
bsZyr7tdCU8,The Jackal - Poco Prima Poco Dopo - COSA FACCIAMO STASERA?,2020-09-10T11:00:10Z,UCpB9uxBH-Hjoj_Jd9cnRC_w,The Jackal,23,20.11.09,video divertenti|parodie divertenti|corti divertenti|web series ita|parodia|the jackal,281877,26572,215,289,https://i.ytimg.com/vi/bsZyr7tdCU8/default.jpg,False,IT
Rxxjo43RNoA,Scottecs Toons SUPER COMPILATION 10,2020-09-10T14:15:02Z,UCqSmyuqVNwklKKlqqdMmV_A,Scottecs,23,20.11.09,[none],88667,13163,158,711,https://i.ytimg.com/vi/Rxxjo43RNoA/default.jpg,False,IT
