video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
FIgI7GIcsuc,EFF vs Clicks | EFF leader Julius Malema at Clicks Mall of the North,2020-09-07T07:56:01Z,UC8yH-uI81UUtEMDsowQyx1g,SABC News,25,20.11.09,SABC News|actuality|world news|local news|Coronavirus|COVID-19|COVID-19 Lockdown|COVID-19 News|Economic Freedom Fighters|Julius Malema|Polokwane,318827,3603,862,2527,https://i.ytimg.com/vi/FIgI7GIcsuc/default.jpg,False,ZA
3CxtK7-XtE0,DJ Khaled ft. Drake - POPSTAR (Official Music Video - Starring Justin Bieber),2020-09-04T04:15:41Z,UCrFB54bqp8sda4udJyNswlA,DJKhaledVEVO,10,20.11.09,Father Of Ashad|Ashad|Im the One|No Brainer|grateful|major key|drake|new khaled|khaled and drake|popstar|greece|we the best|epic|epic records|new music|DJ Khaled|Epic/We The Best|Hip Hop|POPSTAR,37159690,1962616,90684,110655,https://i.ytimg.com/vi/3CxtK7-XtE0/default.jpg,False,ZA
7vZzNaSPc_o,Beauty ad by Clicks deemed racist in South Africa,2020-09-08T15:03:06Z,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,25,20.11.09,Racist Click Advert South Africa|Clicks Racist Ad South Africa|Clicks Advert South Africa|Latest Clicks Ad South Africa|Clicks Racist Advertisement South Africa|Clicks Racist Advert|Racist Hair Advert|Racist Ad by Clicks in South Africa|TRT|TRT World|TRT News,104931,672,184,699,https://i.ytimg.com/vi/7vZzNaSPc_o/default.jpg,False,ZA
6RfR4UHT7Xw,"‘Kill it, boys!’ – Idols SA",2020-09-01T06:42:15Z,UCSEibSG6dlUJvkC40IpNMRQ,MzansiMagicOfficial,24,20.11.09,Mzansi Magic|Mzansi Magic DStv|Mzansi Magic on DStv|Mzansi entertainment|Mzansi Magic Telenovela|Mzansi Magic Series|Mzansi Magic Drama|Mzansi Magic Reality|Mzansi|Idols SA|Idols SA Season 16|Idols Season 16|Idols SA 2020|Idols South Africa|Idols SA Judge & Host 2020|Idols SA Behind The Scenes videos 2020|Idols Season 16 BTS videos|Idols backstage pass,651168,12099,295,637,https://i.ytimg.com/vi/6RfR4UHT7Xw/default.jpg,False,ZA
jV1v2Cy1w30,6IX9INE - TUTU (Official Music Video),2020-09-04T04:00:00Z,UCF6jRAgCbSanHolKt0Vt6Qw,Tekashi 6ix9ine,10,20.11.09,6ix9ine|6ix9ine tutu official music video|6ix9ine tutu|tutu 6ix9ine|tutu|tutu music video|tekashi 69|tekashi 6ix9ine|69|tattletales 6ix9ine|tattle tales 6ix9ine|6ix9ine tattletales|6ix9ine tattle tales|tattletales|tattle tales|6ix9ine music|6ix9ine new music|6ix9ine new album|new album 6ix9ine|6ix9ine new song|tekashi69|6ix9ine album|tekashi|6ix9ine tattletales album|69 tekashi69|69 new song|six nine|six6nine9|sixnine|69x9ine,54889254,1686438,198728,139277,https://i.ytimg.com/vi/jV1v2Cy1w30/default.jpg,False,ZA
ScDEgny-hTs,CASSPER NYOVEST A.M.N SESSIONS: ZOLA (EPISODE 1),2020-09-07T07:00:06Z,UCHwGqmYfuj8Svbj5Wa2vROA,FamilyTreeWorld,10,20.11.09,[none],104518,7258,49,663,https://i.ytimg.com/vi/ScDEgny-hTs/default.jpg,False,ZA
erEV_Yj-Z-0,Busiswa - SBWL (feat. Kamo Mphela) Official Music Video,2020-09-04T17:34:32Z,UCAQ1IpWtJmQrzXTHE9MTBGA,BusiswaVEVO,10,20.11.09,Majesty Music Entertainment|Busiswa|World|African,249403,7754,631,753,https://i.ytimg.com/vi/erEV_Yj-Z-0/default.jpg,False,ZA
CU--j8KvYXY,Blaq Diamond - Woza My Love (Official Music Video),2020-09-02T06:30:00Z,UCniUHTOy5nONQG1M4sSIHQg,Ambitiouz Entertainment,10,20.11.09,[none],377492,13779,126,684,https://i.ytimg.com/vi/CU--j8KvYXY/default.jpg,False,ZA
qJlMkMtK7-8,SZA - Hit Different (Official Video) ft. Ty Dolla $ign,2020-09-04T04:00:09Z,UCKzhoblE_rPZbHtQKPVUp2A,SZAVEVO,10,20.11.09,sza|ty dolla $ign|hit different|new sza|sxa 2020|sza is back|ctrl|rnb today|new rnb|rnb collabs|the neptunes|pharrell|chad hugo|iamother|broken clocks|supermodel|choreography|sza collabs|Hit Different|R&B|SZA feat. Ty Dolla $ign|Top Dawg Entertainment/RCA Records,7087664,376785,6079,23564,https://i.ytimg.com/vi/qJlMkMtK7-8/default.jpg,False,ZA
o82GnNOHyCI,GOLD DIGGER PRANK PART 64 | GONE HOME,2020-09-04T16:00:23Z,UCNZJLuWl52LczNQmPhMUAfg,JOEL Tv,24,20.11.09,GOLD DIGGER PRANK PART 60 | GONE HOME|gold digger|gold diggers|digger|joeltv|gold digger joel tv|joel tv gold digger|hoomantv and joel tv gold digger prank|nate got keys and joeltv gold digger prank|money hungry|tktv|joel tv gold digger prank|golddigger|nategotkeys|GOLD DIGGER PRANK PART 60 | GONE HOME JOEL TV|gone home|GOLD DIGGER PRANKS JOEL TV|GOLD DIGGER PRANK JOEL TV|GOLD DIGGER PRANK PART 64 | GONE HOME|gold digger prank|gold digger pranks|EXPOSED|pranks,1302905,28388,1258,3283,https://i.ytimg.com/vi/o82GnNOHyCI/default.jpg,False,ZA
