video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,ratings_disabled,country
iab3tVa6EjY,아이스크림왕 만나서 네고해왔습니다 [네고왕] Ep.5,2020-09-11T09:30:02Z,UC0SoPwEH3idvemSDvKaYgGA,달라스튜디오,23,20.13.09,예능|달라스튜디오|DALLA|할인|광희|황광희|제아|제국의아이들|여름|빙수,3391721,97485,1153,13465,https://i.ytimg.com/vi/iab3tVa6EjY/default.jpg,False,KR
qB135yqEgOU,[선공개] 인성 문제 없는 이근대위의 특수 요원 훈련!(*유행어 자판기 주의*)ㅣ집사부일체(Master in the House)ㅣSBS ENTER.,2020-09-13T00:00:05Z,UCmjNKt6kITwaZTqvWuaSPLg,SBS Entertainment,24,20.13.09,sbs|20200913|이승기|양세형|신성록|차은우|김동현|집사부일체예고|집사부일체137예고|집사부일체미리보기,569921,7886,131,1662,https://i.ytimg.com/vi/qB135yqEgOU/default.jpg,False,KR
0hQFW_yFtRY,"드디어 공개된 손흥민 요리스 싸움 녹취록 영어, 충격적이네요..",2020-09-12T07:15:00Z,UCHpIHu4LzmNuD8bsE6mZLSA,영알남YAN,27,20.13.09,손흥민 다큐|손흥민 스페셜|손흥민 반응|손흥민 요리스|손흥민 수비|손흥민 경기후|손흥민 눈물|손흥민 난투극|손흥민 레전드|토트넘 다큐|토트넘 경기|토트넘 경기후|토트넘 공식|토트넘 다큐멘터리|토트넘 다큐 손흥민|토트넘 반응|축구 하이라이트|축구 다큐|축구 싸움|축구 레전드|축구 스페셜|축구 경기|프리미어리그 하이라이트|프리미어리그 토트넘|프리미어리그 경기|프리미어리그 뉴스|프리미어리그 다큐,1758217,18142,1555,5606,https://i.ytimg.com/vi/0hQFW_yFtRY/default.jpg,False,KR
PFojpAijb3k,[골라봐야지] 별♥하하 부부 등장! ＂어? 그럼 7년동안 3번 하신거네요?＂ 명사수 하하 루머의 진실♨ #1호가될순없어 #JTBC봐야지,2020-09-12T06:17:56Z,UCF3UEVPt5zZTlBVJwDG317g,JTBC Voyage,24,20.13.09,JTBC|JTBC voyage|jtbc봐야지|봐야지|이혼|결혼|부부|부부의 세계|개그맨 부부|개그맨 1호|박미선|장도연|팽현숙|최양락|김지혜|박준형|강재준|이은형|개그|gag|개그우먼|1호가 될 순 없어|number1|실제상황|리얼리티|reality|코미디언|개그판|리얼부부|이혼율|하하|별|haha|야만|드림이|쿤엔터테인먼트|사장님,976643,6677,361,735,https://i.ytimg.com/vi/PFojpAijb3k/default.jpg,False,KR
ROPepyznAuE,"세계 9위 부자까지 올랐던 대한민국 최고의 재벌, 아무도 못하면 현대가 한다! 현대家 스토리 / 14F",2020-09-13T07:00:04Z,UCLKuglhGlMmDteQKoniENIQ,14F 일사에프,25,20.13.09,14f|일사에프|현대자동차BTS|삼성크룹|현대카드|현대백화점|현대중공업|정몽구|정의선|이병철|소비더머니,497013,9459,171,1500,https://i.ytimg.com/vi/ROPepyznAuE/default.jpg,False,KR
-AazZTLQa3o,"[일본반응]방탄소년단(BTS), 일본방송 첫 Dynamite 무대! BTS 무대를 처음 접한 일본인들 반응 BTS 바로 뒤에 쟈니스 나오게 하지마",2020-09-12T21:40:51Z,UCNsf6ZhF7SE40mumCawVwWQ,염탐꾼,24,20.13.09,다이너마이트|Music Day,257607,3722,157,594,https://i.ytimg.com/vi/-AazZTLQa3o/default.jpg,False,KR
gcAIsQpzGIA,"가짜사나이, 에뛰드 드디어 성사?! 알바 취소로 장성규 집까지 찾아가 라운드걸 약속 받아낸 구독자 소통 특집 | 워크맨 ep.67",2020-09-11T09:00:24Z,UCwx6n_4OcLgzAGdty0RWCoA,워크맨-Workman,24,20.13.09,studiolululala|JTBC|스튜디오룰루랄라|룰루랄라|워크맨|직업리뷰|알바리뷰|알바썰|알바|직업|장성규|김민아|와썹맨|workman|job|wassupman|아르바이트|후기|알바후기|직업후기|소통|댓글읽기|가짜사나이|에뛰드|극한직업|이근|피지컬갤러리|리뷰,1520180,26790,442,7395,https://i.ytimg.com/vi/gcAIsQpzGIA/default.jpg,False,KR
a-5DdUXaxWY,"[현지반응] 손흥민 NO자막 토트넘 다큐, 왜 요리스 말만 번역해? (자막 차별 논란)",2020-09-12T08:57:03Z,UCmKTwXS5wC4Ww4X6PyXjMYg,서형욱의 뽈리TV,17,20.13.09,손흥민|요리스|토트넘 다큐|아마존|아마존 다큐|아마존 자막|아마존 번역|오리에|에버턴전,1143448,7063,319,2480,https://i.ytimg.com/vi/a-5DdUXaxWY/default.jpg,False,KR
aty6bAzcL4g,"(ENG)✨방송 최초✨ JYP 형과 부부동반 모임 썰, 남친짤 그리고 깡... 형 잠깐 내려봐🚘",2020-09-10T11:00:01Z,UCZf4ZESHAIuRtZ-eoMSL97A,시즌비시즌 Season B Season,24,20.13.09,시즌비시즌|시즌 비시즌|비 유튜브|비 채널|가수 비|김태희 비|김태희|jyp|박진영|비 박진영|비 jyp|rain jyp|박진영 남친짤|박진영 선미|박진영 we disco|박진영 when we disco|비 히든싱어|싹쓰리|싹스리|놀면뭐하니|스튜디오 룰루랄라|룰루랄라 비|비 깡|gang|차에 타봐|깡|깡 댓글|태양을 피하고 싶어서,3245328,68449,1109,6318,https://i.ytimg.com/vi/aty6bAzcL4g/default.jpg,False,KR
uyjcUBJ7MEA,[EN] 가짜사나이 이근대위 쇼터뷰 놀러왔어? 머리부터 발끝까지 이근 파헤치기 《제시의 쇼!터뷰》 EP.14 by 모비딕 Mobidic,2020-09-10T09:30:12Z,UCbCr1dWFedL5lMcRWthb_bA,모비딕 Mobidic,24,20.13.09,모비딕|SBS|mobidic|제시|JESSI|스브스|토크|토크쇼|프롤로그|제시의쇼터뷰|쇼터뷰|숏터뷰|양세형의숏터뷰|mc|엠씨|양세형|제시발쇼|제시쇼|래퍼|언프리티랩스타|언니쓰|쎈언니|제시카|호현주|맞지|피네이션|PNATION|PSY|후댓비|제시 런닝맨|제시 인생은즐거워|제시 유재석|제시 조정식|굿걸|엠넷 제시|디스전|여자래퍼|웹예능|악인전|제시 송가인|제시 김요한|식스센스|놀면뭐하니|제시 악인전|젝시믹스|인생은즐거워|이효리|제시 이효리|Jessi show|showterview|who dat b|힙합|교포|이근대위|피지컬갤러리|유튜버|헬스|운동|유연성테스트|PT|조정식|아나운서|유연성|푸시업|팔굽혀펴기|가짜사나이|진짜사나이|호신술|요리|로망|셰프|레시피|스테이크|이근|이상형|배수지|신세경|군인|군사학교|뉴욕|버지니아|군사대학교|이민|군대|장교|입대|조국|국군|구독자|선물|이벤트|집사부일체|두니아|이근대위 유행어|ken rhee|UDT|이던,2118485,0,0,11566,https://i.ytimg.com/vi/uyjcUBJ7MEA/default.jpg,True,KR
