video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"VERSteOyQH8","PROVANDO ROUPAS DA SHEIN! É igual da foto?","2020-09-17T15:13:30Z","UCoTM-vvs2hnv2mCvzNJ5uXA","Franciny Ehlke","22","20.18.09","FRANCINY EHLKE|FRANCINNY|FRANCINI|FRANCINE|ELKE|FRANCINNI|MAKEUP|BEAUTY","1140557","169733","1897","7336","https://i.ytimg.com/vi/VERSteOyQH8/default.jpg","False","False","➭ CLIQUE AQUI PARA SE INSCREVER https://www.youtube.com/user/franciny...  e ative as notificações para não perder nada!! ❤- ➭ Instagram @francinyehlke➭ Contato profissional contato@francinyehlke.com ➭  Para me mandar coisas: Caixa Postal: 38 cep 83702-970 ♥","PT10M47S"
"KbNL9ZyB49c","Take Over (ft. Jeremy McKinnon (A Day To Remember), MAX, Henry) | Worlds 2020 - League of Legends","2020-09-17T15:00:09Z","UC2t5bjwHdUX4vM2g8TRDq5g","League of Legends","20","20.18.09","Riot Games|Riot|League of Legends|League|LoL|MOBA|League Of Legends|worlds 2020|worlds 2020 league of legends|worlds 2020 song|worlds 2020 cheer|worlds 2020 theme|worlds 2020 lol|worlds 2020 league of legends song|take over|take over lol|take over league of legends|take over song|worlds 2020 song take over|henry league of legends|max league of legends|a day to remember league of legends|taking over|we're taking over|lol take over|Worlds music video","4163906","385823","8276","23595","https://i.ytimg.com/vi/KbNL9ZyB49c/default.jpg","False","False","For more information on Worlds 2020 visit http://www.lolesports.com.Listen now: https://ffm.to/leagueoflegends-takeoverSpotify: https://ffm.to/lol-takeover-spotifyApple Music: https://ffm.to/lol-takeover-applemusicYouTube Music: https://ffm.to/lol-takeover-youtubemusicDeezer: https://ffm.to/lol-takeover-deezerAmazon Music: https://ffm.to/lol-takeover-amazonmusicPRODUCTION CREDITSLeague of Legends - Take OverFeatured artists: Jeremy McKinnon (A Day To Remember), MAX, and HenryWritten by: Riot Music Team, Alex Seaver of Mako, and Cal ScrubyMandarin Chinese translation by: Henry and MarshallProduced by: Riot Music TeamMixed by: Riot Music TeamMastered by: Mike Bozzi at Bernie GrundmanVocals performed by: Jeremy McKinnon (A Day To Remember), MAX, and HenryVocal production by: Riot Music Team https://twitter.com/jeremymckinnon https://www.instagram.com/maxmusichttps://www.instagram.com/henryl89Music Video: Created in partnership with The Line Animationhttps://www.thelineanimation.com/-LYRICSWe at the top again, now what?Heavy lay the crown, butCount us Higher than the mountain And we be up here for the long runStrap in for a long oneWe got everybody on one Now you're coming at the king so you better not missAnd we only get strongerWith everything I carry up on my back, you should paint it up with a targetWhy would you dare me to do it again?Come get your spoiler up aheadWe're Taking Over, We're Taking OverLook at you come at my name, you 'oughta know by nowThat We're Taking Over, We're Taking OverMaybe you wonder what you're futures gonna be, butI got it all locked upTake a lap, nowDon't be mad, nowRun it back run it back run it back, nowI got bodies lining up, think you're dreaming of greatness?Send you back home, let you wake up 再以后，除了厮杀，这还有其他么？ (After all, what still exists except for fights)我左右，键盘噼啪着，时间滴答着     (Around me, the keyboard is clicking, the clock is ticking)还不够，你的固执，让我来守候 (Still not enough, let me protect your persistence)哪怕太迟，也不想以后(Do not worry about the future even if it’s too late)就在这时，放肆的打斗(Let out the fight, right at this moment)I got the heart of lionI know the higher you climbing, the harder you fallI’m at the top of the mountToo many bodies to count, I’ve been through it allI had to weather the storm to get to level I’m onThat’s how the legend was bornAll of my enemies already deadI’m bored, I’m ready for moreThey know I’m ready for warI told emWe're Taking Over, We're Taking OverLook at you come at my name, you 'oughta know by nowThat We're Taking Over, We're Taking OverMaybe you wonder what you're futures gonna be, butI got it all locked up","PT3M46S"
"NTuA6f08LyQ","Armaria Mãe 17 (Cheia de manias)","2020-09-16T21:45:42Z","UCz2A8OXLR2xwYE63zWbu7IA","Wiris Viana","23","20.18.09","webséries|novelinha|videosengraçados|wirisviana|achatadaminhairmã|armariamãe","1796115","85945","3266","4192","https://i.ytimg.com/vi/NTuA6f08LyQ/default.jpg","False","False","✅NOSSO CLUBINHO https://www.youtube.com/channel/UCz2A8OXLR2xwYE63zWbu7IA/join✅ INSTAGRAMhttps://www.instagram.com/wirisvianao...✅ CONTATO E-MAILproducaowirisviana@gmail.com✅ FACEBOOKhttps://www.facebook.com/wirisvianaof...✅ TIK TOKhttps://vm.tiktok.com/3WcKD2/","PT9M55S"
"cDj6iMXeiM4","GOLAÇO DO MENINO! Melhores momentos de Bolívar 1 x 2 Palmeiras pela Libertadores","2020-09-17T11:19:40Z","UCw5-xj3AKqEizC7MvHaIPqA","FOX Sports Brasil","17","20.18.09","Palmeiras|Gabriel Menino|Libertadores|Willian|Rony|Luxa|Vanderlei Luxemburgo|OX|FOX Sports|FX|FOX Sports Brasil|Futebol|Soccer|Football|Brasil|BRA|Brazil|Copa do Brasil|Rodada|Gols da Rodada|Melhores Momentos|Esporte|FUT|FOX AO VIVO|Ao Vivo|Rádio|conmebol libertadores|golaço|Palmeiras ao vivo|Palmeiras hoje|Palmeiras Libertadores|Gols|Luxemburgo|Verdão|Bolívar 1 x 2 Palmeiras|Palmeiras FOX Sports|Classificação da Libertadores|Líderança|Líder|Lances de Palmeiras","347676","9543","336","801","https://i.ytimg.com/vi/cDj6iMXeiM4/default.jpg","False","False","Palmeiras vence na altitude de La Paz e se isola na liderança do Grupo B. Willian e Gabriel Menino marcaram os gols do time alviverde. Marcos Riquelme descontou para o time da casa.Quer saber tudo sobre o melhor do esporte? Acesse nossas redes!http://www.foxsports.com.brBaixe o APP!https://bit.ly/3dhfI3I➡ Facebook: http://facebook.com/foxsportsbrasil ➡ Twitter: http://twitter.com/foxsportsbrasil➡ Instagram: http://instagram.com/foxsportsbrasilTorcemos Juntos!#Palmeiras #Bolivar #Libertadores","PT4M42S"
"zbhhGUc-3o4","FREE FIRE AO VIVO - FINAL DIA 1 - LIGA NFA SEASON 4 - #NFAS4","2020-09-17T00:18:09Z","UCIVnGR9XPef8boJWJHfQAiA","NFA CHANNEL","20","20.18.09","liga nfa|nfa|liga|free fire|garena|lbff|copa ff|liga brasileira|pro player|campeonato|torneio|ss|bdl|b4|los grandes|lgd|loud|loudgg|laude|pain|faz o p|god|god esports|deuses|kof|anarchysons|intz|fsk|forsaken|samuca|ale|el|gato|piu|piuzinho|thurzin|maellen|booyah|voltan|codiguin|cerol|bak|coreano|jordan|racha|price|elton|eltin|huntergod|wins|hudson|nobru|tv|ygorx|dantes|since|sharin|will|bradook|kronos|ggeasy|babi|coringa|victor|levelup|buxexa|crusherfooxi|esports|blak|blakn444","1216751","162915","1065","1242","https://i.ytimg.com/vi/zbhhGUc-3o4/default.jpg","False","False","Chegamos na reta final da Season 4 da Liga NFA! Qual dos 12 times finalistas será o mais alto do pódio?Lembrando que o último dia da GRANDE FINAL será no domingo, dia 04/10 às 19:00 horas!Lives todas as segundas, quartas e sextas às 20h! Já se inscreve no canal e liga as notificações, porque a Liga NFA está pegando fogo!Sigam a NFA nas redes sociais!Booyah: https://booyah.onelink.me/QhNz/NFAInstagram: @liga.nfaTwitter: @liganfaYouTube: NFA CHANNELSigam o instagram de nossos casters!Samuca: @jogasamucaAle Maze: @ale.mazeNanda: @nandabellissimoCabelo: @cabelogamer","PT1H26M55S"
"d0Us0dXedTk","Singer Anitta Teaches You Brazilian-Portuguese Slang | Vanity Fair","2020-09-17T16:01:02Z","UCIsbLox_y9dCIMLd8tdC6qg","Vanity Fair","24","20.18.09","anitta|slang|brazil slang|brazilian slang|slang school|teaches you slang|brazilian portuguese|brazilian portuguese slang|brazilian-portuguese slang|anitta brazilian portuguese slang|brazilian portuguese slang with anitta|singer anitta|anitta vanity fair|anitta brazilian-portuguese|anitta brazilian-portuguese slang|brazilian portuguese slang school|brazilian slang anitta|anitta teaches you slang|anitta teaches slang|slang school vanity fair|vanity fair","112207","14920","473","1546","https://i.ytimg.com/vi/d0Us0dXedTk/default.jpg","False","False","Singer Anitta schools us in Brazilian-Portuguese slang. From beleza to eita, watch Anitta lacrar in this episode of Slang School.“Me Gusta” ft. Cardi B & Mike Towers is out Friday, September 18, pre-save here: https://anitta.lnk.to/megustapresaveStill haven’t subscribed to Vanity Fair on YouTube? ►► http://bit.ly/2z6Ya9MABOUT VANITY FAIRArts and entertainment, business and media, politics, and world affairs—Vanity Fair’s features and exclusive videos capture the people, places, and ideas that define modern culture. Singer Anitta Teaches You Brazilian-Portuguese Slang | Vanity Fair","PT5M1S"
"MH_vjfNPv70","BTS Performs Dynamite on AGT - America's Got Talent 2020","2020-09-17T00:48:16Z","UCT2X19JJaJGUN7mrYuImANQ","America's Got Talent","24","20.18.09","TV Series|Hilarious Music Songs|Highlights|America's Got Talent|AGT|America's Got Talent 2020|AGT 15|America's Got Talent Season 15|New AGT|Funny Videos|Live Shows|Full Performance|AGT Full|AGT Live Shows|Highlights Previews|funny|clips|talent|talent show|방탄소년단|BTS|Dynamite|Dynamite MV|BTS Dynamite AGT|Dynamite AGT|BTS AGT|Kpop|Korean|Korean Pop|Jimin|J-Hope|Namjoon|Jungkook|Jin|Suga|Taehyung|Hoseok|RM|Hobi|Kpop Music Video|Music Video|BTS on AGT","7743272","1234012","12982","74012","https://i.ytimg.com/vi/MH_vjfNPv70/default.jpg","False","False","BTS (방탄소년단) is BACK! BTS returns with an incredible performance of Dynamite on America's Got Talent!» Get The America's Got Talent App: http://bit.ly/AGTAppDownload» Subscribe for More: http://bit.ly/AGTSub» Watch America's Got Talent Tuesdays & Wednesdays 8/7c on NBC!» Stream on Peacock: https://bit.ly/AGTPeacockAMERICA'S GOT TALENT ON SOCIALLike AGT: https://www.facebook.com/agtFollow AGT: https://twitter.com/agtAGT Instagram: http://instagram.com/agtFind America's Got Talent trailers, full episode highlights, previews, promos, clips, and digital exclusives here. #BTS #BTSonAGT #AGTNBC ON SOCIAL:YouTube: http://www.youtube.com/nbcTwitter: http://Twitter.com/NBCFacebook: http://Facebook.com/NBCInstagram: http://instagram.com/nbcABOUT AMERICA'S GOT TALENTAmerica’s Got Talent, NBC’s No. 1 summer show, returns in May with fresh new faces and familiar favorites, along with the excitement, thrills and feel-good performances that viewers have come to love each season. Creator and Executive Producer Simon Cowell is back at the star-studded judges' table with fan-favorite comedian Howie Mandel. Acclaimed actress and international superstar Sofia Vergara joins as a new judge this season alongside returning judge and global fashion icon Heidi Klum.  The dynamic Terry Crews returns as host. With the show open to acts of all ages, America's Got Talent continues to celebrate the variety format like no other show on television. Year after year, America's Got Talent features an impressive array of singers, dancers, comedians, contortionists, impressionists, magicians, ventriloquists and hopeful stars, all vying to win America's hearts and a $1 million prize.America's Got Talent is available now on Peacock, the new streaming service from NBCUniversal. Watch thousands of hours of hit movies and shows, plus daily news, sports, and pop culture updates. Stream now on Peacock.BTS Performs Dynamite on AGT - America's Got Talent 2020https://youtu.be/MH_vjfNPv70America's Got Talenthttp://www.youtube.com/user/americasgottalent#AGT #AmericasGotTalent","PT3M26S"
"t-PTYqsRmCg","BASTIDORES de CORINTHIANS 3x2 BAHIA - Brasileiro 2020","2020-09-17T16:00:11Z","UCqRraVICLr0asn90cAvkIZQ","Corinthians TV","17","20.18.09","Corinthians|TV|Timão|Vai Corinthians|Corinthians ao vivo|gol do corinthians|corinthians campeão mundial|corinthians bimundial|coringão|torcida do corinthians|bando de loucos|arena corinthians","240266","23925","125","1515","https://i.ytimg.com/vi/t-PTYqsRmCg/default.jpg","False","False","O Corinthians venceu o Bahia por 3 a 2, pela 11ª rodada do Campeonato Brasileiro. Veja os gols, entrevistas exclusivas e detalhes de tudo o que rolou na Neo Química Arena em mais uma vitória do Timão.Já se inscreveu na Corinthians TV? Então inscreva-se e confira tudo que acontece no dia a dia do Timão: bit.ly/CorinthiansTVSiga o Timão nas redes!Instagram: https://www.instagram.com/corinthians/Twitter: https://twitter.com/corinthiansTIkTok: https://www.tiktok.com/@corinthiansFacebook: facebook.com/corinthiansExperimente 1 mês grátis do banco de trilhas Epidemic Sound: http://share.epidemicsound.com/CorinthiansTV","PT16M19S"
"uLOGgRAaFVY","FIZ MINHA PRIMEIRA TATUAGEM! *vlog*","2020-09-16T22:00:09Z","UChWHTbtPhSWm4IOYI0lZvoA","Doarda","24","20.18.09","doarda|tatuagem em menor de idade|tatuagem no braço|tattoo|minhas tatuagens|primeira tatuagem","538721","111074","802","3319","https://i.ytimg.com/vi/uLOGgRAaFVY/default.jpg","False","False","não assistiu até o final= fraco, não aguentou.▷ REDES SOCIAISinstagram → @doardatwitter →  @doardatikok → @doarda  página do facebook → https://www.facebook.com/Doarda-111555110555364▷ UNIFORME DOS DELÍCIAShttps://www.lolja.com.br/parceiros/doarda/▷ CAIXA POSTAL:Número: 08CEP: 89990-000São Lourenço do Oeste - SC▷ PROPOSTAS COMERCIAIS contato@doarda.com.brque fofo vc lê a descrição","PT10M45S"
"ZzMSeXorCNQ","MC Paulin da Capital e MC Ryan SP - Os Mandrake Curti a Vida (Áudio Oficial) DJ Pedro","2020-09-16T21:00:11Z","UCHD-HavJ83eIGODju2KSfFw","MC Paulin Da Capital","10","20.18.09","mc paulin da capital|mc|paulin|vt ta na bota|fuga de moto|previas foda|funk|lançamento|kondzilla|gr6|fugas|motos","534104","52072","316","1004","https://i.ytimg.com/vi/ZzMSeXorCNQ/default.jpg","False","False","Canal Oficial #MCPaulinDaCapital► Inscreva - Se e Fique Atualizado► Ative o 🔔 Das Notificações Para não perder nenhum vídeoArtista : MC PAULIN DA CAPITALNome da música : Os Mandrake Curti a VidaProdutor: DJ PedroAno: 2020Instagram 💻 @MCPaulindacapitalSpotify 📲  https://open.spotify.com/artist/592JnViQ2tot63c1SbtgK2🎤 Contato Shows: (11) 98336-9988 LOVE FUNK 🥇 (falar com Morais)#funk # #MCPaulindaCapitalFaça seu Clipe/Produção com a Love FunkWhatsapp Biel : (11) 94904-4907 @Madrugalovefunk Este videofonograma é um produto original e próprio da Gravadora e Editora. A cópia dele ou o reenvio do mesmo resultará em grandes implicações ao seu canal do youtube ou até a exclusão do mesmo.","PT4M16S"
