video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"m-aVQ6GBWTc","On a reçu ça et ça fait un peu flipper","2020-09-16T15:50:13Z","UCFtaxL-IZiZHJqzxvv1LmZQ","Des Cuts & Des Zooms","23","20.18.09","[none]","868070","106426","827","3010","https://i.ytimg.com/vi/m-aVQ6GBWTc/default.jpg","False","False","20% de réduction sur TOUT LE SITE pendant 48H avec le code RHINOZOOM : http://bit.ly/RhinoZoomPuis la réduction passe à 10%.Montage : Tom","PT19M15S"
"DO6T0YEiODg","Conférence PS5 : jeux surprises, prix et date de sortie France 🇫🇷 PlayStation 5","2020-09-16T21:04:34Z","UCRXcryyD7dzNQzd0Zkbj3ug","Julien Chièze","20","20.18.09","ps5|playstation 5|sony|conférence|keynote|annonce|trailer|bande annonce|gameplay|spiderman miles morales|spider man miles morales|gran turismo 7|gt 7|gta 6 ps5|call of duty black ops cold war|jeux vidéo|gaming|jim ryan|mark cerny|ps1|ps2|ps3|ps now|interface|ps5 digital edition|julien chieze|carole quintaine|caroju|direct|live|demon's souls|returnal|ratchet and clank rift apart|ray tracing|next gen|console|prix ps5|date ps5|price ps5","417405","14307","732","927","https://i.ytimg.com/vi/DO6T0YEiODg/default.jpg","False","False","Ce mercredi 16 septembre au soir, nous vous donnons RDV en CaroJu pour suivre en direct la conférence PS5 avec les annonces (date / prix ? ) et jeux PlayStation 5 dévoilés... ABONNE-TOI ► https://bit.ly/2Kw62Vg (↓ déroule la description ↓ )#PS5 #PlayStation5 #ConférenceDEVIENS MEMBRE INSIDER (et bénéficie de vidéos en avant-premières et autres avantages) ► https://bit.ly/2ODQuEj Mon uTip pour m'aider sans débourser un seul centime, juste un peu de ton temps ► https://www.utip.io/JulienChieze---=== RETROUVE-MOI SUR MES RÉSEAUX SOCIAUX ===---TWITTER ► https://twitter.com/JulienChiezeINSTAGRAM ► https://www.instagram.com/JulienChiezeFACEBOOK  ► https://www.facebook.com/JulienChieze ---=== RÈGLES DES COMMENTAIRES ===---(à respecter sous peine de voir son message supprimé, voire son compte banni par la modération)❌Pas d'insultes, propos insidieux ou dénigrants❌Pas de liens, ni de pubs (les modos ne pouvant pas les vérifier à chaque fois, ils seront tous supprimés)❌Pas de spams, ni de propos répétés en boucle, quelle qu'en soit la teneur ---=== MES MACHINES DE JEU ===---PS4 Pro ► https://amzn.to/2AzXmKyXbox One X  ► https://amzn.to/2AzXuK2Nintendo Switch  ► https://amzn.to/2RFvo9MPC Nvidia RTX 2080 ti ► https://amzn.to/36YGE6FPlayStation VR ► https://amzn.to/2At1n3pHTC Vive ► https://amzn.to/2AwGS5SOculus Rift  ► https://amzn.to/2C6zu16 ---=== MON MATOS ===---Fond Vert Rétractable ► https://amzn.to/2LWgxpOStream Deck ► https://amzn.to/2QaUhqWGame Capture HD60S+ ► https://amzn.to/31cEDknUn grand merci pour ton soutien !Et vive notre passion du jeu vidéo :)","PT56M25S"
"JCDRAGIIU5E","PS5 : mon COUP DE GUEULE 👎 Pourquoi on nous prévient que maintenant ?! (Cross Gen, jeux à 80€...)","2020-09-17T05:00:16Z","UCRXcryyD7dzNQzd0Zkbj3ug","Julien Chièze","20","20.18.09","ps5|playstation 5|trailer|bande annonce|xbox series x|next gen|julien chieze|gaming|infos|avis|reaction|spider man miles morales|horizon forbidden west|sackboy big adventure|cross gen|sony|jim ryan|prix|packaging PS5","266003","18386","1356","5532","https://i.ytimg.com/vi/JCDRAGIIU5E/default.jpg","False","False","Après la conférence PS5, Sony a discrètement indiqué certaines informations qui risquent de surprendre de nombreux joueurs... tant ils vont à l'encontre de ce que Sony nous avait dit depuis le début. Explications ! ABONNE-TOI ► https://bit.ly/2Kw62Vg (↓ déroule la description ↓ )#PS5 #CrossGen #SpidermanDEVIENS MEMBRE INSIDER (et bénéficie de vidéos en avant-premières et autres avantages) ► https://bit.ly/2ODQuEj Mon uTip pour m'aider sans débourser un seul centime, juste un peu de ton temps ► https://www.utip.io/JulienChieze---=== RETROUVE-MOI SUR MES RÉSEAUX SOCIAUX ===---TWITTER ► https://twitter.com/JulienChiezeINSTAGRAM ► https://www.instagram.com/JulienChiezeFACEBOOK  ► https://www.facebook.com/JulienChieze ---=== RÈGLES DES COMMENTAIRES ===---(à respecter sous peine de voir son message supprimé, voire son compte banni par la modération)❌Pas d'insultes, propos insidieux ou dénigrants❌Pas de liens (les modos ne pouvant pas les vérifier à chaque fois, ils seront tous supprimés)❌Pas de spams, pas de pubs, ni de propos répétés en boucle, quelle qu'en soit la teneur❌100% des opé rémunérés sont indiquées. Si rien n'est mentionné dans la vidéo, c'est qu'il ne s'agit pas d'une opé. Les messages prétendant l'inverse seront modérés. ---=== MES MACHINES DE JEU ===---PS4 Pro ► https://amzn.to/2AzXmKyXbox One X  ► https://amzn.to/2AzXuK2Nintendo Switch  ► https://amzn.to/2RFvo9MPC Nvidia RTX 2080 ti ► https://amzn.to/36YGE6FPlayStation VR ► https://amzn.to/2At1n3pHTC Vive ► https://amzn.to/2AwGS5SOculus Rift  ► https://amzn.to/2C6zu16 ---=== MON MATOS ===---Fond Vert Rétractable ► https://amzn.to/2LWgxpOStream Deck ► https://amzn.to/2QaUhqWGame Capture HD60S+ ► https://amzn.to/31cEDknUn grand merci pour ton soutien !Et vive notre passion du jeu vidéo :)","PT13M37S"
"kPf2qLPUaCE","Qui fait la meilleure Pizza ? : Pizza challenge","2020-09-16T15:02:12Z","UCuKa7_pustUzOj3IBcgYNPg","Benjamin Verrecchia","23","20.18.09","benjamin|verrecchia","824959","59785","456","1527","https://i.ytimg.com/vi/kPf2qLPUaCE/default.jpg","False","False","Abonnez-vous pour d'autres vidéos de ce type et lâchez un pouce bleu ça fait toujours plaisir. Suivez-moi sur : Instagram : https://www.instagram.com/benjaminverrecchiaTwitter : https://twitter.com/bverrecchiaInstagram de Pizzou : https://www.instagram.com/pizzou_pizzou/Chaine de Pierre : https://www.youtube.com/user/pierrecroceChaine de Fred : https://www.youtube.com/user/fredvanlongMontage : Agathe Margossian, Joffrey RousseauChargés de production : Auriane Vanesse","PT19M53S"
"35cH1hxjITk","iOS 14 :  40 nouveautés d'iOS 14 pour iPhone","2020-09-16T15:30:10Z","UC1ndVn8sa4oTbW09P5ICOog","Amazing Mac TV","28","20.18.09","iOS 14|iOS 14 fr|iOS 14 français|iOS 14 francais|iOS 14 nouveautés|iOS 14 nouveauté|iOS 14 quelles sont les nouveautés|nouveautés iOS 14|iOS|14|iphone|apple|iPadOS 14|ipad|iPhone 12|iOS 14 iphone|iOS 14 news features|iOS 14 fonctionnalités|iOS 14 apple|iPhone iOS 14|nouveauté iOS 14|les nouveautés iOS 14","157423","4022","101","861","https://i.ytimg.com/vi/35cH1hxjITk/default.jpg","False","False","iOS 14 est disponible pour tous le 16 septembre 2020 à 19h.Voici en une dizaine de minutes les 40 nouveautés indispensables à votre iPhone.","PT11M42S"
"K1C7iiP5YhQ","À jamais dans mon cœur..💔🕊","2020-09-16T16:05:11Z","UCUb9zE3HrajGV7S8x995E6w","Pembe Cherole","22","20.18.09","pembe cherole|pembe cherole nicole|nicole|nicoletheatv|nicole thea|boga|nicole mort|rip","318679","37445","259","1910","https://i.ytimg.com/vi/K1C7iiP5YhQ/default.jpg","False","False","La vidéo la plus difficile à tourner et monter ..💔🕊😔","PT21M29S"
"9sjEo4G-sAE","LE BLOC - À LA MAISON (Episode 1)","2020-09-15T17:00:10Z","UCdHnhKSsy1yGGZz4DSkOrJQ","Hassan","23","20.18.09","[none]","1206994","98225","1357","5558","https://i.ytimg.com/vi/9sjEo4G-sAE/default.jpg","False","False","Abonne toi ! https://www.youtube.com/channel/UCdHnhKSsy1yGGZz4DSkOrJQ/?sub_confirmation=1Acteurs (Instagram) :https://www.instagram.com/mister_officiel/ (Hassan)https://www.instagram.com/obyoneofficiel/ (Oby One)https://www.instagram.com/taj_abz/ (Taj)https://www.instagram.com/adm_abz/ (Adam)https://instagram.com/nim.o___?igshid=12mon0glt107t (Nimo)https://instagram.com/mnlazup?igshid=85vmbpev1qzc (Marvin)https://instagram.com/dany_mahdii?igshid=1b3ew04nl4zry (Dany)https://instagram.com/ibtiisvm?igshid=hij0gahrm1uu (Ibtisam)https://www.instagram.com/youss.officiel/ (Youss)https://www.instagram.com/bkz_up/ (BKZ)Ecriture : Hassan & Camille JaCo-Réalisateurs : - https://www.instagram.com/camilleja/ (Camille Ja)- https://www.instagram.com/wacho_officiel/ (Wacho)2ème cam : https://www.instagram.com/rimaofficiell/ (Amir) Montage : Nuit Blanche Production https://www.instagram.com/nuitblancheproduction/Ingénieur son : Elodie TheveninGénérique : https://www.instagram.com/obyoneofficiel/Miniature : https://www.instagram.com/chronopxl/ (Chronopixel)","PT16M42S"
"qV_QmOqvc-Y","Koffi Lossa - Adrénaline 4 ft. Yaya Krisso","2020-09-16T16:00:01Z","UC_f3kjhq7qPX8Li-8uI4v8Q","Neeno","10","20.18.09","osiris|neeno|zola|traction|malakoff|mala|luky75|lucas|mbombo|floro|spike|chivas|gang|power|3gc|la|grand|borne|clip|music|video|gh4","375013","24351","279","988","https://i.ytimg.com/vi/qV_QmOqvc-Y/default.jpg","False","False","DISPONIBLE SUR LES PLATEFORMES DE STREAMING : https://koffilossa.lnk.to/Adrenaline4IARéalisation : NeenoArtiste : Koffi Lossa / Yaya KrissoProd : Davy One© 2020 Yaya Krisso Records-------------------------------------------Retrouve l'artiste ici : -Insta : https://instagram.com/koffilossaRetrouve moi sur :-Facebook : https://www.facebook.com/Neeno-249631...-Snap : luky75-Twitter :@_imneeno-Insta : @imneeno","PT3M4S"
"8IHwNrnfI_U","HARRY POTTER L’Héritage de Poudlard Bande Annonce VF (2021)","2020-09-16T21:30:50Z","UC_i8X3p8oZNaik8X513Zn1Q","FilmsActu","1","20.18.09","cinema|filmsactu|Bande Annonce|Film|2020|HARRY POTTER L’Héritage de Poudlard|HARRY POTTER L’Héritage de Poudlard Bande Annonce VF|PS5|2021|jeu","338619","12804","266","894","https://i.ytimg.com/vi/8IHwNrnfI_U/default.jpg","False","False","✩ Les Films à VOIR ?  Ils sont ICI ► https://www.youtube.com/playlist?list=PL843D2ED8D80FA673HARRY POTTER L’Héritage de Poudlard Bande Annonce VF (2021)© 2020 - Warner Bros","PT2M51S"
"pXM_GrUylug","J'AI VLOGUÉ MA JOURNÉE ( et gab a les symptômes du covid 🤡 )","2020-09-16T13:33:25Z","UCLPSWyuMGlNMM1RK_2EFuIA","Juste Zoé","24","20.18.09","divertissement|ennuie|humour|beauté|ados|justezoe|justezoé|justzoe|mode|challenge|tag|vlog|famille|manon tondut|zoe Tondut","188846","16404","160","473","https://i.ytimg.com/vi/pXM_GrUylug/default.jpg","False","False","🧚‍♀️✨🍋 Hey, vu que vous kiffez les vlog hop voila c'est cadeau !Mon agenda : https://bit.ly/2B4wtRYMon magazine N°2 : https://bit.ly/2MSjSDZMon magazine N°1 : https://bit.ly/2XYwxfe Mon livre : https://bit.ly/2YtT5n7J'espère que la vidéo vous a plu, j'ai trop kiffé vous faire partager ma journée ! 🍒☀️Mes réseaux : Insta : @justezoe https://bit.ly/3ff83UCTwitter :  @justezoe_ytb https://bit.ly/3e1Ec1NTiktok : @justezoe https://bit.ly/2AwICzdSNAPCHAT :  zoetondut21 buttons : @justezoeytb https://bit.ly/2XYMD8DPour toute demande de collaboration me contacter ici justezoe.pro@gmail.com ( je répond seulement aux mails professionnels  ) 💻☎️Ce que je porte 🌺🌾:Sweat gris : Nike storeRobe rose : Ancienne co Zara  Des questions qu'on me pose souvent 😈👿 :J'ai 19 ans ( 09:03:01 )  Je fais des vidéos depuis mes 13 ansJe filme avec un Canon G7X Je monte mes videos avec FINAL CUT PRO sur MacJe fais mes miniatures sur Picmonkey❤️❤️❤️","PT19M28S"
