video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"MH_vjfNPv70","BTS Performs Dynamite on AGT - America's Got Talent 2020","2020-09-17T00:48:16Z","UCT2X19JJaJGUN7mrYuImANQ","America's Got Talent","24","20.18.09","TV Series|Hilarious Music Songs|Highlights|America's Got Talent|AGT|America's Got Talent 2020|AGT 15|America's Got Talent Season 15|New AGT|Funny Videos|Live Shows|Full Performance|AGT Full|AGT Live Shows|Highlights Previews|funny|clips|talent|talent show|방탄소년단|BTS|Dynamite|Dynamite MV|BTS Dynamite AGT|Dynamite AGT|BTS AGT|Kpop|Korean|Korean Pop|Jimin|J-Hope|Namjoon|Jungkook|Jin|Suga|Taehyung|Hoseok|RM|Hobi|Kpop Music Video|Music Video|BTS on AGT","7754071","1234085","12984","74025","https://i.ytimg.com/vi/MH_vjfNPv70/default.jpg","False","False","BTS (방탄소년단) is BACK! BTS returns with an incredible performance of Dynamite on America's Got Talent!» Get The America's Got Talent App: http://bit.ly/AGTAppDownload» Subscribe for More: http://bit.ly/AGTSub» Watch America's Got Talent Tuesdays & Wednesdays 8/7c on NBC!» Stream on Peacock: https://bit.ly/AGTPeacockAMERICA'S GOT TALENT ON SOCIALLike AGT: https://www.facebook.com/agtFollow AGT: https://twitter.com/agtAGT Instagram: http://instagram.com/agtFind America's Got Talent trailers, full episode highlights, previews, promos, clips, and digital exclusives here. #BTS #BTSonAGT #AGTNBC ON SOCIAL:YouTube: http://www.youtube.com/nbcTwitter: http://Twitter.com/NBCFacebook: http://Facebook.com/NBCInstagram: http://instagram.com/nbcABOUT AMERICA'S GOT TALENTAmerica’s Got Talent, NBC’s No. 1 summer show, returns in May with fresh new faces and familiar favorites, along with the excitement, thrills and feel-good performances that viewers have come to love each season. Creator and Executive Producer Simon Cowell is back at the star-studded judges' table with fan-favorite comedian Howie Mandel. Acclaimed actress and international superstar Sofia Vergara joins as a new judge this season alongside returning judge and global fashion icon Heidi Klum.  The dynamic Terry Crews returns as host. With the show open to acts of all ages, America's Got Talent continues to celebrate the variety format like no other show on television. Year after year, America's Got Talent features an impressive array of singers, dancers, comedians, contortionists, impressionists, magicians, ventriloquists and hopeful stars, all vying to win America's hearts and a $1 million prize.America's Got Talent is available now on Peacock, the new streaming service from NBCUniversal. Watch thousands of hours of hit movies and shows, plus daily news, sports, and pop culture updates. Stream now on Peacock.BTS Performs Dynamite on AGT - America's Got Talent 2020https://youtu.be/MH_vjfNPv70America's Got Talenthttp://www.youtube.com/user/americasgottalent#AGT #AmericasGotTalent","PT3M26S"
"iFkWUJJ-arg","진짜 보다보면 국뽕 차서 미치는 레전드 외국 예능ㅋㅋㅋ","2020-09-16T07:00:04Z","UCpr2S3SBmyjvrx9Q4pLUZHw","movie trip 무비트립","1","20.18.09","무비트립|국뽕|국뽕 예능|국뽕 차는 영상|필이 좋은 여행|레전드 외국 예능","1544650","22181","1204","4106","https://i.ytimg.com/vi/iFkWUJJ-arg/default.jpg","False","False","다큐 : 필이 좋은 여행 시즌 3#국뽕 #한국 #외국예능안녕하십니까무비트립입니다!!무비트립 페이스북!- https://www.facebook.com/movietripyoutube/?fref=ts무비트립 이메일- movietripyoutube@naver.com","PT10M38S"
"wOiNRq0a92s","(EN/JP/CN) 저희는 이렇게 10년을 해먹었습니다","2020-09-17T11:00:27Z","UCZf4ZESHAIuRtZ-eoMSL97A","시즌비시즌 Season B Season","24","20.18.09","시즌비시즌|seasonbseason|비|가수비|rain|박진영|jyp|비 박진영|박진영 비|비시즌|비시즌 박진영|차에타봐|rain jyp|비 유튜브|비 엔딩송|시즌비시즌 엔딩송|박진영 작곡|박진영 프로듀싱|jyp 사옥|박진영 유기농|구독이 내려와|팔로워가 따라와|깡|gang|김태희|비 김태희|시즌비시즌 김태희|비 박진영 2탄|비 박진영 2회","718059","34502","263","5644","https://i.ytimg.com/vi/wOiNRq0a92s/default.jpg","False","False","#비시즌_JYP편_2탄 #구독이내려와 #엔딩맛집(구독)☔이 노래에 구독은 못참지!☔(구독)그저 빛진영 당신은 도대체...✨어이없게 좋은 쓸고퀄 엔딩송;; 엔딩송 만들어 달라고 했더니 빌보드급이 나오네 ㄷㄷ #시즌비시즌 #비시즌 #비 #비박진영 #박진영비 #박진영 #JYP #rainjyp #rain #가수비 #비김태희  #깡 #차에타봐 #2편 #2탄 #ep2","PT13M52S"
"MTO3lCmeoDM","[김어준의 뉴스공장 FULL/9월 18일] 추미애 장관 아들 논란 정치권 공방전...언제까지(?!)","2020-09-18T01:56:44Z","UC5HSw5OY2vfVFSihpiB-AVQ","TBS 시민의방송","25","20.18.09","TBS|TBSTV|김어준|뉴스공장|이재용|삼성|미국|흑인|시위|국회|코로나19|백신|한명숙|윤미향|구속|겸찰","278702","22723","263","349","https://i.ytimg.com/vi/MTO3lCmeoDM/default.jpg","False","False","-9월 18일 (금) 김어준의 뉴스공장-**공지**♨뉴스공장 4주년 기념 제1회 찐팬고사 개최♨ 과연 여러분의 뉴스공장에 대한 애정은 몇 점..?! 아래 링크를 통해 참여해주세요! https://forms.gle/LaiAbKt72r4XsaDn6(추첨을 통해 공장장의 사인이 담긴 작은 선물도 드립니다..!!)**공지**김어준 생각 中 'Congratulations'는 영상 관련 음원 저작권 문제로 업로드 되지 않습니다. 양해 부탁드리며 무삭제 버젼은 코너 영상을 통해 확인하실 수 있습니다. - https://youtu.be/eZ6y9qQTdrE (18일 김어준 생각 무삭제 ver.)◎ 1부[이 정도는 알아야 할 아침 뉴스]- 류밀희 기자 (TBS)[인터뷰 제1공장] -릴레이 전화연결포항시, 오늘부터 ‘마스크 의무착용’ 행정명령.. “모든 대면 상황에서 의무화 실시”- 장강윤 사회재난팀장 (포항시)한 달 만에 찾아낸 '광주 3차 유행'의 기점 유흥업소 집단감염도 사랑제일교회서 전파         - 박향 건강복지국장 (광주시)◎ 2부[인터뷰 제2공장]트럼프-김정은 친서 공개 ‘격노’ 후폭풍.. 북미 관계 영향은- 김준형 원장 (국립외교원)◎ 3부[해뜰날클럽]'추 장관 아들' 둘러싼 정치권 공방 관전평- 김한규 (더불어민주당)- 천하람 (국민의힘)- 박창진 (정의당)- 김윤 (국민의당)- 김성회 (열린민주당)◎ 4부[금요음악회]'트레봉봉' 디워예 디솅가 & “밥 먹어”- 성기완 (기타)  - 아미두 디아바테 (퍼커션)- 김도연 (보컬)  - 김하늘 (드럼)- 최윤희 (키보드) - 김정욱 (베이스, 세션) ----------------------------------------------▶TBS 유튜브 구독 http://j.mp/MyLoveTBS▶TBS 페이스북 https://facebook.com/mylovetbs▶TBS 카카오스토리 https://story.kakao.com/ch/seoultbs▶TBS 인스타그램 https://instagram.com/seoultbstv▶TBS 트위터 https://twitter.com/seoultbstv▶TBS 홈페이지 http://tbs.seoul.kr/▶TBS 유튜브 커뮤니티 http://bit.ly/2EaWnQp","PT3H43M16S"
"DL1hDFm3Ihg","[#하이라이트#] 주류회사 팀장님의 멘트 클라쓰ㅋㅋ 일반인 레전드 유꽃비 자기님 모음ZIP #유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.72","2020-09-16T14:25:22Z","UC920m3pMPH45qztdhppZhwA","유 퀴즈 온 더 튜브","24","20.18.09","tvN|유퀴즈온더블럭|유퀴즈|유재석|조세호|직장인공감|회사원|미생|신입사원|대리|팀장|부장|대표|직급|은행원|시재|신입사원실수|퇴사욕구|회식|워킹맘|영업수완|연봉|영업왕|정몽구회장|자동차영업|삼진어묵|가업","1267509","15892","265","1731","https://i.ytimg.com/vi/DL1hDFm3Ihg/default.jpg","False","False","#유퀴즈온더블럭매주 수요일 저녁 8시 50분 tvN#유퀴즈온더블럭 #유퀴즈 #유재석 #조세호 #미생------------------------------------------------------------------ ▶[유 퀴즈 온 더 블럭] 최신 클립 다시보기 : http://www.tving.com/smr/vod/player/P/C01_B120180515?from=youtube------------------------------------------------------------------","PT11M22S"
"hYg_W9Q3iL8","가현이랑 연애에서 결혼까지 썰풀기","2020-09-17T09:00:10Z","UC9nFMAQcn0bqIrEV9vUdU1g","사나이 김기훈","23","20.18.09","레전드|김기훈|아프리카tv|아프리카김기훈|킹기훈|끼후이|사나이김기훈|버억|기훈|기훈가현|가현|퀸가현","1077851","17843","246","1123","https://i.ytimg.com/vi/hYg_W9Q3iL8/default.jpg","False","False","구독과 좋아요 알림설정 부탁드립니다 :)광고문의 : 771tube@naver.com수정/건의사항 : a55555bb@naver.com킹기훈 아프리카 TV : https://bit.ly/34DZ3mG킹기훈 페이스북: https://bit.ly/32s8a8x킹기훈 인스타: https://bit.ly/2Q0oaMs","PT7M4S"
"KbNL9ZyB49c","Take Over (ft. Jeremy McKinnon (A Day To Remember), MAX, Henry) | Worlds 2020 - League of Legends","2020-09-17T15:00:09Z","UC2t5bjwHdUX4vM2g8TRDq5g","League of Legends","20","20.18.09","Riot Games|Riot|League of Legends|League|LoL|MOBA|League Of Legends|worlds 2020|worlds 2020 league of legends|worlds 2020 song|worlds 2020 cheer|worlds 2020 theme|worlds 2020 lol|worlds 2020 league of legends song|take over|take over lol|take over league of legends|take over song|worlds 2020 song take over|henry league of legends|max league of legends|a day to remember league of legends|taking over|we're taking over|lol take over|Worlds music video","4170145","385855","8276","23598","https://i.ytimg.com/vi/KbNL9ZyB49c/default.jpg","False","False","For more information on Worlds 2020 visit http://www.lolesports.com.Listen now: https://ffm.to/leagueoflegends-takeoverSpotify: https://ffm.to/lol-takeover-spotifyApple Music: https://ffm.to/lol-takeover-applemusicYouTube Music: https://ffm.to/lol-takeover-youtubemusicDeezer: https://ffm.to/lol-takeover-deezerAmazon Music: https://ffm.to/lol-takeover-amazonmusicPRODUCTION CREDITSLeague of Legends - Take OverFeatured artists: Jeremy McKinnon (A Day To Remember), MAX, and HenryWritten by: Riot Music Team, Alex Seaver of Mako, and Cal ScrubyMandarin Chinese translation by: Henry and MarshallProduced by: Riot Music TeamMixed by: Riot Music TeamMastered by: Mike Bozzi at Bernie GrundmanVocals performed by: Jeremy McKinnon (A Day To Remember), MAX, and HenryVocal production by: Riot Music Team https://twitter.com/jeremymckinnon https://www.instagram.com/maxmusichttps://www.instagram.com/henryl89Music Video: Created in partnership with The Line Animationhttps://www.thelineanimation.com/-LYRICSWe at the top again, now what?Heavy lay the crown, butCount us Higher than the mountain And we be up here for the long runStrap in for a long oneWe got everybody on one Now you're coming at the king so you better not missAnd we only get strongerWith everything I carry up on my back, you should paint it up with a targetWhy would you dare me to do it again?Come get your spoiler up aheadWe're Taking Over, We're Taking OverLook at you come at my name, you 'oughta know by nowThat We're Taking Over, We're Taking OverMaybe you wonder what you're futures gonna be, butI got it all locked upTake a lap, nowDon't be mad, nowRun it back run it back run it back, nowI got bodies lining up, think you're dreaming of greatness?Send you back home, let you wake up 再以后，除了厮杀，这还有其他么？ (After all, what still exists except for fights)我左右，键盘噼啪着，时间滴答着     (Around me, the keyboard is clicking, the clock is ticking)还不够，你的固执，让我来守候 (Still not enough, let me protect your persistence)哪怕太迟，也不想以后(Do not worry about the future even if it’s too late)就在这时，放肆的打斗(Let out the fight, right at this moment)I got the heart of lionI know the higher you climbing, the harder you fallI’m at the top of the mountToo many bodies to count, I’ve been through it allI had to weather the storm to get to level I’m onThat’s how the legend was bornAll of my enemies already deadI’m bored, I’m ready for moreThey know I’m ready for warI told emWe're Taking Over, We're Taking OverLook at you come at my name, you 'oughta know by nowThat We're Taking Over, We're Taking OverMaybe you wonder what you're futures gonna be, butI got it all locked up","PT3M46S"
"INniRakDoQ4","라면의 신세계를 알아버린 꾹이 먹방모음.ZIP[예능맛ZIP/미운우리새끼]","2020-09-17T09:00:03Z","UCy-swBYpRZx7KW11FStjTgw","레알예능 스브스","24","20.18.09","미운우리새끼|미우새|김종국|미우새김종국|홍경민|차태현|홍라원|라원이|미우새 홍라원|미운우리새끼 김종국|김종국 애교|꾹이|KIM JONG KOOK|My Little Old Boy|라면먹방|마라라면|간장게장라면","205260","1598","96","305","https://i.ytimg.com/vi/INniRakDoQ4/default.jpg","False","False","아는 맛이 무섭다더니..꾹이 라면 먹방모음.ZIP#미운우리새끼 #MyLittleOldBoy #예능맛ZIP","PT16M11S"
"O8bkmJLWEOY","[김어준의 뉴스공장 FULL/9월 17일] 국방부에 전화 청탁?! “모든 상담은 녹음됩니다”","2020-09-17T01:47:14Z","UC5HSw5OY2vfVFSihpiB-AVQ","TBS 시민의방송","25","20.18.09","TBS|김어준|뉴스공장|김어준의뉴스공장|더불어민주당|원내대표|민주당|미래통합당|국회|코로나19|이재용|대국민사과|긴급재난지원금|고용보험","398773","27326","696","877","https://i.ytimg.com/vi/O8bkmJLWEOY/default.jpg","False","False","**공지**♨뉴스공장 4주년 기념 제1회 찐팬고사 개최♨ 과연 여러분의 뉴스공장에 대한 애정은 몇 점..?! 아래 링크를 통해 참여해주세요! https://forms.gle/LaiAbKt72r4XsaDn6(추첨을 통해 공장장의 사인이 담긴 작은 선물도 드립니다..!!)9월 17일 (목) 김어준의 뉴스공장◎ 1부[이 정도는 알아야 할 아침 뉴스]- 류밀희 기자 (TBS)[그것마저 알려주마]‘음주운전 방조한 동승자 처벌 강화’에 대한 국민 여론은?- 김주영 이사 (리얼미터)◎ 2부[잠깐만 인터뷰] -전화연결  개천절 집회 안 갑니다전세버스연합, '임대‧운행 거부' 결의- 이병철 회장 (전국전세버스운송사업조합연합회)[인터뷰 제1공장] -전화연결추 장관 아들, 휴가 특혜? 추가제보  복귀 없이 전화로 휴가 연장, 3천여 건 넘어- 군 관계자 (익명)[인터뷰 제2공장]나라 살림 '법'으로 강제해야 한다? '재정준칙 도입’ 팩트체크  - 최배근 교수 (건국대 경제학과)◎ 3부[인터뷰 제3공장]대정부질문 나흘째..계속되는 '추 장관 아들' 공방 - 우상호 의원 (더불어민주당)- 홍문표 의원 (국민의힘)[인터뷰 제4공장] -전화연결이스라엘, 세계 첫 '2차 봉쇄'종교인 마을 중심으로 코로나19 확산- 김정석 씨 (이스라엘 교민)◎ 4부[문화공장]드라마 '사랑의 불시착'부터 BTS까지.. '4차 한류의 시대'- 김영대 음악평론가---------------------------------------------▶TBS 유튜브 구독 http://j.mp/MyLoveTBS▶TBS 페이스북 https://facebook.com/mylovetbs▶TBS 카카오스토리 https://story.kakao.com/ch/seoultbs▶TBS 인스타그램 https://instagram.com/seoultbstv▶TBS 트위터 https://twitter.com/seoultbstv▶TBS 홈페이지 http://tbs.seoul.kr/▶TBS 유튜브 커뮤니티 http://bit.ly/2EaWnQp","PT1H22M39S"
"39sGfPRjbOY","저희 유튜브 계속 할 수 있을까요...? 영국의 황당한 정책들...?!","2020-09-16T11:30:38Z","UCg-p3lQIqmhh7gHpyaOmOiQ","영국남자 Korean Englishman","23","20.18.09","Korean|영국남자|영국|조쉬|올리|Josh|Ollie|KoreanEnglish|English|Man|englishman|food|음식|외국인|반응|영상|웃긴|남자|외국|도전|매운|조니|조엘|댄|단|신부님|크리스|올리아빠|해물|치킨|삼겹살|korean|BBQ|fried|chicken|라면|불닭볶음면|미친남자","1871591","76238","1889","7537","https://i.ytimg.com/vi/39sGfPRjbOY/default.jpg","False","False","지난 7년동안 저희는 한국 음식과 문화를 소개하는 영상을 만들어왔어요. 여러분 덕분에 정말 멋진 기회들을 만나고 또 팀을 꾸려 야심찬 시리즈들과 대형 프로젝트들도 진행할 수 있었어요!그렇지만 올해의 대부분을 저희는 중요한 팀원들과 만날 수 없는채로 떨어져서 일하며 한국에도 갈 수 없었어요. 올해 계획 되어있던 모든 컨텐츠 계획이 계속 취소되거나 연기되면서 저희는 너무 많은 제약 속에서 계속 처음부터 다시 시작하는 느낌이 들기도 했습니다.물론 여러분과 함께하는 이 채널을 만들어 간다는 사실이 너무나도 감사해요. 하지만 저희가 꽤나 지쳐있다는 것에 많은 분들이 공감해주실 수 있을 것 같아요.그래서 요즘 저희의 상황을 간단히 공유해드리는 영상을 만들어봤답니다! 여러분 모두 사랑하고, 저희와 계속 함께해주셔서 정말 감사해요. 저희 절대 포기하지 않고, 앞으로도 열심히 즐거운 영상 만들겠습니다! For the last 7 years we’ve been making YouTube videos introducing Korean food and culture and thanks to you all we’ve been given some amazing opportunities and have built a team together to enable us to create some ambitious series and big projects! But for the majority of this year we’ve been separated from key parts of that team, working remotely, and unable to go to Korea. All of our content plans for this year were cancelled or postponed at various stages and in many ways it’s felt like we’ve had to start from scratch with huge restrictions. We’re still so thankful to have this channel, with you our audience... but, as I’m sure many of you can relate to, we’re quite burnt out. And so this is a little update about where we’re at. We’ve talked a lot about what’s next for us. We’ve talked about stopping YouTube and what that would mean... it's hard to communicate the levels of those conversations, but this hasn't been an easy path. We’ve decided we’re not gonna quit, and there’s plenty more to come. We love you guys, and thanks for sticking with us!Huge thanks to everyone involved in the creation of this video:Written and Directed by Josh and OllieProducer/Editor: Grace ParkProducer/Editor/Translator: Hyemin LimEditor: Sejun LeeTranslator: Hannah Kang","PT8M55S"
