video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"GKnQGP67Xd0","Odín | Destripando la Historia","2020-09-16T16:00:11Z","UCxIBZ-nQhgZES3UaTm8eDPA","Pascu y Rodri","10","20.18.09","odin|destripando la historia|pascu y rodri|thor|loki|dios nordico|dios|dlh|padre de todos|padre de thor|mitologia nordica|metal|heavy metal|ragnarok|cancion|humor|parodia","3331597","467078","4964","29141","https://i.ytimg.com/vi/GKnQGP67Xd0/default.jpg","False","False","¿A qué esperáis para conocer más sobre este dios nórdico? ¡Descubre algunas de las aventuras del padre de Thor, y de todos, en un nuevo Destripando la Historia!¡Suscríbete a nuestro canal!http://bit.ly/pascuyrodri¡Escucha esta y otras canciones en SPOTIFY!https://spoti.fi/2SY6zni¡Consigue nuestras camisetas, chapas y láminas!https://www.destripandolahistoria.es*Solo con envío a España peninsular.¡También tenéis parte de nuestro merchandising en Teespring!(Con envíos internacionales)https://www.teespring.com/stores/destripandolahistoria¡Puedes seguir a Destripando la Historia en Facebook, Instagram y Twitter! Publicamos contenido extra como dibujos, vídeos cantando en directo o tonterías absurdas, ya nos conocéis...http://www.instagram.com/destripandolahistoriahttp://www.facebook.com/destripandolahistoriahttps://twitter.com/pascuyrodri¡Recordad que podéis seguirnos también en nuestras redes sociales personales!http://www.instagram.com/rodrigoseptienmusichttps://www.instagram.com/alv_pascu/https://twitter.com/var_Starkhttps://twitter.com/RodrigoSeptien","PT3M3S"
"GM6yx_q602E","EL ÚLTIMO EN BAJAR DE LA CAMA GANA $5000 RulerPonch","2020-09-17T00:50:10Z","UCRoCxgCQQ6my5v-6wSH-g-A","Xime Ponch","22","20.18.09","ximeponch|xime ponch|Ximena ponce|Ximena ponch|ximetiktok|Tiktoker|reina de tiktok|Youtuber mexicana|maquillaje|vlogs|retos|diversión|los rules|rulerponch|Los Rulés","439400","29158","957","1389","https://i.ytimg.com/vi/GM6yx_q602E/default.jpg","False","False","Hola Ponchers!! Espero les guste el videoNo olviden comentar dejar su like y compartir!!#Rulerponch#ximeponch SUSCRÍBETE: http://goo.gl/TQAMdwSígueme en INSTAGRAM: http://goo.gl/XmlQ0sFACEBOOK: http://goo.gl/iIdFThTIKTOK: https://vm.tiktok.com/731buD/LASSO: https://lassovideos.com/video/1343371152530606?sharer_id=116788036364579TWITTER: https://twitter.com/ximeponchofEMAIL PARA NEGOCIOS: xime@ponchtalent.com (este mail no lo veo yo)","PT18M1S"
"KbNL9ZyB49c","Take Over (ft. Jeremy McKinnon (A Day To Remember), MAX, Henry) | Worlds 2020 - League of Legends","2020-09-17T15:00:09Z","UC2t5bjwHdUX4vM2g8TRDq5g","League of Legends","20","20.18.09","Riot Games|Riot|League of Legends|League|LoL|MOBA|League Of Legends|worlds 2020|worlds 2020 league of legends|worlds 2020 song|worlds 2020 cheer|worlds 2020 theme|worlds 2020 lol|worlds 2020 league of legends song|take over|take over lol|take over league of legends|take over song|worlds 2020 song take over|henry league of legends|max league of legends|a day to remember league of legends|taking over|we're taking over|lol take over|Worlds music video","4162171","385817","8276","23594","https://i.ytimg.com/vi/KbNL9ZyB49c/default.jpg","False","False","For more information on Worlds 2020 visit http://www.lolesports.com.Listen now: https://ffm.to/leagueoflegends-takeoverSpotify: https://ffm.to/lol-takeover-spotifyApple Music: https://ffm.to/lol-takeover-applemusicYouTube Music: https://ffm.to/lol-takeover-youtubemusicDeezer: https://ffm.to/lol-takeover-deezerAmazon Music: https://ffm.to/lol-takeover-amazonmusicPRODUCTION CREDITSLeague of Legends - Take OverFeatured artists: Jeremy McKinnon (A Day To Remember), MAX, and HenryWritten by: Riot Music Team, Alex Seaver of Mako, and Cal ScrubyMandarin Chinese translation by: Henry and MarshallProduced by: Riot Music TeamMixed by: Riot Music TeamMastered by: Mike Bozzi at Bernie GrundmanVocals performed by: Jeremy McKinnon (A Day To Remember), MAX, and HenryVocal production by: Riot Music Team https://twitter.com/jeremymckinnon https://www.instagram.com/maxmusichttps://www.instagram.com/henryl89Music Video: Created in partnership with The Line Animationhttps://www.thelineanimation.com/-LYRICSWe at the top again, now what?Heavy lay the crown, butCount us Higher than the mountain And we be up here for the long runStrap in for a long oneWe got everybody on one Now you're coming at the king so you better not missAnd we only get strongerWith everything I carry up on my back, you should paint it up with a targetWhy would you dare me to do it again?Come get your spoiler up aheadWe're Taking Over, We're Taking OverLook at you come at my name, you 'oughta know by nowThat We're Taking Over, We're Taking OverMaybe you wonder what you're futures gonna be, butI got it all locked upTake a lap, nowDon't be mad, nowRun it back run it back run it back, nowI got bodies lining up, think you're dreaming of greatness?Send you back home, let you wake up 再以后，除了厮杀，这还有其他么？ (After all, what still exists except for fights)我左右，键盘噼啪着，时间滴答着     (Around me, the keyboard is clicking, the clock is ticking)还不够，你的固执，让我来守候 (Still not enough, let me protect your persistence)哪怕太迟，也不想以后(Do not worry about the future even if it’s too late)就在这时，放肆的打斗(Let out the fight, right at this moment)I got the heart of lionI know the higher you climbing, the harder you fallI’m at the top of the mountToo many bodies to count, I’ve been through it allI had to weather the storm to get to level I’m onThat’s how the legend was bornAll of my enemies already deadI’m bored, I’m ready for moreThey know I’m ready for warI told emWe're Taking Over, We're Taking OverLook at you come at my name, you 'oughta know by nowThat We're Taking Over, We're Taking OverMaybe you wonder what you're futures gonna be, butI got it all locked up","PT3M46S"
"9QeSI76NNFY","En vivo: Desfile militar 2020 por el 210 aniversario de la independencia de México","2020-09-16T18:16:06Z","UCUsm-fannqOY02PNN67C0KA","Noticieros Televisa","25","20.18.09","Aniversario 210 de la Independencia|Desfile Militar|Desfile del 16 de Septiembre|Desfile 16 de Septiembre de 2020|Desfile Militar 2020|Desfile Militar 2020 México|16 de septiembre México|Desfile Militar 16 de septiembre 2020|Desfile Militar 2020 Hora|Zócalo de la CDMX|Día de la Idependencia de México|Habrá Desfile Militar|Fuerzas Armadas de México|AMLO|Jefe Supremo de las Fuerzas Armadas|Marina|Sedena|Desfile Militar en el Zócalo de la CDMX 2020|Andrés Manuel|GN","656970","7648","860","491","https://i.ytimg.com/vi/9QeSI76NNFY/default.jpg","False","False","El Presidente Andrés Manuel López Obrador encabeza la ceremonia de desfile y entrega de reconocimientos hoy 16 de septiembre de 2020 Suscríbete aquí: http://bit.ly/2aXfDaySíguenos también en:Facebook: http://bit.ly/2faLJ2ATwitter: http://bit.ly/2fyP1cYInstagram: http://bit.ly/2fUXzPRFlipboard: https://flipboard.com/@TelevisaNews","PT2H2M47S"
"MH_vjfNPv70","BTS Performs Dynamite on AGT - America's Got Talent 2020","2020-09-17T00:48:16Z","UCT2X19JJaJGUN7mrYuImANQ","America's Got Talent","24","20.18.09","TV Series|Hilarious Music Songs|Highlights|America's Got Talent|AGT|America's Got Talent 2020|AGT 15|America's Got Talent Season 15|New AGT|Funny Videos|Live Shows|Full Performance|AGT Full|AGT Live Shows|Highlights Previews|funny|clips|talent|talent show|방탄소년단|BTS|Dynamite|Dynamite MV|BTS Dynamite AGT|Dynamite AGT|BTS AGT|Kpop|Korean|Korean Pop|Jimin|J-Hope|Namjoon|Jungkook|Jin|Suga|Taehyung|Hoseok|RM|Hobi|Kpop Music Video|Music Video|BTS on AGT","7743272","1234003","12982","74019","https://i.ytimg.com/vi/MH_vjfNPv70/default.jpg","False","False","BTS (방탄소년단) is BACK! BTS returns with an incredible performance of Dynamite on America's Got Talent!» Get The America's Got Talent App: http://bit.ly/AGTAppDownload» Subscribe for More: http://bit.ly/AGTSub» Watch America's Got Talent Tuesdays & Wednesdays 8/7c on NBC!» Stream on Peacock: https://bit.ly/AGTPeacockAMERICA'S GOT TALENT ON SOCIALLike AGT: https://www.facebook.com/agtFollow AGT: https://twitter.com/agtAGT Instagram: http://instagram.com/agtFind America's Got Talent trailers, full episode highlights, previews, promos, clips, and digital exclusives here. #BTS #BTSonAGT #AGTNBC ON SOCIAL:YouTube: http://www.youtube.com/nbcTwitter: http://Twitter.com/NBCFacebook: http://Facebook.com/NBCInstagram: http://instagram.com/nbcABOUT AMERICA'S GOT TALENTAmerica’s Got Talent, NBC’s No. 1 summer show, returns in May with fresh new faces and familiar favorites, along with the excitement, thrills and feel-good performances that viewers have come to love each season. Creator and Executive Producer Simon Cowell is back at the star-studded judges' table with fan-favorite comedian Howie Mandel. Acclaimed actress and international superstar Sofia Vergara joins as a new judge this season alongside returning judge and global fashion icon Heidi Klum.  The dynamic Terry Crews returns as host. With the show open to acts of all ages, America's Got Talent continues to celebrate the variety format like no other show on television. Year after year, America's Got Talent features an impressive array of singers, dancers, comedians, contortionists, impressionists, magicians, ventriloquists and hopeful stars, all vying to win America's hearts and a $1 million prize.America's Got Talent is available now on Peacock, the new streaming service from NBCUniversal. Watch thousands of hours of hit movies and shows, plus daily news, sports, and pop culture updates. Stream now on Peacock.BTS Performs Dynamite on AGT - America's Got Talent 2020https://youtu.be/MH_vjfNPv70America's Got Talenthttp://www.youtube.com/user/americasgottalent#AGT #AmericasGotTalent","PT3M26S"
"s21mqG-LwZY","¡200 SUSCRIPTORES vs 1 BLOQUE en MINECRAFT! 😱 ACENIX en MINECRAFT","2020-09-16T19:34:21Z","UCH3h4jRKn3lJo0uORqqESPg","Acenix","20","20.18.09","Minecraft|Acenix|200 suscriptores|mikecrack|minecraft|un bloque|500 fans|200 suscriptores vs 1 bloque|200 fans|200 subs vs 1 bloque|200 SUSCRIPTORES vs UN BLOQUE en MINECRAFT|acenix minecraft|minecraft un bloque|un bloque minecraft|skyblock en un bloque|skyblock|minecraft pero empiezo con un bloque|los compas|1 bloque|eltrollino|trollino","1411141","140963","3252","4062","https://i.ytimg.com/vi/s21mqG-LwZY/default.jpg","False","False","En el vídeo de hoy 200 suscriptores y fans del severisimo acenix se enfrentaran a un reto de skyblock en un bloque ¿Conseguirán crear una civilización y sobrevivir en 1 bloque?💖 Nuevo en el canal? Activa la campanita 🔔: https://bit.ly/2U2dltQ🐱 Hazte miembro del canal: https://www.youtube.com/channel/UCH3h4jRKn3lJo0uORqqESPg/join👾 Discord: https://discord.gg/KEVY9Kh🔻 Redes Sociales: 🎶 TikTok: https://www.tiktok.com/@acenixoficial🐦 Twitter: https://twitter.com/AcenixYT📷 Instagram: https://www.instagram.com/acenixyt/📱 Discord: https://discord.gg/KEVY9Kh💼 Negocios: acenix@ritualnetwork.es🔻 Amigos:👉 Acenix: https://www.youtube.com/channel/UCH3h4jRKn3lJo0uORqqESPg👉 elmayo97: https://www.youtube.com/user/elmayo97🔻Música:● Music from Epidemic Sounds http://www.epidemicsound.com/● Bensound: https://www.bensound.com/royalty-free...● Kevin MacLeod (incompetech.com) Licensed under Creative Commons: By Attribution 3.0","PT12M56S"
"_se9_baKKX0","Thor + Loki + Odín | Destripando la Historia","2020-09-17T13:00:06Z","UCP89BiwCzT0lWI49j0c6-fw","Rascu y Podri","24","20.18.09","thor|loki|odin|destripando la historia|mitologia|dibujos animados|dlh|pascu y rodri|metal|heavy metal|punk|ragnarok","202921","27746","152","1332","https://i.ytimg.com/vi/_se9_baKKX0/default.jpg","False","False","¡Ya podéis escuchar juntas las canciones de vuestros 3 dioses nórdicos favoritos!Visita nuestro canal principal: https://www.youtube.com/rodrigoseptienprod¡Escucha esta y otras canciones en SPOTIFY!https://spoti.fi/2SY6zni¡Consigue nuestras camisetas, chapas y láminas!https://www.destripandolahistoria.es*Solo con envío a España peninsular.¡También tenéis parte de nuestro merchandising en Teespring!(Con envíos internacionales)https://www.teespring.com/stores/destripandolahistoria¡Puedes seguir a Destripando la Historia en Facebook, Instagram y Twitter! Publicamos contenido extra como dibujos, vídeos cantando en directo o tonterías absurdas, ya nos conocéis...http://www.instagram.com/destripandolahistoriahttp://www.facebook.com/destripandolahistoriahttps://twitter.com/pascuyrodri¡Hola a todos!¡La cuarentena no ha podido con nosotros y aquí tenéis un nuevo vídeo! Esperamos que estéis todos bien y que lo disfrutéis. Si habéis leído hasta aquí, como venganza porque Pascu ha metido una foto mía al principio del vídeo, os pido que pongáis en los comentarios: “Pascu, baja la tapa del váter”.Rodri¡Recordad que podéis seguirnos también en nuestras redes sociales personales!http://www.instagram.com/rodrigoseptienmusichttps://www.instagram.com/alv_pascu/https://twitter.com/var_Starkhttps://twitter.com/RodrigoSeptien","PT9M1S"
"kteUY2Wc1Dc","LA SANTA GRIFA FT. SANTA FE KLAN // DE MEXICO SONG // VIDEO OFICIAL","2020-09-15T22:01:41Z","UCOHiOs8GrK0Nz8p_fbNnADQ","La Santa Grifa Official","10","20.18.09","tren lokote|la santa grifa|santa fe klan|santa rm|angel quezada|jauria santa|cartel de santa|ckan|gera mx|aleman|pinche mara|remik gonzalez|thug pol|under side 821|dharius|adan zapata|maniako|toser one|iluminatik|sid msc|bear busby productions","1422713","134331","1696","5318","https://i.ytimg.com/vi/kteUY2Wc1Dc/default.jpg","False","False","SPOTIFYhttps://spoti.fi/2HQQPhdMERCH https://teespring.com/stores/lasantagrifaBEAT MAKER: Prod Robsen Making Tracks https://www.instagram.com/robsenmakingtracksINSTAGRAM: https://www.instagram.com/la_santa_grifa_officcial/https://www.instagram.com/elreghosg/https://www.instagram.com/el_yusak_sg/https://www.instagram.com/bearbusby/","PT3M41S"
"4gnT6-Cg1aU","Grupo Firme & El Mimoso - Típico Clasico - Yo Sé Que Te Acordarás","2020-09-16T16:06:56Z","UCFlC8U0Uif2hF0FIgsSIIYQ","Grupo Firme","10","20.18.09","Grupo|Firme","371918","15967","205","583","https://i.ytimg.com/vi/4gnT6-Cg1aU/default.jpg","False","False","Music video by Grupo Firme performing - Titulo De La Cancion-. © 2020 Isael Gutierrez & Evert Gutierrez , Exclusive License To Music Vip Entertainment .Suscribete Aqui https://bit.ly/333fXenTema: Típico Clasico Autor: Miguel Beas Flores / Oracio OrtizTema:Yo Sé Que Te AcordarásAutor:Javier Manríquez Mendoza  Director: Isael Gutierrez & Evert Gutierrez Duración: 8:08Disquera: Music VIP Entertainment  ℗ 2020Género: Regional Mexicano Editora: Music VIP Entertainment ℗ 2020Director De Fotografia : Mane BorjaIngeniero Audio: Baldemar ,Ricardo Provided to YouTube by  Music VIP Entertainment Inc. ℗ 2020Released on: 2020-07-24 Auto-generated by YouTube.  @Grupo Firme","PT8M9S"
"L9oDlZ4-dSs","Verbena popular virtual. 210 Aniversario del Grito de Independencia","2020-09-16T04:38:46Z","UCxEgOKuI-n-WOJaNcisHvSg","Andrés Manuel López Obrador","25","20.18.09","AMLO|Martes 15 de septiembre 2020|AMLO informe hoy|Andrés Manuel López Obrador|amlo en vivo|López Obrador|AMLO canal|Andrés Manuel canal|AMLO canal oficial|210 aniversario|grito de independencia|verbena popular virtual|festival cultural|Zócal ciudad de México|Zócalo|grito de independencia 2020|grito de independencia 2020 en vivo|grito AMLO en vivo","1733486","94105","2195","4863","https://i.ytimg.com/vi/L9oDlZ4-dSs/default.jpg","False","False","Verbena popular virtual. 210 Aniversario del Grito de Independencia. Martes 15 de septiembre 2020. Presidente AMLO. Conmemoramos el 210 Aniversario del Grito de Independencia con el reconocimiento a las y los héroes de la patria y una especial dedicatoria a la esperanza en el porvenir. Guardamos un minuto de silencio en honor a las víctimas de la epidemia del COVID-19. Este homenaje estuvo acompañado del encendido de la Llama de la Esperanza en el Zócalo de la Ciudad de México, la cual hace referencia a nuestro pueblo que se mantiene en pie ante la crisis sanitaria mundial causada por el virus SARS-CoV-2.Mantenemos nuestra fe en la fraternidad universal, la soberanía, la igualdad, la democracia, la justicia, la libertad, la grandeza cultural de México, su heroico pueblo y las comunidades indígenas.Más información: https://bit.ly/33yFZHv Sigue las actividades del presidente de México: Sitio web:http://presidente.gob.mxYouTube:https://www.youtube.com/lopezobradorFacebook:https://facebook.com/lopezobrador.org.mxTwitter:https://twitter.com/lopezobrador_Instagram:https://www.instagram.com/lopezobrador/Telegram: https://t.me/PresidenteAMLOSpotify:https://spoti.fi/2C7jUmx","PT2H51M12S"
