video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"ORpxwVgtElk","HammAli & Navai x Братья Пономаренко | ЧТО БЫЛО ДАЛЬШЕ?","2020-09-17T07:00:17Z","UCNqktdxgAADBj36dC7VGOgg","LABELCOM","23","20.18.09","Labelcom|что было дальше|чбд|лэйблком|чтобылодальше|нурлан сабуров|алексей щербаков|рустам рептилоид|тамби масаев|сергей детков|нурлан|щербаков|рептилоид|тамби|детков|лэйблком что было дальше|что было дальше новый сезон|чбд новый выпуск|хамали и наваи|братья пономаренко|hammali navai|hammali|navai|хамали|наваи|чбд новый сезон|чбд лучшее|Александр Пономаренко|Валерий Пономаренко|новый сезон что было дальше|шоу что было дальше|labelcom что было дальше","5333009","236335","14114","20602","https://i.ytimg.com/vi/ORpxwVgtElk/default.jpg","False","False","Глубокое очищение и до 100% защиты от перхоти вместе с Head&Shoulders! https://clck.ru/QsmFGНа новых тарифах МегаФона мессенджеры работают даже при нуле. Оставайтесь на связи БезПереплат: https://bit.ly/2ZK1T9QМерч LABELCOM: http://mqpmerch.ru/labelcomПо вопросам рекламы и сотрудничества: labelcom@mediumquality.ru SVMOSCOW: https://instagram.com/svmoscowLABELCOM: https://instagram.com/labelcomediansLABELCOM.VIDEO: https://instagram.com/labelcom.videoHammAli: https://instagram.com/hammaliNavai: https://instagram.com/navaibБратья Пономаренко: https://vm.tiktok.com/ZSarVqhB/Нурлан Сабуров: https://instagram.com/nurlan__saburovТамби Масаев: https://instagram.com/tambi_masaevСергей Детков: https://instagram.com/sergii_detkovРустам Рептилоид: https://instagram.com/rustreptiloidАлексей Щербаков: https://instagram.com/shcherbakov_alexei#чтобылодальше #нурлансабуров #labelcom","PT1H16M51S"
"JTjTyU_DC4k","Даня Милохин & Николай Басков - Дико тусим (Премьера клипа / 2020)","2020-09-17T08:00:10Z","UCzKJ5CGa4PDB2UgUw0vKKYA","Dream Team House","24","20.18.09","[none]","2325156","283892","21219","10903","https://i.ytimg.com/vi/JTjTyU_DC4k/default.jpg","False","False","Залетаем в топ с укладкой от got2b: https://instagram.com/got2bСлушай трек на всех площадках: http://band.link/DikoTusimРазрывай тренды и показывай как ты дико тусишь под наш трек! Выкладывай свои видео и не забывай ставить хештег #дикотусим► Николай Басков:ТикТок: https://www.tiktok.com/@nbaskov?langИнстаграм: https://www.instagram.com/nikolaibaskov/► Даня МилохинЮтуб канал: https://www.youtube.com/channel/UC1EubwyksxHrpJZ9DvebeqQ?sub_confirmation=1ТикТок: https://www.instagram.com/DANYA_MILOKHINИнстаграм: https://www.tiktok.com/@DANYA_MILOKHIN?lang⭐️ Dream Team House - ДОМ, В КОТОРОМ ЖИВУТ ТИКТОКЕРЫ⭐️💎 Кого из ТикТокеров хотите видеть в следующих видео?⭐️ ТИК ТОК  https://vm.tiktok.com/7QaJPA/⭐️ ИНСТАГРАМ https://instagram.com/dream_team_house⭐️ Наш игровой канал для Стримов: https://www.youtube.com/channel/UCMpwYbwjCommulwGZgoVbuA⭐️ Наш Твич канал: https://twitch.tv/dream_team_gamesПо вопросам сотрудничества: reklama@dreamteamhouse.ru Пиар\СМИ: pr@dreamteamhouse.ruДаня Милохин & Николай Басков - Дико тусим (Премьера клипа / 2020)","PT2M42S"
"yCwAW2TZIk8","Алексей Жидковский — злой юмор, ориентация, семейная драма, смена пола","2020-09-17T08:50:13Z","UCFCKDylEz4F7yB50yYMye0g","Super","22","20.18.09","знаменитости|super.ru|алена блин|новости шоу бизнеса|ютуб шоу|ютуб шоу супер|интервью алена блин|ютуб|шоу алена блин|жидковский|алексей жидковский биография|алексей жидковский алена блин|жидковский алена блин|жидковский интервью|жидковский шоу|жидковский клип|родители жидковского|жидковский видео|блогер жидковский|жидковский ютуб|жидковский супер","389683","22178","1050","1925","https://i.ytimg.com/vi/yCwAW2TZIk8/default.jpg","False","False","В эксклюзивном интервью блогер Алексей Жидковский рассказал о своем нелегком детстве, проблемах с алкоголем, смене пола и ориентации. А также как его травили в школе, что он думает о гей-тусовках и как к этому относятся родители.INSTAGRAM АЛЕНЫ - https://www.instagram.com/alenablinINSTAGRAM АЛЕКСЕЯ - https://www.instagram.com/zhidkovskiy/SUPER ВК - https://vk.com/newsuperruSUPER INSTAGRAM - https://www.instagram.com/super.ru/SUPER ТЕЛЕГРАМ - https://t.me/SuperRuSUPER TWITTER - https://twitter.com/newsuperruНе забудьте поставить лайк и подписаться, чтобы не пропустить новые видео!","PT1H26M16S"
"NRPPOsxmfkU","⚡️ Срочно | Лукашенко закрыл границы | Бутылка для Навального? |  Соловьёв LIVE","2020-09-17T20:30:03Z","UCQ4YOFsXjG9eXWZ6uLj2t2A","Соловьёв LIVE","25","20.18.09","соловьев|навальный|алексей навальный|навальный в германии|владимир соловьев|соловьев live|soloviev live|вечер с владимиром соловьевым|вечер с соловьевым|александр лукашенко|лукашенко|митинг лукашенко|беларусь|белоруссия|протесты в белоруссии|трансляция|прямая трансляция|митинг|протесты|тихановская|протесты беларусь|светлана тихановская|навальный отравление|беларусь протесты|жириновский|ефремов|дело ефремова|адвокат пашаев|адвокат ефремова|эдуард петров","340437","21701","2720","1202","https://i.ytimg.com/vi/NRPPOsxmfkU/default.jpg","False","False","📺«Соловьёв LIVE» в эфире. Обсудим последние новости и не только в нашем стриме с экспертами.00:00 Европарламент потребовал начать международное расследование отравления Навального и ужесточить санкции против России4:26 ⚡️Лукашенко заявил о закрытии границ с Литвой и Польшей5:30 Сергей Карнаухов: В гостиничном номере Навального была ещё бутылка вина. Об этом почему то никто не говорит30:12 Мария Захарова - о ситуации с Навальным и резолюции Европарламента49:13 Лавров: То, что мы сейчас наблюдаем, это санкционный зуд. И он будет только нарастать57:27 Навальному могли ввести инсулин: Александр Сосновский об отравлении Навального1:23:20 Яков Кедми - о происхождении бутылки с Новичком📲Пишите в WhatsApp и Viber +7 922 800-00-65☎Звоните по телефону +7 495 149-39-39✉️Подписывайтесь на канал «СОЛОВЬЁВ» в Telegram - https://teleg.one/SolovievLive📺Подписывайтесь на YouTube-канал — http://soloviev.liveЧитай нас на Telegram: https://teleg.one/SolovievLiveЧитай нас в Twitter https://twitter.com/VRSolovievЧитай нас в Instagram https://www.instagram.com/vrsolovievЧитай нас в VK https://vk.com/solovievlive#соловьев #беларусь #ефремов","PT1H48M1S"
"jRX-3DMno9s","Мои детские травмы (Сборник)","2020-09-17T10:02:34Z","UC8oyGrNFM1tHLux1gyDw9zg","Найс","1","20.18.09","Найс|найс|Нисик|Добряк|Мирби|анимация|Анимация|anime|мульт|Педро|педро|другаленок|пропущенный|мать|мама|история|истори из жизни|жизньNice|nice|гараж|скутер","392500","81783","1302","3246","https://i.ytimg.com/vi/jRX-3DMno9s/default.jpg","False","False","Давайте все понастольгируем,вспомнив старые добрые ролики заодно и посмотрим изменение в качестве (Если оно конечно есть).Прошлый ролик на удивление вы очень тепло встретили,поэтому появилась мотивация делать больше видосов и не пропадать на месяца,за что вам большое спасибо)))Ищите меня тут : СТРИМЫ ТУТ  - https://www.twitch.tv/unoniceguy/ГРУППА ВК - https://vk.com/oneniceguyИНСТАГРАМ   - https://www.instagram.com/el.niceoneЯ В ВК - https://vk.com/hellsus#найс #анимация #игры","PT18M9S"
"ac9HalmMjq8","ГРОЗНАЯ ПИЛА САМУРАЯ ЗА 26000 Р","2020-09-17T09:18:27Z","UCXFxgPppcehs2LoiKhkakQg","SuperCrastan","28","20.18.09","обзор пилы катана бой|лучшая пила|что лучше|складная пила для похода|дерьмовые инструменты|складная пила|инструменты для выживания|выживание в лесу|бушкрафт|katanaboy|какая пила лучше|даня крастер|DIY|что будет если|обзор инструментов","608755","85086","4143","3377","https://i.ytimg.com/vi/ac9HalmMjq8/default.jpg","False","False","https://geekbrains.ru/link/tnQb6x - GeekBrains обучит Вас профессиям digital-маркетинга с нуля, а переход по моей ссылке подарит вам скидку 45% на обучение и доступ к закрытым мероприятиям.Здрасьте! Сегодня у нас рубрика Дерьмовые инструменты и обзор складной японской чудо-пилы Katanaboy. Поговорим о том, стоит-ли она своих денег, проверим как работает и удобно-ли её брать с собой в лес, или же, для похода подойдет более эргономичная складная пила. Cколько времени уйдет, чтобы распилить полено? Всё это вы узнаете посмотрев новый видос!Даня Крастер Instagram - https://www.instagram.com/danyakrasterBuild Not Bombs – это уникальный DIY-контент из России, где его создатель Даня Крастер совмещает познавательный контент с крутым шоу. Тут и эксперименты, и diy-гайды, реставрации и разрушения, физика и химия, интересные факты, обзоры на инструменты и мастер-классы от уважаемых ремесленников. Основной целью видео является популяризация культуры DIY и прививание людей к ручному труду. Сделай сам или умри! Даня Крастер делает весь DIY: https://is.gd/jRsiokДля дома и его обустройства: https://is.gd/7uB7SZЭксперименты: https://is.gd/Dsan1VПро алкоголь: https://is.gd/YL9XDWШтуки, которые стреляют: https://is.gd/yQdO2nИнструменты: https://is.gd/PBgPrJСамодельные музыкальные инструменты: https://is.gd/mrQ9AVТранспорт: https://is.gd/BWfpxD#данякрастер #обзоринструментов #своимируками #diy #сделайсам #россия #интересное #топ10 #эксперимент #лайфхаки #buildnotbombs #самоделки #история #интересные #факты","PT8M15S"
"1MPykfKKPn0","Я себя знаю! Дмитрий Губерниев x Азамат Мусагалиев","2020-09-17T10:35:14Z","UCLGnG6SffG60QKqw-PuCjng","Азамат Мусагалиев","22","20.18.09","азамат мусагалиев|азамат|мусагалиев|я себя знаю|азамат мусагалиев я себя знаю|я себя знаю губерниев|дмитрий губерниев|губерниев|губерниев я себя знаю|шоу|шоу я себя знаю|мусагалиев я себя знаю|мусагалиев азамат|азамат мусагалиев и губерниев|мусагалиев и губерниев|азамат мусагалиев и дмитрий губерниев|я себя знаю с губерниевым|тнт|азамат губерниев я себя знаю|губерниев матч тв|телеведущий губерниев","367962","17184","2672","2040","https://i.ytimg.com/vi/1MPykfKKPn0/default.jpg","False","False","Оформи подписку «Супер» в онлайн-кинотеатре МТС ТВ. Тысячи фильмов, сериалов и 100 ТВ каналов на любых устройствах всего за 99 руб.Успей подключить по выгодной цене ДО 30 СЕНТЯБРЯ!https://mtstv.onelink.me/artd/51dfae3fAviasales — поиск дешёвых авиабилетов https://i.avs.io/vgofhd«Я себя знаю!» — это псевдоинтеллектуальная псевдовикторина, в которой Азамат Мусагалиев попытается найти и задать селебам вопросы о них, на которые они не смогут ответить. Зачем? Да специально, чтобы за каждый неправильный ответ услышать от звезды отвратительный факт из её биографии.Гость: Дмитрий Губерниев! Дмитрий Губерниев: https://www.instagram.com/guberniev_dmitryАзамат Мусагалиев: https://instagram.com/azabraza1984По вопросам рекламы: musagaliev@mediumquality.ru#Губерниев #Мусагалиев #Азамат","PT57M14S"
"VlXJOsTpDDA","Ночь нокаутов. Вырубатя VS Таксист. Перс VS Белаз. Грачик VS Танос. Бодрый VS Тревор.","2020-09-17T08:30:17Z","UC1_FrNtrgzFPQVHuwAAR3xQ","Hardcore Fighting Championship","17","20.18.09","бои|кулачные бои|mma|мма|бокс|битва за хайп|topdog|топдог|top dog|топ дог|хардкор файтинг|hardcore fighting|bare knuckle|бэр накл|зелемхан пулеметчик|мамедов добряк|моряк курданов|единоборства|ufc|bellator|артем тарасов|корней тарасов|макс топор|дмитрий кудряшов|эдуард германский|fighting|boxing|fist fighting|регбист|ушу мастер|нокаут|никита крылов|бодимания|bodymania|truegym|труджим","1106810","54430","5970","10544","https://i.ytimg.com/vi/VlXJOsTpDDA/default.jpg","False","False","В этом этапе бойцы буквально зубами выгрызали себе проход в 1/8. Выпуск занял первое место по количеству тяжелейших травм в кулачных боях.Больше половины противостояний этой великой битвы «Восхождение» закончились нокаутами!Это вторая 1/16. Здесь каждый спортсмен кулачных боев готов сломать любого, чтобы забрать свой миллион и стать легендарным чемпионом первого сезона Hardcore Fighting Championship. Так же в выпуске: - Диктор МатчТВ в клетке Хардкора. - Народный бой: Балашиха против Люберец- Чьи понты перед друзьями закончились сломанной челюстью? Приглашенные жюри: Популярные актеры - Павел Деревянко и Артем Ткаченко, а так же авторитетный журналист в мире ММА - Азамат Бостанов.Смотрите новый выпуск, оставляйте комментарии и любите хэштег #РусскийТульскийНаш, потому что вторая 1/16 состоялась благодаря нашему партнеру «Тульский Пряник» https://www.alenka.ru/hardКонкурс!Разыгрываем 50 билетов на финал Hardcore Fighting Championship.А еще 100 победителей получат наш фирменный мерч.До 3 октября соверши покупку в магазине низких цен Галамарт по промокоду Хардкор и попади в финал гран-при Hardcore Fighting!https://galamart.ru/?utm_source=crossСсылки на наши соц. сети:Telegram: http://t.me/hardcorefightingОфициальный сайт: https://hardcorefc.ru/Inst: http://instagram.com/hardcore.fightingVK: http://vk.com/hardcore.fightingСписок музыки в видео:Track: TOMLINE & itsdelr - Same (Magic Release)Music Provided by Magic RecordsStream/Download: fanlink.to/bdkbMagic Spotify: spoti.fi/2AqGRy2Magic Instagram: bit.ly/2Iny5FNUsage Policy: http://www.magicmusicLLC.comTrack: Blame Connor & X-Ray – PandoraMusic Provided by Magic RecordsListen To The Original: https://youtu.be/dWyKQQuhu1gFree Download: https://fanlink.to/dBXCUsage Policy: http://www.magicmusicLLC.comTrack: ON THE HUNT x GODMODE - The ForceMusic Provided by Magic RecordsListen To The Original: https://youtu.be/KEJvhteMchEFree Download: https://fanlink.to/dA6JUsage Policy: http://www.magicmusicLLC.comTrack: BEATSMASH - Zero GMusic Provided by Magic RecordsListen To The Original: https://youtu.be/-_Q1M5o2YtsFree Download: https://fanlink.to/drfDTrack: BRAN & Finnet - Kill Me Slowly (ft. Annamarie Rosanio)Music Provided by Magic RecordsListen To The Original: https://youtu.be/KhNU1KewAG0Free Download: https://fanlink.to/dj9ETrack: Onur Ormen & Calli Boom - Legacy II (Ft. BigStat)Music Provided by Magic RecordsListen To The Original: https://youtu.be/p62OvO_NsOcFree Download: https://fanlink.to/dirrTrack: Yusuf Alev & Sneaky Ollie & TULE – AfterhoursMusic Provided by Magic RecordsListen To The Original: https://youtu.be/PgTvaGSOV1wFree Download: https://fanlink.to/dgXJTrack: Lucha x Godmode - Bring It OnMusic Provided by Magic RecordsListen To The Original: https://youtu.be/jJfyq6Vjq78Free Download: https://fanlink.to/dgbeTrack: BIOJECT - Ranger [Magic Release]Music Provided By: Magic RecordsListen To The Original: https://bit.ly/2PsnfSfFanlink: https://fanlink.to/RangerTrack: GRIM & Blame Connor – WithoutMusic Provided by Magic RecordsListen To The Original: https://youtu.be/lH-i1_voqmkFree Download: https://fanlink.to/c6eTTrack: Lukasoprom - Feeling (Ft Annamarie Rosanio)Music Provided by Magic RecordsListen To The Original: https://youtu.be/Cc-JGNPxGbsFree Download: https://fanlink.to/d5uvTrack: Arc North - Limbo (ft. Veronica Bravo) [Tomillo Remix]Music Provided by Magic RecordsListen To The Original: https://youtu.be/DgjjUMgjlpgFree Download: https://fanlink.to/c32U1:53 - Народный бой: Сначев Дмитрий vs Шаронов Александр23:47 - Нестеров Александр VS Кравчук Антон 34:06 - Бахшиев Эмиль VS Павел Обозный42:17 - Анарбек Чынгыз VS Алексан Сталболцян49:11 - Абдулаев Шамиль VS Грачик Саакян1:04:34 - комментатор МатчТВ в клетке Хардкора1:06:28 - Ганикштейн Юрий VS Фейруз Ферзь Юсупов01:14:57 - Шамиль Султанбеков VS Мартин Джуарян 01:27:02 - Айрапетян Гарник VS Манасыпов Владислав01:29:24 - Антон Муравьев VS Евгений Орехов01:31:44 - Арсрор Ахперхаджаев VS Дмитрий Балунов01:37:46 - Лытнев Глеб VS Виталий Бодров#хардкор #нокаут #бой","PT1H49M16S"
"f7C0Ye5Lk8o","Прямой эфир | 17.09.2020","2020-09-17T20:53:44Z","UC1QxQNYxWqsxFq6flsk9itw","ABU-SADDAM SHISHANI [LIVE]","22","20.18.09","тумсо|абдурахманов|абу саддам|шишани|чечня|день независимости|чри|tumso|abu saddam|shishani","35742","1549","488","226","https://i.ytimg.com/vi/f7C0Ye5Lk8o/default.jpg","False","False","Отправь сообщение прямо в эфир: http://www.donationalerts.ru/r/abu_saddamСтань моим Патроном:Patreon: http://patreon.com/abusaddamshishaniBitcoin wallet: 12GXdK8FNXnjj1cd4MExYQAwoJciHEJpLBEthereum wallet: 0x7b88Bc38AAcD93A158263F24B01D457A8eC23103Подпишись на мой канал в Телеграм - https://t.me/abusaddamshishaniПодпишись на мой основной канал - http://youtube.com/c/abusaddamshishani0:00 - Начало эфира6:37 - Какой процент людей в Чечне верят власти?20:22 - О задержании в Австрии братьев Асламхановых25:17 - Об отношении к Бен Ладену27:04 - Не спрашивайте о добровольном поклонении человека31:05 - Конференция в Чечне о правах человека43:29 - О моих расходах44:58 - О халяльном мясе в Европе48:12 - О боях детей Кадырова50:46 - Как объединиться, если в обществе раскол?52:37 - О положительном качестве Кадырова53:32 - Почему 300 тысяч чеченцев в Европе, а не наоборот?54:15 - О грузино-чеченских отношениях57:20 - Попытки Кадырова переманить европейских чеченцев1:00:36 - О приравнивании Кадырова к Дудаеву или Масхадову1:05:59 - О песне Димаева Нохчий чоь1:11:01 - О решении Карабахского конфликта1:12:52 - О помывших обувь в христианском источнике1:18:29 - В чем мой радикализм?1:20:40 - Давайте не будем врать друг-другу1:24:42 - Турция не лучшая страна для преследуемых чеченцев1:28:27 - Вера и понимание - не одно и то же","PT1H31M36S"
"NvPQ3jkPq3k","Вписка и Даня Милохин —  сколько денег тратит, что с братом и “Дико тусим” с Басковым","2020-09-17T14:06:06Z","UCj7bSQWlq2O4lhGxGll5SUA","ВПИСКА","22","20.18.09","даня милохин|даня милохин и николай басков|милохин и басков|даня милохин дико тусим|вписка и даня милохин|даня милохин интервью|даня милохин брат|дрим тим хаус|dream team house|вписка канал|вписка шоу|вписка интервью|даня милохин и тик ток","146184","10472","1093","1420","https://i.ytimg.com/vi/NvPQ3jkPq3k/default.jpg","False","False","Активируй промокод VPISKA на скидку 30% в приложении Uber Russia на первые 3 поездки https://ya.cc/t/F_WPcDwcCy8yTПолное интервью Дани Милохина  — самого популярного тиктокера страны, участника Dream Team House, нового героя школьников. Почему он пишет фиты с Тимати и Николаем Басковым, а не с Платиной и Биг Бейби Тейпом? Были ли у него проблемы в детском доме из-за внешности? Часто ли к нему подкатывают геи? Сколько стоит его лук (спойлер: ооочень много). Кто его продюсер и запрещает ли он ему что либо? Как Даня отреагировал на интервью родного брата? А еще: смотрим его комнату, ресторан в Анапе, где работал, общагу и магазин, где воровал еду. А еще: разыгрываем цепь из клипа про “хавчик”. 0:00 Погнали!1:08 Фит с  Басковым — зашквар или нет?3:44 Как Дане в детстве помогали треки Джарахова5:30 На Вписке мы всегда показываем только настоящую жизнь. Даже в рекламе6:49 С каким чувством Даня приезжает в родную Анапу?9:00 Чувак меня берет за плечо и насильно пытается сфоткаться. О неадекватных фанах9:31 Милохин — новый Децл?11:32 Даня рос в том же детдоме, что и Юра Шатунова14:45 Даня приходит в кафе в Анапе, где работал официантом, и встречается с бывшим начальником16:47 Его пытались склеить в кафе?20:33 У него были проблемы из-за сладкой внешности?23:09 Магазин, где Даня воровал еду (не повторяйте за ним!)24:21 Тут снова с нами происходит какая-то жесть24:56 Встретили на улице старого общажного друга Дани26:07 Что Даня с друзьями употребляли в техникуме?29:18 Я уже всем наплел, что стану популярным. Пути назад не было. О мотивации31:19 Ему хотелось в семью?35:07 Встретили хейтера Дани на улице — он прочитал дисс на него37:58 Когда Даня начал бухать?40:46 Сколько стоит одежда на нем? 44:40 Даня, что с братом? Почему вы не общаетесь?47:12 Даня, ты продюсерский проект?49:00 Не курю, не матерюсь в сториз. Об ответственности перед детьми53:17 Смотрим татухи Дани54:35 КОНКУРС! Разыгрываем цепь Дани!55:58 Каким Даня будет в 25 лет?57:10 Музыкальная пауза после титровДаня Милохин: https://www.instagram.com/danya_milokhin/Вася: https://www.instagram.com/vasya_tru/Коля: https://www.instagram.com/nihuya_sebe_struya/Вписка: https://www.instagram.com/vpiska_show/По вопросам сотрудничества и рекламы: vpiska@wildjam.ru, mail@vpiska.tvИнформпартнеры: NR (https://vk.com/rapnewrap), Рифмы и Панчи (https://vk.com/rhymes), VSrap (https://vk.com/vsrapru)","PT57M21S"
