video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"pvPsJFRGleA","Justin Bieber - Holy ft. Chance The Rapper","2020-09-18T04:00:10Z","UCHkj014U2CQ2Nv0UZeYpE_A","JustinBieberVEVO","10","20.21.09","justin bieber|bieber|justin|hailey|biebs|bieber fever|holy|chance|chance the rapper|toronto|yummy|changes|purpose|holey|holyy|jbiebs|pop|music|r&B|rapper|trending|viral|ryan destiny|Wilmer Valderrama","24692899","1938335","43310","153921","https://i.ytimg.com/vi/pvPsJFRGleA/default.jpg","False","False","Holy out now: https://JustinBieber.lnk.to/HolyThe new era has begun for Justin Bieber with his first single HOLY featuring Chance the Rapper. So much more to come. Follow Justin:http://facebook.com/justinbieberhttp://twitter.com/justinbieberhttp://instagram.com/justinbieber Follow Chance:https://www.instagram.com/chancethera...https://twitter.com/chancetherapper https://www.facebook.com/chancetherap... Sign up for Justin’s newsletter: http://justinbiebermusic.comDirector - Colin TilleyProducers - Scooter Braun, Allison Kaye, Jamee Ranta, Whitney Jackson Management - SB ProjectsCinematographer - Elias TalbotProduction Designer - Brandon MendezColorist - Bryan SmallerEditor - Vinnie Hobbs  Starring: Ryan Destiny, Wilmer Valderrama #Holy #JustinBieber #ChanceTheRapper","PT5M29S"
"dAjCk6ICA8w","President Cyril Ramaphosa addresses the nation on developments in response to COVID-19 pandemic","2020-09-16T17:44:18Z","UC8yH-uI81UUtEMDsowQyx1g","SABC News","25","20.21.09","[none]","273031","1620","375","227","https://i.ytimg.com/vi/dAjCk6ICA8w/default.jpg","False","False","President Cyril Ramaphosa will address the nation at 19:00 today, Wednesday, 16 September 2020, on developments in South Africa’s risk-adjusted response to the COVID-19 pandemic.The address follows a meeting of the National Coronavirus Command Council on Monday, 14 September 2020; a meeting of the President’s Coordinating Council on Tuesday, 15 September 2020, and a special sitting of Cabinet today, Wednesday, 16 September 2020.The President’s Coordinating Council is co-chaired by the President and the Deputy President and brings together Ministers, Premiers and leadership of the brings together and the South African Local Government Association and National House of Traditional Leaders.For more news, visit sabcnews.com and also #SABCNews #Coronavirus #COVID19News on Social Media.","PT36M6S"
"s7yneAy9rHU","Cassper Nyovest - To Whom it May Concern (Visualizer)","2020-09-10T22:00:12Z","UC5eT_421evkBZJu7pIOGdsA","CassperNyovestVEVO","10","20.21.09","Cassper|Nyovest|Whom|May|Concern|(Visualizer)|Universal|Music|(Pty)|Ltd.|Hip|Hop","441319","13019","295","1236","https://i.ytimg.com/vi/s7yneAy9rHU/default.jpg","False","False","Stream A.M.N (Any Minute Now) here: https://familytreerec.lnk.to/AMN Connect with me:Instagram: https://www.instagram.com/casspernyovest/ Twitter: https://twitter.com/casspernyovest  Facebook: https://www.facebook.com/CassperNyovest/ #CassperNyovest #AMN #AnyMinuteNowMusic video by Cassper Nyovest performing To Whom it May Concern (Visualizer). © 2020 Family Tree, under exclusive license to Universal Music (Pty) Ltd (ZA)http://vevo.ly/ZqMCLw","PT4M30S"
"IxeCY_BznzQ","Nasty C, Lil Gotit, Lil Keed - Bookoo Bucks","2020-09-11T08:00:02Z","UCbhR0oGTFSh2_JYar28HdRQ","NastyCVEVO","10","20.21.09","Nasty|Lil|Gotit|Keed|Bookoo|Bucks|Universal|Music|(Pty)|Ltd.|Hip|Hop","661111","45047","641","3364","https://i.ytimg.com/vi/IxeCY_BznzQ/default.jpg","False","False","Stream/Download Zulu Man With Some Power: https://nastyc.lnk.to/ZMWSPJoin the Nasty C Fan List:  https://umusic.digital/nastycfanlist Follow Nasty C:Instagram: https://www.instagram.com/nasty_csa/ Facebook: https://www.facebook.com/nastyczzle Twitter: https://twitter.com/Nasty_CSA#NastyC #ZuluManWithSomePower #ZMWSPSouth African production company: The Swank Group Executive Producer: Allison Swank Directors: Nasty C & Allison Swank Co-Director: Yoza MnyandaProducer: Sazi Mbalekwa  DOP: Travys Owen Art Director: Unathi MkontoStylist: Thobeka Mbane Stylist Assistant: Kaya MtengwanaMake Up and Hair: Luther Galloway & Bassie SeripeProduction Assistant: Faith Molefe  Models: Ms Management Post ModernEditor: Jade de JagerColorist: Africa MajolaPost Production Producer: Leanne Schalekamp1st AC/Focus Puller: Bheki Ntshangase 2nd AC/DIT: Scott Malcolm MacbethDrone: Ambit AerialGaffer: Peter Modise  Spark: William Masuku  Medic: Riaan Vorster Security: Bad Boyz Caterers: Black Olive House BTS: Kerwin PriorUS production company: UnderWonder Content Executive Producers: Frank Borin & Ivanna Borin Co-Director: Matt Earl Producer: Marco De Molina Production: Opal Thrailkill Casting Director: Copelan Cash DOP: Ernesto Lomeli1st AC: Grant Friesen Gaffer: Miles Watanabe Key Grip: Micah Zarlow Art Director: Jose Rojas Glam Boss: Lizzy Arroyo BTS: Joshua Carter","PT4M2S"
"fbZlZojF8Bg","FULL SPEECH | SA to downgrade to Alert Level 1","2020-09-16T17:45:28Z","UC_vRepQuzI527GtEP1pGYZw","News24","25","20.21.09","[none]","304989","2142","387","0","https://i.ytimg.com/vi/fbZlZojF8Bg/default.jpg","True","False","President Cyril Ramaphosa will address the nation on developments in South Africa's risk-adjusted response to the Covid-19 pandemic.The address follows a meeting of the National Coronavirus Command Council on Monday; a meeting of the President’s Coordinating Council on Tuesday, and a special sitting of Cabinet on Wednesday. #News24Video #News24CoronavirusFor this story and more, visit News24: https://www.news24.com/","PT36M8S"
"OJhq5FpFyjM","HOW TO BECOME POPULAR || Nerd VS Popular Students Funny School Life and Hacks by 123 GO! SCHOOL","2020-09-11T15:00:06Z","UC2sloW3tudsSaEpxiqd9hTQ","123 GO! SCHOOL","22","20.21.09","[none]","10853315","98101","12875","5239","https://i.ytimg.com/vi/OJhq5FpFyjM/default.jpg","False","False","Oh popularity! School can be hard enough without having to worry if people like you or not. Who loves being unpopular?We'll show you school life of nerd vs popular students and funny life hacks. Do you want to be more popular? Let us know in the comments! And don’t forget to share this video with your friends and subscribe to 123 Go School for more great videos like this one!#123GO #funny #school #hacks #DIYMusic by Epidemic Sound: https://www.epidemicsound.com/Stock materials:https://www.depositphotos.comhttps://www.shutterstock.comhttps://elements.envato.comThis video is made for entertainment purposes. We do not make any warranties about the completeness, safety and reliability. Any action you take upon the information on this video is strictly at your own risk, and we will not be liable for any damages or losses. It is the viewer's responsibility to use judgment, care and precautions if one plans to replicate.The following video might feature activity performed by our actors within controlled environment - please use judgment, care, and precaution if you plan to replicate.","PT10M32S"
"-UCDXvmgias","Carnage in Le Classique! Neymar amongst FIVE players sent off!","2020-09-13T21:32:49Z","UC4i_9WvfPRTuRWEaWyfKuFw","BT Sport","17","20.21.09","neymar|Le Classique|psg|paris saint germain|marseille|ligue 1|scuffle|red cards|bt sport|bt sport official","9103042","100788","5717","9279","https://i.ytimg.com/vi/-UCDXvmgias/default.jpg","False","False","PSG VS Marseille finishes 8v9 after the referee gives FIVE red cards, including one for Neymar, in the final few minutes! Neymar tells the fourth official there was a racist incident after receiving his marching orders...Hit 'Subscribe' above to ensure you never miss a video from the BT Sport YouTube channel.Visit and subscribe to our 'BT Sport Boxing' YouTube channel ➡️ http://www.youtube.com/c/btsportboxingTwitter: http://twitter.com/btsportFacebook: http://www.facebook.com/btsportInstagram:http://instagram.com/btsportWebsite: http://sport.bt.com","PT4M34S"
"-q54snN2VJQ","Crazy Tips To Get A Boyfriend || Funny Hacks And Relatable Situations Only Girls Will Understand","2020-09-16T15:27:04Z","UCu_ytbeyzLZfIKWr43QSb5A","123 GO Like!","22","20.21.09","DIY|hacks|tricks|craft|crafts|prank|pranks|123 go|123 go like|123GO!|tutorial|how to|know how|girly hacks|girly relatable|relatable situations|how to get a boyfriend|relationship|love hacks|beauty hacks","2471638","26397","2485","1379","https://i.ytimg.com/vi/-q54snN2VJQ/default.jpg","False","False","How to get a boyfriend!Do you have a crush? Wanna make a guy instantly want to date you? Then this video is perfect for you!#funny #girly #hacks #relatable Music by Epidemic Sound: https://www.epidemicsound.com/Stock materials: https://www.depositphotos.comhttps://www.shutterstock.com-------------------------------------This video is made for entertainment purposes. We do not make any warranties about the completeness, safety and reliability.Any action you take upon the information on this video is strictly at your own risk, and we will not be liable for any damages or losses.It is the viewer's responsibility to use judgment, care and precautions if one plans to replicate.The following video might feature activity performed by our actors within controlled environment - please use judgment, care, and precaution if you plan to replicate.","PT12M7S"
"Iom_rGHb38g","Alert level 1 lockdown: All you need to know","2020-09-16T18:05:14Z","UC7CXDA7ZCU9Od6qzQr6phww","Eyewitness News","25","20.21.09","Level 1|lockdown|coronavirus|South Africa|lockdown regulations|Cyril ramaphosa|South Africa economy|coronavirus South Africa|ramaphosa address|alert level 1|covid19 news|level 1 alcohol sales|international travel south africa|gatherings lockdown|tourism coronavirus south africa","157565","1562","196","606","https://i.ytimg.com/vi/Iom_rGHb38g/default.jpg","False","False","President Cyril Ramaphosa addressed the nation to announce that the country will move to alert level one of lockdown from midnight on Sunday, 20 September 2020.#CoronavirusSA#Lockdown#Level1#Ramaphosa","PT6M54S"
"bDMi61bYcyg","FC Bayern München - FC Schalke 04 | 8-0 | All Goals | Matchday 1 – Bundesliga 2020/21","2020-09-18T21:13:16Z","UC6UL29enLNe4mqwTfAyeNuw","Bundesliga","17","20.21.09","Bundesliga|Bundesliga 2020/21|Bundesliga Highlights|Football Highlights|season 20120/21|Highlights|FC Bayern München|Bayern|Bayern Munich|FC Schalke 04|Schalke|Schalke 04|Bayern Schalke|Bayern Schalke highlights|Bundesliga Matchday 1|BLMD1|NTBM|all goals|sep20|kw3820","864675","19164","300","1886","https://i.ytimg.com/vi/bDMi61bYcyg/default.jpg","False","False","#FCBS04 | Highlights from Matchday 1!► Sub now: https://redirect.bundesliga.com/_bwCS Watch all goals of FC Bayern München vs. FC Schalke 04 from Matchday 1 of 2020/21 season!Goals: 1-0 Gnabry (4’), 2-0 Goretzka (19’), 3-0 Lewandowski (31’ Penalty), 4-0 Gnabry (47’), 5-0 Gnabry (59’), 6-0 Müller (69’), 7-0 Sane (71’), 8-0 Musiala (81’)► Watch Bundesliga in your country: https://redirect.bundesliga.com/_bwCT► Join the conversation in the Bundesliga Community Tab:https://www.youtube.com/bundesliga/communityWe’ve seen another Matchday full of unmissable Bundesliga drama. Don’t miss any highlights from Germany’s football league! The Official Bundesliga YouTube channel gives you access to videos about the greatest goals, best moments and anything else you should know about. Make sure to subscribe now and visit us at https://bndsl.ga/comYT to find out more about the fixtures, analysis and news about your favourite team!","PT1M3S"
