video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"_cfwj0tcb0Q","【初コラボ】友達のヒカルにチャンネルコンサルしてもらいました","2020-09-23T11:00:09Z","UCSEoj94-efoQhREyRWRySKA","手越祐也チャンネル","22","20.24.09","手越祐也|手越|祐也|テイ！|記者会見","596287","29218","2548","1972","https://i.ytimg.com/vi/_cfwj0tcb0Q/sddefault.jpg","False","False","ヒカルとコラボした動画はこちらhttps://youtu.be/Dc0lmQcMLNgチャンネル登録はこのリンクをテイ！ → http://www.youtube.com/channel/UCSEoj94-efoQhREyRWRySKA?sub_confirmation=1ファンクラブ先行登録 受付中https://www.yuyategoshi.com手越祐也オフィシャルTwitterhttps://twitter.com/YuyaTegoshi1054手越祐也 ファンクラブ公式Twitterhttps://twitter.com/yuyategoshi_fc手越祐也オフィシャルInstagramhttps://www.instagram.com/yuya.tegoshi1054ファンレター宛先〒107-0052東京都港区赤坂5-5-9赤坂スバルビル1F MBE119手越祐也宛お問い合わせは下記へinfo@tegoshi.biz#手越祐也","PT22M54S"
"zNtUeVL-jG8","【独自】元ＴＯＫＩＯ山口達也容疑者、ドラレコが捉えた“異変”【news23】","2020-09-22T15:30:27Z","UC6AG81pAkf6Lbi_1VC5NmPA","TBS NEWS","25","20.24.09","TBS|NEWS|ニュース|TBSNEWS","3816518","8728","1053","4870","https://i.ytimg.com/vi/zNtUeVL-jG8/sddefault.jpg","False","False","酒を飲んでバイクを運転したとして現行犯逮捕された、元ＴＯＫＩＯの山口達也容疑者。ＪＮＮが入手したドライブレコーダーが、事故直前の山口容疑者の多くの“異変”を捉えていました。何度も、前の車に接近しながら進むバイク。これは事故直前の山口達也容疑者の姿です。対向車線にせり出し対向車すれすれを走った直後に、大きく左に蛇行する様子も映し出されています。そしてこの３分後、車に追突した直後とみられる姿も捉えられていました。山口容疑者からは基準値を大幅に上回る１リットルあたり０．７ミリグラム以上のアルコールが検出されていて、取り調べに対し山口容疑者は容疑を認めた上で、「友人の家に行く途中だった」と供述しているということです。（news23 2020年9月22日放送）#山口達也容疑者 #ドラレコ ▼TBS NEWS 公式サイト https://news.tbs.co.jp/ ▼TBS NEWS 公式SNS 　　◇Twitter 　　　　https://twitter.com/tbs_news　　◇Facebook 　　　　https://www.facebook.com/tbsnews/　　◇note 　　　　https://note.com/tbsnews　◇TikTok       https://www.tiktok.com/@tbsnews?lang=ja　◇instagram 　　　　https://www.instagram.com/tbsnews_insta/?hl=ja ▼チャンネル登録をお願いします！http://www.youtube.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA?sub_confirmation=1 ▼TBSスクープ投稿特ダネ動画を募集しています！ https://news.tbs.co.jp/newsi_sp/toukou/","PT41S"
"yIaebZEoRng","街の喧嘩自慢にプロ格闘家がスパーリングを申し込んだらやるのかやらないのか【福岡編・後編】","2020-09-23T10:00:29Z","UCJZVj2iBrdvbNc416i0V-UA","朝倉未来 Mikuru Asakura","24","20.24.09","朝倉未来","1703127","23554","1031","2691","https://i.ytimg.com/vi/yIaebZEoRng/sddefault.jpg","False","False","前編はこちらhttps://www.youtube.com/watch?v=Gqfg0WTRHK8愛知編https://www.youtube.com/watch?v=SuMqjuHdCz0&t=2s大阪編https://www.youtube.com/watch?v=xyl1vg9isL8サブチャンネルhttps://www.youtube.com/channel/UCOF2nUSKF2Mz_vZHlxjxRTg/朝倉未来曲チャンネルhttps://www.youtube.com/channel/UCl9CQSy1zql0pTS2oo9rFGQ/アパレル販売開始しましたhttps://matinavenir.com/朝倉未来の書籍「強者の流儀」発売開始しましたhttps://www.amazon.co.jp/dp/4046046961LINEスタンプhttps://line.me/S/sticker/10221660過去の動画はこちらぼったくりバーに一人で潜入したらあり得ない金額を請求されて口論になったhttps://www.youtube.com/watch?v=PX7lAOg5zeU&t=381sドッキリされたのでやり返した話https://www.youtube.com/watch?v=hSAULvpFCCE&t=832s街の喧嘩自慢にプロ格闘家がスパーリングを申し込んだらやるのかやらないのか【大阪編・前編】https://www.youtube.com/watch?v=xyl1vg9isL8メンバーでガチスパーリングしてみた【神回】https://youtu.be/VzW3oZGJ8_Q【ブチギレ】ナンパした女性の彼氏が朝倉未来だったらどうなる？https://www.youtube.com/watch?v=3SKBaeSgBQs&t=594s・朝倉未来 ツイッター　インスタグラムhttps://www.instagram.com/mikuruasakurahttps://twitter.com/MikuruAsakura・佐々木くんhttps://twitter.com/hiro_sasaki_https://www.instagram.com/hirosasaki_/・たくまhttps://twitter.com/Taku0532https://www.instagram.com/md_takuma/・吉田くんhttps://www.instagram.com/yoshi_da318https://twitter.com/Yoshida_318・きなこhttps://twitter.com/kinakopoodlehttps://www.instagram.com/poodlekinako/・朝倉未来 Youtube公式インスタグラムhttps://www.instagram.com/asakuramikuruyt・朝倉未来 Youtube公式ツイッターhttps://twitter.com/asakuramikuruyt・お仕事のご依頼はこちらmikuruasakuramg@gmail.com","PT13M17S"
"rycJCujjl74","Snow Man「KISSIN’ MY LIPS」MV鑑賞会","2020-09-23T08:00:08Z","UCuFPaemAaMR8R5cHzjy23dQ","Snow Man","10","20.24.09","Snow Man|スノーマン|岩本 照|Hikaru Iwamoto|深澤 辰哉|Tatsuya Fukazawa|ラウール|Raul|渡辺 翔太|Shota Watanabe|向井 康二|Koji Mukai|阿部 亮平|Ryohei Abe|目黒 蓮|Ren Meguro|宮舘 涼太|Ryota Miyadate|佐久間 大介|Daisuke Sakuma|滝沢秀明|タッキー|アクロバット","679216","0","0","5215","https://i.ytimg.com/vi/rycJCujjl74/sddefault.jpg","False","True","どうも！Snow Manです。今回は、僕たちの2ndシングル「KISSIN' MY LIPS」MV鑑賞会の模様をお届けします！2020.10.07 2nd Single Release！Snow Man「KISSIN’ MY LIPS / Stories」●初回盤A（CD+DVD）品番：AVCD-94848B価格：1,600（税抜） ￥1,760（税込）スリーブ仕様動画A視聴シリアルナンバー封入【CD収録内容】01. KISSIN' MY LIPS02.Stories【DVD収録内容】・「KISSIN‘ MY LIPS」 Music Video・「Stories」Music Video・「Stories」Dance Video・ジャケット/Music Videoメイキング映像●初回盤B（CD+DVD）品番：AVCD-94849B価格：1,600（税抜） ￥1,760（税込）スリーブ仕様動画B視聴シリアルナンバー封入 【CD収録内容】01. KISSIN' MY LIPS02. Stories【DVD収録内容】・「KISSIN’ MY LIPS」マルチアングル映像・ 撮り下ろし特典映像 真実を暴け！JOKERゲーム●通常盤（CD）品番：AVCD-94850X価格：1,000（税抜） ￥1,100（税込）初回仕様：スリーブケース、20Pフォトブック動画C視聴シリアルナンバー封入【CD収録内容】01. KISSIN' MY LIPS02. Stories03. 君の彼氏になりたい。04. ファンターナモーレ05.「KISSIN' MY LIPS」Instrumental06.「Stories」Instrumental07.「君の彼氏になりたい。」Instrumental08.「ファンターナモーレ」Instrumental09.ボイスドラマ2ndシングル「KISSIN’ MY LIPS / Stories」のご予約はこちら！ ◆初回盤Ahttps://avex.lnk.to/SnowManAVCD94848◆初回盤Bhttps://avex.lnk.to/SnowManAVCD94849◆通常盤https://avex.lnk.to/SnowManAVCD94850Snow Man オフィシャルサイトhttps://avex.jp/snowman/Snow Man on ジャニーズJr.チャンネル https://goo.gl/UXB2Ms Weibohttps://www.weibo.com/SnowManofficialJohnny's nethttp://www.johnnys-net.jp/ISLAND TVhttps://j-island.net/artist/group/id/4#SnowMan #くちびるものがたる #MV鑑賞会","PT14M19S"
"A2wYmejbN0k","山口達也容疑者“新たな事実”　自宅～現場 約3.5km運転?","2020-09-24T01:35:00Z","UCoQBJMzcwmXrRSHBFAlTsIw","FNNプライムオンライン","25","20.24.09","ニュース|NEWS|FNN|FNNプライムオンライン|フジテレビ|フジテレビジョン|FujiTelevision","469048","1050","421","1269","https://i.ytimg.com/vi/A2wYmejbN0k/sddefault.jpg","False","False","酒気帯び運転で事故を起こし逮捕された、アイドルグループ・TOKIOの元メンバー・山口達也容疑者(48)。追突したのは警察官の車だったことなど、新たな事実が次々と明らかになっている。東京・練馬区で9月22日に撮影された映像。黒い車の後ろを走る大型バイクが、センターラインをはみ出しそうになって走っていた。このバイクを運転していたのが、追突事故を起こし、酒気帯び運転の現行犯で逮捕されたTOKIOの元メンバー・山口達也容疑者。フジテレビが入手した新たな映像から、事故前後の状況がさらに見えてきた。事故発生の4分後に撮影された映像。ヘルメットを脱ぐことなく、バイクにまたがっている山口容疑者。その前の黒い車が、信号待ちをしていて追突された車。運転していたのは、偶然にも警視庁の男性警察官だった。男性警察官は山口容疑者とやりとりをした際、酒の臭いにも気づいていたという。事故直後を目撃した男性「疲れ切ったような感じだった。座り込んじゃってるというのは、やっぱり何か通常じゃないでしょう」自宅で酒を飲んだとみられている山口容疑者。事故後に行われたアルコール検査では、呼気1リットルから基準値を大幅に上回る0.75mg/Lのアルコールが検出された。個人差はあるものの、立つとふらつくような状態だった可能性がある。このような状態で、自宅から事故現場まで約3.5kmを運転していたとみられている。その間の状況がわかるのが、事故の約3分前に撮影された映像。ジーンズに半袖のTシャツ、白いヘルメットをかぶってバイクのハンドルを握る山口容疑者。この時、反対車線をパトカーが走っているが、特に問題なく走行している。しかし、別角度から撮られた映像を見ると、パトカーとすれ違った直後、バイクはセンターラインに接近し始め、対向車線にはみ出しそうになっていた。さらに、事故現場により近い場所の防犯カメラ映像でも、左右にふらつくように走行。事故は、この直後に起こったとみられる。山口容疑者は2018年の謝罪会見で、お酒について「今は絶対飲まないと決めて...」と話していたが、酒との決別の誓いは守られなかった。警視庁は24日、山口容疑者の身柄を検察に送る予定。(2020/09/24)FNNプライムオンラインhttps://www.fnn.jp/アプリで最新ニュースに簡単アクセスhttps://yappli.plus/fnn-prime_flyerチャンネル登録をお願いします！http://www.youtube.com/subscription_center?add_user=FNNnewsCH","PT3M28S"
"-s8IQucLqsw","戦慄かなの : 名前の由来 〜地元について","2020-09-23T12:15:01Z","UC4kUV8uGKmoQUs1HLzf7jsg","ニートtokyo","22","20.24.09","ニートtokyo|ニート東京|ラッパー|ラップ|interview|インタビュー|hiphop|ヒップホップ|seeda|日本語ラップ|reggae|レゲエ|MCバトル|フリースタイルダンジョン|戦極MCBATTLE|凱旋MCbattle|UMB|ultimate mc battle|高ラ|高校生ラップ選手権|rap|好きな銘柄|恐怖体験","96567","3249","173","300","https://i.ytimg.com/vi/-s8IQucLqsw/sddefault.jpg","False","False","大阪府出身 / 1998年9月8日生まれ 高校中退後非行に走り、少年院送致。退院後に応募した、講談社ミスID2018では、そのワンアンドオンリーな経歴、存在感が異彩を放ち、それまで同コンテストに存在しなかった「サバイバル賞」を審査員に新たに創設させるまでに至り、同賞を受賞。 その後加入したアイドルユニット「ZOC」で、2020年7月のグループ卒業まで活動。現在は、ソロアーティストとして様々なアーティスト、クリエイターとのコラボや客演参加、また実妹「頓知気さきな」との姉妹による完全セルフプロデュースユニット、「femme fatale」では、メンバーとしてのみならず、作詞作曲、振り付け、衣装アイデア提供など、ほぼ全般を自らで行い活動している。フジテレビ系列のバラエティ番組「アウト×デラックス」で、「アウト軍団」の一員として出演する傍ら、育児放棄や児童虐待に関するNPO法人「bae -ベイ-」の代表理事も務めるなど、ネット、テレビ、ライブハウスに留まらず、様々なフィールドに精力的に活動の場を拡大中。 華奢でファビュラスな見た目からは、想像もできないオリジナリティー溢れるスタイル、時にはSNS上に炎上を巻き起こすほど歯に衣着せぬ実直な物言いで、十代の女性を中心としたファンの共感と絶大な支持を得ている。 戦慄かなの（@CV_Kanano）twitter https://twitter.com/cv_kanano?lang=ja femme fatale（@femme_iDOL）titter https://twitter.com/femme_idolfemme fatale YouTubeチャンネル 　https://www.youtube.com/channel/UCJT_sEYoIBm6F4flBP1aE4wニートtokyo@every 9pm■ニートtokyo■□twitter□https://twitter.com/neettokyo□instagram□https://www.instagram.com/neettokyo/Interviewer Bundai Yamada#戦慄かなの #femmefatale #名前の由来","PT2M21S"
"uFOKjnkps4w","【K-1大阪大会】応援ありがとうございました！","2020-09-23T10:00:14Z","UCyck8jJ1yQzy82rLJ5nv8Gg","安保瑠輝也 あんぽるきや","24","20.24.09","朝倉未来|安保瑠輝也|あんぽるきや","532407","20766","784","4472","https://i.ytimg.com/vi/uFOKjnkps4w/sddefault.jpg","False","False","るきやから一言→これで1勝1敗なので、必ずリベンジします。","PT4M38S"
"Gqfg0WTRHK8","街の喧嘩自慢にプロ格闘家がスパーリングを申し込んだらやるのかやらないのか【福岡編・前編】","2020-09-22T10:00:04Z","UCJZVj2iBrdvbNc416i0V-UA","朝倉未来 Mikuru Asakura","24","20.24.09","朝倉未来","2021170","27483","2465","3857","https://i.ytimg.com/vi/Gqfg0WTRHK8/sddefault.jpg","False","False","愛知編https://www.youtube.com/watch?v=SuMqjuHdCz0&t=2s大阪編https://www.youtube.com/watch?v=xyl1vg9isL8サブチャンネルhttps://www.youtube.com/channel/UCOF2nUSKF2Mz_vZHlxjxRTg/朝倉未来曲チャンネルhttps://www.youtube.com/channel/UCl9CQSy1zql0pTS2oo9rFGQ/アパレル販売開始しましたhttps://matinavenir.com/朝倉未来の書籍「強者の流儀」発売開始しましたhttps://www.amazon.co.jp/dp/4046046961LINEスタンプhttps://line.me/S/sticker/10221660過去の動画はこちらぼったくりバーに一人で潜入したらあり得ない金額を請求されて口論になったhttps://www.youtube.com/watch?v=PX7lAOg5zeU&t=381sドッキリされたのでやり返した話https://www.youtube.com/watch?v=hSAULvpFCCE&t=832s街の喧嘩自慢にプロ格闘家がスパーリングを申し込んだらやるのかやらないのか【大阪編・前編】https://www.youtube.com/watch?v=xyl1vg9isL8メンバーでガチスパーリングしてみた【神回】https://youtu.be/VzW3oZGJ8_Q【ブチギレ】ナンパした女性の彼氏が朝倉未来だったらどうなる？https://www.youtube.com/watch?v=3SKBaeSgBQs&t=594s・朝倉未来 ツイッター　インスタグラムhttps://www.instagram.com/mikuruasakurahttps://twitter.com/MikuruAsakura・佐々木くんhttps://twitter.com/hiro_sasaki_https://www.instagram.com/hirosasaki_/・たくまhttps://twitter.com/Taku0532https://www.instagram.com/md_takuma/・吉田くんhttps://www.instagram.com/yoshi_da318https://twitter.com/Yoshida_318・きなこhttps://twitter.com/kinakopoodlehttps://www.instagram.com/poodlekinako/・朝倉未来 Youtube公式インスタグラムhttps://www.instagram.com/asakuramikuruyt・朝倉未来 Youtube公式ツイッターhttps://twitter.com/asakuramikuruyt・お仕事のご依頼はこちらmikuruasakuramg@gmail.com","PT28M59S"
"pW5YXLBGFgc","2020年9月22日 K-1 WORLD GP 2020 JAPAN～K-1秋の大阪決戦～ 山崎 秀晃 試合後インタビュー","2020-09-23T09:47:23Z","UCW2pBx8MXfDCcwUfjLHMIFA","K-1 【official】YouTube channel","17","20.24.09","K-1|K-1WGP|K-1甲子園|武尊|Krush|KHAOS|山崎 秀晃","96449","1127","35","300","https://i.ytimg.com/vi/pW5YXLBGFgc/sddefault.jpg","False","False","今大会の試合結果↓https://www.k-1.co.jp/result/16518/-------------------------------------------------------------------------------------------------------------------------------------------------------------------木村“フィリップ”ミノルが解説！特別版の安保VS山崎戦を見るなら、ABEMAプレミアムを登録！登録はコチラから▷ https://abe.ma/2RE9q5q-------------------------------------------------------------------------------------------------------------------------------------------------------------------","PT12M32S"
"mkn1nMXFlqw","SNSで話題沸騰の弟に兄・ローランドが激ギレ","2020-09-22T10:00:10Z","UCSxjUZznZGt-ynhmtsCxjXA","THE ROLAND SHOW【公式】","24","20.24.09","ROLAND|ローランド|歌舞伎町|ホスト|ローランドショー|罗兰|牛郎|ソノサキ|名言|新宿|羅蘭|rolandshow|therolandshow|ローランドショウ|ホストTV|host|接客|1日密着|そん|ソン|宋導演|RBL|ローランドビューティーラウンジ|実の弟|実弟|家族|暴露|兄弟|公關|社長|Netflix|老闆|秘密|喧嘩|バトル|激ギレ|職場|新店舗","1905586","17150","715","2992","https://i.ytimg.com/vi/mkn1nMXFlqw/sddefault.jpg","False","False","社長を務める脱毛サロンの評価が低下している事を知り、ローランドは弟・叶音（かのん）がマネージャーの新宿本店を抜き打ちで訪問。その現場の状況にローランドが激ギレ！ そのワケとは...？＜弟初公開動画＞ https://youtu.be/hd6laV_AFWQ＜弟だけが知るローランド「5つの秘密」＞ https://youtu.be/K64QtK9DS3M＜各種SNS＞●ローランド公式Twitter https://twitter.com/roland_0fficial●ローランド公式Instagramhttps://www.instagram.com/roland_0fficial●ローランド公式Weibohttps://www.weibo.com/p/1005057400776083/home●ローランド公式Bilibilihttps://space.bilibili.com/517192935#ローランド#ROLAND#喧嘩#羅蘭#罗兰","PT11M54S"
